[00:00:06.066 --> 00:00:07.707]  Hitler took the guns.
[00:00:07.767 --> 00:00:10.709]  Stalin took the guns.
[00:00:10.930 --> 00:00:12.471]  Mao took the guns.
[00:00:12.551 --> 00:00:15.693]  Fidel Castro took the guns.
[00:00:15.733 --> 00:00:19.215]  Hugo Chavez took the guns.
[00:00:37.085 --> 00:00:40.447]  1776 will commence again if you try to take our firearms!
[00:00:42.528 --> 00:00:45.570]  The Republic will rise again when you attempt to take our guns.
[00:00:47.631 --> 00:00:54.435]  I am sworn upon the altar of God, eternal hostility against every form of tyranny.
[00:00:59.155 --> 00:01:02.236]  The answer to 1984 is 1776.
[00:01:02.416 --> 00:01:07.439]  You're listening to the Alex Jones Show.
[00:01:09.760 --> 00:01:14.402]  Ladies and gentlemen, it is Thursday, the 25th day of January 2018.
[00:01:14.662 --> 00:01:18.603]  Hard to believe the first month of this year is almost gone.
[00:01:19.044 --> 00:01:26.567]  We have amazing exclusive footage of the president arriving in Davos and a lot of other amazing stuff coming up that our great reporter
[00:01:27.407 --> 00:01:29.669]  Dan Lyman is there shooting and reporting on.
[00:01:30.029 --> 00:01:32.851]  It's posted on Infowars.com and more going up as we speak.
[00:01:33.771 --> 00:01:57.087]  We have just the wheels coming off, the car blowing up, the walls closing in on the deep state, on the secret society, Clinton, crime cabal inside the Justice Department and the FBI that's been ruling over this country since the mid-1990s as the Clintons committed massive crimes in front of everybody as the public and journalists and patriots in the government and people across the board realize
[00:01:58.368 --> 00:02:02.671]  The globalists are at war with the American people through their shadow government, through their deep state.
[00:02:03.972 --> 00:02:11.639]  And now that it's identified, and that it's run by the Communist Chinese, the EU, and others, there's no putting it back together again.
[00:02:11.899 --> 00:02:16.623]  We have crossed the point of no return, the event horizon.
[00:02:17.523 --> 00:02:19.145]  Here's what Lou Dobbs had to say last night.
[00:02:20.014 --> 00:02:21.055]  Good evening, everybody.
[00:02:21.195 --> 00:02:30.279]  It may be time to declare war outright against the deep state and clear out the rot in the upper levels of the FBI and the Justice Department.
[00:02:30.339 --> 00:02:31.520]  Yes, I said the rot.
[00:02:32.060 --> 00:02:41.624]  The FBI and the DOJ have broken the public trust by destroying evidence, defying oversight, and actively trying to bring down the Trump presidency.
[00:02:42.085 --> 00:02:42.445]  Tonight,
[00:02:42.785 --> 00:02:53.108]  There are new concerns that anti-Trump FBI officials formed even a secret society at the FBI to subvert the president after his election.
[00:02:53.508 --> 00:03:01.750]  That's according to two Republican lawmakers who've seen some of the thousands of texts between the FBI's Peter Strzok and Lisa Page.
[00:03:03.433 --> 00:03:12.976]  And we have the full 10-minute segment where he annihilates them posted on Infowars.com, an article we wrote about the report on Fox Business last night.
[00:03:13.216 --> 00:03:17.178]  You ask my opinion, some of the best, most hard-hitting information is on Fox Business.
[00:03:17.618 --> 00:03:19.038]  And Lou Dobbs is a total patriot.
[00:03:19.378 --> 00:03:24.300]  We don't even know about the globalists in mainstream media if it wasn't for him and many others.
[00:03:24.320 --> 00:03:26.721]  But I just have to thank Lou Dobbs for his courage.
[00:03:27.822 --> 00:03:31.048]  It is time to declare war because they've already declared war on us.
[00:03:31.969 --> 00:03:33.552]  And now they're cornered rats.
[00:03:34.113 --> 00:03:39.242]  As I keep saying, we've reached the most dangerous point right now because the walls are closing in.
[00:03:42.679 --> 00:03:43.879]  This story hits close to home.
[00:03:43.919 --> 00:03:45.680]  It's a miscommunication with legal reaction.
[00:03:46.020 --> 00:03:57.862]  Now also tonight the walls are closing in on those responsible for this massive corruption, abuse of power at the top levels of government in what we are now calling state-sponsored sabotage.
[00:03:58.282 --> 00:04:07.224]  Now with this flood of damning news exposing all this malfeasance, the special counsel Robert Mueller and his spokespeople in the media are now working overtime.
[00:04:07.264 --> 00:04:10.365]  They want to create as many distractions as possible
[00:04:10.905 --> 00:04:11.325]  That's right.
[00:04:11.345 --> 00:04:12.206]  We'll be right back.
[00:04:34.875 --> 00:04:38.976]  And the reason that's critical is they keep saying, oh, you hate all the FBI or everybody in the federal government.
[00:04:39.336 --> 00:04:44.478]  It's mainly FBI agents, former and current, that are speaking out against this and exposing it.
[00:04:44.518 --> 00:04:53.161]  So this is a criminal Clinton cabal, globalist cabal, hooked in with all these foreign powers that had been taking control of America and it's being rooted out.
[00:04:53.501 --> 00:04:56.022]  That's what the whole Trump presidency is about.
[00:04:56.282 --> 00:04:57.562]  And you heard it here first.
[00:05:01.477 --> 00:05:05.521]  You deserve a deep restful sleep with Knockout by InfoWars Life.
[00:05:06.162 --> 00:05:16.592]  Our organic formula is made from high quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[00:05:17.493 --> 00:05:21.857]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[00:05:22.298 --> 00:05:30.265]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[00:05:30.685 --> 00:05:38.072]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[00:05:38.412 --> 00:05:40.374]  Wake up refreshed and take on the day.
