[00:00:11.292 --> 00:00:12.917]  The Alex Jones Show.
[00:00:13.419 --> 00:00:14.964]  Because there is a war on.
[00:00:15.405 --> 00:00:16.248]  Or you're mine.
[00:00:35.353 --> 00:00:37.234]  I'm actually hyperventilating a little bit.
[00:00:37.734 --> 00:00:39.194]  The suspense is so incredible.
[00:00:39.595 --> 00:00:46.657]  What's on the line is so... ...unspeakably... ...serious.
[00:00:49.958 --> 00:00:53.840]  Boy, I've never... ...never had anxiety like this on air.
[00:00:55.721 --> 00:00:56.161]  So much.
[00:00:56.881 --> 00:00:57.481]  Down to the wire.
[00:00:58.242 --> 00:00:58.842]  Six days out.
[00:00:59.810 --> 00:01:08.812]  What will the globalist deep staters pull to stop the populist wave worldwide that is red, red blood, of red-blooded humans that want freedom?
[00:01:09.512 --> 00:01:10.032]  Brazil.
[00:01:12.112 --> 00:01:15.813]  A George Washington-type elected pro-gun Christian.
[00:01:17.293 --> 00:01:19.914]  Merkel being removed by, quote, far right-wing.
[00:01:20.554 --> 00:01:21.414]  She's already out of power.
[00:01:22.034 --> 00:01:24.075]  She'll still be there as a figurehead until 2021.
[00:01:26.636 --> 00:01:27.736]  Unless she completely resigns.
[00:01:28.377 --> 00:01:29.757]  And everywhere else, they're losing.
[00:01:31.297 --> 00:01:53.984]  And they believe, the globalists, our enemies, believe, and they are correct, that if they can hold on to the United States, they've got some shot of suppressing nativist, nationalist, independent groups around the world from getting control of their own destinies.
[00:01:55.831 --> 00:02:06.475]  It is wickedly authoritarian, and it's authoritarian like an aerospace engineer wants to design an airplane that's aerodynamic.
[00:02:06.615 --> 00:02:19.960]  It is the science of dehumanization and control, because that's the only shot the technocrats have of maintaining their illegitimate, bizarre, anti-Renaissance
[00:02:20.836 --> 00:02:21.136]  Hold.
[00:02:21.917 --> 00:02:24.899]  We need to be accelerating technological development.
[00:02:25.139 --> 00:02:27.020]  We need to be exploding into space.
[00:02:27.921 --> 00:02:31.283]  We need to be innovating at every level if we have a shot to make it out of here.
[00:02:32.323 --> 00:02:41.029]  The globalists are attempting to dumb down and then reduce the population in an attempt to control a planetary collapse that in many cases has already begun.
[00:02:41.609 --> 00:02:42.610]  Not for the reasons they claim.
[00:02:46.152 --> 00:02:48.434]  And in that war, they're going to set up
[00:02:49.679 --> 00:03:04.702]  trying to dehumanize the population, that war on humanity, that will create a blowback, feedback, cultural, economic, and psychic, spiritual loop that will absolutely have the planet fall to death.
[00:03:08.843 --> 00:03:13.304]  So, the globalists want to kill the human species and potentiality in an attempt to control it.
[00:03:13.624 --> 00:03:14.884]  It's called killing the golden goose.
[00:03:15.804 --> 00:03:19.245]  They see us, though, that are resisting their program as death.
[00:03:21.471 --> 00:03:35.399]  As ignorant savages that are going to eat through all the resources, but they're the ones trying to freeze the development and trying to freeze the expansion while actually promoting the stupidest people to have more children.
[00:03:37.421 --> 00:03:41.363]  And it's in the Royal Commission, the original eugenics battle plan after World War II.
[00:03:41.423 --> 00:03:42.364]  It's all a fact.
[00:03:43.183 --> 00:03:51.528]  That they claim they're doing this great evil act out of some altruistic great goal, but really it's all about being directed by evil.
[00:03:53.269 --> 00:03:59.772]  Now we have some of the most dramatic footage at Infowars.com that is exclusive to Infowars.com as far as I know.
[00:03:59.792 --> 00:04:02.474]  We've sent this to Drudge Report with Don Salazar.
[00:04:03.675 --> 00:04:05.696]  When we come back, we're going to roll the footage for you.
[00:04:05.996 --> 00:04:07.377]  For radio listeners, I'll describe it.
[00:04:08.057 --> 00:04:09.298]  Trump ain't playing.
[00:04:10.188 --> 00:04:17.989]  Video shows hundreds of military vehicles, including Abrams frontline battle tanks, being shipped to the border.
[00:04:21.070 --> 00:04:28.151]  Footage of train heading southbound, reportedly captured in Arizona, and Trump has confirmed he's sending heavy armor.
[00:04:29.291 --> 00:04:31.172]  Armored personnel carriers, you name it.
[00:04:32.832 --> 00:04:34.672]  Supply vehicles, support vehicles.
[00:04:36.953 --> 00:04:37.413]  Everything.
[00:04:38.233 --> 00:04:39.493]  Command and control systems.
[00:04:41.360 --> 00:04:44.702]  Because let's be honest, this is part of a larger plan to collapse the country and Trump knows it.
[00:04:45.242 --> 00:04:45.522]  Show!
[00:04:45.622 --> 00:04:47.083]  Rex 84 is getting implemented!
[00:04:49.504 --> 00:04:50.065]  We'll be right back.
[00:04:58.449 --> 00:05:02.411]  We need to go back and revisit the foundations of our freedom.
[00:05:04.116 --> 00:05:07.138]  Our freedoms don't consist of the things that are enumerated on a piece of paper.
[00:05:07.238 --> 00:05:09.300]  It consists of the things that we're willing to fight for.
[00:05:09.920 --> 00:05:13.763]  The First Amendment, the Bill of Rights, the rest of the Bill of Rights are prohibitions.
[00:05:14.224 --> 00:05:21.589]  They're prohibitions against powerful organizations and individuals taking those God-given rights from us as individuals.
[00:05:21.609 --> 00:05:24.131]  You better understand that, because they're taking them right now.
[00:05:27.569 --> 00:05:29.751]  We have seen what they want to do.
[00:05:29.791 --> 00:05:32.973]  They called it UN Agenda 21, now they call it the UN 2030 Agenda.
[00:05:33.213 --> 00:05:43.940]  They want everybody off of the rural lands, they want people out of the suburbs, they want to pack everybody into the cities, because that's where it is easiest for them to control everyone.
[00:05:45.922 --> 00:05:49.244]  Never miss your show, any day.
[00:05:49.344 --> 00:05:49.924]  I mean, never.
[00:05:58.937 --> 00:06:03.778]  Defending the Republic from enemies foreign and domestic.
[00:06:03.798 --> 00:06:07.439]  It's Alex Jones.
[00:06:12.240 --> 00:06:13.101]  Six days.
