[00:00:30.229 --> 00:00:31.071]  Yeah.
[00:00:40.646 --> 00:00:42.847]  It's now only 50 days.
[00:00:42.867 --> 00:00:47.368]  50 days out from what undoubtedly will be the most historic election in world history.
[00:00:47.408 --> 00:00:48.968]  Getting Trump in was only the fluke.
[00:00:49.628 --> 00:00:50.529]  It was only the beachhead.
[00:00:51.409 --> 00:00:53.029]  You see, the globalists hope it was a fluke.
[00:00:53.730 --> 00:00:54.390]  It really wasn't.
[00:00:54.470 --> 00:00:58.551]  Populism and nationalism is exploding across the globe as we speak.
[00:00:59.071 --> 00:01:03.172]  Thanks for joining us on this live Sunday, the 16th day already of September 2018.
[00:01:03.712 --> 00:01:06.613]  I am Alex Jones, your host.
[00:01:07.433 --> 00:01:09.254]  And let's get battened down here.
[00:01:10.094 --> 00:01:18.377]  Batten down the hatches, because we'll have the latest hurricane news as it deluges the Carolinas in record floods, obviously.
[00:01:19.097 --> 00:01:28.520]  But the big flood is the diarrhea of the mouth coming out of the reanimated corpse, the perfect rotting edifice of the corrupt Democratic Party.
[00:01:29.101 --> 00:01:33.202]  Joe Biden refers to Trump supporters as dregs of society.
[00:01:33.222 --> 00:01:35.643]  The video's up on Infowars.com.
[00:01:36.003 --> 00:01:36.823]  But then it gets better.
[00:01:37.463 --> 00:01:38.064]  Oh, it gets better.
[00:01:38.344 --> 00:01:38.844]  He talks about
[00:01:39.364 --> 00:01:42.666]  The men in white hoods with torches are coming.
[00:01:42.686 --> 00:01:44.467]  He's talking about the Democratic Party.
[00:01:45.868 --> 00:01:50.191]  And the Republicans want to have the KKK enslave black people.
[00:01:50.311 --> 00:01:53.292]  I mean, it is unbelievable.
[00:01:55.154 --> 00:01:58.776]  But this is the guy they have planning to run against Trump in two years?
[00:01:58.916 --> 00:02:01.898]  I mean, look, Joe Biden
[00:02:03.095 --> 00:02:09.942]  Looks like a dead body that Frankenstein electrocuted and that stood back up on its hind legs.
[00:02:09.962 --> 00:02:14.307]  So we're going to be playing all of this coming up today and a lot more.
[00:02:15.328 --> 00:02:22.215]  Our favorite socialist dingbat, she's not caught out wearing $3,600 outfits, says she wants $40 trillion of free stuff for the American people.
[00:02:26.707 --> 00:02:30.128]  Even though the entire global elite themselves don't even have $10 trillion.
[00:02:30.848 --> 00:02:32.208]  They're the ones, by the way, backing her.
[00:02:33.009 --> 00:02:39.950]  But when she was confronted even by liberals that, well, there's only, you know, $2 trillion out there in discretionary money.
[00:02:41.070 --> 00:02:42.891]  She just said, well, I don't care what you say.
[00:02:43.091 --> 00:02:44.771]  We're going to do it anyway.
[00:02:44.851 --> 00:02:46.392]  So that's amazing video.
[00:02:46.412 --> 00:02:50.393]  But let's get to this first piece and I'll play the larger piece when we come back from break.
[00:02:50.833 --> 00:02:55.574]  This is Joe Biden jumping the shark going further than saying just that.
[00:02:57.216 --> 00:02:58.617]  Trump supporters are deplorable?
[00:02:59.117 --> 00:02:59.678]  No, no, no, no.
[00:03:00.198 --> 00:03:04.181]  He says Trump supporters are the dregs of society.
[00:03:04.221 --> 00:03:09.245]  Have you looked in the mirror at the poor sad saps conned by the Democrats?
[00:03:09.325 --> 00:03:10.506]  I mean, they are the dregs.
