[00:00:00.349 --> 00:00:01.770]  Okay, last time.
[00:00:01.790 --> 00:00:03.592]  This is cell phone radiation.
[00:00:04.052 --> 00:00:07.274]  This is your brain on cell phone and wireless radiation.
[00:00:07.975 --> 00:00:08.575]  Any questions?
[00:00:09.776 --> 00:00:16.001]  This message is brought to you by InfoWars.com in the hopes that if you're gonna fry your brain and body with radiation, that's your business.
[00:00:16.341 --> 00:00:18.423]  But for God's sake, let's protect our children.
[00:00:42.497 --> 00:00:43.978]  Waging war on corruption.
[00:00:45.219 --> 00:00:47.300]  Crashing the lies and disinformation.
[00:00:47.320 --> 00:00:48.981]  I am your host Alex Jones.
[00:00:49.802 --> 00:00:54.105]  We're going to be live here for the next two hours as we are every Sunday 4 to 6 p.m.
[00:00:54.125 --> 00:00:54.505]  Central.
[00:00:54.986 --> 00:00:56.107]  Again, thank you for joining us.
[00:00:56.187 --> 00:01:03.172]  Okay, let's jump right into the giant field of information that we have to go over.
[00:01:04.198 --> 00:01:28.022]  Number one, as I've been telling you for two years, the Democratic Party plan announced by Hillary, just months before she lost to Donald Trump, was to demonize Infowars, misrepresent what we've said, because we're seen as the tip of the spear of Americana and its resurgence, then use that demonization to label all other conservatives, libertarians, nationalists, Christians, you name it,
[00:01:29.272 --> 00:01:36.758]  And de-platform everyone from Facebook, Twitter, YouTube, you name it, which are about 80% of the worldwide web traffic.
[00:01:38.599 --> 00:01:48.807]  CNN announced on Thursday that they had met with other so-called media companies and other so-called journalists and professors of journalism, and we're asking Facebook why we weren't completely banned.
[00:01:49.167 --> 00:01:50.829]  And I'm going to go over all these quotes coming up.
[00:01:51.966 --> 00:01:59.288]  Facebook then said, look, we already restrict 80% of conservatives' posts.
[00:02:00.349 --> 00:02:02.829]  That's the number I told you previously, because we can actually see it on a graph.
[00:02:02.949 --> 00:02:04.550]  It's not just me, it's everybody.
[00:02:05.110 --> 00:02:12.232]  Diamonds and Silk, it's 97%, because they're so lovable, they're so funny, and they're not negative.
[00:02:13.013 --> 00:02:16.854]  They're even more effective than I am, so they're 97% banned.
[00:02:17.074 --> 00:02:20.195]  They had congressional hearings two months ago on it.
[00:02:21.562 --> 00:02:27.767]  So you've got CNN, the kings of fake media, kicking all this off Thursday, covering it.
[00:02:29.128 --> 00:02:36.093]  And then you had the Washington Post, the New York Times, New Yorker Magazine, all of them weigh in and say, yes, totally ban.
[00:02:37.839 --> 00:02:40.640]  Anyone that is a conspiracy theorist, that's anyone that says they're liars.
[00:02:41.160 --> 00:02:44.602]  You know, like we said that they'd give them the debate questions at CNN to Hillary beforehand.
[00:02:44.622 --> 00:02:47.763]  Of course, it came out in WikiLeaks, but you can see she'd been given them beforehand.
[00:02:48.243 --> 00:02:52.104]  Well, it was all studied and ready, and she instantly answered with a can-prepared statement.
[00:02:52.144 --> 00:02:53.425]  You can see when something's rigged.
[00:02:54.585 --> 00:02:55.426]  Obama didn't raise a fool.
[00:02:55.446 --> 00:02:57.586]  Just like I told you, some of her town halls were fake.
[00:02:57.686 --> 00:02:59.267]  I know 80 millimeter when I see it.
[00:03:00.367 --> 00:03:01.628]  I know fake when I see it.
[00:03:02.782 --> 00:03:06.366]  You know a Hollywood movie because of the production quality.
[00:03:06.746 --> 00:03:08.307]  It's so real it isn't real.
[00:03:09.869 --> 00:03:13.392]  Months later, it came out indeed it was totally fake with hired actors.
[00:03:13.472 --> 00:03:15.915]  So they're mad that we're covering this.
[00:03:17.256 --> 00:03:19.799]  So they misrepresent and say that I said nobody died at Parkland.
[00:03:19.819 --> 00:03:20.920]  That's what they list in these articles.
[00:03:21.120 --> 00:03:21.881]  That's fake news.
[00:03:22.621 --> 00:03:23.342]  No video of that.
[00:03:23.642 --> 00:03:25.244]  They say I say there's Martian colonies.
[00:03:25.424 --> 00:03:26.065]  No video of that.
[00:03:28.433 --> 00:03:30.895]  And then, they say, we gotta de-platform him.
[00:03:31.135 --> 00:03:32.116]  Well, Donald Trump Jr.
[00:03:32.156 --> 00:03:33.097]  tweeted out and said, really?
[00:03:33.477 --> 00:03:36.860]  CNN is supposedly the policeman that's going to run all this?
[00:03:37.801 --> 00:03:44.366]  Seriously, if someone is going to lead the charge against fake news, shouldn't they be a lot more credible than CNN?
[00:03:44.727 --> 00:03:46.188]  Then they said Donald Trump Jr.
[00:03:46.288 --> 00:03:47.309]  endorsed InfoWars.
[00:03:47.729 --> 00:03:49.030]  More deception by CNN.
[00:03:49.931 --> 00:03:54.675]  When all he did was say, you shouldn't be the arbiter and list what is news or what isn't news.
[00:03:55.055 --> 00:03:55.516]  Because again,
[00:03:56.952 --> 00:04:00.975]  Even Facebook said, look, one person's fake news is somebody else's news.
[00:04:01.575 --> 00:04:02.616]  The media's in a war.
[00:04:02.856 --> 00:04:04.177]  The liberals put out fake news.
[00:04:04.197 --> 00:04:05.538]  Conservatives put out fake news.
[00:04:05.919 --> 00:04:11.302]  But then they added, but don't worry, InfoWars posts are dialed back 80%.
[00:04:11.523 --> 00:04:15.125]  They went on to say, really, actually, it's more than that.
[00:04:15.385 --> 00:04:17.547]  Only if you go to the page do you see it.
[00:04:18.027 --> 00:04:19.308]  We don't let people share it.
[00:04:19.368 --> 00:04:22.911]  And if they do, we penalize them, which is social engineering.
[00:04:24.127 --> 00:04:31.144]  So, the censorship's here, and the smarter corrupt tech giants like Google and Facebook are in the news saying, shut up!
[00:04:32.145 --> 00:04:33.946]  This is racketeering we're involved in.
[00:04:33.986 --> 00:04:40.748]  We are displacing and quieting an entire section of a country, and we're using Alex Jones as the case point.
[00:04:40.808 --> 00:04:43.409]  He's already been shut down on our platforms, you idiots.
[00:04:43.689 --> 00:04:44.249]  Actually, say it.
[00:04:44.569 --> 00:04:47.931]  You're going to make him a martyr and get Trump to do antitrust.
[00:04:48.391 --> 00:04:49.531]  Shut up, CNN!
[00:04:49.931 --> 00:04:51.132]  Shut up, Washington Post!
