[00:00:09.844 --> 00:00:11.406]  Dragon Energy activates!
[00:00:11.586 --> 00:00:16.050]  Broadcasting live from the UN stronghold, Austin, Texas.
[00:00:16.430 --> 00:00:19.613]  You're listening to the Alex Jones Show.
[00:00:19.893 --> 00:00:22.816]  And now, your host, Owen Troyer.
[00:00:23.897 --> 00:00:27.220]  Let's wind the clocks back five years.
[00:00:28.361 --> 00:00:35.808]  Regardless of your political affiliation, your political beliefs, anyone that you would have talked to
[00:00:37.236 --> 00:00:46.004]  Would have said that the United States government is corrupt, there is a shadow government, and they don't like it, they'd like to do something about it.
[00:00:47.866 --> 00:00:50.868]  People have known this for years.
[00:00:51.749 --> 00:00:57.695]  A lot of people thought they voted for Obama to end such a state.
[00:00:58.756 --> 00:00:59.436]  Wasn't the case.
[00:01:02.519 --> 00:01:03.420]  And so imagine
[00:01:06.556 --> 00:01:14.363]  A deep state, shadow government, corruption at the FBI, corruption at the CIA.
[00:01:15.924 --> 00:01:23.451]  Five years ago, you could have asked just about anyone, and they would have probably said, yep, CIA, FBI, don't trust them.
[00:01:24.532 --> 00:01:25.413]  Washington D.C.
[00:01:25.713 --> 00:01:27.415]  is deeply corrupt.
[00:01:31.018 --> 00:01:32.860]  Now, what do you think it would look like
[00:01:33.965 --> 00:01:44.794]  If someone actually decided to fight back against it, what do you think it would look like if we the people actually decided to do something about it?
[00:01:44.954 --> 00:01:47.717]  What do you think that would look like?
[00:01:50.259 --> 00:01:53.742]  It looks like everything that you're seeing today.
[00:01:54.943 --> 00:01:56.684]  That's where we are.
[00:01:58.506 --> 00:02:02.089]  And it's just amazing to me that people can't see it yet.
[00:02:06.684 --> 00:02:08.004]  Russian collusion?
[00:02:08.024 --> 00:02:12.585]  I mean, really?
[00:02:12.705 --> 00:02:17.946]  Obama having a hot mic conversation that he didn't think would get aired?
[00:02:17.986 --> 00:02:20.667]  Talking about, oh, when I get reelected, we'll meet with Putin.
[00:02:20.687 --> 00:02:22.307]  We'll get, you know, we'll get the things done.
[00:02:22.527 --> 00:02:22.887]  Oh, yeah.
[00:02:23.787 --> 00:02:24.327]  Nobody cared.
[00:02:25.247 --> 00:02:31.269]  Hillary Clinton receives $140 million from Russian donations to her foundation.
[00:02:31.389 --> 00:02:33.389]  Bill Clinton gets half a million dollars for a speech.
[00:02:35.711 --> 00:02:38.452]  Hillary Clinton makes the Uranium One deal with Robert Mueller.
[00:02:40.532 --> 00:02:40.873]  Nothing.
[00:02:41.853 --> 00:02:42.853]  No Russian collusion.
[00:02:42.993 --> 00:02:43.733]  No complaints.
[00:02:44.814 --> 00:02:45.914]  No media outrage.
[00:02:46.114 --> 00:02:47.294]  No Democrat outrage.
[00:02:48.235 --> 00:02:49.115]  Radio silence.
[00:02:51.616 --> 00:02:57.578]  Oh, but there's a picture of Jeff Sessions and Lavrov.
[00:02:58.598 --> 00:02:58.678]  Oh.
[00:02:59.611 --> 00:03:00.411]  Trump's colluding.
[00:03:01.132 --> 00:03:03.813]  Oh, Trump had a meeting, a one-on-one meeting with Putin.
[00:03:03.873 --> 00:03:06.614]  He's putting Russia ahead of the United States.
[00:03:08.675 --> 00:03:14.398]  And this is what people are saying, this is what people believe, and it couldn't be farther from the truth.
[00:03:15.518 --> 00:03:19.740]  So everything you're seeing is what pushback looks like.
[00:03:21.541 --> 00:03:28.904]  Everything you're seeing is what it looks like when you actually try to take on the corrupt government.
[00:03:30.117 --> 00:03:31.738]  That's what you're seeing right now.
[00:03:35.060 --> 00:03:49.751]  And you've got a news cycle that's so tight that yesterday's congressional hearings on social media censorship is like old news.
[00:03:51.392 --> 00:03:55.294]  I mean, because that's how fast things are moving now.
[00:03:55.514 --> 00:03:57.376]  And Trump today has just been
[00:03:58.925 --> 00:04:00.365]  Just savage on Twitter.
[00:04:00.505 --> 00:04:02.786]  Just absolutely savage on Twitter.
[00:04:03.146 --> 00:04:12.408]  In fact, maybe I should just read Trump's tweets at some segment today, but in the next segment and in the first hour, we're going to be hearing from Alex Jones.
[00:04:13.448 --> 00:04:24.351]  He's going to give you the latest breaking news on what happened yesterday with the Drudge Report getting shut down and the Breitbart story highlighting how, or excuse me, the Gateway Pundit story highlighting how Breitbart was also shut down.
[00:04:25.511 --> 00:04:26.051]  Alex is going to be
[00:04:27.574 --> 00:04:30.035]  Breaking down why the Democrats are in such a panic.
[00:04:30.795 --> 00:04:33.317]  But, again, you have to understand.
[00:04:34.977 --> 00:04:41.580]  None of the media people cared about Obama or Hillary or anyone talking to Russians, quote-unquote, colluding.
[00:04:41.880 --> 00:04:42.821]  There is no collusion.
[00:04:43.541 --> 00:04:44.542]  Until Trump did it.
[00:04:46.182 --> 00:04:51.965]  Trump has mostly said what every other politician has said at some point, except he's actually doing it.
[00:04:54.079 --> 00:04:57.281]  This is what the American Revolution looks like.
[00:04:57.441 --> 00:04:59.382]  This is what taking down the Deep State looks like.
[00:04:59.502 --> 00:05:00.763]  Alex Jones on the other side.
[00:05:00.783 --> 00:05:13.570]  Hey guys, my name is Savannah Hernandez, and if you're always on the go like me, then you're not always tied to your computer or TV.
[00:05:13.910 --> 00:05:16.031]  So we just released our free InfoWars official app.
[00:05:17.975 --> 00:05:26.987]  The InfoWars official app includes all of our live broadcasts like War Room with Owen Troyer, Real News with David Knight, and the holy grail of podcasting radio, the Alex Jones Show.
[00:05:27.327 --> 00:05:33.575]  And the best part about the InfoWars official app is that every single time we go live, you get notifications so that you never miss a beat.
[00:05:34.356 --> 00:05:40.839]  The InfoWars official app integrates some of the most up-to-date news stories, reports, and specials from the InfoWarsStore.com.
[00:05:41.319 --> 00:05:46.121]  So whether you're in the car or on a run, this app makes it easy to keep the InfoWars right in your pocket.
[00:05:46.561 --> 00:05:47.542]  So what are you waiting for?
[00:05:47.922 --> 00:05:53.204]  Download the InfoWars official app for tomorrow's news today for free from the Apple Store or Google Play.
[00:06:04.591 --> 00:06:09.494]  From the front lines of the information war, it's Alex Jones.
[00:06:12.615 --> 00:06:25.542]  It is Wednesday, July 18, 2018, and I come to you with the most dire of news.
[00:06:26.143 --> 00:06:29.304]  Our republic is hanging by a thread.
[00:06:30.680 --> 00:06:44.691]  Multinational globalist forces allied with and funded by communist authoritarian China have hacked all of our government computers, all our government secrets, all the government asset codes, their assets.
[00:06:45.752 --> 00:06:47.013]  We have been set up for a fall.
[00:06:48.374 --> 00:06:56.461]  In the 11th hour, patriots in our country and in our intelligence agencies and in our corporations rallied to get President Trump elected.
[00:06:58.880 --> 00:07:03.223]  Right when the deep state was planning to finish America off in 2017 and 18.
[00:07:03.423 --> 00:07:05.764]  It's in all the WikiLeaks.
[00:07:08.846 --> 00:07:13.249]  They have now been for over a year and a half trying to foment insurrection and civil war in this country.
[00:07:14.750 --> 00:07:18.793]  And have been trying to push the narrative that President Trump is somehow a Russian agent.
[00:07:21.087 --> 00:07:29.869]  They have intensified their calls for him to be killed or for him to be removed under the 25th Amendment or under a military coup on MSNBC, CNN, and every other major channel.
[00:07:31.609 --> 00:07:39.011]  Traitors at Fox News have all weighed in except for Tucker Carlson and Sean Hannity and viciously lied about the president and stabbed him in the back.
[00:07:40.772 --> 00:07:42.052]  I am afraid for my nation.
[00:07:42.112 --> 00:07:43.052]  I'm afraid for my family.
[00:07:43.132 --> 00:07:44.793]  I personally am not afraid myself.
[00:07:46.273 --> 00:07:50.474]  I am afraid for the society that doesn't deserve President Trump.
[00:07:52.742 --> 00:08:04.953]  Trump has put himself in the center of unprecedented attacks in history, unprecedented lies, unprecedented deception, and they are now launching the ignition phase.
[00:08:04.993 --> 00:08:05.754]  You can smell it.
[00:08:06.094 --> 00:08:06.835]  You can see it.
[00:08:06.955 --> 00:08:10.338]  They're admitting it to remove President Trump by this fall.
[00:08:13.341 --> 00:08:17.644]  Now, Clapper and Brennan said at the Aspen Institute with Will Blitzer last year,
[00:08:18.609 --> 00:08:21.950]  That they would remove him by the Christmas break.
[00:08:22.630 --> 00:08:23.810]  They tried that coup, it failed.
[00:08:24.391 --> 00:08:30.952]  They are now back on television, not just at policy forums, but on mainline TV saying, overthrow him U.S.
[00:08:30.992 --> 00:08:31.472]  military.
[00:08:33.953 --> 00:08:44.856]  They have all of their Democrat operatives, Alexandria, Cortez and others, we'll play this in a moment, saying, occupy federal buildings, occupy ICE, occupy the border, blow off the doors of the castle.
[00:08:46.118 --> 00:08:51.641]  Which was an old communist Chinese weatherman plot that was discovered in the 70s.
[00:08:51.681 --> 00:08:52.742]  People went to prison for it.
[00:08:52.862 --> 00:08:55.363]  She is executing the weatherman plot.
[00:08:56.104 --> 00:09:01.527]  Soros and the UN are down in Nicaragua, El Salvador, Guatemala massing hundreds of thousands to flood
[00:09:02.267 --> 00:09:03.608]  Which will then open up for millions.
[00:09:03.688 --> 00:09:20.155]  This is the takedown plan just like you've seen in Europe with 10 million military-age men the last five years and the implosion there and the UN setting up bases now to quote deal with the crisis they created inside Spain and other areas where the EU has ordered them to let in millions more and millions more are on the way.
[00:09:21.295 --> 00:09:25.377]  Eastern Europe is valiantly fighting back as hordes descend upon them.
[00:09:27.005 --> 00:09:32.447]  The globalists have collapsed the third world and are now using it as a massive battering ram to take down the West.
[00:09:33.800 --> 00:09:41.583]  Now, on record, Communist China received the Office of Personnel Management files on 21.4 million U.S.
[00:09:41.603 --> 00:09:47.165]  government employees, their families, their assets, CIA, NSA, and 14 other intelligence agencies.
[00:09:47.245 --> 00:09:48.386]  We have been sold out.
[00:09:48.986 --> 00:09:54.328]  The Panama Canal, all deepwater ports, all rare earth minerals have been given to China.
[00:09:54.568 --> 00:09:55.668]  It is off limits for U.S.
[00:09:55.708 --> 00:09:56.088]  companies.
[00:09:56.369 --> 00:10:02.411]  They will be indicted under Bush and then Obama if they even try to engage in it.
[00:10:03.869 --> 00:10:06.671]  Only multinational corporations are allowed to be tax-exempt.
[00:10:07.112 --> 00:10:14.898]  Apple has officially moved to China and given the code keys to everyone's iPhones and iCloud and bank accounts to the Chinese government officially.
[00:10:15.419 --> 00:10:17.460]  Emojis of Taiwan are not allowed to be sent.
[00:10:18.101 --> 00:10:19.682]  They're having... by U.S.
[00:10:19.702 --> 00:10:20.123]  citizens.
[00:10:21.984 --> 00:10:23.906]  Until they got lifted a few days ago, it was a little too obvious.
[00:10:25.216 --> 00:10:32.959]  Congress just had hearings in the Judiciary Committee lying about InfoWars, Diamond and Silk, and others calling for a complete ban of conservatives online.
[00:10:33.179 --> 00:10:33.959]  It's already happened.
[00:10:33.979 --> 00:10:38.020]  They've already governed it back, regulated it back, over 90%.
[00:10:40.701 --> 00:10:43.642]  They are making their move, ladies and gentlemen, right now.
[00:10:45.023 --> 00:10:48.824]  And we've never been in a more critical position historically.
[00:10:50.595 --> 00:11:04.761]  Trump has proven himself by going in and removing some of the barriers the globalists have put to shut down our economy, to bankrupt Americans and force us onto welfare and food stamps, the admitted Cloward and Piven plan in WikiLeaks to make us poor and dependent.
[00:11:05.601 --> 00:11:06.662]  Read Hillary's own statements.
[00:11:07.282 --> 00:11:10.744]  But they've changed the subject onto who hacked the emails.
[00:11:11.284 --> 00:11:13.325]  Nice magician's misdirection, isn't it?
[00:11:14.056 --> 00:11:27.449]  They've changed the subject about why she had an illegal Dropbox server, why she received $3 billion, mainly from foreign governments, to put super secrets on that server daily, just like you do putting it under a park bench or behind the bushes in the old days if you were a spy.
[00:11:28.170 --> 00:11:28.870]  She's not a spy.
[00:11:29.151 --> 00:11:30.412]  She's a mercenary.
[00:11:32.874 --> 00:11:35.036]  She's a demolition expert bringing down this country.
[00:11:36.418 --> 00:11:37.459]  And on our deathbed,
[00:11:38.911 --> 00:11:55.238]  As America was being prepared for race war and societal disintegration and women being turned against the men and complete collapse, Donald Trump was recruited by patriots two years before he even announced his run when the military did a soft coup on Obama and said we're not going to back Al Qaeda in Syria.
[00:11:58.560 --> 00:11:59.200]  He was recruited.
[00:12:00.621 --> 00:12:02.682]  And we are here trying to save the country.
[00:12:02.762 --> 00:12:03.802]  We are Americans.
[00:12:04.382 --> 00:12:05.283]  We are patriots.
[00:12:06.493 --> 00:12:11.476]  We are not the wicked CNN that supports China's sale of human organs of Christians and Buddhists.
[00:12:12.077 --> 00:12:17.220]  We do not support all of this sickening behavior and anti-American behavior by the big universities in Hollywood.
[00:12:17.280 --> 00:12:20.882]  We are fighting with everything we've got.
[00:12:23.584 --> 00:12:25.686]  And it makes me so sad to see so many Americans
[00:12:26.926 --> 00:12:31.690]  Hit the talking point that was sent out that Trump was a traitor for even meeting with Putin in private, which U.S.
[00:12:31.710 --> 00:12:33.071]  presidents have done for decades.
[00:12:33.651 --> 00:12:35.332]  Held back to World War II with Russian leaders.
[00:12:36.093 --> 00:12:37.194]  That's the president's prerogative.
[00:12:37.774 --> 00:12:40.036]  And Congress wants to subpoena the interpreter.
[00:12:40.316 --> 00:12:44.039]  And they're acting like it's all criminal and saying he's the traitor, when they're the globalists.
