[00:00:23.547 --> 00:00:24.727]  From the front lines.
[00:00:29.429 --> 00:00:34.531]  From the front lines of the information war, it's Alex Jones.
[00:00:35.932 --> 00:00:39.173]  What we are looking at is good and evil.
[00:00:39.193 --> 00:00:40.033]  Right and wrong.
[00:00:40.974 --> 00:00:41.694]  New World Order.
[00:00:50.492 --> 00:01:01.880]  As soon as they got rid of Schneiderman, this clearly protecting old Weinstein, the big, dirty house of cards began tumbling down.
[00:01:01.920 --> 00:01:05.263]  We're going to navigate it all here today.
[00:01:05.283 --> 00:01:12.728]  But they're going to try to use men hitting on women in creepy ways, like Morgan Freedman does, to equate that with rape.
[00:01:13.588 --> 00:01:16.811]  And James Caan has popped in and made a great point on that.
[00:01:16.851 --> 00:01:17.651]  That's all coming up.
[00:01:17.691 --> 00:01:18.252]  But first,
[00:01:19.699 --> 00:01:28.291]  Raping women, raping men, that is only the tip of the fetid, stinking, Hollywood, devil worship iceberg.
[00:01:29.301 --> 00:01:34.567]  The satanism, the sex abuse, the abuse of children, the sacrifice of children.
[00:01:34.967 --> 00:01:37.590]  That's all coming out with record arrest of pedophiles.
[00:01:38.030 --> 00:01:46.679]  And now, families are fighting back, suing over MKUltra, including torture, including sexual torture of children, more than 20,000 of them.
[00:01:47.260 --> 00:01:48.281]  The dam is breaking.
[00:01:48.361 --> 00:01:49.462]  Leanne McAdoo reports.
[00:01:50.283 --> 00:02:05.413]  While some squabble about just who has ruined the reputation of intelligence agencies following revelations the deep state used a human informant to spy on the Trump campaign, others ask if agencies like the CIA ever had a good reputation in the first place.
[00:02:20.543 --> 00:02:35.977]  Over 40 Canadians who unknowingly became MKUltra patients at the Allen Memorial Institute, where MKUltra Subproject 68 took place, gathered in Montreal last weekend to share their horrific stories about how MKUltra destroyed their lives.
[00:02:36.437 --> 00:02:42.763]  As early as 1953, then CIA Director Alan Dulles authorized the MKUltra program.
