[00:00:11.155 --> 00:00:12.015]  You found it.
[00:00:12.035 --> 00:00:13.896]  The tip of the spear.
[00:00:14.436 --> 00:00:19.018]  It is the Alex Jones Show with Owen Troyer.
[00:00:21.058 --> 00:00:22.199]  That's right, ladies and gentlemen.
[00:00:24.500 --> 00:00:31.602]  And everything that Alex Jones and InfoWars has been covering has reached ahead.
[00:00:32.882 --> 00:00:33.843]  We are now in
[00:00:37.076 --> 00:00:42.781]  The final battle, or what could be the final battle, for the future of America.
[00:00:44.903 --> 00:01:01.717]  And as we've been telling you, Donald Trump, the 45th President of the United States, has placed his wager, placed his name, placed his treasure, put everything on the line betting on you.
[00:01:05.954 --> 00:01:13.555]  And I'm not sure what the history books are going to say about President Trump's time in office, whether it be four or eight years.
[00:01:16.396 --> 00:01:34.319]  But history will remember this time, this blink of an eye in human history, in the very short history of the great experiment in self-government and self-reliance and independence we called the United States of America.
[00:01:37.645 --> 00:01:45.207]  And so President Trump has basically been dealing with things that you or I will probably never even imagine or know.
[00:01:47.527 --> 00:01:49.427]  And he's surrounded.
[00:01:50.768 --> 00:01:51.728]  He can get very little help.
[00:01:52.468 --> 00:01:55.409]  Most of his appointees turn into Judas.
[00:01:58.289 --> 00:02:01.510]  But he's the man in the arena and he realized something.
[00:02:04.631 --> 00:02:06.591]  He realized something like
[00:02:08.493 --> 00:02:13.637]  The great gladiators that were sent into the ring to lose.
[00:02:15.399 --> 00:02:15.979]  Intentionally.
[00:02:17.961 --> 00:02:20.443]  You start to win the crowd over.
[00:02:22.784 --> 00:02:28.709]  And so President Trump is just in there surrounded, being stabbed and snaked from every angle.
[00:02:29.710 --> 00:02:35.875]  You have Democrats dancing at bars because they screwed the American people over.
[00:02:39.158 --> 00:02:39.818]  There it is right there.
[00:02:39.878 --> 00:02:42.460]  They're dancing and celebrating how they screwed America.
[00:02:43.841 --> 00:02:45.542]  As they stabbed Trump and America in the back.
[00:02:47.763 --> 00:02:54.006]  Lunatics like Nancy Pelosi, whose state is highest in poverty, also highest in wealth.
[00:02:54.967 --> 00:02:57.468]  Whose state was just named the dumbest state in the Union today.
