[00:00:10.191 --> 00:00:11.071]  You found it.
[00:00:11.411 --> 00:00:12.932]  The tip of the spear.
[00:00:13.412 --> 00:00:15.872]  It is the Alex Jones Show.
[00:00:17.593 --> 00:00:24.734]  And now, your host, David Knight.
[00:00:26.815 --> 00:00:28.395]  Welcome on this day after Christmas 2018.
[00:00:28.715 --> 00:00:30.476]  I hope you had a nice Christmas.
[00:00:31.536 --> 00:00:32.676]  Certainly did in my family.
[00:00:32.696 --> 00:00:35.697]  And as we see in Washington,
[00:00:36.772 --> 00:00:39.054]  They've actually even lit the Christmas tree.
[00:00:39.134 --> 00:00:42.196]  This is the sort of thing that we've seen before from the National Park Service.
[00:00:42.696 --> 00:00:54.284]  Not playing reindeer games, but playing the kind of National Park games that they did 20 some odd years ago when we had the budget fight between Newt Gingrich and the Democrats.
[00:00:55.384 --> 00:00:58.388]  And of course at that time, if you remember, he was the Gingrich who stole Christmas.
[00:00:58.708 --> 00:01:03.634]  He took all the blame for balancing the budget, but Bill Clinton got all the credit later on.
[00:01:04.315 --> 00:01:09.041]  So we got the National Park Foundation that had to shut down a Christmas tree earlier because somebody had tried to climb it.
[00:01:09.541 --> 00:01:11.444]  They said, well, we don't have the money now to reopen it.
[00:01:12.550 --> 00:01:15.533]  But they short-circuited those optics because that's what they wanted.
[00:01:15.553 --> 00:01:16.513]  They always want to close down.
[00:01:16.534 --> 00:01:23.019]  Whenever they say there's a threat to the federal government, they come out and they take the most visible, symbolic things.
[00:01:23.079 --> 00:01:25.100]  The parks, the Christmas trees, turn off the lights.
[00:01:25.120 --> 00:01:26.722]  So they short-circuited that optic.
[00:01:27.242 --> 00:01:29.764]  They got a grant from the National Park Foundation.
[00:01:30.145 --> 00:01:33.527]  It's going to keep them open until January the 1st.
[00:01:34.648 --> 00:01:41.514]  But of course, President Trump said he's going to keep open this promise that he made to the American people when he ran for office that he's going to protect the border.
[00:01:42.449 --> 00:01:44.310]  And that really has Washington upset.
[00:01:44.330 --> 00:02:02.460]  We're going to talk today about what is happening in terms of the President standing very strong on protecting our country, bringing us home from foreign wars, and also trying to do something about the Federal Reserve.
[00:02:02.480 --> 00:02:06.842]  You know, as I tweeted out this morning, even as it's Christmas week,
[00:02:07.824 --> 00:02:10.106]  We're going to see the mainstream media pushing back.
[00:02:11.067 --> 00:02:15.010]  When we're talking about peace on earth, they're going to push war on earth.
[00:02:16.051 --> 00:02:25.920]  When we talk about the eternal life that was a gift of God that we celebrate with the advent of Christ, they're going to talk about eternal life using blood.
[00:02:26.946 --> 00:02:27.246]  I don't
[00:02:45.386 --> 00:02:49.388]  Alternatives of transhumanism and other things that are presented to us.
[00:02:49.448 --> 00:02:52.769]  And of course, the massive censorship of Christmas.
[00:02:53.529 --> 00:02:55.230]  And then trying to turn it into something it isn't.
[00:02:55.310 --> 00:02:56.451]  It's the censorship of it.
[00:02:56.471 --> 00:03:01.012]  It's trying to take the good news, to counterfeit it, to twist it into something else.
[00:03:02.113 --> 00:03:03.553]  So we're going to push back against that today.
[00:03:03.573 --> 00:03:06.875]  We're going to talk about the good news about eternal life and peace on earth.
[00:03:07.575 --> 00:03:10.396]  You know, it was 104 years ago, at Christmas time,
[00:03:14.858 --> 00:03:21.625]  That we had the short truce breakout in World War I. They had the British and German troops were very close to each other.
[00:03:21.645 --> 00:03:25.349]  You know the story, I'm sure, about Silent Night.
