[00:00:16.945 --> 00:00:18.186]  There is a war.
[00:00:18.647 --> 00:00:19.648]  It's happening now.
[00:00:20.348 --> 00:00:22.351]  It will decide the fate of humanity.
[00:00:22.911 --> 00:00:24.713]  The time to choose sides has come.
[00:00:25.474 --> 00:00:26.956]  We are the resistance.
[00:00:27.396 --> 00:00:29.058]  We are the Infowar.
[00:00:34.974 --> 00:00:36.176]  We're here, ladies and gentlemen.
[00:00:36.316 --> 00:00:38.660]  It's hard to believe so much has happened in the last year.
[00:00:38.680 --> 00:00:40.022]  Happy New Year.
[00:00:40.823 --> 00:00:41.864]  It's now January 1st, 2018.
[00:00:45.498 --> 00:00:59.246]  And if you thought 2016 and 17 were momentous, building towards the cultural, spiritual, technological singularity, well, you ain't seen nothing yet, as they say.
[00:00:59.846 --> 00:01:04.589]  I am extremely thankful to God, my family, the crew here at InfoWars, all of you.
[00:01:06.172 --> 00:01:09.614]  that are out there watching and listening to make this transmission possible.
[00:01:10.235 --> 00:01:13.757]  I am very, very humbled to be your host.
[00:01:14.597 --> 00:01:24.103]  Well, today on New Year's, I thought we should go back and look at one of the biggest, if not one of the most important events in 2017.
[00:01:24.143 --> 00:01:24.844]  That was the inauguration
[00:01:28.272 --> 00:01:32.617]  Not just the election of Donald John Trump as the 45th president.
[00:01:32.997 --> 00:01:35.139]  It was a referendum on the globalists.
[00:01:35.179 --> 00:01:48.933]  It was an overthrow and an overturning of their propaganda, of their lies, of their attempts to steal elections, their operations having millions of people vote with the names of dead people from the voter registration rolls.
[00:01:49.373 --> 00:01:50.555]  It was a repudiation
[00:01:51.175 --> 00:01:53.197]  Of everything they threw against us.
[00:01:53.697 --> 00:02:06.527]  And it is part of a larger global trend of nationalism and populism that even the Financial Times of London and many others admit is basically unstoppable.
[00:02:06.547 --> 00:02:09.049]  Here's an article from just last week of the Sunday Express.
[00:02:09.389 --> 00:02:10.450]  Populist uprising.
[00:02:10.530 --> 00:02:13.152]  Anti-EU parties will continue to soar.
[00:02:14.744 --> 00:02:24.294]  Tony Blair's think tank admits, as if we need Mr. EU, Mr. Globalist, Mr. Arab Spring, to tell us something we don't already know.
[00:02:24.735 --> 00:02:36.827]  The point is, they're losing, we're winning, as the establishment has less and less credibility, as people more and more trust their own instincts, their own research, and get back to common sense.
[00:02:37.628 --> 00:02:39.049]  So, coming up, we have got a breakdown
