[00:00:00.209 --> 00:00:00.750]  We've got it.
[00:00:00.810 --> 00:00:07.255]  This transmission is coming to you.
[00:00:07.335 --> 00:00:09.397]  Waging war on corruption.
[00:00:11.699 --> 00:00:17.364]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:27.107 --> 00:00:51.841]  Ladies and gentlemen, thank you so much for joining us on this worldwide broadcast.
[00:00:53.022 --> 00:00:53.642]  The President
[00:00:54.682 --> 00:00:57.844]  ...has come out and the President has defended Infowars.
[00:00:58.124 --> 00:01:01.325]  The President has defended Paul Joseph Watson.
[00:01:02.166 --> 00:01:04.427]  The video of that is coming up in the next segment.
[00:01:04.447 --> 00:01:07.988]  It's posted to newswars.com and infowars.com.
[00:01:10.089 --> 00:01:13.051]  We also have the unbelievably incredible information.
[00:01:13.131 --> 00:01:14.872]  This just broke on infowars.com.
[00:01:15.272 --> 00:01:19.674]  Donald Trump, authorities investigating possible election fraud in Florida.
[00:01:23.012 --> 00:01:26.155]  They have caught the Democrats with giant trucks.
[00:01:26.836 --> 00:01:29.178]  We're going to be rolling that video next segment as well.
[00:01:29.358 --> 00:01:31.620]  We can b-roll some of it now for TV viewers.
[00:01:32.141 --> 00:01:33.902]  Videos posted on Infowars.com.
[00:01:35.824 --> 00:01:36.304]  Florida.
[00:01:37.441 --> 00:01:44.183]  is at the center of explosive post-election fight and Arizona suddenly, the Senate seat is in question.
[00:01:44.783 --> 00:02:01.007]  Just like they fraudulently tried to keep Kavanaugh from getting appointed and getting confirmed, and they've been caught lying in that case, they are back at it, ladies and gentlemen, with 18-wheelers and trucks, with private individuals delivering the magic ballots that are needed.
[00:02:01.687 --> 00:02:03.868]  The question is, would Democrats engage in election fraud?
[00:02:05.011 --> 00:02:05.972]  That's what they do.
[00:02:05.992 --> 00:02:09.036]  I mean, we've caught them all over Texas, everywhere else this election cycle.
[00:02:09.537 --> 00:02:10.558]  This is unbelievable.
[00:02:11.159 --> 00:02:12.801]  So found magically.
[00:02:13.422 --> 00:02:15.384]  Magic ballots swing Florida.
[00:02:16.005 --> 00:02:21.833]  They're set to lose the governorship they won, the Senate seat, the Ag Commissioner, everything.
[00:02:23.120 --> 00:02:33.509]  Who is the leading expert on Democrat fraud in the state of Florida who led George W. Bush's operation in 2000 and successfully exposed it and took it to the Supreme Court?
[00:02:34.029 --> 00:02:35.090]  Roger Stone.
[00:02:35.931 --> 00:02:40.775]  Yes, a man of many trades, many hats, hated by the left.
[00:02:41.856 --> 00:02:43.698]  He'll be joining us on the ground.
[00:02:45.299 --> 00:02:49.962]  From Florida, ladies and gentlemen, where this is happening, where he predicted it would, Broward County.
[00:02:50.002 --> 00:02:55.325]  He said, on Tuesday night, he said, I fear they're going to find a bunch of magic ballots.
[00:02:55.365 --> 00:02:57.306]  And then, they looked like they conceded.
[00:02:57.326 --> 00:03:00.068]  And he said, wow, they've never conceded before.
[00:03:00.108 --> 00:03:00.928]  They always stuff.
[00:03:01.488 --> 00:03:02.969]  They always discover magic ballots.
[00:03:03.009 --> 00:03:03.730]  That's where he lives.
[00:03:04.430 --> 00:03:06.551]  Well, lo and behold, they sucker punched us.
[00:03:07.332 --> 00:03:09.193]  They waited until we looked away, and then...
[00:03:10.814 --> 00:03:13.435]  Dun-da-da-dun, da-da-dun, da-da-dun, da-da-dun.
[00:03:13.715 --> 00:03:16.436]  Here comes the Enterprise big truck.
[00:03:17.436 --> 00:03:21.497]  And now it's getting loaded up with all those magic ballots.
[00:03:22.097 --> 00:03:23.358]  They're so magical.
[00:03:24.118 --> 00:03:25.078]  They're so helpful.
[00:03:25.198 --> 00:03:28.519]  And they're just in the exact targeted places.
[00:03:28.739 --> 00:03:35.441]  Oh, and they're overwhelmingly, now that the recount's happening, they're overwhelming for the Democrats.
[00:03:36.021 --> 00:03:38.602]  This is amazing!
[00:03:41.249 --> 00:03:42.710]  So there you go, ladies and gentlemen.
[00:03:42.750 --> 00:03:44.452]  It's all completely transparent.
[00:03:46.013 --> 00:03:47.814]  It's all completely obvious.
[00:03:48.875 --> 00:03:51.257]  Magic found ballots could swing the state.
[00:03:51.357 --> 00:03:58.982]  Shocking video footage shows Florida ballots transported by private vehicles being transferred into a rental truck on election night.
[00:03:59.083 --> 00:04:02.705]  The great Michael Snyder reports that into theamericandream.com.
[00:04:02.745 --> 00:04:04.687]  It's posted on infowars.com.
[00:04:05.567 --> 00:04:06.128]  Now that's it.
[00:04:07.961 --> 00:04:11.824]  Antifa has expanded its hit list of people they're going to target with violent threats.
[00:04:12.965 --> 00:04:19.892]  Like Paul Watson tweeted when the mafia comes to you and says, we know where you live, hope nothing happens to your kids.
[00:04:21.493 --> 00:04:22.374]  It's called racketeering.
[00:04:22.714 --> 00:04:29.700]  When they come to your house and bash you in part of your door and say, we know you live here, you're not safe, you hurt children, your children will get hurt.
[00:04:31.121 --> 00:04:32.382]  Well then, it's okay, see?
[00:04:33.706 --> 00:04:34.407]  It's okay then.
[00:04:35.147 --> 00:04:38.150]  It's okay because they're funded by George Soros and his nasty little son.
[00:04:38.770 --> 00:04:39.371]  So it's alright.
[00:04:39.391 --> 00:04:41.893]  The mainstream corporate media then defends them.
[00:04:41.913 --> 00:04:45.776]  So we're going to be breaking it all down today.
[00:04:45.836 --> 00:04:48.718]  There's so much more I haven't gotten into as well.
[00:04:48.738 --> 00:04:54.062]  The latest from our good friend Nancy Pelosi and the new acting Attorney General.
[00:04:54.082 --> 00:04:55.223]  What's got the globalists so scared?
[00:04:55.704 --> 00:04:56.564]  Why are they so scared?
[00:04:56.944 --> 00:04:57.285]  Find out.
[00:04:59.295 --> 00:05:01.817]  You need to support independent media that's under attack.
[00:05:01.857 --> 00:05:05.279]  We're under attack by these globalists, as you know, and your support's been amazing.
[00:05:05.319 --> 00:05:07.701]  We make it easy to support us because we have great products.
[00:05:07.721 --> 00:05:18.568]  And we're announcing a mega blowout sale at Infowarsstore.com to fund us into the new year so we have a budget to continue on in the face of their attacks.
[00:05:19.068 --> 00:05:21.090]  Super male and super female vitality.
[00:05:21.730 --> 00:05:26.793]  It's incredibly high-quality cold-pressed herbs known for strength, stamina, libido, energy.
[00:05:27.073 --> 00:05:27.554]  It's amazing.
[00:05:27.794 --> 00:05:31.656]  It is a whopping 57% off.
[00:05:31.916 --> 00:05:34.098]  Silver Bullet, Colloidal Silver, super high-quality.
[00:05:34.298 --> 00:05:35.118]  The best out there.
[00:05:35.178 --> 00:05:36.139]  Never gone this low.
[00:05:37.059 --> 00:05:39.561]  67% off to blow it all out.
[00:05:40.041 --> 00:05:43.084]  You are listening to an InfoWars.com Frontline Report.
[00:06:09.921 --> 00:06:14.025]  If you are receiving this transmission, you are the resistance.
[00:06:21.452 --> 00:06:30.100]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:06:35.632 --> 00:06:39.763]  It's Friday, the ninth day of November 2018, and oh, the Republicans had won the three Senate seats.
[00:06:45.118 --> 00:06:59.611]  And, well, there'd only been 26 losses in the House, and magically then, as soon as we all turned away, 18 wheelers in Arizona, California, and Florida came rolling in, and the ballots magically being counted.
[00:07:00.191 --> 00:07:03.294]  In some cases, in some precincts, are 100% Democrat! 100%!
[00:07:10.453 --> 00:07:19.762]  And magically, looks like the Republicans might lose two of their senators, two of their governors, and a bunch of other key races.
[00:07:21.644 --> 00:07:22.765]  Man, oh man!
[00:07:23.125 --> 00:07:24.346]  My, oh my!
[00:07:26.849 --> 00:07:28.370]  Isn't that just horrible?
[00:07:28.510 --> 00:07:35.056]  And Donald Trump says he has dispatched Homeland Security to investigate possible election fraud.
[00:07:36.124 --> 00:07:39.866]  That's like asking, how do you know when CNN is lying?
[00:07:39.926 --> 00:07:44.848]  It's when you dial their channel and you can bet it's distortion and lies.
[00:07:44.868 --> 00:07:50.390]  It's the old joke, when it's Bill Clinton or Hillary Clinton lying, it's when their lips are moving, but it's worse than that.
[00:07:51.731 --> 00:07:54.112]  They're constantly waging war against reality.
[00:07:55.593 --> 00:08:03.036]  It is the corporate fake press's job to not just lie to us, but then to distort and lie about any real media.
[00:08:04.366 --> 00:08:06.528]  And then to try to have it censored off the air.
[00:08:07.049 --> 00:08:13.856]  So we have all this incredible news, Antifa expanding, it's violent hit list, as political violence escalates, that's the Washington Times.
[00:08:17.560 --> 00:08:22.986]  So everything is getting out of control at an accelerated rate.
[00:08:23.066 --> 00:08:26.330]  We have massive Islamic invasion news in Europe.
[00:08:28.220 --> 00:08:35.885]  We have Venezuela collapsing into beyond Road Warrior, beyond Thunderdome type scenarios.
[00:08:40.027 --> 00:08:51.294]  We have Trump signing an executive order saying that those in the illegal caravan will not be given the option of applying for political or religious
[00:08:52.386 --> 00:08:55.530]  Persecution because they're coming as part of an organized criminal mob.
[00:08:55.550 --> 00:09:02.818]  And so he's saying under an executive order, which he has the total power to do, presidents over that, over immigration, over the borders, that that will not be accepted.
[00:09:02.838 --> 00:09:09.986]  They'll have a bunch of lawsuits filed, but those two will make their way to the Supreme Court and will be overthrown.
[00:09:10.447 --> 00:09:11.668]  All the other judges below will
[00:09:13.186 --> 00:09:13.827]  We're good to go.
[00:09:37.332 --> 00:09:38.733]  This is all over Russian news.
[00:09:38.813 --> 00:09:40.154]  It's all over Japanese news.
[00:09:40.635 --> 00:09:42.196]  It's all over European news.
[00:09:42.256 --> 00:09:43.357]  It's all over U.S.
[00:09:43.397 --> 00:09:43.657]  news.
[00:09:44.357 --> 00:09:45.378]  It's everywhere.
