[00:00:13.002 --> 00:00:16.625]  It's funny.
[00:00:18.386 --> 00:00:24.431]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[00:00:24.811 --> 00:00:26.333]  It's Alex Jones.
[00:00:32.477 --> 00:00:41.384]  And it's time for humanity to stand up in the info war and say, I don't know what's going to happen at the end of this, but you want to fight?
[00:00:41.525 --> 00:00:42.085]  You better believe it!
[00:00:45.785 --> 00:00:51.307]  From the front lines of the information war, it's Alex Jones.
[00:00:59.809 --> 00:01:04.790]  Well, ladies and gentlemen, I told you it was coming, and now the beast has reared its head directly.
[00:01:05.631 --> 00:01:13.513]  Georgetown University, headquarters of the globalist takeover of the State Department and the CIA, the deepest of the deep state.
[00:01:14.531 --> 00:01:16.232]  Even worse than Harvard or Yale.
[00:01:17.252 --> 00:01:25.796]  That's where Carol Quigley trained William Jefferson Clinton for the Central Intelligence Agency role of president.
[00:01:27.216 --> 00:01:28.317]  That's all declassified.
[00:01:29.397 --> 00:01:42.723]  Georgetown University has sued Infowars and has sued former congressman Allen West and many others, our own Leanne McAdoo, for pointing out
[00:01:43.649 --> 00:01:57.978]  That just like what happened in Florida with the Parkland tragedy, out of 3,000 students, they chose four who were anti-gun, whose parents were connected to the Democratic Party to be the spokespersons.
[00:01:58.859 --> 00:02:02.741]  They then spun that, that we said nobody died or they were crisis actors.
[00:02:04.302 --> 00:02:05.163]  It's the same thing here.
[00:02:06.203 --> 00:02:08.625]  We pointed out that people that had worked at the State Department
[00:02:11.454 --> 00:02:21.662]  And CIA-connected offices that had worked for congressmen, funded openly, massively by George Soros, and who had worked for Hillary Clinton directly, were the spokespersons out there putting out a narrative.
[00:02:22.382 --> 00:02:36.773]  In the suit, it says, and in the Georgetown editorial put out by the university law school, it says all the same lies that I said.
[00:02:36.813 --> 00:02:38.654]  It's crisis actors, it's all fake.
[00:02:39.415 --> 00:02:40.616]  This is the defamation.
[00:02:41.849 --> 00:03:07.797]  I am being defamed by a deep state institution and one of its alumni who worked for the State Department, Hillary Clinton, is the individual claiming that us questioning all this and pointing out they put this narrative out of a martyr when the poor woman got killed to create this clash in the media trying to mainline Antifa is a good organization.
[00:03:09.687 --> 00:03:11.988]  And that narrative blew up in their face.
[00:03:13.409 --> 00:03:15.310]  And so they don't want us here.
[00:03:15.891 --> 00:03:17.452]  They don't want us on air.
[00:03:18.092 --> 00:03:19.673]  They don't want us to question.
[00:03:19.853 --> 00:03:28.858]  They even put in the lawsuit that we exposed the Comey 2012 hoax and said that that was a CIA run.
[00:03:29.419 --> 00:03:31.440]  That came out in the news later.
[00:03:33.161 --> 00:03:37.824]  I have friends who were CIA contractors
[00:03:39.310 --> 00:03:44.391]  On the ground, you guys opened up a big fat can of worms on this.
[00:03:45.731 --> 00:03:52.953]  They're saying I need to be taken off the air, along with scores of other websites and news organizations, preemptively.
[00:03:53.273 --> 00:03:58.894]  This is to set the precedent that they define at Georgetown, what's real news and what isn't.
[00:03:59.534 --> 00:04:00.874]  This isn't a defamation suit.
[00:04:02.135 --> 00:04:08.676]  It is sold in a giant PR operation, put out in press releases by Georgetown.
[00:04:09.847 --> 00:04:13.708]  And the Dean of the Law School calling for us to be shut down.
[00:04:13.988 --> 00:04:20.809]  And then Sadiq Khan, the Islamist mayor of London, who has police stand down when Antifa beat up men, women, and children.
[00:04:21.249 --> 00:04:27.431]  He was in Austin yesterday and called for web censorship of conservatives to be taken off the web.
[00:04:29.191 --> 00:04:31.591]  Just like they've done in Europe by claiming it's white supremacist.
[00:04:33.152 --> 00:04:33.952]  It's on, folks!
[00:04:38.137 --> 00:04:38.877]  There's the headline.
[00:04:38.978 --> 00:04:42.299]  London Mayor Sadiq Khan tells Silicon Valley to censor hate speech.
[00:04:42.620 --> 00:04:44.200]  They're mainlining their takeover.
