[00:00:29.647 --> 00:00:50.156]  I'm watching the midterms, then you would think our country is Mad Max Thunderdome.
[00:00:50.196 --> 00:00:53.838]  This guy is like, they're coming from Guatemala, they're coming from Mexico.
[00:00:57.861 --> 00:00:59.662]  There's a liberal mob that's coming.
[00:01:36.672 --> 00:01:39.773]  And you would think everybody in the country is just like, to the bunker.
[00:01:49.678 --> 00:01:54.040]  If you are receiving this transmission, you are the resistance.
[00:01:57.918 --> 00:02:00.779]  These fabulations have been common on the fringes for years.
[00:02:00.939 --> 00:02:04.141]  George Soros' Open Society Foundation.
[00:02:04.261 --> 00:02:08.483]  But now, his name saturates nearly every corner of the GOP ecosystem.
[00:02:08.523 --> 00:02:14.806]  The longtime investor and philanthropist became the target of misinformation and conspiracies starting in the 1990s.
[00:02:15.306 --> 00:02:22.309]  Extremists in the US and Europe cast him as a central figure in a secret cabal of Jews and globalists working to take over the world.
[00:02:22.509 --> 00:02:24.430]  The economy has actually been homing along.
[00:02:24.750 --> 00:02:28.532]  Questions about whether or not it's been financed in the right way and who's going to get the benefits of it.
[00:02:28.912 --> 00:02:30.212]  But they haven't been running on that.
[00:02:30.273 --> 00:02:32.293]  They've been running on an imaginary caravan.
[00:02:32.674 --> 00:02:42.938]  If the mainstream media actually began reporting facts again, they would quickly learn that the migrant caravans are not only a reality, but they are no accident.
[00:02:43.118 --> 00:02:45.439]  Back in July of 2018, Reuters reported on the 193 UN member nations.
[00:02:49.121 --> 00:02:49.301]  I think?
[00:03:04.960 --> 00:03:15.304]  The International Global Compact for Safe, Orderly, and Regular Migration addresses why people migrate, how to protect them, and how to integrate them into new countries.
[00:03:15.644 --> 00:03:23.168]  However, the United States, Poland, Hungary, Slovakia, Austria, and the Czech Republic have pulled out of the pact.
[00:03:23.408 --> 00:03:24.028]  The U.S.
[00:03:24.088 --> 00:03:31.191]  had previously entered into the pact under Barack Obama, regardless of the fact that the pact violates our immigration laws.
[00:03:31.451 --> 00:03:40.063]  The PAC states that it is rooted in the UN's 2030 Agenda for Sustainable Development and the Addis Ababa Action Agenda.
[00:03:40.143 --> 00:03:44.590]  The Addis Ababa Action Agenda was a conference held in Ethiopia in July of 2015.
[00:03:44.690 --> 00:03:45.511]  This agenda stated,
[00:03:47.193 --> 00:03:56.124]  We will work to ensure that adequate and affordable financial services are available to migrants and their families in both home and host countries.
