[00:00:06.895 --> 00:00:08.196]  Big Brother.
[00:00:08.196 --> 00:00:09.977]  Mainstream media.
[00:00:09.977 --> 00:00:11.759]  Government cover-ups.
[00:00:11.759 --> 00:00:13.320]  You want answers?
[00:00:13.320 --> 00:00:14.861]  Well, so does he.
[00:00:14.861 --> 00:00:19.064]  He's Alex Jones on the GCN Radio Network.
[00:00:19.064 --> 00:00:23.047]  And now, live from Austin, Texas, Alex Jones.
[00:00:30.863 --> 00:00:31.944]  All right, folks.
[00:00:31.944 --> 00:00:35.067]  Welcome back as we blast out nationwide.
[00:00:35.067 --> 00:00:36.688]  I'm Alex Jones, your host.
[00:00:36.688 --> 00:00:40.952]  The websites are InfoWars.com and Net.
[00:00:40.952 --> 00:00:48.359]  We're joined by, well, a great writer who's done a lot of great work exposing Bill Clinton and the missile secrets and the bomb parts to
[00:00:49.628 --> 00:00:50.608]  Good to be with you.
[00:01:13.480 --> 00:01:20.885]  Tell us, for those that don't know who you are, just a little bit about the past stories you've written and now how that came together with this new book.
[00:01:20.885 --> 00:01:29.431]  Because you'd written a lot about what was happening in the intelligence agencies and Clinton and Al Qaeda and the rest of this before Bush even got into office and then of course 9-1-1 took place.
[00:01:43.635 --> 00:01:53.186]  Millions of Americans, I was asking, you know, how could 9-11 have happened when, you know, we're spending $35 billion a year on intelligence?
[00:01:53.186 --> 00:02:02.476]  And it's a pretty amazing story, actually, the fact that we had the clues and we should have been able to unravel the 9-11 plot.
[00:02:04.998 --> 00:02:11.360]  Now Bill Clinton was at a dinner, and Newsmax has reported on this as a tape of it, and bragged that he didn't stop Bin Laden.
[00:02:11.360 --> 00:02:12.600]  He had all those chances.
[00:02:12.600 --> 00:02:15.141]  They sued and he's offered to arrest him.
[00:02:15.141 --> 00:02:17.542]  Well, yeah, that's the case.
[00:02:17.542 --> 00:02:25.004]  Basically, the problem there was that the Clinton people approached terrorism as a law enforcement problem.
[00:02:25.004 --> 00:02:31.666]  And if you do that, you're giving every terrorist one free attack because it means that you're not going to be able to
[00:02:32.318 --> 00:02:37.162]  Get inside their group and disrupt their activities and operations before they carry him out.
[00:02:37.162 --> 00:02:42.787]  That was the case in 95 when Bin Laden was still somewhat shadowy.
[00:02:42.787 --> 00:02:42.947]  U.S.
[00:02:42.947 --> 00:02:48.151]  intelligence didn't have a clear picture of who he was until 1998.
[00:02:48.151 --> 00:02:52.855]  And as a result, they missed a great opportunity to get him.
[00:02:52.855 --> 00:02:59.721]  The Sudanese were trying to get off the State Department terrorism list and they offered up intelligence on Bin Laden and his group.
[00:03:00.505 --> 00:03:07.408]  And the Clinton people balked and instead urged the Sudanese to send him to Saudi Arabia.
[00:03:07.408 --> 00:03:17.032]  Well, the Saudis also balked at taking him and the result was that bin Laden ended up heading for Afghanistan.
[00:03:17.032 --> 00:03:21.733]  Why would Clinton then bomb Sudan when they tried to turn him over?
[00:03:21.733 --> 00:03:28.276]  Well, like I said, they had some suspicion that bin Laden had a chemical
[00:03:29.108 --> 00:03:30.289]  Weapons factory there.
[00:03:30.289 --> 00:03:32.249]  Turned out to be the aspirin factory.
[00:03:32.249 --> 00:03:32.850]  Right.
[00:03:32.850 --> 00:03:34.950]  And it was an embarrassment.
[00:03:34.950 --> 00:03:36.711]  It was also an intelligence failure.
[00:03:36.711 --> 00:03:47.716]  But the intelligence people claim that they were forced to say that this plant was a chemical weapons factory for Bin Laden.
[00:03:47.716 --> 00:03:51.277]  And, you know, that's again, it's a failure, though.
[00:03:51.277 --> 00:03:53.258]  They felt that they were forced to do that.
[00:03:53.258 --> 00:03:55.219]  You know, somebody should have walked instead of doing it.
[00:03:57.072 --> 00:04:07.220]  All right, when we get back, I want to go through some of the chapters of the book and some of the big intelligence breakdowns, as you said, in the name of the book, when we return after this break.
[00:04:07.220 --> 00:04:11.684]  How is the book being received by people in the intelligence community, Bill?
[00:04:11.684 --> 00:04:12.444]  Very well.
[00:04:12.444 --> 00:04:21.572]  I'm very surprised that, well, not at the top levels, but at the middle levels, there's a lot of really positive feedback that I've received.
[00:04:23.107 --> 00:04:27.113]  So you would say the breakdown was in both administrations?
[00:04:27.113 --> 00:04:29.316]  Well, both.
[00:04:29.316 --> 00:04:33.602]  I would say it's through several administrations going back to the 70s actually.
[00:04:38.716 --> 00:04:42.119]  Yeah, Carter and even the Ford administration.
[00:05:00.501 --> 00:05:05.903]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:05:05.903 --> 00:05:10.225]  Because there's a war on for your mind.
[00:05:10.225 --> 00:05:11.545]  That's right, folks.
[00:05:11.545 --> 00:05:14.046]  Defending liberty, resisting tyranny.
