[00:00:05.571 --> 00:00:06.211]  Big Brother.
[00:00:06.872 --> 00:00:07.953]  Mainstream media.
[00:00:08.653 --> 00:00:09.754]  Government cover-ups.
[00:00:10.394 --> 00:00:11.235]  You want answers?
[00:00:11.975 --> 00:00:12.856]  Well, so does he.
[00:00:12.876 --> 00:00:17.199]  He's Alex Jones on the GCN Radio Network.
[00:00:17.739 --> 00:00:21.862]  And now, live from Austin, Texas, Alex Jones.
[00:00:26.125 --> 00:00:33.190]  Alright, Big Jim Tucker from American Free Press will be joining us in the next hour.
[00:00:34.068 --> 00:00:35.269]  From Washington D.C.
[00:00:35.289 --> 00:00:37.349]  to talk about the Bilderberg Group.
[00:00:38.090 --> 00:00:56.337]  In the upcoming meeting we always get a lot of inside information before and after from Mr. Tucker concerning one of the most powerful, if not the most powerful, that is publicly known globalist organizations.
[00:00:56.578 --> 00:00:59.319]  So that's coming up in the next hour.
[00:00:59.339 --> 00:01:02.220]  It is the 30th day of March.
[00:01:03.306 --> 00:01:12.252]  2,000 and 5 will be live for the next two hours and 58 minutes 50 seconds to be precise.
[00:01:13.533 --> 00:01:15.834]  Well the Pope may require a feeding tube.
[00:01:15.894 --> 00:01:28.302]  Pope John Paul may return to the hospital later this week so doctors can insert a feeding tube because of the difficulty the ailing pontiff has swallowing since a breathing tube was inserted last month.
[00:01:30.106 --> 00:01:34.149]  I had two grandparents that had problems swallowing from strokes.
[00:01:39.032 --> 00:01:44.135]  We'll get into that and how it dovetails with Terry Shivo Schindler.
[00:01:44.496 --> 00:01:50.980]  I guess here in America they'd probably just grab the Pope and hold his family at bay and
[00:01:52.156 --> 00:01:59.102]  Dehydrate him and his blood started dripping out of his eyes and mouth and body and excruciating pain and wrenching and vomiting.
[00:01:59.802 --> 00:02:02.384]  The entire body is shaking in huge spasms.
[00:02:02.765 --> 00:02:05.187]  Then go, oh how beautiful!
[00:02:05.847 --> 00:02:11.432]  Like Shiloh's lawyers been saying, oh this is, oh this is wonderful!
[00:02:11.952 --> 00:02:13.273]  It's beautiful!
