[00:00:05.817 --> 00:00:06.458]  Big Brother.
[00:00:07.118 --> 00:00:08.199]  Mainstream media.
[00:00:08.899 --> 00:00:10.020]  Government cover-ups.
[00:00:10.661 --> 00:00:11.501]  You want answers?
[00:00:12.222 --> 00:00:13.102]  Well, so does he.
[00:00:13.122 --> 00:00:17.606]  He's Alex Jones on the GCN Radio Network.
[00:00:17.986 --> 00:00:22.049]  And now, live from Austin, Texas, Alex Jones.
[00:00:23.567 --> 00:00:27.810]  Well, she was the commanding general over all the prisons and detention centers.
[00:00:28.190 --> 00:00:29.611]  I bet she's got some stories to tell.
[00:00:30.152 --> 00:00:33.054]  In Iraq, and she was General Janice Berpinski.
[00:00:33.414 --> 00:00:35.135]  She's joining us in about five minutes.
[00:00:36.276 --> 00:00:39.739]  The only female general officer commanding troops in the combat zone in Iraq.
[00:00:40.519 --> 00:00:41.720]  And they try to scapegoat her.
[00:00:42.441 --> 00:00:43.081]  That's coming up.
[00:00:43.221 --> 00:00:44.122]  Also, your calls.
[00:00:44.322 --> 00:00:45.783]  Let's go to your calls right now.
[00:00:46.464 --> 00:00:49.766]  Scott Ritter, the UN weapons inspector, with a bunch of new revelations and developments.
[00:00:50.815 --> 00:00:53.437]  Another big whistleblower joining us in the next hour.
[00:00:54.117 --> 00:00:56.459]  Let's go to Joel in Wisconsin right now.
[00:00:56.519 --> 00:00:57.220]  Joel, welcome.
[00:00:58.040 --> 00:00:59.181]  Hi Alex.
[00:00:59.681 --> 00:01:03.464]  I wanted to go over a few things like the Fed Chair being changed.
[00:01:03.864 --> 00:01:07.847]  I know Alan Greenspan said that the gold-backed dollar is the best thing.
[00:01:08.307 --> 00:01:09.248]  Then when he gets in,
[00:01:09.961 --> 00:01:13.403]  All of a sudden, oh no, no, no.
[00:01:13.823 --> 00:01:17.165]  He wrote books that sounded like they were written by Eustace Mullins.
[00:01:17.525 --> 00:01:17.785]  Oh yeah.
[00:01:17.945 --> 00:01:20.446]  I mean, these are published in Ayn Rand publications in the 60s.
[00:01:21.567 --> 00:01:23.968]  But by the 70s, he switched over to their side.
[00:01:24.008 --> 00:01:26.389]  They actually paid him off and hired him.
[00:01:26.409 --> 00:01:26.649]  Oh yeah.
[00:01:27.350 --> 00:01:28.410]  I mean, he was one of us, folks.
[00:01:28.450 --> 00:01:29.391]  He talked just like us.
[00:01:29.671 --> 00:01:30.731]  I'm going to make a prediction.
[00:01:31.031 --> 00:01:38.395]  I'm going to predict that interest rates are going to rise through the roof, that this new chairman is going to burst the housing bubble for sure.
[00:01:38.945 --> 00:01:49.135]  And what they're doing is they're using the hurricane and did you know just in the past half day or so there's been a bombing that went off in Baghdad again.
[00:01:49.655 --> 00:01:55.881]  But the terrorists are blowing up reporters.
[00:01:56.562 --> 00:01:58.984]  Now I couldn't think of any terrorists
