[00:00:05.615 --> 00:00:07.376]  All right, my friends.
[00:00:07.576 --> 00:00:13.779]  It is very fortuitous that you have joined us on this Monday edition of 10th Day.
[00:00:35.920 --> 00:00:36.741]  of January 2005.
[00:00:41.603 --> 00:00:56.431]  Because I can think of a few other days, it's always a Monday though this happens on, where I have more out-of-control, in-your-face, mainstream news admitting the world government, admitting the tyranny.
[00:00:57.132 --> 00:00:58.212]  It's just everywhere.
[00:00:58.352 --> 00:01:00.853]  I have over 100 news articles
[00:01:04.486 --> 00:01:08.690]  In front of me, that I printed off this weekend alone.
[00:01:10.892 --> 00:01:17.918]  From InfoWars.com, from PrisonPlanet.com, from Drudge and all the others.
[00:01:20.621 --> 00:01:22.182]  There's so many of them!
[00:01:22.903 --> 00:01:27.747]  And some people go, oh Alex Jones, you know, his views, his opinions on things.
[00:01:27.927 --> 00:01:29.629]  They're not my views and opinions!
[00:01:32.020 --> 00:01:36.321]  The government is putting cameras in school bathrooms, training us how to live in Big Brother World.
[00:01:36.601 --> 00:01:38.841]  They are coming out with a national ID card.
[00:01:39.081 --> 00:01:45.082]  They are going to send out all these Homeland Security blimps to look through our walls with ground penetrating radar.
[00:01:45.862 --> 00:01:49.203]  Our government is torturing people all over the world.
[00:01:51.683 --> 00:01:53.424]  All of this stuff is really going on.
[00:01:54.724 --> 00:01:56.964]  And I've got just so much today.
[00:01:57.424 --> 00:02:01.105]  Pundits' role in education propaganda draws ire
[00:02:01.972 --> 00:02:10.056]  Column cut, Armstrong Williams got $240,000 to go out and peddle propaganda.
[00:02:12.877 --> 00:02:23.602]  The socialistic no child left behind, that is, no child not put on Ritalin or Prozac, no child not broken up from their family, no child not taught how to be institutionalized and be a prisoner.
[00:02:26.784 --> 00:02:28.645]  Now, why did this come out?
[00:02:30.665 --> 00:02:31.746]  Because let me tell you something.
[00:02:33.078 --> 00:02:41.321]  There are thousands of commentators and newspaper writers who are paid by the U.S.
[00:02:41.381 --> 00:02:41.701]  government.
[00:02:42.721 --> 00:02:43.681]  Why did this come out?
[00:02:45.542 --> 00:02:54.405]  Well, I think quite clearly they now, because they've paid everybody off, want to start blackmailing people with money they gave them.
[00:02:54.425 --> 00:02:56.305]  And Mr. Williams is the example of this.
[00:02:57.286 --> 00:02:59.846]  Now, I'm about 95% sure on this, folks.
[00:02:59.947 --> 00:03:01.307]  He's a sacrificial lamb.
[00:03:03.621 --> 00:03:04.761]  Or goat, I should say.
[00:03:04.781 --> 00:03:07.882]  That's what's going on.
[00:03:07.902 --> 00:03:09.243]  I mean, do we forget?
[00:03:11.023 --> 00:03:11.863]  Do we forget?
[00:03:13.364 --> 00:03:17.905]  Seventy plus million a year and a half ago for fake newscasts?
[00:03:20.566 --> 00:03:21.606]  Fake newscasts!
[00:03:21.766 --> 00:03:28.208]  Paid almost all the big networks and aired on cable channels and that's a payoff!
[00:03:30.362 --> 00:03:42.226]  Not just the propaganda, the Bush-worshipping propaganda, totally illegal, but it's also a payoff to these stations, broadcast stations, cable stations that carry it.
[00:03:44.087 --> 00:03:49.689]  So, we'll go over just some of the background, and Clinton did this too.
[00:03:51.050 --> 00:03:53.311]  And again, that doesn't absolve either party.
[00:03:53.351 --> 00:03:54.991]  It's worse that they're all involved.
[00:03:55.271 --> 00:03:56.672]  It shows how systemic
[00:03:57.498 --> 00:03:59.180]  How system-wide all of this is.
[00:03:59.480 --> 00:04:03.243]  Okay, this is just one group of like five stories I want to go over.
[00:04:03.624 --> 00:04:14.494]  The latest story about Armstrong Williams, and then there's four different flashbacks that I could just think of this weekend, and I called Paul up, the webmaster, and said, hey, post these along with it.
[00:04:17.537 --> 00:04:20.599]  But why do they focus in on the guy who got 240 grand?
[00:04:20.660 --> 00:04:22.181]  I mean, that's nothing.
[00:04:23.866 --> 00:04:29.670]  It's like they'll focus in on some army captain who buys ten computers with the army credit card and sells them.
[00:04:30.510 --> 00:04:38.255]  But then they'll ignore, you know, a trillion-two being systematically stolen by select corporations.
[00:04:38.935 --> 00:04:39.876]  Trillion-two!
[00:04:40.576 --> 00:04:41.917]  Trillion-two-hundred-billion.
[00:04:43.598 --> 00:04:47.401]  Well, this is how they operate, and boy, I bet the rest of the media's real scared right now.
[00:04:48.201 --> 00:04:49.102]  Got those checks.
[00:04:51.463 --> 00:04:52.544]  We'll be right back, folks.
[00:04:53.729 --> 00:04:54.810]  Stay with us.
