[00:00:00.956 --> 00:00:01.417]  Hey, Alex.
[00:00:01.897 --> 00:00:08.345]  The call up of the Marine Reserve is really important because they're tasked with protecting the President.
[00:00:08.385 --> 00:00:10.447]  The Army, Navy, Air Force protect the country.
[00:00:11.629 --> 00:00:12.830]  Marines protect the President.
[00:00:28.716 --> 00:00:29.501]  InfoWars.
[00:00:29.843 --> 00:00:30.729]  Tomorrow's news.
[00:00:31.031 --> 00:00:31.373]  Today.
[00:01:04.131 --> 00:01:05.873]  Ladies and gentlemen, we are live.
[00:01:05.933 --> 00:01:07.714]  We are broadcasting worldwide.
[00:01:07.794 --> 00:01:14.841]  I am your host, Alex Jones, and we have some incredibly important information to cover here today.
[00:01:15.661 --> 00:01:26.711]  We are in a climate where we are openly hearing that there's going to be a civil war, that the president's a traitor, that he's got to be removed.
[00:01:26.771 --> 00:01:30.274]  The president is calling all of this.
[00:01:33.979 --> 00:01:34.719]  Attempted coup.
[00:01:35.280 --> 00:01:37.181]  So that is the climate we're in.
[00:01:38.262 --> 00:01:44.585]  And there is a deep state that is attempting to take our president down.
[00:01:45.586 --> 00:01:48.548]  That is trying, you know, really as hard as they can.
[00:01:49.428 --> 00:01:55.732]  And so the headlines are up on Infowars.com and Newswars.com right now.
[00:01:57.403 --> 00:01:59.364]  Trump activates U.S.
[00:01:59.464 --> 00:02:06.087]  Marine Reserves for emergency within the United States to stop illegal coup.
[00:02:07.688 --> 00:02:19.113]  Now, we have the Marine Corps order as well that we're going to be going over after we come back from break here.
[00:02:20.046 --> 00:02:28.571]  I don't want to play a compilation of the last few weeks, and going back the last few years, Democrats saying, impeach, imprison, and then kill the President.
[00:02:28.611 --> 00:02:36.895]  Now Phil Mudd, former Deputy Director of the CIA, a protégé of Comey and of Mueller, is saying they're going to shank the President.
[00:02:36.975 --> 00:02:40.277]  They said they're going to kill him previously, Mudd said that, but now they're going to shank him.
[00:02:41.761 --> 00:02:43.382]  So that's all coming up.
[00:02:43.662 --> 00:02:45.603]  Obviously, this is the climate we're in.
[00:02:45.623 --> 00:02:46.904]  We're taking this very, very serious.
[00:02:47.344 --> 00:02:48.565]  This shows how far we've gone.
[00:02:48.585 --> 00:02:58.009]  And they may just move with an illegal coup, not even the impeachment, because Trump in two weeks has the IG report coming out on the FISA warrants and the illegal spying on the president.
[00:02:58.250 --> 00:02:58.870]  Here's that report.
[00:03:02.757 --> 00:03:07.280]  If he takes the risk of going to trial and he's convicted, that could be seen as an impeachable offense.
[00:03:07.420 --> 00:03:10.402]  I don't see how that wouldn't be an impeachable offense.
[00:03:10.582 --> 00:03:14.405]  That tweet fits the Republican definition of an impeachable offense.
[00:03:14.585 --> 00:03:16.607]  Where do you see an impeachable offense?
[00:03:16.667 --> 00:03:18.068]  It is grounds for impeachment.
[00:03:18.088 --> 00:03:20.449]  Potentially criminal or even impeachable.
[00:03:20.489 --> 00:03:21.310]  Grounds for impeachment.
[00:03:21.570 --> 00:03:25.595]  You may scapegoat Andy McCabe, but you will not destroy America.
[00:03:25.755 --> 00:03:27.617]  America will triumph over you.
[00:03:27.737 --> 00:03:30.280]  That apparently directed toward the President of the United States.
[00:03:30.800 --> 00:03:31.561]  Is it impeachable?
[00:03:32.802 --> 00:03:34.224]  100% is impeachable.
[00:03:34.304 --> 00:03:38.509]  Very substantial evidence that the President is guilty of high crimes and misdemeanor.
[00:03:38.549 --> 00:03:43.074]  You take on the intelligence community, they have six ways from Sunday at getting back at you.
[00:03:43.354 --> 00:03:45.856]  As a former government official, government's gonna kill this guy.
[00:03:46.037 --> 00:03:48.159]  There is enough here for articles of impeachment.
[00:03:48.319 --> 00:03:48.959]  Absolutely.
[00:03:49.119 --> 00:03:49.500]  Already.
[00:03:49.640 --> 00:03:56.166]  The president himself admitted that he had a telephone conversation with the president of Ukraine.
[00:03:56.546 --> 00:03:59.129]  He also said he did talk to him about Biden.
[00:03:59.709 --> 00:04:09.779]  With so many people knowing about this, it's interesting and I'm kind of proud to say this, it took a member of the intelligence community to step up and bring it forward.
[00:04:09.859 --> 00:04:17.446]  It's hard to imagine a set of circumstances that would have alarmed the founders more than what's on that call.
[00:04:17.506 --> 00:04:20.869]  Where you have a president using the full power of his office
