[00:00:01.300 --> 00:00:01.920]  We've got it.
[00:00:01.920 --> 00:00:08.444]  This transmission is coming to you.
[00:00:08.444 --> 00:00:12.827]  Waging war on corruption.
[00:00:12.827 --> 00:00:18.430]  It's Alex Jones coming to you live from the front lines of the InfoWar.
[00:00:27.434 --> 00:00:31.047]  You've got it.
[00:00:46.500 --> 00:00:50.702]  Well, I told you back in October that Trump needed to declare an emergency.
[00:00:50.702 --> 00:00:56.724]  And I told you a month ago that I thought he was going to do it in the shutdown.
[00:00:56.724 --> 00:00:58.965]  That was what the word was.
[00:00:58.965 --> 00:00:59.765]  And now he's done it.
[00:00:59.765 --> 00:01:06.568]  Just minutes ago, we'll play that speech, parts of it here in a moment, and all of it here in the next hour.
[00:01:06.568 --> 00:01:08.388]  He just concluded.
[00:01:08.388 --> 00:01:12.570]  And then you've got ABC Empire actor staged attack.
[00:01:14.073 --> 00:01:15.533]  That's what police believe.
[00:01:15.533 --> 00:01:23.195]  He used two of his confederates that reportedly worked with him, other actors, and staged the attack.
[00:01:23.195 --> 00:01:25.115]  That's where this is all leading.
[00:01:25.115 --> 00:01:27.736]  And of course he staged the attack.
[00:01:27.736 --> 00:01:28.316]  Of course he did.
[00:01:28.316 --> 00:01:34.937]  I mean, I'm gonna say it again.
[00:01:34.937 --> 00:01:37.557]  99% of racial attacks are staged.
[00:01:37.557 --> 00:01:38.798]  I'm a newshound.
[00:01:38.798 --> 00:01:40.258]  It's all I do for 25 years, 24 years.
[00:01:41.994 --> 00:01:42.914]  And everybody knows that.
[00:01:42.914 --> 00:01:53.157]  And by the way, you'll hear about some white woman, you know, two black men raped her and carved honky in her back, and it turns out that's not true either.
[00:01:53.157 --> 00:01:56.318]  Most of these things are staged.
[00:01:56.318 --> 00:01:59.880]  Like, most firefighters are great people.
[00:01:59.880 --> 00:02:08.722]  But in a lot of towns and cities, when they keep having arson, and they notice that it's done particularly well, they start investigating and surveilling firefighters.
[00:02:08.722 --> 00:02:11.083]  And about a third of the time, it's a firefighter.
[00:02:14.542 --> 00:02:28.570]  A good portion of the time, it's a minority of the time, but it's still a portion of it, when they keep finding pipe bombs on the side of the road and then the hero bomb squad guy keeps finding them and keeps, well they start following that guy and catch him doing it.
[00:02:28.570 --> 00:02:33.333]  I mean, it happens over and over and over again.
[00:02:33.333 --> 00:02:36.495]  But I'm the bad guy for questioning Sandy Hook.
[00:02:39.735 --> 00:02:46.380]  Because Hillary brought it up years after the internet had not believed it.
[00:02:46.380 --> 00:02:52.285]  Because people don't know what to believe anymore because so many times things are staged.
[00:02:52.285 --> 00:02:59.030]  Now some of the anomalies people raised about Hook turned out to not be accurate.
[00:02:59.030 --> 00:03:02.593]  And I looked at those parents on TV and what they were saying and it looked real.
[00:03:04.775 --> 00:03:11.718]  The minute, before I was ever sued or threatened with suit, the minute I said I thought it happened, it was lawsuit.
[00:03:11.718 --> 00:03:16.141]  Which shows very interesting psychology.
[00:03:16.141 --> 00:03:20.923]  And so if Sandy Hook didn't kill the second amendment, it's killing the first.
[00:03:20.923 --> 00:03:25.645]  I've talked to top lawyers that have been at the biggest events in the country.
[00:03:25.645 --> 00:03:28.147]  Some on record, some off record.
[00:03:28.147 --> 00:03:31.068]  And we had a lot of lawyers for the last two weeks deciding what I'm going to do.
[00:03:31.068 --> 00:03:31.708]  I'm going to sue.
[00:03:31.708 --> 00:03:32.629]  It's time to fight back.
[00:03:34.190 --> 00:03:40.953]  And they're at these big conferences and point blank, they go, oh, we're getting rid of the First Amendment for the general public.
[00:03:40.953 --> 00:03:46.616]  And it's going to be the Alex Jones doctrine, the Alex Jones statute.
[00:03:46.616 --> 00:03:47.716]  It's being called that.
[00:03:47.716 --> 00:03:51.638]  And they're getting all the lawyers together and they're saying, this is how it is.
[00:03:51.638 --> 00:03:58.081]  We're going to get rid of anybody who says fake news, just the media, corporate media will say it, and then you don't have First Amendment protections.
[00:03:58.081 --> 00:03:59.722]  But then the super class, they will.
[00:04:00.769 --> 00:04:08.492]  And there's big debates at the Texas Supreme Court, at the Texas bar, at the Connecticut bar, New York bar.
[00:04:08.492 --> 00:04:21.978]  Top debates are, this is going to end up getting everybody, and so now there's top-level meetings that are like, you need to drop these Sandy Hook lawsuits on Jones, because it's rigged.
[00:04:21.978 --> 00:04:28.181]  I mean, 100% railroad job right into shutting down InfoWars.
[00:04:29.321 --> 00:04:30.862]  In fact, the lawyers involved say that.
[00:04:30.862 --> 00:04:31.983]  They go, we're going to shut him down.
[00:04:31.983 --> 00:04:32.783]  That's what we're going to do.
[00:04:32.783 --> 00:04:34.704]  And then they misrepresent all the facts.
[00:04:34.704 --> 00:04:36.665]  It's crazy.
[00:04:36.665 --> 00:04:45.631]  But it's so evil and so diabolical and so un-American that there's been a big turn in the American Bar Association to highest levels.
[00:04:45.631 --> 00:04:51.394]  They're like, we're really going to get rid of due process and the First Amendment and this whole deal and crack down on media?
[00:04:51.394 --> 00:04:53.275]  I mean, America's going authoritarian.
[00:04:53.275 --> 00:04:55.116]  And I've been chosen as the test case.
[00:04:55.116 --> 00:04:55.657]  We'll be right back.
[00:04:55.657 --> 00:04:55.977]  Stay with us.
[00:05:09.628 --> 00:05:18.636]  By leaps and by bounds, the number one best-selling supplement family in the world is energy drinks and energy supplements.
[00:05:18.636 --> 00:05:28.724]  But they are riddled with dyes and toxins and synthetic caffeines and other chemicals that sure get you a quick boost, but burn out in just a few hours and have terrible side effects.
[00:05:28.724 --> 00:05:37.271]  We have developed, hands down from our research, the most powerful, healthy energy drink pre-workout and beyond system in the world.
[00:05:38.072 --> 00:05:39.433]  There's nothing else like it.
[00:05:39.433 --> 00:05:40.594]  You must experience it.
[00:05:40.594 --> 00:05:42.535]  It is a total game changer.
[00:05:42.535 --> 00:05:47.577]  And it comes in easy to use packets to mix it with fruit juice or water, whatever you'd like.
[00:05:47.577 --> 00:05:49.098]  Warning though, it's very, very strong.
[00:05:49.098 --> 00:05:50.579]  It lasts 10 hours.
[00:05:50.579 --> 00:05:57.283]  So take a half packet the first time you take it because TurboForce is named TurboForce because it will take you into overdrive.
[00:05:57.283 --> 00:05:58.764]  TurboForce at EnforcedLife.com.
[00:06:16.477 --> 00:06:17.599]  InfoWars.
[00:06:17.599 --> 00:06:21.184]  Tomorrow's news, today.
[00:06:21.184 --> 00:06:23.849]  Waging war on corruption.
[00:06:23.849 --> 00:06:29.057]  It's Alex Jones, coming to you live from the front lines of the InfoWars.
[00:06:43.121 --> 00:06:59.291]  Well, President Trump just minutes ago declared a national emergency, taking back executive power from the usurper, Nancy Pelosi.
[00:06:59.291 --> 00:07:05.835]  And ABC's Empire Star is very close to being criminally charged.
[00:07:05.835 --> 00:07:11.899]  They've already got who they believe were his accomplices in staging the event in a city like Chicago under total surveillance.
[00:07:12.984 --> 00:07:18.329]  Jesse Smollett staged attack.
[00:07:18.329 --> 00:07:19.250]  That's what the police believe.
[00:07:19.250 --> 00:07:23.994]  Well, of course he did.
[00:07:23.994 --> 00:07:26.296]  West Point.
[00:07:26.296 --> 00:07:29.579]  The Marine Corps.
