[00:00:27.375 --> 00:00:28.155]  Blast off!
[00:00:31.017 --> 00:00:34.278]  It's Tuesday, April 9th, 2019.
[00:00:35.478 --> 00:00:37.039]  This is the Alex Jones Show.
[00:00:38.520 --> 00:00:41.021]  I'm Owen Troyer filling in for Alex Jones today.
[00:00:41.041 --> 00:00:43.102]  I'm sure we'll be hearing from Alex.
[00:00:47.224 --> 00:00:54.927]  And I gotta tell ya, with all the news developing today, it was tough for me to decide
[00:00:56.141 --> 00:00:58.222]  What to lead the broadcast with?
[00:00:58.822 --> 00:01:02.123]  Is it the medical tyranny news?
[00:01:02.323 --> 00:01:04.984]  Is it the open border news?
[00:01:05.184 --> 00:01:11.806]  Is it the potential geopolitical struggle that could lead to world war news happening in Venezuela?
[00:01:13.786 --> 00:01:15.207]  Happening in Iran?
[00:01:17.688 --> 00:01:22.189]  Is it all the violence happening to Trump supporters right now?
[00:01:26.028 --> 00:01:27.409]  So much to get to.
[00:01:30.611 --> 00:01:38.937]  Is it the Russian collusion, delusion narrative falling flat today with the Barr hearing being a total dud?
[00:01:39.497 --> 00:01:41.179]  I mean a total dud, folks.
[00:01:41.479 --> 00:01:42.159]  Pathetic.
[00:01:42.600 --> 00:01:47.403]  The Democrats up there bringing fake news and Barr is literally tired of it.
[00:01:47.423 --> 00:01:49.765]  He's up there yawning, drinking water, rolling his eyes.
[00:01:50.425 --> 00:01:51.506]  These people are a joke.
[00:01:54.582 --> 00:02:05.613]  But instead I decided to go with what's happening right now with Ilhan Omar and you've had a thwarted terror attack in Maryland that's getting almost no news coverage.
[00:02:06.596 --> 00:02:14.979]  But I want to play this clip of Ilhan Omar because we've reached an interesting point, or we're just beginning to get there, and I've seen this coming for a while.
[00:02:15.919 --> 00:02:21.001]  But I think we're about to reach ahead with this, especially with the rhetoric of Omar right now.
[00:02:21.841 --> 00:02:28.703]  But listen to what Ilhan Omar said in a speech to CAIR just this week.
[00:02:31.364 --> 00:02:33.185]  CAIR was founded after 9-11.
[00:02:35.336 --> 00:02:44.483]  Because they recognize that some people did something, and that all of us were starting to lose access to our civil liberties.
[00:02:47.186 --> 00:02:56.153]  Now, I want to play that short clip one more time, because I want you to hear what she's saying here, and really think about what she didn't say.
[00:02:57.054 --> 00:02:58.295]  So, listen to again.
[00:02:58.815 --> 00:03:03.239]  I'm not sure if she's actually speaking at a caravan, but she's speaking at an Islamic event.
[00:03:03.279 --> 00:03:04.219]  This is Ilhan Omar.
[00:03:05.174 --> 00:03:06.234]  Listen to what she says.
[00:03:06.454 --> 00:03:08.995]  Listen closely to what she says about 9-11.
[00:03:09.375 --> 00:03:09.775]  Play it again.
[00:03:11.896 --> 00:03:25.080]  Care was founded after 9-11 because they recognized that some people did something and that all of us were starting to lose access to our civil liberties.
[00:03:27.661 --> 00:03:32.342]  So according to Ilhan Omar on 9-11, some people did something.
[00:03:35.816 --> 00:03:45.558]  To the average American, you'd just say, well wait a second, here's a Muslim woman, proud Muslim woman, wears the hijab, says some people did something.
[00:03:46.018 --> 00:03:50.419]  They don't understand the layers of complexities to what she didn't say.
[00:03:51.579 --> 00:03:57.140]  Now what she's saying to her audience, because they understand it, is Jews did 9-11.
[00:03:58.020 --> 00:04:01.321]  That's what she's saying to her audience, a bunch of Muslims that hate the Jews.
[00:04:03.359 --> 00:04:07.040]  But the American hears that and says, wait a second, what didn't she say?
[00:04:07.500 --> 00:04:09.781]  Some people did something?
[00:04:11.601 --> 00:04:14.822]  So it wasn't radical Islamic terrorists?
[00:04:16.142 --> 00:04:20.443]  It wasn't radical Islamic terrorists that flew airplanes into the Twin Towers?
[00:04:21.343 --> 00:04:24.284]  It wasn't radical Islam responsible for that terror attack?
[00:04:26.304 --> 00:04:26.404]  Ah!
[00:04:28.145 --> 00:04:28.585]  Now look,
[00:04:29.938 --> 00:04:33.480]  I don't want this culture war of Islam versus Jews in the West.
[00:04:33.820 --> 00:04:34.280]  I don't want it.
[00:04:35.241 --> 00:04:36.101]  I'm not interested in it.
[00:04:37.782 --> 00:04:47.186]  Say what you want about Jews and Zionists, the average American and the average Jew are compatible, and the Jewish culture and everything has assimilated in the West.
[00:04:47.586 --> 00:04:49.187]  Islam is not assimilating, folks.
[00:04:49.747 --> 00:04:57.371]  And now you had a mass potential terror attack in Maryland thwarted where a young man wanted to drive a truck
[00:04:58.826 --> 00:05:00.607]  And kill a bunch of people for Islam!
[00:05:01.227 --> 00:05:02.008]  More on the other side.
[00:05:07.791 --> 00:05:09.472]  DNA Force Plus.
[00:05:10.112 --> 00:05:11.933]  Our most advanced formula yet.
[00:05:15.275 --> 00:05:25.821]  DNA Force Plus is focused on overhauling your body's cellular engines and supporting your optimal energy levels while adapting your body to handle the daily bombardment of toxins.
[00:05:28.656 --> 00:05:37.180]  DNA Force Plus contains a combination of the best adaptogens on the market to help your body adapt and bend, not break.
[00:05:37.740 --> 00:05:42.162]  Hand-picked adaptogen herbs help protect your body on a cellular level.
[00:05:42.782 --> 00:05:48.965]  It's time to try the newest version of one of our most powerful formulas yet with DNA Force Plus.
[00:05:55.320 --> 00:05:57.535]  Available at infowarslife.com today.
[00:06:17.489 --> 00:06:21.611]  Defending the republic from enemies, foreign and domestic.
[00:06:22.371 --> 00:06:23.892]  It's Alex Jones.
[00:06:24.452 --> 00:06:27.214]  And now your host, Owen Troyer.
[00:06:28.074 --> 00:06:43.262]  What a time to be alive.
[00:06:45.122 --> 00:06:46.083]  What an opportunity.
[00:06:47.652 --> 00:06:48.413]  Change the world.
[00:06:50.074 --> 00:06:57.899]  We're live broadcasting from the InfoWars World Headquarters in Austin, Texas on this Tuesday, April 9th, 2019.
[00:06:58.139 --> 00:07:05.583]  The InfoWars.com Alex Jones Show brought to you by you at InfoWarsStore.com.
[00:07:05.603 --> 00:07:12.307]  Now go ahead and give me a quick doc cam of the desk here.
[00:07:14.729 --> 00:07:16.290]  Because I've got
[00:07:17.970 --> 00:07:20.332]  Stacks and stacks and stacks of news to get to.
[00:07:22.393 --> 00:07:26.636]  And it's all important and I'm going to need to stay focused for the next four hours I'll be on air here.
[00:07:27.356 --> 00:07:28.637]  And we're going to get to all this news.
[00:07:28.777 --> 00:07:30.558]  Hopefully we'll have time to take your phone calls.
[00:07:30.598 --> 00:07:31.719]  Dan Lyman may be joining us.
[00:07:31.759 --> 00:07:33.080]  He's got breaking news out of Europe.
[00:07:33.120 --> 00:07:33.740]  But here's the deal.
[00:07:33.880 --> 00:07:34.761]  I need to get focused.
[00:07:35.936 --> 00:07:40.860]  I've already done one broadcast today, trolling the Democrats here in Austin, Avocado Day.
[00:07:41.400 --> 00:07:43.502]  We'll air some of that later on.
[00:07:43.542 --> 00:07:46.845]  But I'm going to have to be focused and I'm going to need energy for the next four hours.
[00:07:46.865 --> 00:07:52.629]  So I'm going to go ahead and hit my turbo force right now at 11.07 AM.
[00:07:52.669 --> 00:07:54.771]  So I'll be energized and ready to go.
[00:07:55.071 --> 00:07:56.853]  I'm going to go ahead and hit the turbo force right now.
[00:07:58.525 --> 00:08:10.571]  And I gotta give credit to one of our great reporters, Will Johnson, for turning me on to Turbo Force with hot water, drinking it like tea.
[00:08:10.831 --> 00:08:11.691]  I gotta give him credit.
[00:08:11.791 --> 00:08:16.294]  I was just drinking it like you would an energy shot, basically.
[00:08:16.634 --> 00:08:21.716]  And I was just pouring the Turbo Force packet into about 8 ounces of water and then just downing it.
[00:08:22.657 --> 00:08:27.299]  But, I gotta say, drinking it warm and sipping on it like tea?
[00:08:29.005 --> 00:08:32.147]  That's kind of the way to go, I think, during the live show.
[00:08:32.908 --> 00:08:38.432]  Instead of just getting that immediate jolt and rush, kind of having it sustain and last.
[00:08:38.452 --> 00:08:39.373]  So it's TurboForce.
[00:08:39.413 --> 00:08:40.714]  It's at InfoWareStore.com.
[00:08:41.455 --> 00:08:48.340]  And anybody who's tried it knows that the energy is real.
[00:08:49.241 --> 00:08:51.122]  And that you get that burst from TurboForce.
[00:08:51.462 --> 00:08:53.003]  In fact, should we do what we did yesterday?
[00:08:53.043 --> 00:08:54.364]  Can you get that doc cam shot again?
[00:08:54.384 --> 00:08:58.688]  Because here's what happens when I stir my TurboForce like this on air.
[00:09:00.506 --> 00:09:01.666]  It's really satisfying.
[00:09:01.706 --> 00:09:02.867]  It's oddly satisfying.
[00:09:03.547 --> 00:09:05.388]  And then it helps me, like, find my chi.
[00:09:06.708 --> 00:09:07.809]  There's just something about it.
[00:09:09.989 --> 00:09:10.390]  Hmm.
[00:09:11.130 --> 00:09:11.550]  Yes.
[00:09:12.851 --> 00:09:14.071]  Find your chi.
[00:09:15.131 --> 00:09:16.212]  Find the energy.
[00:09:17.712 --> 00:09:20.553]  With TurboForce at InfowarsStore.com.
[00:09:21.274 --> 00:09:24.715]  I'm getting ready for a long four-hour broadcast, and I need my energy.
[00:09:25.755 --> 00:09:27.096]  I'm sipping TurboForce.
