[00:00:17.094 --> 00:00:21.237]  Defending the Republic from enemies, foreign and domestic.
[00:00:21.977 --> 00:00:26.861]  It's Alex Jones and now your host, Owen Troyer.
[00:00:27.681 --> 00:00:31.304]  You know, when I woke up today,
[00:00:32.358 --> 00:00:33.799]  I knew I was filling in for Alex.
[00:00:33.839 --> 00:00:37.943]  I did not expect I would be hosting such an important broadcast.
[00:00:39.204 --> 00:00:43.408]  And the next two hours are going to be massively important.
[00:00:44.189 --> 00:00:51.435]  So tell your friends and family about this broadcast, folks, because we're going to break everything down from the Jussie Smollett
[00:00:52.156 --> 00:00:55.419]  To the Democrats declaring that they're going to confiscate guns.
[00:00:56.040 --> 00:01:00.364]  To the real national emergency that nobody's been talking about.
[00:01:00.864 --> 00:01:02.706]  Again, showing how the media controls the narrative.
[00:01:02.806 --> 00:01:06.850]  And that's why they censored Alex Jones last year.
[00:01:07.330 --> 00:01:11.134]  Because InfoWars was kicking their ass.
[00:01:11.554 --> 00:01:14.637]  Now, Alex Jones joins us over the phone.
[00:01:14.797 --> 00:01:17.140]  Alex, what do we have coming up in the next two hours?
[00:01:18.413 --> 00:01:20.034]  Well, I'll be out of here in about 20 minutes, Holmes.
[00:01:20.054 --> 00:01:24.757]  I appreciate you doing a great job, and I've got to take a rest sometimes, but I mean, as you said, there's so much news.
[00:01:25.377 --> 00:01:26.618]  The quickening is happening.
[00:01:27.658 --> 00:01:28.819]  Everything we've talked about.
[00:01:28.839 --> 00:01:32.401]  We literally wrote over 50 articles.
[00:01:32.481 --> 00:01:33.001]  I looked it up.
[00:01:33.041 --> 00:01:36.183]  We did over 100 programs in 2017 and 2018.
[00:01:36.223 --> 00:01:41.166]  Just type in, and I'm not tooting our horn, but this is why the Globalist hate us.
[00:01:41.626 --> 00:01:42.707]  They're trying to shut us down.
[00:01:42.727 --> 00:01:43.427]  We're over the target.
[00:01:44.528 --> 00:01:46.429]  And by knowing that we're right now, we know how to
[00:01:47.205 --> 00:01:47.605]  Deal with them.
[00:01:47.625 --> 00:01:48.986]  This just confirms everything we've said.
[00:01:50.027 --> 00:02:04.756]  That you've had the deep state, rogue intelligence agencies, with the FBI and the Democrats, engaged in massive fraud, engaged in criminal activity, in a planned, deep state, rogue government coup against the President.
[00:02:04.796 --> 00:02:06.697]  Now, we can use those exact words.
[00:02:07.751 --> 00:02:15.559]  Now, Politico, CNN, The Washington Post all admitted that in the last two weeks, and then Limbaugh admitted it on Friday.
[00:02:15.579 --> 00:02:22.866]  And Limbaugh's a good guy overall, but conservatives are so afraid of being called names by Democrats and by the media.
[00:02:23.886 --> 00:02:30.291]  That even Limbaugh would start calling it a deep state silent coup until it was in the Washington Post like a week ago.
[00:02:30.871 --> 00:02:39.918]  So all I'm saying is that's why conservatives and libertarians and nationalists and Christians are in so much trouble is, yes, it's extreme to have people planning an illegal coup.
[00:02:40.699 --> 00:02:42.280]  And it sounds extreme to say it's happening.
[00:02:43.078 --> 00:02:48.861]  But it's like you get the bad news that you know that your dad dies of a heart attack and you know you go see his dead body.
[00:02:49.161 --> 00:03:00.206]  I mean or you get the terrible news that your uncle or your son rolled their car god forbid and then they're dead or I mean that's what this is folks okay so bad things happen and denying
[00:03:01.613 --> 00:03:02.174]  Bad things.
[00:03:02.234 --> 00:03:02.855]  Only makes them worse.
[00:03:02.875 --> 00:03:03.535]  But here's the good thing.
[00:03:03.555 --> 00:03:05.077]  This isn't dad dead from a heart attack.
[00:03:05.097 --> 00:03:14.227]  This isn't your son dead, or your daughter, God forbid, rolling a car, or a drunk driver hitting him, like happened to George Strait's 13-year-old daughter when she was out riding with friends.
[00:03:15.489 --> 00:03:20.254]  George Strait couldn't do anything about that when he got the call that his daughter was dead south of Austin.
[00:03:20.534 --> 00:03:21.936]  I just use that as a real-world analogy.
[00:03:22.714 --> 00:03:29.219]  But we can do something because they're in the middle of this attempted coup, and they're in the middle of this attempted takeover of the United States.
[00:03:29.759 --> 00:03:32.922]  And so that's why we have to get active and get aggressive and get in their face.
[00:03:33.262 --> 00:03:35.784]  Because yes, it sounds radical to admit this is all going on.
[00:03:36.384 --> 00:03:38.086]  Yes, you're going to get demonized by the deep state.
[00:03:38.486 --> 00:03:42.049]  Yes, they've been freaking out and having congressional hearings saying, get Infowars off the air.
[00:03:42.649 --> 00:03:51.712]  Because we did our homework with my research, with your research, with David Nye's research, with the crew's research, with the top guests we've had on, and our deep research and analysis.
[00:03:52.052 --> 00:03:56.933]  We were pegging them 100% what was happening in their secret meetings.
