[00:00:22.884 --> 00:00:24.244]  September 8, 2019.
[00:00:24.244 --> 00:00:28.665]  We're live at Studio on your host Alex Jones.
[00:00:28.665 --> 00:00:32.226]  The dam has broken.
[00:00:32.226 --> 00:00:40.748]  There was a major event on Friday in court in San Francisco that only began to hit the news today.
[00:00:40.748 --> 00:00:44.089]  The transcripts of the hearings have been released.
[00:00:45.492 --> 00:00:55.276]  Where the doctors, the abortionists, admit what the investigative journalist caught on tape was indeed true under oath.
[00:00:55.276 --> 00:01:08.842]  They're keeping babies alive to later harvest their organs and to deliver their hearts into other people's children's chests while they're still beating.
[00:01:11.564 --> 00:01:16.650]  In many cases, they harvest the babies in the very same hospitals.
[00:01:16.650 --> 00:01:24.419]  And the families who are getting a new heart for their baby that's got holes in their heart, or the deformities, have no idea that a child is being murdered.
[00:01:24.419 --> 00:01:28.124]  In some cases, just a few hundred yards away.
[00:01:31.365 --> 00:01:40.707]  Now it's all over Twitter, people are saying he was vindicated on Epstein, he was vindicated on the human-animal hybrids, he was vindicated on the Satanism.
[00:01:40.707 --> 00:01:43.808]  I was not vindicated.
[00:01:43.808 --> 00:01:45.989]  This isn't about me.
[00:01:45.989 --> 00:01:51.030]  I didn't look into a crystal ball and imagine this, and it was true.
[00:01:51.030 --> 00:01:53.931]  They have been keeping babies alive for decades.
[00:01:55.000 --> 00:01:56.921]  And then harvesting their organs.
[00:01:56.921 --> 00:02:02.284]  If you kill them right away, you don't get one-tenth as much money.
[00:02:02.284 --> 00:02:12.809]  If you put the organs out on the market and say, we have this with a fresh donor, it's the same way Communist China operates with the Buddhists who live such clean lives.
[00:02:12.809 --> 00:02:15.070]  You'd say, you wish Christian Chinese were that good.
[00:02:15.070 --> 00:02:15.570]  They're not.
[00:02:15.570 --> 00:02:19.272]  They're, you know, good old Catholic Chinese.
[00:02:19.272 --> 00:02:20.813]  They drink a lot and do a lot of stuff.
[00:02:20.813 --> 00:02:21.894]  I'm not being a hypocrite here.
[00:02:23.066 --> 00:02:40.439]  But the point is, is the Falun Gong or Buddhists, they're all blood type, they're ready, and when a donor's ready, they go into Japan, they're harvested on the tarmac in a mobile execution van, and the heart is put on ice and flown 30 minutes into Japan, and within one hour, it's inside somebody's chest.
[00:02:40.439 --> 00:02:43.582]  Freshness is key.
[00:02:43.582 --> 00:02:47.025]  So if I told you there was a house in Austin, as we broadcast across the country,
[00:02:47.850 --> 00:02:55.739]  In the world, where they were about to kill a baby that had been alive two weeks, you'd get in your car and drive over there to stop it, wouldn't you?
[00:02:55.739 --> 00:03:01.205]  But when it's done by the medical system, it's, oh well, that's their purview.
[00:03:01.205 --> 00:03:03.848]  Just like the Tuskegee experiment, 48 years.
[00:03:05.407 --> 00:03:21.715]  Tens of thousands of blacks injected with live syphilis, not to just kill them in horribly excruciating decades-long pain, microscopic worms that eat your brain, that's what syphilis is, but to spread it to millions.
[00:03:22.608 --> 00:03:26.889]  The program gave it to young, promiscuous men to spread.
[00:03:26.889 --> 00:03:38.191]  Just like HIV was first put in 1978, 1979 in New York in hepatitis shots to gay men at gay health clinics.
[00:03:38.191 --> 00:03:39.732]  Look it up.
[00:03:39.732 --> 00:03:46.373]  So it's the same story over and over again by that shadow eugenics government.
[00:03:46.373 --> 00:03:50.394]  Remember, Hitler learned everything from the UK and the US.
[00:03:50.394 --> 00:03:51.514]  That's where eugenics came from.
[00:03:53.786 --> 00:03:59.749]  And then when Hitler got too big for his britches, he discredited the program so it went underground.
[00:03:59.749 --> 00:04:01.370]  When will he return?
[00:04:01.370 --> 00:04:13.237]  The shocking transcripts from court in San Francisco, where they admit that they keep babies alive and then harvest their organs.
[00:04:13.237 --> 00:04:16.198]  Now, we already knew this.
[00:04:16.198 --> 00:04:18.960]  This case is from 2015.
