[00:00:07.601 --> 00:00:08.729]  I'm good.
[00:00:41.116 --> 00:00:42.838]  It's Sunday, March 17th, 2019.
[00:00:44.420 --> 00:00:47.443]  I'm your host, Alex Jones.
[00:00:50.406 --> 00:00:55.711]  We have some really serious, big breaking news, exclusive news here.
[00:00:56.892 --> 00:01:02.458]  Dealing with a hardcore child rapist convicted illegally
[00:01:03.968 --> 00:01:12.559]  Frolicking with children as young as two under state-sponsored operations in Houston, the blue city of Cess.
[00:01:16.444 --> 00:01:19.668]  Houston now known as Sodom and Gomorrah of South Texas.
[00:01:20.969 --> 00:01:22.331]  Oh yeah, it's like San Francisco.
[00:01:23.502 --> 00:01:25.682]  And we actually have the left people defending this.
[00:01:25.882 --> 00:01:29.843]  Oh, sex offenders, they're people too, like the New York Times says.
[00:01:30.343 --> 00:01:39.605]  Let them dress up in clown outfits and touch your children and tell them to do sexual simulations.
[00:01:39.885 --> 00:01:52.487]  Oh, turns out we have the video of this man leading the children in simulated sex acts with other literal goblin creatures.
[00:01:54.502 --> 00:01:55.982]  So radio listeners, I'll be breaking it down.
[00:01:56.042 --> 00:02:00.083]  TV viewers, you're going to have to face what the children face.
[00:02:02.424 --> 00:02:07.825]  But the good news is, our calls to go to these events and run people's plates are paying off.
[00:02:09.126 --> 00:02:12.006]  Oh, and there'll be more breaking news very soon from New York.
[00:02:13.327 --> 00:02:17.108]  We've just got some lawyers involved right now, and then law enforcement involved.
[00:02:18.308 --> 00:02:19.228]  But let's just say this.
[00:02:19.328 --> 00:02:20.168]  We have audio.
[00:02:21.129 --> 00:02:21.869]  We have video.
[00:02:23.387 --> 00:02:29.954]  I don't want to be like Darth Vader where he's got Luke Skywalker in Episode 4 in the crosshairs and he goes, I have you now.
[00:02:30.854 --> 00:02:31.735]  We don't want to do that.
[00:02:31.775 --> 00:02:34.278]  We don't want to say I have you till the X-Wing.
[00:02:34.298 --> 00:02:42.686]  I don't want to compare these guys to Luke Skywalker where you get the allegory and he goes... And then we'll tell you I have you.
[00:02:43.827 --> 00:02:44.048]  Show!
[00:02:45.714 --> 00:02:46.675]  We're very busy.
[00:02:47.255 --> 00:02:48.336]  We're busy beavers.
[00:02:48.836 --> 00:03:04.566]  And as I told you, we're not going to put up with the national media saying pedophilia doesn't exist, and then defend it and try to send in their commandos, because this guy is their commando, in his clown outfit, into your children, convicted of raping an eight-year-old boy.
[00:03:07.128 --> 00:03:11.391]  But yes, I don't want to give away the whole farm here, but we've been involved in all this.
[00:03:11.411 --> 00:03:14.753]  I mean, I told you a few months ago on air, I said, we're financing
[00:03:16.021 --> 00:03:17.021]  Investigating these people.
[00:03:18.242 --> 00:03:21.102]  And the best place to catch a predator is at their feeding grounds.
[00:03:24.243 --> 00:03:33.625]  If you want to hunt one of these creatures, legally and lawfully, you have to go to their watering holes.
[00:03:34.825 --> 00:03:38.066]  In the old days, they had to grab kids out of their backyards or playgrounds.
[00:03:38.926 --> 00:03:41.347]  Now the parents bring their children to them.
[00:03:44.477 --> 00:03:48.258]  And it's not men, it's women in clown outfits.
[00:03:48.959 --> 00:03:52.700]  Ah, and they talk to the two and three year olds about their booties.
[00:03:54.040 --> 00:03:58.702]  Let's have the child rapist talk about your son and daughter's booty.
[00:04:00.803 --> 00:04:04.404]  And let's have them dress up and come to the gay bar and dance.
[00:04:06.805 --> 00:04:08.906]  So, it's all breaking now.
[00:04:12.065 --> 00:04:16.288]  And again, while I'm on a cheesy Darth Vader riff, stay in attack formation.
[00:04:17.889 --> 00:04:20.010]  So, when I come back, we're going to get into that.
[00:04:21.831 --> 00:04:23.952]  I don't want to say I let you down.
[00:04:25.293 --> 00:04:31.217]  Actually, I really feel like we've arrived in that the public thinks for themselves now.
[00:04:31.897 --> 00:04:35.399]  And our mission, your mission, to a great extent, has been completed.
[00:04:35.420 --> 00:04:36.660]  We have other missions, obviously.
[00:04:40.111 --> 00:04:42.732]  Everyone, including the shooter, says it's a false flag.
[00:04:43.192 --> 00:04:44.073]  I've never said that.
[00:04:44.933 --> 00:04:49.515]  So I was kind of objectively looking at it on Friday, while it was hiding in plain view.
[00:04:49.535 --> 00:04:50.556]  We have a bunch of big developments there.
[00:04:50.576 --> 00:04:56.959]  But then, I was reading his manifesto again this morning, and I went, wait a minute, he says it's a false flag.
[00:04:57.419 --> 00:04:58.219]  He says that.
[00:04:58.779 --> 00:04:59.380]  We'll be right back.
[00:04:59.400 --> 00:04:59.720]  Stay with us.
[00:05:03.607 --> 00:05:07.490]  The globalists, the eugenicists, are always talking down to us.
[00:05:08.250 --> 00:05:12.093]  They're always trying to make us feel small, to feel insignificant.
[00:05:12.493 --> 00:05:19.538]  They try to censor because they fear you and don't want you to have the right to access information so you can make your own decisions.
[00:05:20.438 --> 00:05:22.660]  They want you to believe you're powerless.
[00:05:23.560 --> 00:05:27.043]  But the truth is, it is we the people and our ideas and our actions
[00:05:28.375 --> 00:05:31.338]  And what we say and what we do that changes the world.
[00:05:31.518 --> 00:05:33.059]  We are the power structure.
[00:05:33.539 --> 00:05:34.600]  We are the inventors.
[00:05:35.160 --> 00:05:36.221]  We are the trailblazers.
[00:05:36.942 --> 00:05:39.744]  And the globalists understand that.
[00:05:40.324 --> 00:05:46.289]  And they understand that they are basically trying to control and steal the future from we, the people.
[00:05:47.450 --> 00:05:51.253]  Now, to help fund our operation that is undoubtedly the very tip of the spear against these globalists,
[00:05:52.288 --> 00:06:02.816]  I want to encourage listeners and viewers to understand that throughout the second half of the month of March, we're going to have store-wide free shipping and 50% off at Forrestore.com, something everybody should take advantage of.
[00:06:06.278 --> 00:06:08.420]  Waging war on corruption.
[00:06:08.900 --> 00:06:14.144]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:06:18.147 --> 00:06:18.908]  Sunday, March 12, 2019.
[00:06:27.037 --> 00:06:50.452]  All right, let me lay out we're gonna be breaking down here today I have done a deep dive as they say on the tragic 50 dead Many others wounded at the mosque in Christ Church on March 15th the Ides of March and the
[00:06:52.125 --> 00:06:55.647]  Findings are conclusive and shocking.
[00:06:56.708 --> 00:06:57.848]  We're going to cover that first.
[00:06:58.989 --> 00:07:05.612]  Then, I don't want to give away our game plan, but it just metaphysically, I feel like I always have to.
[00:07:06.993 --> 00:07:14.738]  Because these pedos can't help themselves, but I still have to warn them, because I don't want to entrap them, even though I'm not bringing the kids to them.
[00:07:15.178 --> 00:07:17.099]  Still, I want them to know we're watching.
[00:07:17.939 --> 00:07:20.501]  If law enforcement's controlled or being blocked, we're not.
[00:07:21.465 --> 00:07:29.971]  And we're legally and lawfully going to be investigating all of these drag queen festivals that are in public spaces.
[00:07:31.912 --> 00:07:36.655]  Whether they're in public schools, whether they're in libraries, whether they're in hotels, we're going to be watching you.
[00:07:37.215 --> 00:07:38.596]  In fact, I've made a full commitment.
[00:07:38.616 --> 00:07:41.838]  We've already done some funding on this in the last year.
[00:07:42.559 --> 00:07:45.601]  You're seeing that pay off in Houston.
[00:07:47.404 --> 00:07:58.716]  Uh, with a hardcore child rapist who was leading operations against children as young as two, with the knowing accomplices in the government of Houston, which is now a pedo command base.
[00:07:59.276 --> 00:08:01.919]  And I have that from the U.S.
[00:08:02.079 --> 00:08:03.821]  Army, federal law enforcement, you name it.
[00:08:04.341 --> 00:08:05.463]  Very dangerous city now.
[00:08:06.103 --> 00:08:06.744]  Very evil.
[00:08:07.384 --> 00:08:10.608]  Doesn't mean all the police are bad, but it's in trouble.
[00:08:13.809 --> 00:08:21.312]  Like New York, like San Francisco, it is now free reign for hardcore child rapists, like you see on screen of your TV viewer.
[00:08:22.252 --> 00:08:24.933]  That is coming up after I get into the false flag news.
[00:08:28.574 --> 00:08:29.575]  Now, I want to be clear.
[00:08:34.557 --> 00:08:39.378]  I'm not saying this is a false flag in the term the media is going to use.
[00:08:41.139 --> 00:08:43.460]  Because they have limited understanding of the definition of false flag.
[00:08:46.571 --> 00:08:58.725]  I have put into modern use and parlance the modern definition of the historical research of in the past and in the present what false flag variants are.
[00:09:00.808 --> 00:09:01.749]  So there's a spectrum.
[00:09:04.872 --> 00:09:06.054]  But everybody knows that
[00:09:07.381 --> 00:09:16.228]  Jussie Smollett was a classical full-spectrum false flag where from pillar to post the whole thing was staged.
[00:09:19.002 --> 00:09:20.823]  But there's different types of false flags.
[00:09:20.983 --> 00:09:29.629]  And I don't want to say I'm ashamed of myself, but as I've gotten older, I've been a little bit more timid and don't go with my initial instincts or analysis just to be safe.
[00:09:29.849 --> 00:09:30.830]  And I think that's a good thing.
[00:09:30.870 --> 00:09:34.012]  I'm not 22 years old on air, you know.
[00:09:34.493 --> 00:09:38.035]  I was already a big history buff at that point, but still was full of piss and vinegar.
[00:09:38.055 --> 00:09:38.816]  I'm a little more careful.
[00:09:40.257 --> 00:09:41.177]  And everybody should be.
[00:09:41.517 --> 00:09:42.058]  But since
[00:09:44.440 --> 00:09:57.833]  The shooter himself, in his manifesto, says that he's doing all this to cause a global civil war and race war, and doing it to make people fight each other, and he says he's leftist, but he's also this and that.
[00:10:01.056 --> 00:10:06.321]  He's saying he's doing it to blame different parties that actually didn't do it.
[00:10:08.029 --> 00:10:15.091]  We're not saying he didn't do it, we're saying he has another motive than for why he's doing it and he tells you this in plain view.
[00:10:16.851 --> 00:10:19.132]  Which I've learned metaphysical vampires always do.
[00:10:19.172 --> 00:10:20.832]  I'm not saying he's a literal vampire.
[00:10:24.133 --> 00:10:32.295]  I've read his manifesto twice now and I'm kind of ashamed that I didn't say on Friday, hey this guy says it's a false flag.
[00:10:33.636 --> 00:10:34.896]  Now Rush Limbaugh did!
[00:10:38.001 --> 00:10:40.185]  And see, there's a certain satisfaction there now.
[00:10:41.508 --> 00:10:44.213]  That 15 years ago, Limbaugh wouldn't have said that.
[00:10:45.779 --> 00:10:52.481]  But in 2019, Limbaugh did because it's safe now to say what everybody already suspects.
[00:10:53.061 --> 00:10:55.202]  And again, it doesn't mean the government was involved.
[00:10:55.462 --> 00:10:57.082]  It doesn't mean that the guy didn't do it.
[00:10:57.462 --> 00:11:01.023]  He says in the manifesto, I'm trolling you.
[00:11:01.343 --> 00:11:05.484]  And he lists all these different ideologies, but then says, I want a big result.
[00:11:05.704 --> 00:11:06.625]  I want censorship.
[00:11:07.005 --> 00:11:07.825]  I want control.
[00:11:07.845 --> 00:11:11.466]  This would obviously help radical Islam expand.
[00:11:12.806 --> 00:11:15.027]  He tells you there what he's doing.
[00:11:16.997 --> 00:11:28.889]  See, if Jussie Smollett was really committed to evil, he would have killed himself and made it look like white supremacy.
[00:11:30.270 --> 00:11:36.376]  But instead, he went out like Laurel and Hardy or the Three Stooges and staged a ridiculously transparent event.
[00:11:38.940 --> 00:11:40.241]  And the attacks on synagogues.
[00:11:40.261 --> 00:11:43.004]  I mean, almost all these events are staged.
[00:11:43.324 --> 00:11:44.665]  It comes out, they're staged.
[00:11:45.006 --> 00:11:47.428]  There aren't real people doing poop swastikas.
[00:11:47.868 --> 00:11:51.832]  There aren't real people at the Air Force Academy saying no N-words aloud.
[00:11:51.852 --> 00:11:53.994]  It just isn't going on.
[00:11:57.213 --> 00:11:59.474]  Maybe in some weird areas of East Texas.
[00:12:00.054 --> 00:12:01.955]  Maybe in some weird areas of Mississippi.
[00:12:02.175 --> 00:12:04.677]  And by the way, my dad's family's from East Texas.
[00:12:04.697 --> 00:12:05.337]  They're great people.
[00:12:05.977 --> 00:12:08.539]  It's a tiny minority there that's actually in the KKK.
[00:12:08.779 --> 00:12:09.819]  But they exist.
[00:12:10.520 --> 00:12:14.341]  Just like you go to the wrong area, any place, there'll be a Mexican gang, a black gang.
[00:12:14.602 --> 00:12:17.083]  The KKK are rural, white gangs.
[00:12:19.383 --> 00:12:25.306]  And let me tell you, you pull up in a new truck and you got the super hot girl in town on your arm at Dairy Queen on Friday night.
[00:12:25.666 --> 00:12:27.247]  Four guys will walk over to you.
[00:12:27.767 --> 00:12:30.888]  If you're in the wrong place and say, we're in the KKK, you better get out of here.
[00:12:31.149 --> 00:12:32.209]  We're going to kick your ass.
[00:12:32.429 --> 00:12:33.830]  And I'm like, what you are is jealous.
[00:12:33.870 --> 00:12:36.411]  Let's go outside and I'll stomp your head in the ground.
[00:12:37.952 --> 00:12:38.572]  That's a true story.
[00:12:38.612 --> 00:12:40.213]  Of course, they backed off at that point.
[00:12:44.295 --> 00:12:46.716]  They're always the low IQ losers in town.
[00:12:48.168 --> 00:12:49.890]  They've usually got a chromosomal problem.
[00:12:50.151 --> 00:12:50.851]  It's sad.
[00:12:51.252 --> 00:12:51.953]  They're pathetic.
[00:12:52.674 --> 00:12:55.417]  They're not this giant, expanding power force.
[00:12:56.038 --> 00:12:58.601]  I tuned into CNN today to monitor it, and there was Brian Stelter.
[00:12:58.962 --> 00:13:03.107]  He was going, exploding white supremacist attacks, epidemics worldwide.
[00:13:03.327 --> 00:13:04.569]  They're incredibly rare.
[00:13:06.089 --> 00:13:16.337]  This event's carried out by a self-described eco-leftist who loves communist China, has a classic intelligence operative M.O., who doesn't work but travels the world all over the place.
[00:13:16.657 --> 00:13:18.459]  Looks like he has a commando build.
[00:13:19.360 --> 00:13:20.481]  The whole thing stinks.
[00:13:23.163 --> 00:13:24.564]  But he's telling you!
[00:13:28.407 --> 00:13:34.311]  That he staged it to cause a race war and is manipulating people just like the leftist Charlie Manson tried in 1969.
[00:13:34.771 --> 00:13:35.992]  So I don't know all the answers.
[00:13:36.813 --> 00:13:40.795]  But when he says he's staging it to get people fighting, that's a false flag.
[00:13:41.036 --> 00:13:44.618]  A false flag is something you do to get people fighting or to blame someone.
[00:13:44.818 --> 00:13:47.100]  I'll explain it when we come back and give you the new developments.
[00:13:47.160 --> 00:13:48.461]  I know most of you already understand this.
[00:13:51.403 --> 00:13:57.487]  And then, as you all know about two months ago, I have trouble not letting cats out of bags.
[00:13:59.557 --> 00:14:12.104]  I said, all you pedos better watch out at your little pedo induction events where people bring their children in to openly, in many cases, be auctioned off at the same hotel to be taken upstairs and buggered by pot-bellied pedos.
[00:14:13.104 --> 00:14:14.525]  I said, you better watch out.
[00:14:18.967 --> 00:14:21.129]  Because people are going to run your plates.
[00:14:21.949 --> 00:14:26.872]  And when it comes back, your child rapist, you're going to go to jail.
[00:14:27.751 --> 00:14:28.892]  And now it's starting to happen.
[00:14:28.932 --> 00:14:30.173]  We're not playing games.
[00:14:31.514 --> 00:14:33.316]  The money's on the street.
[00:14:34.837 --> 00:14:40.161]  And soon I'm going to announce, and I'm working with lawyers and others to make sure it's all done right, bounties.
[00:14:43.364 --> 00:14:52.612]  So we're going to turn loose the muscle, legally and lawfully on you, because we're not going to let a bunch of big, fat, degenerate men come in there and have their way with children.
[00:14:54.121 --> 00:14:54.861]  Everybody else can.
[00:14:55.441 --> 00:15:02.664]  All the other men can run around and act tough and drive around in their big trucks and cook their briskets and get tattoos and shoot their guns all day.
[00:15:02.984 --> 00:15:04.064]  I like doing that stuff too.
[00:15:04.104 --> 00:15:04.984]  I'm not saying you're bad.
[00:15:05.304 --> 00:15:08.225]  But you really ought to be spending some time protecting children.
[00:15:10.726 --> 00:15:16.868]  Because it's a move in every town and every city to let them into the school and not even tell parents it's going on.
[00:15:21.203 --> 00:15:23.023]  You think I'm sitting up here going, man, I'm really great.
[00:15:23.103 --> 00:15:25.444]  I'm really good that I'm the only guy that'll actually do this.
[00:15:26.084 --> 00:15:28.184]  The only person that built an operation to fight these people.
[00:15:28.885 --> 00:15:30.605]  You think I feel good being the only person doing this?
[00:15:30.625 --> 00:15:32.225]  I feel like crap.
[00:15:33.125 --> 00:15:33.866]  Makes me sick!
[00:15:35.966 --> 00:15:37.646]  Where the hell are all the men in this country?
[00:15:41.107 --> 00:15:42.047]  You're a bunch of posers.
[00:15:43.948 --> 00:15:44.768]  A bunch of cowards.
[00:15:44.788 --> 00:15:46.628]  A bunch of little boys.
[00:15:47.688 --> 00:15:48.929]  You're not really fighting evil.
[00:15:49.649 --> 00:15:50.669]  You're pretending to be a man.
[00:15:52.691 --> 00:15:54.172]  I know our listeners are taking action.
[00:15:55.052 --> 00:15:58.414]  Funding this operation is spreading the word, so you stand right with us, and I salute you.
