[00:00:06.221 --> 00:00:07.101]  You found it.
[00:00:07.421 --> 00:00:08.982]  The tip of the spear.
[00:00:09.422 --> 00:00:11.903]  It is the Alex Jones Show.
[00:00:13.383 --> 00:00:15.244]  And it's Tuesday, August 27th, 2019.
[00:00:15.304 --> 00:00:20.405]  Thank you for joining us on this live Tuesday transmission.
[00:00:20.965 --> 00:00:24.026]  Owen Schroer is going to be hosting most of the broadcast today.
[00:00:24.046 --> 00:00:25.927]  He's going to have in-studio
[00:00:26.947 --> 00:00:36.415]  An amazing, interesting guest that we had on yesterday, but they're going to get into a whole host of other issues that we didn't get to with Count Dankula yesterday.
[00:00:36.435 --> 00:00:40.318]  We're also going to have some other surprise guests popping in.
[00:00:40.639 --> 00:00:46.644]  Also, we're going to have my interview that I taped Sunday with Sargon of Akkad.
[00:00:47.364 --> 00:00:48.825]  That's over an hour long.
[00:00:49.366 --> 00:00:51.327]  Rob Dew kind of made it a mini-documentary.
[00:00:52.208 --> 00:00:57.130]  And added a lot of documentation to what I and Sargon were talking about.
[00:00:57.590 --> 00:01:00.832]  So that's all coming up in the second hour as well.
[00:01:00.872 --> 00:01:07.594]  And then Owen will be back in the third and into the fourth hour today with, again, Count Dankula.
[00:01:10.415 --> 00:01:14.857]  Yesterday, I went to DrudgeReport.com and there was the headline.
[00:01:15.717 --> 00:01:18.879]  The post-human world.
[00:01:19.761 --> 00:01:24.484]  And I clicked on the article and it was NBC News saying humans will soon be extinct.
[00:01:25.625 --> 00:01:27.006]  And there's a plan to get rid of us.
[00:01:28.027 --> 00:01:28.967]  Pretty amazing.
[00:01:30.408 --> 00:01:34.591]  You'd think that would be our top story because it's a sea, we told you so.
[00:01:37.290 --> 00:01:50.436]  I got caught around the axle covering how the system is attempting to crash the economy and openly allying with the Communist Chinese against America and a whole host of other important issues.
[00:01:50.517 --> 00:02:03.103]  But still, if you don't understand the transhumanist movement and where it came from, you don't understand the ruling class's ethos and their religion and where they're taking us.
[00:02:03.883 --> 00:02:05.744]  If you know this, you know everything.
[00:02:08.629 --> 00:02:16.250]  And you know why they're fomenting hatred of fellow man, and promoting racism in the name of fighting racism, and sexism, and all the whole trans movement.
[00:02:16.290 --> 00:02:19.471]  You can be a woman, you can be a man, a man can have a baby.
[00:02:19.631 --> 00:02:20.291]  None of it's true.
[00:02:20.811 --> 00:02:23.472]  Because they're getting you ready for the quote, cyborgs.
[00:02:24.272 --> 00:02:30.193]  And the great deception that comes with that, that I'm going to break down on the other side of this break.
[00:02:30.233 --> 00:02:32.694]  And there isn't a more important issue.
[00:02:33.154 --> 00:02:34.354]  It ties into everything.
[00:02:35.054 --> 00:02:35.134]  Yes.
[00:02:55.501 --> 00:03:05.209]  Survivors, a scorched earth policy, not just remove Trump, but destroy conservative culture, destroy nationalist culture, tear it all out so we can never come back.
[00:03:06.530 --> 00:03:11.855]  This is total authoritarianism, this is cultural genocide, and they're leading towards physical genocide.
[00:03:11.915 --> 00:03:18.721]  But after all, they work for the establishment, the transhumanists, that are building a post-human era.
[00:03:19.361 --> 00:03:23.625]  Let's go ahead and roll some of the chilling statements of this truly dangerous authoritarian.
[00:03:24.653 --> 00:03:28.815]  This is an extreme administration that is dangerous.
[00:03:28.855 --> 00:03:31.976]  If you are a Latino right now, you probably need to carry your birth certificate around.
[00:03:32.036 --> 00:03:37.419]  I've known people that are carrying them because they're so scared that they're going to be scooped up and stolen.
[00:03:37.839 --> 00:03:38.880]  But yet, it's fine.
[00:03:38.960 --> 00:03:40.040]  Go and dance on TV.
[00:03:40.220 --> 00:03:41.181]  It is incredible.
