[00:00:20.205 --> 00:00:21.927]  The Alex Jones Show.
[00:00:22.387 --> 00:00:24.229]  Because there is a war on.
[00:00:24.409 --> 00:00:25.491]  Or your mind.
[00:00:25.531 --> 00:00:33.119]  There's a lot of controversy around this network about Alex Jones, for example.
[00:00:46.705 --> 00:00:58.249]  Alex Jones, the far-right conspiracy theorist who is apparently... It's Alex Jones!
[00:00:58.269 --> 00:00:59.850]  Scum!
[00:01:00.750 --> 00:01:02.951]  Russian scum!
[00:01:03.071 --> 00:01:08.173]  Intel Wars comes to mind.
[00:01:12.295 --> 00:01:13.739]  Your reputation is amazing.
[00:01:14.200 --> 00:01:15.524]  I will not let you down.
[00:01:15.544 --> 00:01:18.592]  You will be very, very impressed, I hope.
[00:01:22.128 --> 00:01:25.070]  This is an emergency transmission from deep in the heart of Texas, the U.S.
[00:01:25.110 --> 00:01:33.416]  resistance against a global corporate combine, empowered and funded by Communist China, allied with the big megabanks that set up Communist China in 1949.
[00:01:33.837 --> 00:01:36.319]  The Communist Chinese have taken control of U.S.
[00:01:36.339 --> 00:01:37.820]  telecommunications infrastructure.
[00:01:38.140 --> 00:01:40.081]  The Communist Chinese have taken control of Hollywood.
[00:01:40.301 --> 00:01:42.423]  The Communist Chinese have taken control of the main universities.
[00:01:42.663 --> 00:01:43.724]  This is all confirmed.
[00:01:43.764 --> 00:01:44.705]  This is not a drill.
[00:01:44.865 --> 00:01:48.788]  Big Tech in Silicon Valley is almost completely run by the Communist Chinese government.
[00:01:49.128 --> 00:01:50.449]  They've officially become state-run.
[00:01:50.829 --> 00:01:51.349]  Apple 100%.
[00:01:51.389 --> 00:01:57.170]  Google is now making the transition and announcing a merger and total worldwide censorship.
[00:01:57.590 --> 00:02:02.371]  They are now beta testing using me as the straw man, a demonized version of Alex Jones, to do that.
[00:02:02.671 --> 00:02:03.531]  This is happening.
[00:02:03.571 --> 00:02:11.713]  This is not like the other probes before that were meant to get you used to probes and censorship, thinking you would adapt to censorship by just putting up with it.
[00:02:11.753 --> 00:02:17.494]  Now this attack is thousands and thousands and thousands of times the magnitude of all previous attacks.
[00:02:17.914 --> 00:02:25.940]  This is a titrated dose, reverse psychological warfare operation using adapt and overcome, subversion, paradigm manipulation.
[00:02:26.600 --> 00:02:30.322]  In layman's terms, they are manipulating the fact that we adapt to being oppressed.
[00:02:30.603 --> 00:02:33.805]  We adapt to being pressed with the low dosages of oppression.
[00:02:34.065 --> 00:02:41.090]  Now when the megaton hits us of the total takeover, we try to adapt to the poison infusion instead of not knowing.
[00:02:41.370 --> 00:02:43.992]  It's a lethal dose if we accept the dose.
[00:02:47.694 --> 00:02:54.521]  I have been chosen for destruction because I brought you this information and have been battering, ramming it out as much as I can.
[00:03:11.875 --> 00:03:20.598]  They want to double use me as they always do in any complex system of mathematical deception, where every angle of my good is turned against us.
[00:03:20.638 --> 00:03:25.539]  So they take what I've said, being sincere, build me into an insincere person in the straw man.
[00:03:25.899 --> 00:03:30.781]  I'm a person that cares about life and children, and is against these wars, and so they make me a herder of children.
[00:03:31.001 --> 00:03:38.823]  And then they build me into this lie to then set the distraction while they're actually censoring all of you to make a debate about Alex Jones.
[00:03:39.023 --> 00:03:46.085]  So even if I didn't sell out to them, they've now used me as an archetype to serve them by being the main distraction.
[00:03:46.165 --> 00:03:52.187]  I have now been captured by the enemy in the information warfare fulcrum and is being used against you.
[00:03:52.207 --> 00:03:56.808]  Only your full understanding of this key will break you free from this paradigm.
[00:03:56.828 --> 00:03:58.929]  I have given you the transmission!
[00:03:59.049 --> 00:03:59.929]  Now break free!
[00:04:00.769 --> 00:04:14.534]  I have sworn upon the altar of God eternal hostility against every form of tyranny over the mind of man.
[00:04:14.554 --> 00:04:15.514]  Thomas Jefferson.
[00:04:15.614 --> 00:04:19.896]  If you are receiving this transmission, you are the resistance.
[00:04:25.188 --> 00:04:28.811]  Ladies and gentlemen, thank you for joining us on this Friday, February 8, 2019 broadcast.
[00:04:28.871 --> 00:04:34.856]  I am not going to be able to be on air right now because we're working on such a big, important story.
[00:04:35.597 --> 00:04:40.841]  I'm going to have to air some promos when we come back because I need to get our ducks in a row.
[00:04:41.442 --> 00:04:46.306]  Last night, we got blindsided by some of the raw footage being released by Sinclair.
[00:04:46.787 --> 00:04:48.628]  I can tell you where it all came from, how they got it.
[00:04:48.928 --> 00:04:51.631]  It was leaked by someone in the House or Senate.
[00:04:53.021 --> 00:04:54.962]  Judiciary Committee was not released by Roger Stone.
[00:04:55.383 --> 00:05:01.086]  We have all the raw footage, we've been authorized to release it, and it shows stunning criminal activity by the government.
[00:05:01.186 --> 00:05:06.170]  We'll show it to you.
[00:05:06.810 --> 00:05:21.320]  When we go off to war, when we exercise our rights, when we soar to our greatest heights, when we mourn and pray,
[00:05:24.284 --> 00:05:27.687]  When our neighbors are at risk.
[00:05:28.047 --> 00:05:29.969]  When our nation is threatened.
[00:05:31.910 --> 00:05:33.992]  There's someone to gather the facts.
[00:05:36.154 --> 00:05:37.155]  To bring you the story.
[00:05:39.817 --> 00:05:40.898]  No matter the cost.
[00:05:43.440 --> 00:05:46.843]  This is why so many people can't stand the mainstream media.
[00:05:47.283 --> 00:05:49.025]  Because knowing empowers us.
[00:05:50.766 --> 00:05:52.608]  Knowing helps us decide.
[00:05:53.982 --> 00:05:58.166]  Knowing keeps us free.
[00:06:12.318 --> 00:06:17.282]  Crashing through the lies and disinformation, it's Alex Jones.
[00:06:45.166 --> 00:06:46.767]  It's Friday, February 8th, 2019.
[00:06:46.847 --> 00:06:51.790]  You get tomorrow's news today.
[00:06:52.831 --> 00:06:58.574]  Okay, I'm going to go to some recent reports we did and some important information.
[00:06:59.454 --> 00:07:05.538]  And then either next segment or next segment after that, not sure yet, I'll be back ready to premiere this information.
[00:07:06.538 --> 00:07:10.281]  But something that's important, I need to go over it one more time.
[00:07:11.304 --> 00:07:16.989]  And we're also going to blur the faces of the FBI agents, even though they wouldn't do that for us in the general public.
[00:07:17.890 --> 00:07:19.011]  And so we've got to deal with that.
[00:07:19.031 --> 00:07:20.873]  And we had a computer crash while it was doing it.
[00:07:20.973 --> 00:07:23.435]  So that's not the issue.
[00:07:23.955 --> 00:07:26.698]  We have the exclusive, complete FBI raid.
[00:07:27.298 --> 00:07:28.580]  They took the wrong DVR.
[00:07:28.620 --> 00:07:30.161]  They tried to cover the cameras up with tape.
[00:07:30.301 --> 00:07:31.222]  They were not successful.
[00:07:32.583 --> 00:07:37.868]  And Roger didn't even give us this footage to put on air.
[00:07:40.342 --> 00:07:51.352]  He gave it to the House and Senate Judiciary Committees, and he was told it was also then shared around to some other committees, and that his lawyers had them promise.
[00:07:52.591 --> 00:07:59.993]  Because obviously they reached out, seeing if they had any footage of the raid, that they would not leak it because the court's trying to gag Roger right now.
[00:08:00.773 --> 00:08:04.014]  And so he expressly had agreements through his lawyers that they would not leak it.
[00:08:04.074 --> 00:08:06.995]  Well, they leaked it to Sinclair, meaning it's probably Republicans.
[00:08:07.455 --> 00:08:08.655]  They probably thought they were helping Roger.
[00:08:09.736 --> 00:08:15.397]  So Roger overnighted to me last night via FedEx and UPS in case there was a problem.
[00:08:15.897 --> 00:08:18.018]  One arrived at 9 a.m., one arrived at 10 a.m.
[00:08:19.537 --> 00:08:29.685]  We went in and started reviewing the footage while I was here getting ready for the broadcast, and it's so horrible and also so dangerous.
[00:08:30.285 --> 00:08:33.487]  There'll definitely be payback for what we're going to do here, but you know what?
[00:08:33.607 --> 00:08:36.389]  Somebody's got to step up to this type of criminal activity.
[00:08:37.770 --> 00:08:42.254]  But the brazen, nakedness of this, this could take down the whole Mueller probe.
[00:08:43.786 --> 00:08:44.546]  Post-probe.
[00:08:45.187 --> 00:08:50.550]  Because it's dangerous, it's Byzantine, it's draconian, it's authoritarian, it's unconstitutional.
[00:08:51.671 --> 00:09:08.261]  How the FBI lied against the Mueller group, and how the Democrats lied, and how CNN lied, I know that's a big, big surprise, about CNN being tipped off to be there.
[00:09:09.221 --> 00:09:13.264]  Now, it's a felony to give out warrant information before it's served.
[00:09:14.397 --> 00:09:15.538]  Federal law, state law.
