[00:00:00.236 --> 00:00:01.857]  Come on man!
[00:00:01.857 --> 00:00:03.278]  Don't call it a comeback!
[00:00:27.857 --> 00:00:32.305]  Ladies and gentlemen, I'm here because it's time to take on the globalists.
[00:00:32.305 --> 00:00:35.430]  It's time to politically knock them out.
[00:00:35.430 --> 00:00:39.036]  Because, like LL Cool J said, mama said knock you out.
[00:00:42.381 --> 00:00:42.461]  I'm
[00:01:03.010 --> 00:01:04.271]  To tyranny, you become weak.
[00:01:04.271 --> 00:01:06.751]  If you fight tyranny, you become strong.
[00:01:06.751 --> 00:01:07.492]  That's just a fact.
[00:01:07.492 --> 00:01:08.932]  That's why I coined the term.
[00:01:08.932 --> 00:01:11.173]  Resistance is victory.
[00:01:11.173 --> 00:01:15.455]  Because you resist, and you know you're resisting, and you've got right on your side.
[00:01:15.455 --> 00:01:18.456]  Long term, the idea is invincible.
[00:01:18.456 --> 00:01:22.157]  What V for Vendetta quote from the writers is absolutely true.
[00:01:22.157 --> 00:01:23.938]  Ideas are bulletproof.
[00:01:26.204 --> 00:01:36.989]  I asked Darren McBreen, who's a great researcher, a great newsman, yesterday, I said, hey, get me some of the clips of people celebrating killing their babies and abortion.
[00:01:36.989 --> 00:01:45.413]  And he came to me this morning, he said, hey, I know you said you only want this five, six minutes long, but he said, there's hundreds of these.
[00:01:45.413 --> 00:01:46.793]  And I said, well, what are you talking about?
[00:01:46.793 --> 00:01:53.136]  And I got here a little bit early this morning, so we sat there for a while, and he played me a bunch of clips I'd never seen before.
[00:01:55.129 --> 00:02:09.477]  And it just convicted my heart to come on air and say, that's why I'm so angry, that's why I'm so aggressive, that's why I don't want to lose, because these people get off on the power trip of rubbing out a little baby and it's whole potential.
[00:02:09.477 --> 00:02:10.437]  And celebrating that.
[00:02:10.437 --> 00:02:12.438]  There's nothing more satanic.
[00:02:12.438 --> 00:02:21.923]  And so if there's a radio station on the spiritual dial that's hell on earth, that is the absolute bottom falling out, that's these individuals.
[00:02:21.923 --> 00:02:23.144]  And this is a spiritual fight.
[00:02:24.600 --> 00:02:27.562]  And evil is manifesting itself everywhere and none of us are perfect.
[00:02:27.562 --> 00:02:34.867]  There's incredible pressure out there to just be angry or to get into it or not to care or just go get blind drunk.
[00:02:34.867 --> 00:02:36.087]  And we can't do that.
[00:02:36.087 --> 00:02:39.990]  And so I'm not perfect, you're not perfect, none of us are perfect, but we love God.
[00:02:39.990 --> 00:02:41.591]  We love justice and we want to be better.
[00:02:42.622 --> 00:02:43.603]  We have a conscience.
[00:02:43.603 --> 00:02:51.133]  And so, people that love God and who are overall good people, we're all still fallen, are always feeling like, well, we shouldn't be leaders because we're not perfect.
[00:02:51.133 --> 00:02:56.521]  Well, we're pointed toward that North Star that's God.
[00:02:56.521 --> 00:02:58.243]  And that's really our job.
[00:03:01.124 --> 00:03:05.730]  We just need to try to do the right thing and then God's going to take us the rest of the way.
[00:03:05.730 --> 00:03:07.071]  And that's really what it comes down to.
[00:03:07.071 --> 00:03:12.879]  We're seeing evil come out in the open, try to overwhelm us, try to break our will, try to demoralize us, try to make us give up.
[00:03:12.879 --> 00:03:14.060]  And that's not going to happen my will.
[00:03:15.367 --> 00:03:17.128]  Is stronger than it's ever been.
[00:03:17.128 --> 00:03:22.992]  That said, though, like a race car engine over revving with the driver, you can blow the engine.
[00:03:22.992 --> 00:03:26.935]  Some of your best racehorses end up, you know, having heart attacks because they want to go so hard.
[00:03:26.935 --> 00:03:28.536]  They've got so much will.
[00:03:28.536 --> 00:03:31.619]  So with great power, as they say in Spider-Man, comes great responsibility.
[00:03:32.199 --> 00:03:34.601]  And all of us have great power that God's given us.
[00:03:34.601 --> 00:03:47.709]  And now it's time to use it to get out there in every way we can to go speak at city council and the student groups and the PTA meetings and the college boards and the water district and the dog catcher and the legislature and Congress.
[00:03:47.709 --> 00:03:50.271]  I mean, I go to Congress and there's no citizens there.
[00:03:51.294 --> 00:03:56.963]  Or they have a hat in their hand, real scared, like they're talking to a god, going into their office buildings.
[00:03:56.963 --> 00:04:06.378]  And there's just lobbyists, and politicians, and hangers-on, and aides, all arrogantly stomping around, faking it until they make it.
[00:04:08.650 --> 00:04:12.233]  And instead, we the people should be in those office buildings.
[00:04:12.233 --> 00:04:14.855]  We should be at those hearing meetings.
[00:04:14.855 --> 00:04:18.317]  Everyone should take their vacation every year in D.C.
[00:04:18.317 --> 00:04:24.562]  and instead of just drinking a bunch of alcohol and eating a bunch of food, going and confronting these people.
[00:04:25.629 --> 00:04:27.570]  He's much more fulfilling.
[00:04:27.570 --> 00:04:29.872]  And it's very, very powerful.
[00:04:29.872 --> 00:04:35.295]  I mean, you just walk right up to Sundar Pichai of Google and get right in his stinking, ugly, lying face.
[00:04:35.295 --> 00:04:39.077]  And he craps his little britches and scream at him, you're a traitor.
[00:04:39.077 --> 00:04:41.238]  You bet on the wrong country, you're going down.
[00:04:41.238 --> 00:04:44.860]  That was less than a year ago, and you're now see it beginning to happen.
[00:04:44.860 --> 00:04:45.981]  That's called express
[00:04:46.421 --> 00:05:02.610]  We sold Secret 12 for four years, and it was our number third bestseller.
[00:05:02.610 --> 00:05:07.372]  We had to discontinue it because when you upgrade a formula, you are supposed to rename it.
[00:05:07.372 --> 00:05:09.614]  That new formula is Ultra 12.
[00:05:09.614 --> 00:05:13.096]  It's twice as strong as Secret 12, the very best vitamin B12 out there,
[00:05:13.996 --> 00:05:19.100]  It's got the complex system that lets your body absorb it, and it does amazing things.
[00:05:19.100 --> 00:05:20.921]  Supports healthy nerve and brain cells.
[00:05:20.921 --> 00:05:22.222]  Helps make DNA.
[00:05:22.222 --> 00:05:23.543]  Helps the body produce energy.
[00:05:23.543 --> 00:05:25.045]  Helps produce healthy blood cells.
[00:05:25.045 --> 00:05:27.046]  Essential for proper nervous system function.
[00:05:27.046 --> 00:05:27.867]  It goes on and on.
[00:05:27.867 --> 00:05:36.153]  B12 deficiency is a serious problem that can cause anemia, fatigue, weakness, constipation, weight loss, depression, poor memory loss, asthma, vision problems, and low sperm count.
[00:05:36.153 --> 00:05:38.675]  Bottom line, folks, you need Ultra 12.
[00:05:38.675 --> 00:05:40.396]  It helps fund the inflow war, so it's a 360 win.
[00:05:41.337 --> 00:05:45.520]  And it's 50% off for a limited time at InfowarsStore.com.
[00:05:45.520 --> 00:05:50.843]  Again, we can only run the special for the next two weeks or so while supplies last.
[00:05:50.843 --> 00:05:54.426]  Ultra 12, twice as powerful, half the price.
[00:05:54.426 --> 00:05:56.087]  50% off right now at InfowarsLive.com.
