[00:00:04.623 --> 00:00:04.745]  Okay.
[00:00:16.466 --> 00:00:19.188]  I'm gonna grow a magnificent pair of breasts.
[00:00:20.069 --> 00:00:22.730]  I'm going to transition into a woman.
[00:00:23.171 --> 00:00:23.851]  It'll be great.
[00:00:24.131 --> 00:00:36.560]  You should crawl back into your mother's rancid womb, gestate for a few more hours, slide back out, and then learn something about not being an entitled, white, piece of sh**.
[00:00:37.000 --> 00:00:38.761]  This is Trump, people.
[00:00:38.841 --> 00:00:40.042]  When the rubber meets the road,
[00:00:41.337 --> 00:00:42.597]  Yeah, you're a f***ing idiot.
[00:00:42.657 --> 00:00:44.958]  All you have is a f***ing f***ing president!
[00:00:45.238 --> 00:00:47.659]  He's a racist, stupid piece of s***!
[00:00:47.779 --> 00:00:51.180]  If you guys are working for Alex Jones, you're working for a murderer!
[00:00:51.621 --> 00:00:53.721]  Alex Jones is an a**hole.
[00:00:59.690 --> 00:01:00.611]  I got a chair going.
[00:01:00.791 --> 00:01:05.615]  If you had to choose one prominent person to be banned next, who would you choose?
[00:01:06.236 --> 00:01:12.081]  You.
[00:01:12.201 --> 00:01:14.303]  This is what's happening to the men in our country.
[00:01:14.363 --> 00:01:15.624]  Where are the men?
[00:01:15.644 --> 00:01:17.085]  Stop touching my stuff.
[00:01:17.185 --> 00:01:18.066]  I'm backing away.
[00:01:18.447 --> 00:01:18.827]  Stop.
[00:01:23.250 --> 00:01:25.811]  Why are you doing that?
[00:01:25.832 --> 00:01:27.272]  Get the f***ing stuff in it!
[00:01:27.532 --> 00:01:28.693]  Don't film it!
[00:01:28.713 --> 00:01:30.213]  You're not allowed!
[00:01:30.233 --> 00:01:32.814]  You can't use it!
[00:01:32.874 --> 00:01:34.495]  Please do not touch me.
[00:01:34.575 --> 00:01:35.836]  Please do not touch me.
[00:01:36.196 --> 00:01:37.016]  Once again it's me.
[00:01:37.196 --> 00:01:38.857]  I actually sent both of you guys.
[00:01:38.957 --> 00:01:41.558]  Right beforehand you f***ing said, sir!
[00:01:41.758 --> 00:01:45.039]  If I have boobs drawn on my shirt, it's because I'm a liberated woman!
[00:01:45.220 --> 00:01:45.940]  I am!
[00:01:52.790 --> 00:01:53.290]  Motherf***er!
[00:01:53.330 --> 00:01:54.431]  Take it outside!
[00:01:54.451 --> 00:01:59.292]  If you don't call me sir again, I will show you no f***ing sir!
[00:01:59.453 --> 00:02:00.213]  Motherf***er!
[00:02:00.233 --> 00:02:03.554]  Get the f*** out of my face!
[00:02:03.574 --> 00:02:03.894]  Go home!
[00:02:03.914 --> 00:02:04.394]  Go home!
