[00:00:16.055 --> 00:00:18.077]  Hello, stupid Americans.
[00:00:18.497 --> 00:00:21.940]  Fentonov, Chinese Communist Wagoneer.
[00:00:22.581 --> 00:00:24.422]  I told you just a week ago.
[00:00:24.762 --> 00:00:27.024]  When you don't do what we say, you die.
[00:00:27.405 --> 00:00:31.548]  Look what happened to a Hong Kong protester.
[00:00:32.068 --> 00:00:36.292]  Oh, and don't forget, we killed more than Hitler ever did.
[00:00:36.772 --> 00:00:38.874]  And that's why the liberals love us.
[00:00:42.324 --> 00:00:49.889]  In America, the colleges that we fund teach no borders, no walls, no USA at all.
[00:00:50.269 --> 00:00:52.651]  Let me show you a trained slave.
[00:00:56.997 --> 00:01:01.659]  America is a rotting carcass covered in filthy maggots.
[00:01:02.160 --> 00:01:04.261]  Look at your own James Harden.
[00:01:04.701 --> 00:01:07.102]  He came out and apologized to us.
[00:01:07.462 --> 00:01:08.423]  That's good.
[00:01:08.843 --> 00:01:14.226]  And now we tell the NBA what to do, and the NBA say, yes, master.
[00:01:14.526 --> 00:01:15.466]  Yeah, we apologize.
[00:01:16.007 --> 00:01:19.028]  You know, we love China.
[00:01:19.068 --> 00:01:20.209]  We love playing there.
[00:01:21.667 --> 00:01:25.010]  Finally, you saw what happened to South Park.
[00:01:25.390 --> 00:01:31.316]  They talk about our re-education camps, and our death camps, and how Winnie the Pooh was banned.
[00:01:31.836 --> 00:01:33.698]  And let me now tell you what happens.
[00:01:33.758 --> 00:01:35.159]  They abandon our country.
[00:01:35.479 --> 00:01:37.902]  Then they put out sarcastic apology.
[00:01:38.282 --> 00:01:39.303]  That's not good enough.
[00:01:39.883 --> 00:01:43.927]  Once we take over, we're going to kill the South Park producers.
[00:01:44.147 --> 00:01:45.328]  That's what we do.
[00:01:49.855 --> 00:01:51.556]  Everyone is adopting our model.
[00:01:51.977 --> 00:01:57.360]  Big Tech is censoring Alex Jones, and now even Republican leaders, and they do nothing!
[00:01:58.561 --> 00:02:01.903]  Soon, sites like BandMod Video will be shut down.
[00:02:02.263 --> 00:02:06.646]  You stinking Americans do not share that site or InfoWars.com.
[00:02:06.746 --> 00:02:07.287]  Submit.
[00:02:07.547 --> 00:02:08.568]  Do not fight back.
[00:02:08.848 --> 00:02:10.129]  Do what I say.
[00:02:10.549 --> 00:02:10.749]  Oh!
[00:02:17.481 --> 00:02:19.582]  I just caught you, American!
[00:02:19.922 --> 00:02:21.963]  You visited Bandar Video!
[00:02:22.864 --> 00:02:26.106]  Oh, Mark Zuckerberg and others angry at you!
[00:02:26.666 --> 00:02:33.630]  Do what CNN says and do not visit Bandar Video or I have to hurt you!
[00:02:34.010 --> 00:02:36.811]  Ladies and gentlemen, it is Friday, October 11, 2019.
[00:02:36.951 --> 00:02:40.113]  I'm your host, Alex Jones.
[00:02:40.173 --> 00:02:43.155]  We're going to be here live for the next four hours.
[00:02:44.588 --> 00:02:47.252]  And I'm going to open the phones up throughout the full four hours.
[00:02:47.272 --> 00:02:48.674]  In fact, I had some guests scheduled.
[00:02:49.114 --> 00:02:50.176]  I've canceled those guests.
[00:02:50.897 --> 00:02:56.344]  I specifically want to open up the College of Ideas here for people that agree, people that disagree.
[00:02:57.549 --> 00:03:06.072]  On your views, if impeachment is inevitable, like Pat Buchanan is saying it is, and I respect Pat Buchanan, well, what comes next?
[00:03:06.132 --> 00:03:11.013]  Well, we'll look at those different possible futures here on air.
[00:03:11.033 --> 00:03:13.514]  And why is it inevitable?
[00:03:13.534 --> 00:03:19.096]  Well, we have a bunch of cowards in Congress that are being blackmailed and are being threatened and are being controlled.
[00:03:19.936 --> 00:03:22.117]  And I really don't think it's inevitable.
[00:03:23.197 --> 00:03:25.558]  But Trump has it in his power to act.
[00:03:26.448 --> 00:03:29.110]  Now this rhetoric last night was amazing.
[00:03:29.531 --> 00:03:32.554]  This is the second best speech he's given since the United Nations.
[00:03:34.015 --> 00:03:34.315]  The U.N.
[00:03:34.335 --> 00:03:42.743]  speech was very focused, was not done in a Don Corleone meets a comedian version.
[00:03:43.123 --> 00:03:47.007]  Very funny, very entertaining, very serious issues he was covering though.
[00:03:47.984 --> 00:03:55.048]  I was here last night hosting live with Will Johnson, giving live coverage of it, and that's archived at Band.video.
[00:03:55.068 --> 00:04:05.233]  We're going to play large sections of the speech today in the second and the third hour, and of course, we'll be taking your calls throughout that.
[00:04:05.774 --> 00:04:07.635]  But there really is a paradox here.
[00:04:08.988 --> 00:04:12.290]  When it comes to actually indicting any of the deep staters, we're seeing none of that.
[00:04:12.330 --> 00:04:16.992]  But some people that really had no connection to Trump, the barely-new Giuliani, they've been indicted.
[00:04:17.812 --> 00:04:20.394]  And of course, we don't see any action on the internet censorship.
[00:04:20.434 --> 00:04:25.116]  We see a lot of talk, but no action on that as well.
[00:04:25.296 --> 00:04:29.859]  And so, if Trump gets taken down, Trump has Donald Trump to blame.
[00:04:31.179 --> 00:04:33.280]  But then, we're really in deep crap at that point.
[00:04:34.141 --> 00:04:35.581]  Donald Trump's not going to save us.
[00:04:37.142 --> 00:04:38.363]  We're going to have to save ourselves.
[00:04:41.363 --> 00:04:52.670]  Trump is a echo of male bullheadedness and Americana strength.
[00:04:54.972 --> 00:04:56.353]  But an echo from the past.
[00:04:58.254 --> 00:04:59.535]  A piece of Americana.
[00:05:01.056 --> 00:05:02.257]  A lost relic.
[00:05:05.714 --> 00:05:17.183]  But if we don't ourselves rediscover what made America great, and if we ourselves don't say no to the bullying and the control of the globalists, we're going to lose everything.
[00:05:18.884 --> 00:05:25.890]  Even in, quote, nationalist or conservative newsrooms, when people talk to you about
