[00:00:12.792 --> 00:00:13.237]  Let's go!
[00:00:32.282 --> 00:00:39.426]  Ladies and gentlemen, thank you for joining us on this Monday, January 14th, 2019 Global Broadcast.
[00:00:39.446 --> 00:00:52.274]  I am your host, Alex Jones, the embattled, demonized, under siege broadcaster who is under attack because we have exposed the globalist system with the help of our wonderful listeners.
[00:00:52.334 --> 00:00:57.417]  We have relaunched free market love of Americana, not just here, but around the world.
[00:00:58.197 --> 00:01:00.959]  Our audience and this show and what we've built here is the heart
[00:01:02.017 --> 00:01:05.160]  of the resistance and the globalists know it and cannot stand it.
[00:01:05.680 --> 00:01:19.432]  We've told you for 20 plus years that when the fourth wave feminism hit, it was actually being deployed by globalists who wanted to end the family as we know it and isolate women and children so the state would be their husband.
[00:01:19.873 --> 00:01:27.680]  We knew that because it was in globalist white papers and I put it in films like Endgame, Blueprint for Global Enslavement that will be 12 years old next month.
[00:01:28.740 --> 00:01:31.865]  And now, notice how the talking points are all together the last few days.
[00:01:33.007 --> 00:01:39.859]  The American Psychological Association calls traditional masculinity harmful and basically mentally ill.
[00:01:40.059 --> 00:01:40.620]  USA Today.
[00:01:42.267 --> 00:01:47.891]  Procter & Gamble owner of Gillette puts out a new ad saying that facial hair is toxic, so shave.
[00:01:48.311 --> 00:01:50.613]  Comes off like a joke, but it's very, very serious.
[00:01:51.334 --> 00:01:57.798]  That was my final straw when my kids liked the beard I grew on vacation, that it makes the left so angry that it's here to stay.
[00:01:58.379 --> 00:02:03.062]  Because, again, it's a symbol of differences in the sexes, which they can't stand.
[00:02:04.543 --> 00:02:06.224]  Oh, and the latest at InfoWars.com.
[00:02:08.288 --> 00:02:14.765]  Paul Joseph Watson article, leftist French website calls for heterosexuality to be banned.
[00:02:15.475 --> 00:02:24.881]  And that's really a mainline theme being taught on colleges, not just here, but in Europe, that, again, heterosexuality itself is a bad thing.
[00:02:25.522 --> 00:02:40.152]  Number one, because it creates more children, and that's why many leftist groups celebrate the declining birth rates in the West, and the fact that Europe only has a 1.3% replacement rate, saying it'll be good when the white race is finally gone.
[00:02:41.636 --> 00:03:06.455]  Now, when people like the eugenicist father of DNA Discovery, James Watson, comes out and says milder statements, which I still don't agree with, he has a right to say them, while he's stripped of all his honors, but when mainline New York Times board members and major professors say whites are inherently evil and we're going to be so much better off when white people are gone,
