[00:00:03.257 --> 00:00:05.902]  Waging war on corruption.
[00:00:05.902 --> 00:00:12.793]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:12.793 --> 00:00:14.837]  Alright!
[00:00:16.873 --> 00:00:38.727]  It's Thursday, January 10th, 2019, and I was going to have a workday here on a bunch of projects that are behind schedule because of me not making time to get them done, and Owen Schroyer, who hosts the Forum Every Day at 3 o'clock Central, was going to be hosting.
[00:00:38.727 --> 00:00:43.070]  But I'm just going to be here in the first two segments today, and
[00:00:45.046 --> 00:00:48.068]  You gotta forgive me too.
[00:00:48.068 --> 00:00:52.371]  When I start really using my noggin, I start sweating.
[00:00:52.371 --> 00:00:55.973]  I can sit out in the sun if I'm not thinking.
[00:00:55.973 --> 00:00:58.075]  It can be 105 degrees and I barely sweat.
[00:00:58.075 --> 00:01:00.156]  But when I really start trying to
[00:01:03.092 --> 00:01:11.815]  Look at all the information and how serious it is to start sweating, which is a normal reaction if your child, say, is going to have surgery, or if you're being pushed to the edge of a cliff.
[00:01:11.815 --> 00:01:22.239]  And a lot of people try to stay away from facing things, and that's one reason we live in this very, very dangerous society and culture with a bunch of delusional devil worshippers running around thinking they're God.
[00:01:23.806 --> 00:01:29.608]  But as everybody can notice, I'm not obsessed with being right every time.
[00:01:29.608 --> 00:01:31.128]  I don't want to be right about this stuff.
[00:01:31.128 --> 00:01:35.269]  The word is Trump was going to declare an emergency two days ago.
[00:01:35.269 --> 00:01:39.910]  Evidence shows we're already in one, but he didn't do it.
[00:01:39.910 --> 00:01:48.812]  And now I see in hindsight he wanted to look measured and nice and have them overreact, thinking the emergency was coming, saying don't air it and acting all crazy.
[00:01:51.618 --> 00:01:57.621]  Trump again, at least when it comes to things like that, has a very good instinct.
[00:01:57.621 --> 00:02:03.725]  But now you hear he's saying, you don't do the deal, and you don't build the wall.
[00:02:03.725 --> 00:02:08.848]  And then they attack the idea of a wall, it's like they attack the idea of a border at all.
[00:02:08.848 --> 00:02:11.770]  You notice now that Trump is saying that he's set to declare an emergency.
[00:02:11.770 --> 00:02:16.893]  And I don't think he's made the decision when to officially do it.
[00:02:16.893 --> 00:02:18.774]  That's why it's really hard to tell.
[00:02:18.774 --> 00:02:20.615]  But I really think at the border today,
[00:02:22.697 --> 00:02:35.402]  He's going to introduce the idea and really sell it to the public and he'll either declare it today or he will declare it, I'd say, next Monday, next Tuesday, next Wednesday, maybe even as early as Friday, Owen.
[00:02:35.402 --> 00:02:37.263]  What do you think?
[00:02:37.263 --> 00:02:40.324]  I think it's going to be a little more of an extended timetable.
[00:02:40.324 --> 00:02:45.146]  I expect it maybe to come in two weeks, but I do think it's inevitable that there will be a national emergency declared.
[00:02:45.146 --> 00:02:47.967]  I think Trump has already decided that and I think he's just kind of
[00:02:48.974 --> 00:03:13.475]  Measuring the waters and waiting for the right time to go ahead and go full throttle with it and the Democrats you know and the amazing thing Alex is To us we see the Democrats destroying themselves and they are But they have their ace in the hole and an entire game game plan behind the socialist Sandy Cortez which is really kind of their their safety net here shows their timetable and
[00:03:13.915 --> 00:03:27.442]  Is to make it a racial socialist Hispanic party, but then bullies all the other Hispanics to go along with it, and then they'll have that key demographic locked in vote and take us away of Venezuela, which is the admitted globalist plan in the next 10 to 20 years.
[00:03:27.442 --> 00:03:33.906]  She's the prototype of the future total puppet being loaded information by the globalists that set offshore.
[00:03:33.906 --> 00:03:34.846]  And I agree with you.
[00:03:34.846 --> 00:03:36.067]  And let's explain.
[00:03:36.067 --> 00:03:37.648]  People go, well, the Democrats are losers.
[00:03:37.648 --> 00:03:38.869]  They're inverting reality.
[00:03:38.869 --> 00:03:39.929]  They're horrible demon people.
[00:03:39.929 --> 00:03:41.570]  They want to sexualize our children.
[00:03:41.570 --> 00:03:42.811]  Yes, they're a weapon system.
[00:03:43.291 --> 00:03:45.412]  They're a demoralization bomb.
[00:03:45.412 --> 00:03:53.715]  And the reason they're a bunch of scum and physically look so ugly and hunchbacked and demonic is because this is the scum of the earth.
[00:03:53.715 --> 00:04:00.317]  Whether they be black, whether they be white, whatever group they are, these are literal wicked witch demons.
[00:04:00.317 --> 00:04:00.877]  And they know it.
[00:04:00.877 --> 00:04:01.957]  And they don't like being called out for it.
[00:04:01.957 --> 00:04:04.578]  These people are devil worshippers.
[00:04:04.578 --> 00:04:07.940]  And when you get to the bottom of the barrel in Hollywood, that's what they are.
[00:04:07.940 --> 00:04:09.080]  They're devil worshippers.
[00:04:09.080 --> 00:04:11.881]  And that's what these power seekers are devil worshippers.
[00:04:12.591 --> 00:04:19.075]  And they're all about themselves, and they're all about this me-me-me-me selfishness that's destroying civilization and society.
[00:04:19.075 --> 00:04:21.156]  These people are cancer.
[00:04:21.156 --> 00:04:22.697]  Well, Alex, it's funny you said that.
[00:04:22.697 --> 00:04:31.923]  We didn't discuss this before the show, but that was my big thing today, is how the left is cancer to America, and if it's not cut out and ended, America will be dead.
[00:04:31.923 --> 00:04:38.407]  And I'm really in a bad mood today, I guess you could say, because I've realized it more than ever.
[00:04:38.407 --> 00:04:41.369]  Trump has to do everything or this country is dead.
[00:04:41.869 --> 00:04:45.751]  Well, that's right, and we keep, even ourselves, getting mad at him like Dad's supposed to do it all.
[00:04:45.751 --> 00:04:50.794]  And then we realize... We have to be there too, but... Well, that's why I feel physically ill right now.
[00:04:50.794 --> 00:04:52.455]  Because you can cut the tension.
[00:04:52.455 --> 00:04:55.457]  They're so afraid of him declaring an emergency and really going after him.
[00:04:55.457 --> 00:04:57.999]  And he's really thinking about doing it, so that's why the tension's so high.
