[00:00:03.118 --> 00:00:05.802]  Waging war on corruption.
[00:00:05.802 --> 00:00:10.930]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:00:13.922 --> 00:00:18.326]  The date is Friday, August 2nd, 2019.
[00:00:18.326 --> 00:00:21.788]  I'm your host, Alex Jones.
[00:00:21.788 --> 00:00:26.192]  I'll be co-hosting today with Owen Schroyer, who will be live in studio.
[00:00:26.192 --> 00:00:34.819]  He'll cover all the latest breaking news and information coming up in segment two and three and throughout the broadcast today.
[00:00:34.819 --> 00:00:41.545]  But at the bottom of the hour, due to massive requests from radio stations, TV stations, listeners, my family, the crew,
[00:00:42.990 --> 00:01:06.376]  I will get into the full spectrum analysis of Jeffrey Epstein and how we were able to accurately lay out many years ago that he was an informant for Robert Mueller and the Deep State and that he was part of a larger intelligence agency grid carrying out occult activities.
[00:01:06.376 --> 00:01:06.956]  We said that.
[00:01:08.129 --> 00:01:15.299]  Also obsessed with world government, eugenics, depopulation, cloning, secret breeding projects.
[00:01:15.299 --> 00:01:17.061]  We said all that, no one else did.
[00:01:17.061 --> 00:01:19.545]  How did we know?
[00:01:19.545 --> 00:01:24.431]  I'll break it all down coming up at the bottom of the hour today.
[00:01:26.129 --> 00:01:51.613]  I will also then later get into some of the good news concerning President Trump and his executive order from a few months ago that now has universities settling every week, a new one just settled in Florida, with conservative, libertarian, and Christian groups, pro-life groups, pro-gun groups, you name it, who've been barred from having student groups or having events or having speakers come to their colleges.
[00:01:51.613 --> 00:01:55.074]  The colleges, because of Trump's action, are having to back off.
[00:01:56.158 --> 00:02:07.809]  So I encourage more people to get with student groups, to try to book your own event, your own speaking event, and then let them try to bar you, and then sue them, and you will end up winning.
[00:02:07.809 --> 00:02:12.654]  And again, it's not that we're litigious, but we're exercising our First Amendment.
[00:02:12.654 --> 00:02:14.575]  And the left is trying to bar it everywhere.
[00:02:15.874 --> 00:02:18.615]  So it is beyond essential to do that as well.
[00:02:18.615 --> 00:02:21.856]  That's just some very good news we're going to be breaking down.
[00:02:21.856 --> 00:02:39.001]  Also, there's a very powerful piece from Tucker Carlson dealing with Cory Booker, who comes from one of the richest, whitest places in the United States, lying and talking about how he's been oppressed by the white man, just like Colin Kaepernick, who was raised by two white people that adopted him.
[00:02:39.001 --> 00:02:41.462]  And the man has made, what, almost $100 million.
[00:02:42.932 --> 00:02:43.132]  That's
[00:02:59.986 --> 00:03:10.015]  What makes the globalists tick at understanding their psychology, their modus operandi, really their criminology, and how they're very OCD, and how they follow the same operations over and over again?
[00:03:10.015 --> 00:03:11.716]  Nothing will make sense.
[00:03:11.716 --> 00:03:13.938]  But as soon as you understand their cult,
[00:03:14.915 --> 00:03:24.982]  And what their objective is, and then what comes after that objective, then you will have all the intel that only their highest level operatives have.
[00:03:24.982 --> 00:03:42.574]  And then we can decompartmentalize the second, third, fourth, fifth rungs of their compartmentalized intelligence agency secret society model because their own minions are compartmentalized and believe they're working for another goal that's actually good than the actual diabolical
[00:03:43.755 --> 00:03:52.718]  Transhumanist, post-humanist, exterminist, uh, Malthusian, Neo-Malthusian, Neo-Galtian eugenics agenda.
[00:03:52.718 --> 00:03:56.019]  So you're gonna learn, how did I know he was into the occult?
[00:03:56.019 --> 00:03:57.759]  How did I know they're into eugenics?
[00:03:57.759 --> 00:03:59.499]  How did I know they're into Satanism?
[00:03:59.499 --> 00:04:02.380]  How do I know they're into- Because that's all they're into.
[00:04:02.380 --> 00:04:04.501]  That's all they've ever been into.
[00:04:05.101 --> 00:04:12.923]  And now their attempted claim that he is, that is of course Jeffrey Epstein, only just some weird kook that was into this off on the side.
[00:04:12.923 --> 00:04:21.224]  No, he was heavily funded by the foundations to integrate more of this into a lower level.
[00:04:21.224 --> 00:04:27.526]  Epstein was second room below the central hub.
[00:04:27.526 --> 00:04:31.406]  He was outside the committee of 13, if you would.
[00:04:31.406 --> 00:04:33.607]  And there is a committee of 13, ladies and gentlemen.
[00:04:34.287 --> 00:04:36.829]  So again, tomorrow's news today.
[00:04:36.829 --> 00:04:37.470]  Stay with us.
[00:04:37.470 --> 00:04:39.051]  Bottom of the hour, I'll lay it out.
[00:04:39.051 --> 00:04:40.752]  Again, thank you all for your support.
[00:04:40.752 --> 00:04:49.359]  Please don't forget, we've got store-wide free shipping, double pay for your points, 50 to 60% off, part of this mega sale to raise money for the InfoWar.
[00:04:49.359 --> 00:04:54.143]  Your money could not be spent in a better place, the products could not be better, and I could not thank you more.
[00:04:54.143 --> 00:04:54.643]  Please stay with us.
