[00:00:01.235 --> 00:00:02.036]  Breaking news this hour.
[00:00:02.096 --> 00:00:05.680]  Officials say multi-millionaire Jeffrey Epstein has taken his own life.
[00:00:05.740 --> 00:00:10.305]  Jeffrey Epstein is dead after being found unresponsive at a New York City jail Saturday morning.
[00:00:10.405 --> 00:00:12.427]  After apparently taking his own life.
[00:00:12.527 --> 00:00:14.950]  Officials say that his death was an apparent suicide.
[00:00:15.150 --> 00:00:19.534]  Surveillance video recorded inside the Metropolitan Correctional Center is missing.
[00:00:19.675 --> 00:00:22.638]  A camera situated just outside of Epstein's jail cell
[00:00:23.618 --> 00:00:29.841]  The footage from at least one camera in the hallway may be too damaged or unusable for investigators.
[00:00:29.941 --> 00:00:33.903]  An FBI crime lab is examining two prison cameras that malfunctioned.
[00:00:34.084 --> 00:00:35.924]  Surveillance video from outside his jail cell?
[00:00:36.185 --> 00:00:37.165]  It's gone missing!
[00:00:37.205 --> 00:00:48.391]  Now this will of course raise even more questions about whether the surveillance cameras were purposely tampered with and if Epstein's death was more than just suicide by hanging as it was ruled in an autopsy.
[00:00:50.942 --> 00:00:54.964]  In what may become one of the biggest child molesting cases ever on record.
[00:00:55.705 --> 00:00:58.106]  Alex Jones called this years ago.
[00:00:58.606 --> 00:00:59.246]  Years ago.
[00:00:59.266 --> 00:01:06.970]  He was saying that they take a lot of famous people to this island and they have all these young girls that this guy hooks them up with.
[00:01:07.010 --> 00:01:09.211]  He was talking about this years ago.
[00:01:09.332 --> 00:01:10.992]  Now it is mainstream news.
[00:01:11.233 --> 00:01:13.274]  Doctor who witnessed Epstein autopsy.
[00:01:13.794 --> 00:01:18.556]  Death more consistent with homicidal strangulation than suicide.
[00:01:18.596 --> 00:01:19.837]  Isn't that amazing?
[00:01:19.997 --> 00:01:25.020]  For some odd reason, people that have information on the Clintons end up dead.
[00:01:25.561 --> 00:01:27.342]  And they usually die from suicide.
[00:01:27.362 --> 00:01:35.027]  The President of the United States is pushing a dangerous and completely unfounded murder conspiracy theory about his predecessor.
[00:01:35.327 --> 00:01:37.228]  He is spreading a conspiracy theory.
[00:01:37.328 --> 00:01:40.850]  Untrustworthy and ridiculous conspiracy theories.
[00:01:40.950 --> 00:01:47.132]  Tying the death of pedophile Jeffrey Epstein in prison to the president's former political rivals, the Clintons.
[00:01:47.232 --> 00:01:50.174]  Christmas ornaments, drywall, and Jerry Epstein.
[00:01:50.434 --> 00:01:52.655]  Name three things that don't hang themselves.
[00:01:53.275 --> 00:02:02.222]  Major twist tonight in the story involving that leaked video of ABC News anchor Amy Robach talking about the network she works for killing the Jeffrey Epstein story.
[00:02:02.483 --> 00:02:04.064]  It was unbelievable what we had.
[00:02:04.324 --> 00:02:05.865]  Clinton, we had everything.
[00:02:06.065 --> 00:02:10.729]  There will come a day when we will realize Jeffrey Epstein was the most prolific pedophile this country has ever known.
[00:02:10.749 --> 00:02:12.851]  I had it all three years ago.
[00:02:19.870 --> 00:02:24.395]  ABC's lead investigative journalist, Amy Rohrbach, is right.
[00:02:25.456 --> 00:02:30.000]  Jeffrey Epstein is the biggest pedophile America and the world has ever known.
[00:02:31.401 --> 00:02:38.889]  But he himself is just a front man for a larger network that is still ongoing to this day.
[00:02:40.359 --> 00:02:48.262]  And whose goals are nothing less than domination of human society by blackmail and corruption.
[00:02:49.282 --> 00:03:01.826]  Tonight we're going to document for you that individuals that work directly with Epstein are still carrying out operations very similar to the operation that he was running.
[00:03:02.642 --> 00:03:25.207]  And we're also going to show you, hiding in plain view, examples of Senate reports, UN reports, and other institutional reports admitting that millions of women and children are being sexually trafficked every year, and that it's one of the biggest currencies on the planet.
[00:03:25.307 --> 00:03:28.728]  This is nothing less than modern slavery.
[00:03:29.946 --> 00:03:36.630]  And the corruption that comes out of it isn't like alcohol prohibition where people fell under the control of the mafia.
[00:03:37.090 --> 00:03:47.415]  It's far worse because they're falling under the control of organizations and groups who even engage in the murder, snuff films of children.
[00:03:48.056 --> 00:03:49.957]  There is no bottom to this pit.
[00:03:50.977 --> 00:03:57.841]  Just like elites thousands of years ago began to degenerate and do things that are unspeakably evil.
[00:03:58.467 --> 00:04:00.669]  It's happening again today.
