[00:00:01.966 --> 00:00:02.786]  We've got it.
[00:00:02.786 --> 00:00:09.090]  This transmission is coming to you.
[00:00:09.090 --> 00:00:13.472]  Waging war on corruption.
[00:00:13.472 --> 00:00:19.135]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:28.147 --> 00:00:39.725]  If you want a glimpse into what the left hopes to bring to the United States, look no further than Communist China, where political dissidents are now being arrested and interrogated for what they put on Twitter.
[00:00:39.725 --> 00:00:40.827]  Sounds familiar, right?
[00:00:45.754 --> 00:00:51.698]  Over the past few years, the tolerant left has become increasingly intolerant of speech they disagree with.
[00:00:51.698 --> 00:01:01.646]  Calls to ban what they deem to be hate speech have only been intensified, and social media websites' terms of agreement have become that of a Soviet concentration camp.
[00:01:01.646 --> 00:01:02.727]  Don't believe me?
[00:01:02.727 --> 00:01:12.354]  Just Ask Voices like Alex Jones, Milo Yiannopoulos, or Laura Loomer have all been banned from various social media platforms for standing up to the Washington establishment.
[00:01:12.574 --> 00:01:16.636]  To the left, censoring right-wing voices on social media isn't far enough.
[00:01:16.636 --> 00:01:20.157]  They seek the demise and total eradication of the First Amendment.
[00:01:20.157 --> 00:01:26.400]  I think it's, like, super important here to carve out a section for hate speech, which naturally shouldn't be allowed.
[00:01:26.400 --> 00:01:31.382]  Their end goal is for Twitter's terms of services to become the law here in this country.
[00:01:31.382 --> 00:01:34.424]  In China, this is quite literally the case.
[00:01:34.424 --> 00:01:39.246]  Ironically, using Twitter in China will put your entire life at risk.
[00:01:39.246 --> 00:01:39.826]  There he is!
[00:01:42.808 --> 00:01:54.333]  According to the New York Times, one man spent 15 days in a detention center, the police threatened another's family, and a third was chained to a chair for eight hours of interrogation.
[00:01:54.333 --> 00:01:55.474]  Their offense?
[00:01:55.474 --> 00:01:56.795]  Posting on Twitter.
[00:01:56.795 --> 00:02:06.119]  The New York Times article goes on to say, the Chinese government has increasingly demanded that both Google and Facebook take down content that officials object to,
[00:02:06.579 --> 00:02:09.842]  Even though both companies' sites are inaccessible in China.
[00:02:09.842 --> 00:02:21.311]  They then cite one example where a user had his Facebook and Twitter accounts suspended after criticizing the Chinese government, suggesting that the tech giants are complicit in silencing dissent to the communist regime.
[00:02:28.197 --> 00:02:35.181]  Despite the social media platform being banned, there are an estimated 3.2 million Twitter users in China.
[00:02:35.181 --> 00:02:38.523]  This amounts to 0.4% of internet users in China.
[00:02:38.523 --> 00:02:45.907]  The reason China is so opposed to social media is the same reason why Alex Jones was banned from virtually every platform here in the United States.
[00:02:46.127 --> 00:02:52.671]  Big government socialists want no opposition, no competition to their ideas, and no questions asked.
[00:02:52.671 --> 00:02:59.055]  They want to maintain a narrative that socialism is all butterflies and rainbows, and fear the truth leaking out.
[00:03:02.762 --> 00:03:03.623]  That'll scare you.
[00:03:03.623 --> 00:03:11.714]  In fact, it's been reported that the police in China will print out people's tweets, critical of the government, and demand that they take them down.
[00:03:11.714 --> 00:03:13.096]  It's not 2005!
[00:03:13.096 --> 00:03:15.860]  You can't just go online and say whatever you want!
[00:03:15.860 --> 00:03:17.442]  Alright, alright, I'll delete the tweet.
[00:03:18.122 --> 00:03:19.584]  You haven't deleted it yet?
[00:03:36.542 --> 00:03:38.583]  They're taking us one after another.
[00:03:38.583 --> 00:03:40.584]  We have no ability to fight back.
[00:03:40.584 --> 00:03:46.126]  I hope this is a wake-up call to all right-wingers that this is what we're up against in the United States.
[00:03:46.126 --> 00:03:49.707]  There is no doubt that these are the policies the left hopes to implement.
[00:03:49.707 --> 00:03:51.148]  They hate free speech.
[00:03:51.148 --> 00:03:53.008]  They hate alternative viewpoints.
[00:03:53.008 --> 00:03:57.270]  And they seek punishment for those who won't submit to their left-wing programming.
[00:03:57.270 --> 00:03:58.270]  Orange man bad.
[00:04:02.893 --> 00:04:08.096]  In fact, in some states like New York, similar legislation is already being explored.
[00:04:08.096 --> 00:04:17.502]  Democrats in the state want you to turn over your social media passwords to the government so they can comb through your profiles before allowing you to purchase a firearm.
[00:04:17.502 --> 00:04:23.986]  Imagine needing to forfeit over your social media accounts to the government to exercise one of your most basic civil rights.
[00:04:23.986 --> 00:04:25.087]  Complete lunacy!
[00:04:25.387 --> 00:04:29.169]  These draconian laws are already bleeding their way into our country.
[00:04:29.169 --> 00:04:36.712]  And if we don't act now, it won't be long until America as we know it is gone and indistinguishable from communist China.
[00:04:36.712 --> 00:04:39.313]  Stand up now or forever be silenced.
[00:04:48.641 --> 00:04:53.502]  Defending the Republic from enemies foreign and domestic.
[00:04:53.502 --> 00:05:00.323]  It's Alex Jones.
[00:05:00.323 --> 00:05:03.804]  Living in volcano may sound more dramatic than it really is.
[00:05:03.804 --> 00:05:07.585]  The real drama can be found here in Leilani Estates.
[00:05:07.585 --> 00:05:13.846]  But a lot of us on the Big Island rely on rainwater and we need to be concerned about ash and acid rain.
[00:05:13.846 --> 00:05:16.627]  Volcanic ash may contain heavy metal particles.
[00:05:17.347 --> 00:05:21.171]  An acid rain could lower the pH of the water to unhealthy levels.
[00:05:21.171 --> 00:05:27.658]  To find out, we employed a series of tests for heavy metals, alkalinity, and pH.
[00:05:27.658 --> 00:05:32.623]  What we learned was that there was in fact unhealthy levels of heavy metals and acidity in the rainwater.
[00:05:33.362 --> 00:05:37.284]  Next, we tested the water from our Alexa Pure gravity filter.
[00:05:37.284 --> 00:05:44.488]  And not only were the heavy metal levels within safe measure, but the pH was also restored to optimal levels.
[00:05:44.488 --> 00:05:49.190]  As it turns out, the filter on the Alexa Pure raises the pH of the water.
[00:05:49.190 --> 00:05:55.394]  So what we've learned is that volcanic ash and acid rain can contaminate a rainwater supply.
[00:05:55.394 --> 00:05:59.376]  But more importantly, a good water filtration system will purify it.
[00:06:09.722 --> 00:06:30.117]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:06:30.117 --> 00:06:32.399]  I have had an extreme epiphany this morning.
[00:06:34.887 --> 00:06:38.488]  An extreme epiphany.
[00:06:38.488 --> 00:06:46.329]  In fact, I have the key to defeating the globalists.
[00:06:46.329 --> 00:06:50.070]  The key.
[00:06:50.070 --> 00:06:55.051]  And I'm going to get into it in the next segment.
[00:06:55.051 --> 00:07:00.112]  But first, an important prelude to that is Sean Hannity.
[00:07:12.142 --> 00:07:36.862]  So that is a prelude with Sean Hannity talking about the fact that this country is under an active coup against the president.
[00:07:36.862 --> 00:07:41.666]  Now you have to understand that Sean Hannity
[00:07:44.122 --> 00:07:45.543]  Is being told he's going to be fired.
[00:07:45.543 --> 00:07:47.363]  And he said, fine, fire me.
[00:07:47.363 --> 00:07:51.265]  I don't have that from Sean Hannity, I have it from people that have been in the room repeatedly.
[00:07:51.265 --> 00:07:53.146]  And I'm gonna leave it at that.
[00:07:53.146 --> 00:07:57.667]  So that's how close this country is not even having Sean Hannity on air.
[00:07:57.667 --> 00:08:07.671]  For telling the truth, because what you're about to hear him say, his monologues posted at Infowars.com, is the truth.
[00:08:07.671 --> 00:08:09.812]  That's how dire the straits are, ladies and gentlemen.
[00:08:13.877 --> 00:08:15.298]  Alright, here's the report.
[00:08:33.533 --> 00:08:40.496]  Plotted to destroy your duly elected president, and this goes way beyond what we already knew up until this point.
[00:08:40.496 --> 00:08:49.899]  Now according to this report, Friday New York Times, as usual, anonymous sources, two days after Comey was unceremoniously terminated, several top FBI officials...
[00:08:50.479 --> 00:08:54.985]  Actually questioned whether or not President Trump was working directly for Russia.
[00:08:54.985 --> 00:08:59.391]  Now, they did this without a single shred of evidence.
[00:08:59.391 --> 00:09:01.854]  Zero probable cause.
[00:09:01.854 --> 00:09:04.758]  Zero proof of any collusion.
[00:09:04.758 --> 00:09:05.619]  It was a witch hunt.
[00:09:05.779 --> 00:09:07.620]  The President's been right from day one.
[00:09:07.620 --> 00:09:15.504]  They opened an investigation into whether or not Russia directed the President to fire their beloved Trump hater, James Comey.
[00:09:15.504 --> 00:09:20.306]  Now this despite Comey's testimony that there was no evidence of collusion.
[00:09:20.306 --> 00:09:26.569]  For nine months they had been looking into this and that Trump was not the target of his investigation.
[00:09:26.569 --> 00:09:33.072]  Remember, even Comey, the Trump hater that he is, admitted that the President could fire him for any reason.
[00:09:33.072 --> 00:09:34.933]  Nobody in the media seems to want to tell you that.
[00:09:35.473 --> 00:09:48.443]  Now, Congressman John Ratcliffe told our own Catherine Herridge, quote, in May of 2017, political bias infected senior FBI leadership and emotion, not evidence, drove their decision-making.
[00:09:48.443 --> 00:09:52.866]  Now, his closed-door interview with the former FBI counsel James Baker revealed this.
[00:09:52.866 --> 00:10:03.615]  This is important, quote, FBI senior leadership could not accept that Comey was fired for cause and the president had the constitutional authority to terminate Comey.
[00:10:04.275 --> 00:10:07.237]  So they begin the witch hunt, which had already started nine months earlier.
[00:10:07.237 --> 00:10:16.601]  Now, President Trump's former attorney, John Dowd, has called the FBI's anti-Trump operations a political coup.
[00:10:16.601 --> 00:10:18.602]  Watch this.
[00:10:18.602 --> 00:10:23.665]  Little did I know that it appears that they were all in it together.
[00:10:23.665 --> 00:10:29.348]  I mean, Rosenstein, Comey, Mueller, McCabe, the whole crowd.
[00:10:30.183 --> 00:10:33.425]  And that they were out to get this president, no matter what.
[00:10:33.425 --> 00:10:36.448]  I don't think they sincerely believed anything about Russia.
[00:10:36.448 --> 00:10:38.029]  This is our worst nightmare.
[00:10:38.029 --> 00:10:43.513]  That someone with that kind of power would then decide to go after the president.
[00:10:43.513 --> 00:10:45.114]  I mean, it's a coup.
[00:10:45.114 --> 00:10:49.557]  That's right, it's an attempted coup by Comey and his crowd.
[00:10:49.557 --> 00:10:52.079]  And the evidence is all about there.
[00:10:52.079 --> 00:10:55.221]  I take the New York Times article as an admission.
[00:10:56.212 --> 00:10:56.352]  Okay.
[00:11:11.032 --> 00:11:15.075]  Deep state officials that we have been uncovering now for nearly two years.
[00:11:15.075 --> 00:11:19.139]  Did they do anything other, these top officials, than hate the president?
[00:11:19.139 --> 00:11:20.560]  And are you really surprised?
[00:11:20.560 --> 00:11:26.765]  Remember, these are the same bureaucrats, they openly rooted for Hillary Clinton to win the election.
[00:11:26.765 --> 00:11:31.029]  Peter Strzok texting that Hillary Clinton should win 100 million to zero.
[00:11:31.029 --> 00:11:33.311]  And of course said all those horrible things about the president.
[00:11:33.311 --> 00:11:34.872]  The same officials who
[00:11:34.892 --> 00:11:45.217]  Who wrote an exoneration in May of 2016, months before actually interviewing Hillary and 16 other witnesses in July, before they exonerated her.
[00:11:45.217 --> 00:11:48.779]  It was already written, the exoneration, before the investigation.
[00:11:48.779 --> 00:11:50.420]  The same people that yawned.
[00:11:50.420 --> 00:11:51.501]  We know.
[00:11:51.501 --> 00:11:53.062]  It is incontrovertible.
[00:11:53.062 --> 00:11:53.862]  Hillary Clinton.
[00:11:54.282 --> 00:11:55.823]  Obstructed justice.
[00:11:55.823 --> 00:12:00.126]  She destroyed, subpoenaed emails, 33,000 of them.
[00:12:00.126 --> 00:12:02.948]  Washed her hard drive with bleach bit.
[00:12:02.948 --> 00:12:07.592]  Smashing smartphones and iPhones with a hammer and taking away SIM cards.
[00:12:07.592 --> 00:12:14.757]  The same people who looked the other way when Hillary and the DNC funneled money through Perkins Coie, a law firm.
[00:12:15.217 --> 00:12:24.183]  A campaign finance violation, to hire a research firm, to hire, oh, Christopher Steele, a foreign national, to give us Russian lies.
[00:12:24.183 --> 00:12:31.388]  The same bureaucrats who all but applauded when Clinton's funneled cash used to hire Christopher Steele.
[00:12:31.388 --> 00:12:32.189]  Why?
[00:12:32.189 --> 00:12:42.896]  To produce a dossier that we now know were full of lies, misinformation, propaganda about President Trump, which we now know today are debunked.
[00:12:43.436 --> 00:12:55.584]  The same people who helped disseminate those Russian lies that she paid for to you, the American people, and throughout the highest levels of our government, doing that before an election.
[00:12:55.584 --> 00:13:04.630]  So-called trusted officials who used the dossier to defraud a FISA court multiple times to spy on a Trump campaign associate.
[00:13:04.850 --> 00:13:07.053]  By the way, fraud before the court.
[00:13:07.053 --> 00:13:11.998]  The same people who used that dossier to open up an investigation into Trump.
[00:13:11.998 --> 00:13:14.140]  This all has happened.
[00:13:14.140 --> 00:13:21.508]  And yeah, a baseless investigation into a president being controlled by Russia is now just par for the course.
[00:13:21.508 --> 00:13:23.350]  And the hysteria of the media is even worse.
[00:13:23.891 --> 00:13:29.097]  Remember, this was nine months after they had already been investigating so-called collusion.
[00:13:29.097 --> 00:13:37.146]  And by nine months period of time, Lisa Page, Peter Strzok, James Comey, Andrew McCabe, all hate Trump, all said they had nothing.
[00:13:38.848 --> 00:13:43.970]  Mark Penn, who recently wrote an op-ed, he points out the blatant unequal justice under the law.
[00:13:43.970 --> 00:13:57.315]  Quote, somehow every clear security breach in the Clinton camp was no big deal, while every fourth-hand contact with someone who could possibly be linked to Russia was evidence that Donald Trump was secretly serving as a Russian agent.
[00:13:57.315 --> 00:14:06.098]  Now a former assistant director of intelligence at the FBI is rightly calling out his old colleagues for this massive abuse of power.
[00:14:06.098 --> 00:14:06.438]  Take a look.
[00:14:07.916 --> 00:14:17.869]  Are we criminalizing or are we exercising the legitimate authorities of the FBI to investigate policy differences?
[00:14:17.869 --> 00:14:21.954]  To investigate foreign policy stances by an administration?
