[00:00:13.061 --> 00:00:24.465]  From the front lines of the information war, it's Alex Jones.
[00:00:24.465 --> 00:00:30.727]  Well, it's another information overload on this Sunday, March 3rd, 2019 global broadcast.
[00:00:30.727 --> 00:00:32.668]  I'm your host, Alex Jones, here in studio.
[00:00:34.264 --> 00:00:37.907]  Conspiracy theories, speculations, have already begun all over the internet.
[00:00:37.907 --> 00:00:41.550]  Alex Jones is trying to beat up Eddie Bravo, like I was joking in studio.
[00:00:41.550 --> 00:00:44.433]  I would do on Joe Rogan's record podcast last Wednesday.
[00:00:44.433 --> 00:00:46.895]  And no, I had a ruptured bicep.
[00:00:46.895 --> 00:00:48.716]  I had surgery scheduled for Friday.
[00:00:48.716 --> 00:00:50.678]  Going back two weeks ago, I had surgery Friday.
[00:00:50.678 --> 00:01:00.046]  Supposed to be in a sling, but these modern systems actually have a plastic encasing, so I'm able to drive, you name it, thanks to the developments of science.
[00:01:00.846 --> 00:01:09.029]  So I'm doing good, thanks for all your support, but no, Eddie Bravo did not do any backflip karate attacks on me or jiu-jitsu, even though I'm sure he would have kicked my ass.
[00:01:09.029 --> 00:01:14.712]  I was joking when I said I'd beat him up, and he kept denying that the government was killing babies after they were born.
[00:01:14.712 --> 00:01:26.877]  Eddie obviously knew that that was happening and was teasing me, and I figured it out halfway through, and it was basically WWE wrestling without any of the pre-preparation for it.
[00:01:28.715 --> 00:01:31.577]  Andre the Giant and Hulk Hogan acting like they were fighting.
[00:01:31.577 --> 00:01:37.061]  It wasn't real, but everyone thinks that Eddie, you know, tore my arm out of socket and that's not what happened.
[00:01:37.061 --> 00:01:50.891]  Actually though, if you want to get incredibly technical before I get into all the crazy news, I went to a steakhouse with Joe after the record podcast and my bicep was already really torn and ripped.
[00:01:51.795 --> 00:01:59.740]  And so we're walking out into this parking garage, and I stumble over one of those little dividers so your car doesn't drive over.
[00:01:59.740 --> 00:02:07.106]  And Joe, lightning-fast reflexes, grabs my arm and it tore the bicep even worse.
[00:02:07.106 --> 00:02:09.387]  Which is good, because then they can fix it even better.
[00:02:09.387 --> 00:02:15.511]  But if you technically want to get there, it wasn't Eddie did some backflip on me or some jiu-jitsu move, it was Joe Rogan.
[00:02:15.511 --> 00:02:18.073]  But not intentional, but maybe it was karma.
[00:02:18.073 --> 00:02:20.455]  Maybe I went too far with my attacks on Joe.
[00:02:21.195 --> 00:02:25.677]  And so the next morning was all black and blue again, but luckily, I had surgery scheduled the next day!
[00:02:25.677 --> 00:02:27.858]  So it was all perfect!
[00:02:27.858 --> 00:02:28.678]  It all worked out.
[00:02:28.678 --> 00:02:29.459]  But that's what the doctor said.
[00:02:29.459 --> 00:02:33.481]  He said, once the main tendon blows, it all just starts ripping out.
[00:02:33.481 --> 00:02:40.724]  That's why you see old men, like, have a collapsed bicep a lot of times, and they call it the Popeye Syndrome, where the muscle's way up here at the top, because there's no tendons.
[00:02:40.724 --> 00:02:41.664]  That's basically what happened.
[00:02:43.669 --> 00:02:49.831]  I've just spent two or three minutes on something that doesn't matter, but that's why I've got this giant, giant cast.
[00:02:49.831 --> 00:02:50.911]  This is a modern cast.
[00:02:50.911 --> 00:02:53.452]  There's a cast under there.
[00:02:53.452 --> 00:02:55.573]  But again, it's plastic, so they can reset it.
[00:02:55.573 --> 00:02:57.113]  So that's what's going on here.
[00:02:57.113 --> 00:02:59.194]  Okay.
[00:02:59.194 --> 00:03:03.455]  We have a particularly important news day when we come back from break.
[00:03:03.455 --> 00:03:05.856]  And I'm just going to leave it at that.
[00:03:05.856 --> 00:03:09.697]  This is a CNS news, has links to AP, you name it.
[00:03:09.697 --> 00:03:12.778]  Health and Human Services, that's the federal government, extends contract
[00:03:14.005 --> 00:03:21.430]  to continue making humanized mice with aborted baby parts for another 90 days.
[00:03:21.430 --> 00:03:29.296]  So we'll be looking at all that and the fact that we've got Governor Northam continuing to defend keeping babies alive and harvesting their organs.
[00:03:29.296 --> 00:03:30.197]  That's our central
