[00:00:30.834 --> 00:00:31.954]  It's Sunday, August 25th.
[00:00:32.134 --> 00:00:33.895]  This is the Alex Jones Show.
[00:00:33.915 --> 00:00:35.295]  Owen Schroer filling in for Alex.
[00:00:35.335 --> 00:00:38.376]  He had a last-minute family emergency to take care of, but no worries.
[00:00:38.816 --> 00:00:47.638]  We've got lots of video clips coming up, some stuff you won't believe, and including a great guest in-studio count, Dankula, excuse me, no, Sargon of Akkad.
[00:00:47.898 --> 00:00:51.699]  Sorry, I literally just got back from vacation less than 12 hours ago, so forgive me.
[00:00:51.779 --> 00:00:52.979]  Let's just go to the Gregory's Clip.
[00:00:52.999 --> 00:00:54.540]  This is nice, nice pitch, Schroer.
[00:00:54.580 --> 00:00:55.340]  Go to the Gregory's Clip.
[00:01:02.982 --> 00:01:06.865]  Hong Kong protesters wave the American flag in their marches.
[00:01:07.326 --> 00:01:10.028]  Why are you all holding the American flag today for this protest?
[00:01:11.089 --> 00:01:16.312]  It's because the American flag represents freedom, democracy, and liberty.
[00:01:16.873 --> 00:01:20.536]  And we wish to raise the awareness from the American people.
[00:01:20.976 --> 00:01:22.697]  And we wish the U.S.
[00:01:22.717 --> 00:01:28.702]  Congress can pass the Hong Kong Human Rights and Democracy Act as soon as possible.
[00:01:30.211 --> 00:01:37.673]  Saturday's protests in Hong Kong was about standing against Chai Kam facial recognition and the social credit score system.
[00:01:37.693 --> 00:01:43.595]  And they used the Pepe the Frog meme as a symbol of freedom.
[00:01:43.895 --> 00:01:45.796]  What does Pepe the Frog mean to your movement?
[00:01:46.496 --> 00:01:56.599]  Actually we think that it is a kind of sticker that is well known and it is easy to spread for people to know more about what this protest means and what we are doing now.
[00:01:57.267 --> 00:02:03.826]  Have you heard that in America a lot of the mainstream media and the left are actually saying that this is a racist symbol for some reason?
[00:02:04.198 --> 00:02:21.272]  Yeah, I know this in the recent days, but I think that the creator of the PIP has come out and speak for us that we are not representing the left society, but represent the Hong Kong people.
[00:02:21.372 --> 00:02:22.733]  Yeah, and freedom, I would say, too.
[00:02:22.773 --> 00:02:23.794]  It's almost the exact opposite.
[00:02:24.275 --> 00:02:24.895]  Thank you for talking to me.
[00:02:24.915 --> 00:02:27.517]  Do you have anything else you'd like to say to our audience in America and the world?
[00:02:28.398 --> 00:02:29.639]  Hong Kong people never give up.
[00:02:32.009 --> 00:02:36.732]  After the march officially ended, police in riot gear began clearing the streets.
[00:02:37.753 --> 00:02:40.575]  And many Hong Kongers stayed to provoke them.
[00:03:07.619 --> 00:03:09.780]  The police pushed them in towards a mall.
[00:03:40.725 --> 00:03:44.208]  Where the protesters began spraying the ground with soapy water.
[00:03:48.772 --> 00:03:51.515]  And continued to challenge the police.
[00:04:03.652 --> 00:04:05.633]  We're good to go.
[00:04:27.981 --> 00:04:32.664]  They began pulling up sewer grates, and made a makeshift barricade on the slippery ground.
[00:04:51.340 --> 00:04:57.283]  All right, ladies and gentlemen, all the incredible footage from our crew in Hong Kong can be found at InfoWars.com.
[00:04:58.163 --> 00:05:00.284]  Dozens of reports being filed and more coming.
[00:05:00.304 --> 00:05:01.004]  We'll be right back.
[00:05:05.286 --> 00:05:08.948]  Donald Trump presents Real Stable Genius.
[00:05:09.949 --> 00:05:12.830]  Real Stable Genius!
[00:05:13.190 --> 00:05:17.092]  Today, we salute you, Mrs. Social Justice Warrior.
[00:05:17.212 --> 00:05:19.473]  Mrs. Social Justice Warrior!
[00:05:20.012 --> 00:05:22.694]  What do you do with a master's degree in gender studies?
[00:05:23.135 --> 00:05:26.598]  Put on a vagina hat and go fight fascism on the internet.
[00:05:27.899 --> 00:05:30.762]  As soon as you wake up each day, the outrage begins.
[00:05:31.162 --> 00:05:32.343]  What the f*** did you just say?
[00:05:32.603 --> 00:05:44.233]  Your privilege is showing, and armed with only a keyboard, you tirelessly protect America from fake racism, and fake sexism, and fake some other word we've never even heard of, ism.
[00:05:46.767 --> 00:05:50.993]  So, crack open a nice soy latte, Miss Purple Haired Vagina Costume Wearer.
