[00:00:04.182 --> 00:00:05.923]  Firm suspicions at Veritas.
[00:00:05.983 --> 00:00:12.187]  It's not a shock to you, but to get the employee at YouTube on tape admitting that they do it?
[00:00:12.607 --> 00:00:15.288]  I mean, you must be a threat if they call you out by name.
[00:00:15.508 --> 00:00:19.811]  It's also what happens when you listen to the radio host, Alex Jones.
[00:00:20.231 --> 00:00:40.478]  After just a short time ago, and I'm talking about when this meeting started, on Twitter, if you clicked on the hashtag, NYC terrorist attack, which is, quote, trending, marked with a red button saying, quote, live, the top tweet links to an InfoWars story with the headline, Imam
[00:00:41.363 --> 00:00:43.904]  I warned de Blasio about New York City of terror.
[00:00:43.964 --> 00:00:45.645]  He was too busy bashing Trump.
[00:00:45.865 --> 00:00:55.710]  I don't know what happens in somebody's mind or how dark their heart must be to say things like that.
[00:00:56.050 --> 00:01:03.333]  This is a real-time example of when we talk about this information being weaponized.
[00:01:03.393 --> 00:01:05.654]  But Trump doesn't challenge these lies.
[00:01:06.075 --> 00:01:08.376]  He actually went on Jones' show and said,
[00:01:09.269 --> 00:01:10.750]  Your reputation's amazing.
[00:01:11.111 --> 00:01:12.472]  I will not let you down.
[00:01:12.612 --> 00:01:15.535]  You will be very, very impressed, I hope.
[00:01:15.595 --> 00:01:21.560]  He still calls Alex Jones and talks to him and, you know, the Info Wars.
[00:01:21.820 --> 00:01:22.501]  Info Wars.
[00:01:22.521 --> 00:01:23.682]  Conspiracy theories.
[00:01:23.702 --> 00:01:25.083]  Conspiracy theories.
[00:01:25.243 --> 00:01:32.769]  How quickly can you act and what's your responsibility to set the record straight so that the people who saw this
[00:01:34.111 --> 00:01:36.373]  The Russians ran an extensive information war.
[00:01:52.830 --> 00:01:53.050]  Okay.
[00:02:12.973 --> 00:02:25.202]  Allies within the internet world, like InfoWars, take out pieces and begin to say the most outrageous, outlandish, absurd lies you can imagine.
[00:02:27.645 --> 00:02:37.108]  Google is being accused of hiding negative stories about Hillary and her campaign by changing its algorithm to bury stories like the Clinton body count story.
[00:02:37.148 --> 00:02:38.929]  That's according to website InfoWars.
[00:02:38.989 --> 00:02:48.072]  You have RT, you have Sputnik, you have Ruppli, and then I think you have them feeding other entities.
[00:02:49.072 --> 00:02:51.774]  Uh, InfoWars comes to mind where those are echo chambers.
[00:02:51.874 --> 00:03:01.182]  It's been widely reported that that company's been backed by the Kremlin and they gave you 75,000 shares that you had to disclose when you went into the Obama administration.
[00:03:01.302 --> 00:03:06.726]  Maybe you're, uh, looking at widely reported, uh, information from InfoWars.
[00:03:06.806 --> 00:03:07.947]  No, I'm not.
[00:03:08.007 --> 00:03:11.270]  This is Politico, this is the New York Times, this is the Wall Street Journal.
[00:03:11.350 --> 00:03:11.931]  No, it's not.
[00:03:12.111 --> 00:03:23.562]  If a Google user types in Clinton body, they get car repair shop results instead of a story that talks about a list of people tied to the Clintons who have died under mysterious circumstances over the last three decades.
[00:03:23.883 --> 00:03:29.248]  The latest story was the death of DNC staffer Seth Rich, who was murdered last month in an apparent robbery.
[00:03:29.708 --> 00:03:36.458]  Wikileaks founder Julian Assange has hinted that Rich was his source, but has made no further comments about the case.
[00:03:36.819 --> 00:03:38.942]  That murder, we should say, remains unsolved.
[00:03:39.142 --> 00:03:44.450]  The Russians, in my opinion, and based on the intel and counterintel people I've talked to,
[00:03:45.331 --> 00:03:50.975]  Could not have known how best to weaponize that information unless they had been guided.
[00:03:51.155 --> 00:03:52.576]  All that stuff exists.
[00:03:53.016 --> 00:03:59.481]  You don't see it, you don't feel it if you're largely living in reality and in a mainstream media world.
[00:04:00.061 --> 00:04:07.406]  But it's undermining our democracy and I think that the companies themselves, they've taken some steps.
[00:04:07.446 --> 00:04:08.867]  They have a lot of responsibility.
[00:04:08.907 --> 00:04:09.828]  Companies like Facebook?
[00:04:10.208 --> 00:04:11.609]  Companies like Facebook, Google, etc.
[00:04:11.649 --> 00:04:11.869]  Right.
[00:04:13.630 --> 00:04:19.593]  Do what they can to essentially not enhance this.
[00:04:19.693 --> 00:04:25.355]  How quickly can you act and what's your responsibility to set the record straight?
[00:04:25.575 --> 00:04:26.676]  The system self-corrected.
[00:04:26.796 --> 00:04:29.637]  That shouldn't be the first tweet you see anymore.
[00:04:29.677 --> 00:04:31.918]  It should be a USA article the last time I checked.
[00:04:33.099 --> 00:04:33.879]  But you saw this?
[00:04:34.079 --> 00:04:34.840]  USA Today.
[00:04:35.240 --> 00:04:36.360]  At lunch I did, yeah.
[00:04:36.520 --> 00:04:38.861]  And I also saw the system correct it.
[00:04:39.081 --> 00:04:40.282]  That man's a threat to this country.
[00:04:40.402 --> 00:04:41.983]  They didn't call out Fox News by name.
[00:04:42.003 --> 00:04:43.844]  They didn't call out anyone else by name.
[00:04:43.864 --> 00:04:51.488]  They said, when it comes to Alex Jones, we need people to scroll and manually find him, and manually have to find that video.
[00:04:51.508 --> 00:04:57.030]  We're not going to allow that video, if it gets 10 million views, to be on the front of the so-called news carousel.
[00:04:59.532 --> 00:05:01.733]  And that, ladies and gentlemen, was two years ago.
[00:05:09.208 --> 00:05:12.090]  Announcing the greatest show on earth!
[00:05:12.471 --> 00:05:17.575]  Reparations, free healthcare, free college, free homes, free money forever!
[00:05:17.836 --> 00:05:18.696]  Yay!
[00:05:19.017 --> 00:05:20.178]  It's Cloud World 2019!
[00:05:20.418 --> 00:05:26.844]  The Democratic Party's two-night extravaganza debate!
[00:05:27.124 --> 00:05:28.665]  Let's meet the candidates!
[00:05:29.566 --> 00:05:30.367]  All-Star!
[00:05:30.487 --> 00:05:31.388]  Beto O'Rourke!
[00:05:32.128 --> 00:05:32.849]  Oh my gosh!
[00:05:32.949 --> 00:05:34.030]  Cory Booker!
[00:05:34.070 --> 00:05:35.591]  The Amazing!
[00:05:35.871 --> 00:05:36.051]  Oh!
[00:05:36.151 --> 00:05:37.452]  Pocahontas!
[00:05:38.073 --> 00:05:39.394]  Joe Biden!
[00:05:39.934 --> 00:05:41.015]  Swallow's Whale Sizzle!
[00:05:41.135 --> 00:05:42.116]  New Gun Owners!
[00:05:42.596 --> 00:05:42.717]  Yay!
[00:05:43.117 --> 00:05:44.778]  Bernie Sanders!
