[00:00:19.714 --> 00:00:21.275]  Hello, welcome.
[00:00:21.275 --> 00:00:22.356]  My name is Will Johnson.
[00:00:22.356 --> 00:00:24.557]  I'm sitting in for Alex Jones.
[00:00:24.557 --> 00:00:28.180]  He's on vacation, but he is never on vacation.
[00:00:28.180 --> 00:00:32.122]  He will be joining us after this first segment.
[00:00:32.122 --> 00:00:34.904]  Veritas released another video.
[00:00:34.904 --> 00:00:38.026]  Alex is going to get into that with more detail.
[00:00:38.026 --> 00:00:40.708]  I believe Keith is going to be on with him.
[00:00:41.522 --> 00:00:46.765]  You know, Google with the censorship, the way they're attacking conservatives is unbelievable.
[00:00:46.765 --> 00:00:49.286]  The craziness that's going on.
[00:00:49.286 --> 00:00:55.029]  And we're supposed to just go along with it because it's supposed to be fair that they can attack conservatives.
[00:00:55.029 --> 00:00:58.510]  And liberals are supposed to get everything that they ask for.
[00:00:58.510 --> 00:01:01.992]  Nothing's ever supposed to happen to liberals, only conservatives.
[00:01:01.992 --> 00:01:05.914]  And when it happens to liberals, then they cry foul.
[00:01:05.914 --> 00:01:09.576]  So, like I said, Alex will be joining us after this first segment.
[00:01:10.359 --> 00:01:15.364]  So I have the honor and the privilege to host his first five minutes before he comes on with us.
[00:01:15.364 --> 00:01:16.025]  Let me say this.
[00:01:17.242 --> 00:01:32.010]  Every day I walk into the studio and I see all of the people working so hard against the tyranny of the left, against the tyranny of the globalists, and it just makes me think that all of these people are on the same page and they understand.
[00:01:32.010 --> 00:01:36.612]  They are awake to what is actually happening here.
[00:01:36.612 --> 00:01:41.095]  And Alex Jones has created something that is completely remarkable.
[00:01:41.903 --> 00:01:45.385]  And every time I walk in, like I said, I'm in awe.
[00:01:45.385 --> 00:01:50.167]  People understand that Alex Jones is doing everything he can.
[00:01:50.167 --> 00:01:56.451]  He's putting everything on the line to wake up people and to fight for humanity.
[00:01:56.451 --> 00:02:09.918]  And for me, that is a great honor to be sitting here to try to represent the best of my ability and show my appreciation and say that, you know, Infowars is a wonderful opportunity for anybody.
[00:02:10.878 --> 00:02:23.728]  I'm glad to be here to be able to guest hosts, but let me say this because Alex, he did a commercial spot talking about he doesn't like the plug, but I understand why he does the plugs.
[00:02:23.728 --> 00:02:29.212]  It's because that is the reason, he does the plugs because it gives us the opportunity to be here.
[00:02:29.212 --> 00:02:31.413]  It gives me the opportunity to be here.
[00:02:31.413 --> 00:02:36.317]  Without you supporting Infowars against what the left is doing, it doesn't happen.
[00:02:37.182 --> 00:02:45.770]  We don't have someone in the pocket like George Soros or Tom Steyer, all of these filthy rich billionaires just trying to take out America.
[00:02:45.770 --> 00:02:48.352]  Alex is depending on the American people.
[00:02:48.352 --> 00:02:50.594]  He's depending on all of us to step up!
[00:02:51.644 --> 00:02:54.385]  And to support InfoWars.com.
[00:02:54.385 --> 00:02:58.507]  And when you share the articles, you tell them that you're not taking it lying down.
[00:02:58.507 --> 00:03:00.528]  You're not going to take it any longer.
[00:03:00.528 --> 00:03:10.052]  By you going to InfoWarsStore.com, you show everybody that you love everything that Alex Jones is doing and you don't believe the lies that's coming out of the left.
[00:03:10.692 --> 00:03:12.514]  That's what it comes down to.
[00:03:12.514 --> 00:03:15.456]  It's if you believe the lies, then don't buy anything.
[00:03:15.456 --> 00:03:27.406]  But if you believe in humanity, you believe in this country, and you believe everything that Alex Jones has been doing here, then you need to go to Infowarsstore.com and buy the product.
[00:03:27.406 --> 00:03:34.832]  The TurboForce, the BrainForce, the DNAForce, they're always doing specials that's unbelievable.
[00:03:34.832 --> 00:03:39.316]  Have you ever seen anyone that's doing a special on their products constantly?
[00:03:40.751 --> 00:03:48.105]  And the main reason why they're doing it is because it gives people the opportunity to find out how good the products really are.
[00:03:48.105 --> 00:03:49.067]  That's what it comes down to.
[00:03:49.915 --> 00:03:57.220]  Okay, so Project Veritas, they've been trying to take out InfoWars for the longest, and I'm talking about Google.
[00:03:57.220 --> 00:04:01.463]  Google, Facebook, Twitter, they have to take out Alex Jones.
[00:04:01.463 --> 00:04:02.183]  Why?
[00:04:02.183 --> 00:04:04.105]  Because he's speaking the truth.
[00:04:04.105 --> 00:04:12.290]  You can't have someone running around, you can't have someone broadcasting, telling the truth to the American people when they have a completely different agenda.
[00:04:12.290 --> 00:04:13.011]  How does that work?
[00:04:14.369 --> 00:04:18.750]  So, after the break, they're going to play a video, and Alex is going to be on with this.
[00:04:18.750 --> 00:04:25.532]  After the break, they're going to play a video, and if I'm not mistaken, with the Veritas and with another Google Insider.
[00:04:25.532 --> 00:04:29.893]  And what happened here, I'm not going to break all of it out.
[00:04:29.893 --> 00:04:31.433]  I'm going to let Alex do it.
[00:04:31.433 --> 00:04:38.194]  But everything that's taking place here should be an alarm, a wake, a waking call for everybody.
[00:04:38.194 --> 00:04:38.654]  Sound the alarm!
[00:04:38.654 --> 00:04:39.395]  Sound the alarm!
[00:04:41.135 --> 00:04:48.060]  Because if we don't pay attention to what's actually happening here, every last one of us that think we have freedoms, they're going to go away.
[00:04:48.060 --> 00:04:49.020]  You're not going to even have freedoms.
[00:04:49.020 --> 00:04:51.862]  You're going to wake up tomorrow and you're going to be like, what in the world happened?
[00:04:51.862 --> 00:04:52.843]  No one told me.
[00:04:52.843 --> 00:04:56.825]  And it's not that anyone told you because Alex has been telling you, you need to wake up to it.
[00:04:56.825 --> 00:04:57.746]  We'll be back after this.
[00:05:00.097 --> 00:05:04.280]  The globalists are hyper-competitive scientific dictators.
[00:05:04.280 --> 00:05:05.341]  They are technocrats.
[00:05:05.341 --> 00:05:07.643]  They are control freaks in their own words.
[00:05:07.643 --> 00:05:14.989]  And they believe allowing you to live your own life and make your own decisions gets in the way of their great destiny to merge with AI gods.
[00:05:14.989 --> 00:05:16.870]  Now we're fighting them hard in cyberspace.
[00:05:16.870 --> 00:05:18.972]  We're fighting them hard right here in the third dimension.
[00:05:19.332 --> 00:05:25.814]  But one of the biggest places that we neglect to forget that we've really got a lot of control in our lives is our bodies.
[00:05:25.814 --> 00:05:31.016]  If I wasn't taking the highest quality supplements from 4warslife.com, I couldn't do it.
[00:05:31.016 --> 00:05:40.019]  That's why we decided to take our original Secret 12 that was incredibly high quality medical bottlement and double the strength of it in a new formula, Ultra 12.
[00:05:40.999 --> 00:05:46.984]  Ultra 12 is undoubtedly the strongest, highest quality B12 over-the-counter that you're going to find anywhere.
[00:05:46.984 --> 00:05:47.925]  It is amazing.
[00:05:47.925 --> 00:05:57.914]  Experience pure, medical bottom and B12 for yourself and fund the Second American Revolution against the tyrants at InfoWarsStore.com, InfoWarsLive.com, or 888-253-3139.
[00:06:06.874 --> 00:06:16.516]  From the front lines of the Information War, it's Alex Jones.
[00:06:16.516 --> 00:06:21.777]  Ladies and gentlemen, thank you so much for joining us on this Global Wednesday Edition.
[00:06:21.777 --> 00:06:25.978]  Will Johnson is here visiting InfoWars and guest hosting.
[00:06:25.978 --> 00:06:30.839]  He's going to be hosting throughout the next four hours with many special guests.
[00:06:30.839 --> 00:06:36.580]  James O'Keefe of Project Veritas is set to drop massive new bombshells
[00:06:37.458 --> 00:06:55.751]  Exclusively here coming up on air at the bottom of the hour because he always gives us even more information than what's in his latest report with major executives inside big tech coming out and exposing whistleblowing and more.
[00:06:55.751 --> 00:06:57.212]  That will also tie into stories
[00:06:58.536 --> 00:07:09.925]  Up on DrudgeReport.com, TechLash, Only Making Facebook Stronger, FTC Helping Dominate, Platform Paid Contractors Transcribe Users Audio Chats.
[00:07:09.925 --> 00:07:11.826]  They're recording everything.
[00:07:11.826 --> 00:07:13.908]  The sky is the limit.
[00:07:13.908 --> 00:07:16.450]  It's absolutely evil.
[00:07:16.450 --> 00:07:18.431]  It's beyond the left, authoritarianism.
[00:07:18.431 --> 00:07:24.476]  And of course, to rein in Trump in his trade war with China, the globals are allied with,
[00:07:25.063 --> 00:07:32.848]  The last four heads of the private Federal Reserve New York Board of Governors came out and said, we're going to crash the economy to teach Trump a lesson.
[00:07:32.848 --> 00:07:34.008]  He's being political.
[00:07:34.008 --> 00:07:36.830]  Well, China's being totally political with their currency.
[00:07:36.830 --> 00:07:39.251]  Trump's barely even countered them.
[00:07:39.251 --> 00:07:43.854]  Because he lifted a shield against it, they're trying to destroy the stock market right now.
[00:07:43.854 --> 00:07:46.535]  Yields, flash, recession, warning.
[00:07:46.535 --> 00:07:47.596]  Stocks dive.
[00:07:47.596 --> 00:07:50.278]  Banks hammered, reads Drudge's report.
[00:07:50.278 --> 00:07:53.059]  It tells you everything you need to know up above it in the left-hand corner.
[00:07:53.059 --> 00:07:54.200]  Dim contenders.
[00:07:55.031 --> 00:08:00.694]  Trump 2020 Rust Belt pitch threatened by manufacturing downturn.
[00:08:00.694 --> 00:08:03.136]  What did Bill Maher say last year?
[00:08:03.136 --> 00:08:10.080]  He said, I want to crash the markets, the economy, to teach these Trump supporters a lesson.
[00:08:10.080 --> 00:08:11.881]  You can't have your country back.
[00:08:11.881 --> 00:08:13.041]  You can't have prosperity.
[00:08:13.041 --> 00:08:14.242]  No, no.
[00:08:14.242 --> 00:08:17.484]  Everything's got to go to China, you dirty Americans.
[00:08:17.484 --> 00:08:21.106]  We're going to teach you.
[00:08:21.106 --> 00:08:24.428]  Also, ginormous developments on the Trump front.
[00:08:25.696 --> 00:08:29.217]  With the fact that he's coming in to go after the censorship.
[00:08:29.217 --> 00:08:34.738]  And then even bigger developments on the Epstein House of Cards coming down.
[00:08:34.738 --> 00:08:38.799]  And just the fact that no one's buying the official story.
[00:08:38.799 --> 00:08:43.021]  And you've got the head of the jail removed, the guards, special guards were brought in.
[00:08:43.021 --> 00:08:46.261]  They heard him screaming for his life.
[00:08:46.261 --> 00:08:48.822]  And then as you say, breathe, breathe.
[00:08:48.822 --> 00:08:50.342]  It's all coming up today.
[00:08:50.342 --> 00:08:52.143]  James O'Keefe, bottom of the hour, but hosting.
[00:08:53.050 --> 00:09:01.416]  Until the bottom of the hour, the rest of this segment and the next is Will Johnson visiting guest host.
[00:09:01.416 --> 00:09:06.940]  And then I'll be back co-host with Will at the bottom of the hour with James O'Keefe.
[00:09:06.940 --> 00:09:11.062]  Remember, InfoWars.com, NewsWars.com is tomorrow's news today.
[00:09:11.062 --> 00:09:17.627]  And we had to end the big store-wide mega-sale 50-60% off because so many things were about to sell out.
[00:09:18.607 --> 00:09:29.235]  But we are still extending store-wide free shipping, and we're still extending double Patriot points, and we're still extending sales on everything else that we have decent supplies of.
[00:09:29.235 --> 00:09:33.038]  And so it's basically 90% of the last sale.
[00:09:33.038 --> 00:09:34.379]  For each item you're getting, it's the same.
[00:09:34.379 --> 00:09:35.480]  We're keeping Krill oil.
[00:09:35.480 --> 00:09:37.701]  It just came back in last week.
[00:09:37.701 --> 00:09:38.322]  It's so popular.
[00:09:38.322 --> 00:09:39.543]  It's of the highest quality.
[00:09:39.543 --> 00:09:43.105]  It's 50% off, despite the fact that we've already sold a third of it.
[00:09:43.105 --> 00:09:44.066]  So I promise you,
[00:09:44.989 --> 00:09:51.618]  The krill oil will be taken off sale by the weekend because we have to because it'll be another three months till more comes in.
[00:09:51.618 --> 00:09:53.760]  We're trying to try to double our order of it.
[00:09:53.760 --> 00:09:59.928]  It's so popular now because all the stuff in the news about how good it is and everybody heard me already tell you that years ago and now here it is.
[00:09:59.928 --> 00:10:02.692]  But if you want to have amazing dreams, not just for your heart but your brain.
[00:10:04.031 --> 00:10:05.151]  Yes, it's an honor to be here, Alex.
[00:10:05.151 --> 00:10:09.433]  You know, I'm really interested to see the interview with Veritas at the bottom of the hour and with you coming on.
[00:10:27.759 --> 00:10:33.940]  It's just so, so amazing the time that we're living in to see all of this take place.
[00:10:33.940 --> 00:10:46.863]  You know, I really want to talk about and get into how the left is still pushing the whole white supremacist and how they're continuing on to try to demonize President Trump or anybody white who supports President Trump.
[00:10:46.863 --> 00:10:50.403]  That's the thing, and it really runs through me because we have people
[00:10:54.898 --> 00:10:55.679]  We're good to go.
[00:11:16.624 --> 00:11:27.933]  So, you know, with all of this taking place right now, because 2020 is coming up, they have to do something to get people, black people, not to vote for President Trump.
[00:11:27.933 --> 00:11:29.454]  See, that's the whole thing.
[00:11:29.454 --> 00:11:44.747]  And for the life of me, I don't understand how they're able to get so many people to be so naive to believe that all of a sudden, because they've been saying it, that President Trump is now a white supremacist, or he supports white supremacy.
[00:11:45.447 --> 00:11:46.707]  You know, it's ridiculous.
[00:11:46.707 --> 00:11:50.308]  So even Bernie Sanders, um, this is going to be number clip.
[00:11:50.308 --> 00:11:51.488]  Do we have time for this?
[00:11:51.488 --> 00:12:00.931]  This is clip number eight, clip number eight, where Bernie Sanders, um, he came out and said that, okay, let me just read it to you.
[00:12:00.931 --> 00:12:02.111]  Cause this was on his tweet.
[00:12:02.111 --> 00:12:12.693]  He said, do you think it's a coincidence that the racist manifesto of the El Paso shooter echoes Trump's language of invasion and infestation of immigrants?
