[00:00:01.488 --> 00:00:02.088]  You got it.
[00:00:02.088 --> 00:00:08.610]  This transmission is coming to you.
[00:00:08.610 --> 00:00:12.992]  Waging war on corruption.
[00:00:12.992 --> 00:00:19.194]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:19.194 --> 00:00:22.054]  Ladies and gentlemen,
[00:00:28.837 --> 00:00:32.500]  President Trump is breaking the hoax.
[00:00:32.500 --> 00:00:47.693]  He's breaking the trance of all these people of every race, color, and creed being brought in from around the world and then being indoctrinated by the left to hate the United States and say that we're the worst country on earth as they fight to get in.
[00:00:47.693 --> 00:00:54.919]  Ilhan Omar came here fraudulently, married her brother, sucked off welfare, never had a real job, then cheated on her taxes.
[00:00:54.919 --> 00:00:55.880]  She's a scammer.
[00:00:57.136 --> 00:01:00.498]  And she constantly runs her mouth about how bad this country is.
[00:01:00.498 --> 00:01:03.639]  And Trump came out and specifically called her out.
[00:01:03.639 --> 00:01:07.160]  And said, you can't leave fast enough.
[00:01:07.160 --> 00:01:10.202]  And the whole media has blown up at Trump, the controlled corporate media.
[00:01:10.202 --> 00:01:12.283]  Good, let them!
[00:01:12.283 --> 00:01:14.344]  Let them!
[00:01:14.344 --> 00:01:16.965]  You see, my friends, Trump's telling the truth.
[00:01:16.965 --> 00:01:19.746]  And what he's saying is very, very, very popular.
[00:01:19.746 --> 00:01:24.068]  Yeah, they've got all these fake polls out saying every other Democrat will beat him in a race.
[00:01:25.276 --> 00:01:31.198]  You watch what happens on election night, November 8, 2020.
[00:01:31.198 --> 00:01:36.841]  If we get the vote out and stop election fraud, Trump's going to win in a landslide, and all the real internal numbers show it.
[00:01:36.841 --> 00:01:47.985]  This is a huge broadcast, huge exclusive news coming up, but I want to air this Gregory's report because it's so powerful, milkshakes to maul off radicalized leftist bonds go full-blown terrorists.
[00:01:50.259 --> 00:01:58.626]  On Friday evening, hundreds of protesters overtook the flagpoles outside the ICE facility in Aurora, Colorado.
[00:01:58.626 --> 00:02:08.215]  They raised a Mexican flag, an upside-down American flag with abolished ICE spray-painted on it, and an upside-down Blue Lives Matter flag.
[00:02:09.830 --> 00:02:17.654]  Less than a day later, a man armed with a rifle threw incendiary devices at an ICE detention center in Tacoma, Washington.
[00:02:17.654 --> 00:02:25.498]  A car in the parking lot was torched, and investigators say the suspect threw flares at a propane tank, trying to make it explode.
[00:02:25.498 --> 00:02:29.300]  Ultimately, four officers opened fire, killing the man.
[00:02:29.300 --> 00:02:34.663]  The Democratic Party is running their platform on radical open border policies.
[00:02:34.663 --> 00:02:39.345]  Raise your hand if your government plan would provide coverage for undocumented immigrants.
[00:02:43.018 --> 00:02:47.684]  If the border goes, then our Constitution goes with it.
[00:02:47.684 --> 00:02:58.196]  Antifa has been using Molotov cocktails in Europe, and now the dangerous trend has officially arrived in the U.S., and the mainstream media supports them.
[00:02:58.336 --> 00:03:01.358]  They are strictly principled anti-fascists.
[00:03:01.358 --> 00:03:03.279]  It says it right in the name, Antifa.
[00:03:03.279 --> 00:03:07.141]  Anti-fascism, which is what they were there fighting.
[00:03:07.141 --> 00:03:13.905]  I think that a lot of people recognize that when pushed, self-defense is a legitimate response to white supremacist neo-Nazi violence.
[00:03:14.005 --> 00:03:20.730]  When you go to cancer treatment, the radiation is tough treatment, but it is meant to remove the cancer.
[00:03:20.730 --> 00:03:22.952]  But who is really to blame?
[00:03:22.952 --> 00:03:31.919]  There are elected government officials who support Antifa and fill their minds with radical claims of a holocaust happening on our southern border.
[00:03:31.919 --> 00:03:36.483]  The United States is running concentration camps on our southern border.
[00:03:37.443 --> 00:03:42.047]  And that is exactly what they are.
[00:03:42.047 --> 00:03:50.232]  Alexandria Ocasio-Cortez, your colleague who was at the border with you, compared the facilities to a concentration camp.
[00:03:50.232 --> 00:03:52.614]  Do you agree with that comparison?
[00:03:52.614 --> 00:03:53.134]  Absolutely.
[00:03:53.134 --> 00:03:56.257]  I mean, there's a number of experts that say this is because it's traumatic.
[00:03:56.977 --> 00:03:59.477]  There are camps and people are being concentrated.
[00:03:59.477 --> 00:04:00.618]  This is very simple.
[00:04:00.618 --> 00:04:04.378]  I don't even know why this is a controversial thing for her to say.
[00:04:04.378 --> 00:04:12.580]  We have to really truthfully speak about what's taking place and this is why it's really important for us to abolish ICE.
[00:04:12.580 --> 00:04:17.841]  There is no plan in sight and nobody is having the real conversation.
[00:04:17.841 --> 00:04:21.921]  Is there a natural limit to this kind of immigration?
[00:04:21.921 --> 00:04:25.622]  How many resources does America really have to share with the rest of the world?
[00:04:26.222 --> 00:04:28.844]  Are we as rich as we assume we are?
[00:04:28.844 --> 00:04:29.224]  Are you?
[00:04:29.224 --> 00:04:37.169]  How many poor people can we realistically accept before we're not that rich at all, but increasingly resemble the countries from which these people are fleeing?
[00:04:37.169 --> 00:04:41.532]  Now it's possible there are good answers to these questions, logical answers.
[00:04:41.532 --> 00:04:47.636]  On the other hand, if there are answers, why is the left trying to prevent you from asking the questions?
[00:04:47.636 --> 00:04:50.118]  For InfoWars.com, this is Greg Reese.
[00:04:52.020 --> 00:05:00.746]  Alright, strap yourselves in, ladies and gentlemen, because we've got a lot of exclusive intel straight ahead.
[00:05:00.746 --> 00:05:04.589]  InfoWars, the most banned network in the world.
[00:05:05.031 --> 00:05:15.418]  So the InfoWars model is a self-fulfilling, self-supporting structure that is promoting free press and free speech by people getting together and supporting one another and sustaining one another.
[00:05:15.418 --> 00:05:20.261]  It is the only independent press of this size and scale, of this public reach.
[00:05:20.261 --> 00:05:34.770]  It is the one model that says, here's a way to have a self-supporting, self-sustaining, self-structured, little-d democratic structure that because the audience determines what content goes up, the audience determines what audience is ultimately reached by their choices in supporting InfoWars.
[00:05:34.870 --> 00:05:52.639]  And it's all because the audience spends their whatever it is, whether it's $5 or $50 a month on products that they like and that they want that actually compete with the corporate driven model and the ability to do that and at the same time support press, support speech, support letting the audience choose what news they want to see and what views they want to hold.
[00:05:52.639 --> 00:05:59.342]  And it's the ultimate American democratic expression and experiment and it is the celebration of free press and free speech with free markets.
[00:06:02.702 --> 00:06:09.173]  Live from the InfoWars.com studios, you're listening to the Alex Jones Show!
[00:06:42.782 --> 00:06:45.064]  It's Monday, July 15, 2019.
[00:06:45.064 --> 00:06:48.207]  I'm your host, Alex Jones.
[00:06:48.207 --> 00:06:52.490]  And we are living in incredible times.
[00:06:52.490 --> 00:07:10.425]  A man, as you know, Saturday, firebombed an ICE facility in Tacoma, Washington, and tried to shoot the police, tried to blow up a giant propane tank, and if it would have detonated, could have killed hundreds of people right through the wall on the other side.
[00:07:10.425 --> 00:07:11.046]  A huge tank.
[00:07:12.540 --> 00:07:14.081]  He was killed.
[00:07:14.081 --> 00:07:27.329]  Antifa is having celebrations all over Twitter and public demonstrations from Austin, Texas to Tacoma, Washington to New York City, calling him a soldier and a hero and saying it's time to start killing.
[00:07:27.329 --> 00:07:31.431]  In his manifesto, he said, it's time to stop thinking.
[00:07:31.431 --> 00:07:36.414]  It's time to get your weapons and to start killing police and ICE.
[00:07:36.414 --> 00:07:37.315]  I've got his manifesto.
[00:07:37.315 --> 00:07:38.055]  I've got his quotes.
[00:07:38.055 --> 00:07:41.578]  I've got an inch of tweets by official
[00:07:42.378 --> 00:07:48.400]  Twitter accounts and Facebook accounts saying now start killing law enforcement.
[00:07:48.400 --> 00:07:52.462]  Walk up to police, shoot them in the back of the head, kill ICE.
[00:07:52.462 --> 00:07:57.244]  We went out to demonstrations for illegal aliens this weekend in Austin.
[00:07:57.244 --> 00:08:02.726]  They were wearing shirts showing the physical attack and killing of ICE.
[00:08:02.726 --> 00:08:07.128]  This is very serious situation.
[00:08:08.200 --> 00:08:21.983]  And it turns out CNN actually did a fundraiser on national TV for the John Brown Gun Club, the militarized arm of Antifa, and openly funded it.
[00:08:21.983 --> 00:08:25.264]  You cannot make this up.
[00:08:25.264 --> 00:08:30.025]  Here's the CNN show that specifically did it and did a fundraiser.
[00:08:30.025 --> 00:08:34.566]  W. Camus Bell, United Shades of America.
[00:08:35.908 --> 00:08:45.373]  Fundraised one month ago for the group.
[00:08:45.373 --> 00:08:49.915]  We're gonna be breaking it all down today.
[00:08:49.915 --> 00:08:55.278]  I was removed off of Twitter when they said that I said, get battle rifles and attack the media.
[00:08:55.278 --> 00:08:59.380]  They never showed a clip, they never showed a quote, they just said that.
[00:08:59.380 --> 00:09:02.982]  They took out of a 38 minute live feed I did, an emergency message to the president,
[00:09:03.968 --> 00:09:11.613]  Where I showed Antifa saying, we're going to come to congressmen's houses, like they did to the baseball field with Scalise.
[00:09:11.613 --> 00:09:14.015]  We're going to shoot Republicans.
[00:09:14.015 --> 00:09:16.597]  We're going to kill Republican police chiefs.
[00:09:16.597 --> 00:09:27.164]  We're going to come to members of the media's houses and kill them in actions way more violent than we did at Tucker Carlson's house.
[00:09:27.164 --> 00:09:28.065]  That was the week they did that.
[00:09:30.305 --> 00:09:38.110]  Lester Holt, everyone went on TV and said, Alex Jones just said in a shocking video, get battle rifles, kill the media.
[00:09:38.110 --> 00:09:40.411]  Statute of Limitations is not up on that.
[00:09:40.411 --> 00:09:49.036]  And I can tell you that's one of the five suits we're set to file in the next month is against Lester Holt and NBC.
[00:09:49.036 --> 00:09:50.237]  These criminals know what they're doing.
[00:09:51.305 --> 00:10:12.206]  But you see when I said have your battle rifles ready in case Antifa comes to your house, if you're a conservative member of Congress, if you're a conservative governor, if you're in ICE, if you're in federal law enforcement, you should have your battle rifle ready because I have mine ready and we've had specific threats by Antifa that I haven't gotten to on air and I've had around the clock.
[00:10:13.286 --> 00:10:16.148]  Uh, former Blackwater folks at my house.
[00:10:16.148 --> 00:10:24.955]  It's been expensive, it's been fairly priced, but when I made those statements, it was because I'm actually dealing with this.
[00:10:24.955 --> 00:10:25.875]  And I'm gonna stop there.
[00:10:25.875 --> 00:10:32.200]  I've actually moved because of it, and I'm gonna stop there.
[00:10:32.200 --> 00:10:41.247]  But when I said that, it was because these bastards, and they know full well who they are, they've got people inside the police departments, inside the FBI, you name it, they can dox anybody.
[00:10:42.381 --> 00:10:47.565]  Where I live was not under my name.
[00:10:47.565 --> 00:10:51.289]  So when I said that, it was warning everyone to be prepared to defend yourselves.
[00:10:51.289 --> 00:10:55.973]  And these monsters saw that as a threat, because they're planning to come to your house.
[00:10:55.973 --> 00:10:58.174]  They've got a battle plan.
[00:10:58.174 --> 00:10:59.896]  Now that's since come out mainstream news.
[00:10:59.896 --> 00:11:06.361]  Remember a month ago, ICE put out an intelligence report to the FBI saying, we have confirmed and infiltrated Antifa groups.
[00:11:06.361 --> 00:11:07.502]  They are doxing ICE.
[00:11:08.635 --> 00:11:16.697]  Commander's homes and planning to come there and kill them.
[00:11:16.697 --> 00:11:22.579]  I told you all this because I'm experiencing it and I'm not a victim.
[00:11:22.579 --> 00:11:24.540]  I'm a target.
[00:11:24.540 --> 00:11:32.262]  Because I'm affected and I am a loyal American who loves my country and believes in a good, open, free society.
[00:11:33.564 --> 00:11:35.885]  And the Globalists and the Chi-Coms are funding our collapse.
[00:11:35.885 --> 00:11:40.726]  They have funded thousands of caravans, tens of millions of people, hundreds of thousands a month.
[00:11:40.726 --> 00:11:41.526]  They're catching.
[00:11:41.526 --> 00:11:43.886]  The Border Patrol is totally overwhelmed.
[00:11:43.886 --> 00:11:48.587]  It's done an incredible job providing amazing security and care for these people.
[00:11:48.587 --> 00:11:53.588]  And the laws are wrong, so they're releasing 90% of these people.
[00:11:53.588 --> 00:11:58.049]  The NAND culture gets in cheap shots about how they're not, you know, doing enough.
[00:11:58.049 --> 00:11:59.510]  Trump asked for 12 plus billion.
[00:11:59.510 --> 00:12:00.430]  He got a billion three.
[00:12:01.581 --> 00:12:03.322]  He just got four more billion.
[00:12:03.322 --> 00:12:05.984]  That's only half of what we need.
[00:12:05.984 --> 00:12:09.266]  It's a 635% increase in three years.
[00:12:09.266 --> 00:12:13.048]  We're under attack!
[00:12:13.048 --> 00:12:24.376]  And then you get people coming into this country like Ilhan Omar, bred and trained to hate this country, coming in to conquer it, from the most failed state in the world, Somalia, who believes it has a divine right to rule the world.
[00:12:25.418 --> 00:12:32.564]  That's why Somalia can't ever get its act together, because everybody's a king, everybody's royal, everyone's a noble, everyone has a right to rule.
[00:12:32.564 --> 00:12:36.607]  That's why they're trying to take over Ethiopia and Sudan.
[00:12:36.607 --> 00:12:41.791]  Nobody wants to work, they want to just run around and be the boss.
[00:12:41.791 --> 00:12:46.915]  The genetics is pure arrogance.
[00:12:46.915 --> 00:12:50.417]  Just like the Palestinians.
[00:12:50.417 --> 00:12:50.558]  And
[00:12:52.048 --> 00:12:55.709]  Their sickening entitlement works with the leftist mindset perfectly.
[00:12:55.709 --> 00:12:56.329]  And she's here.
[00:12:56.329 --> 00:12:58.790]  I've got countless clips saying, America's not good.
[00:12:58.790 --> 00:12:59.531]  It's terrible.
[00:12:59.531 --> 00:13:01.431]  She'll teach us how to be great.
[00:13:01.431 --> 00:13:02.932]  I mean, these are some sickening clips.
[00:13:02.932 --> 00:13:05.873]  How it's concentration camp guards and they've got to be dealt with.
[00:13:05.873 --> 00:13:08.134]  They've got to be eliminated.
[00:13:08.134 --> 00:13:09.634]  And then it starts happening.
[00:13:09.634 --> 00:13:18.357]  You start trying to kill the Border Patrol as the nation's under attack, the most open border in the world.
[00:13:18.357 --> 00:13:20.378]  And Trump wades in perfectly.
[00:13:21.508 --> 00:13:28.015]  Knowing that there's already a fissure in the Democratic Party between Nancy Pelosi and the leftist.
[00:13:28.015 --> 00:13:30.878]  There was a perfect cartoon last week I meant to show you.
[00:13:30.878 --> 00:13:31.859]  See if you guys can pull it up.
[00:13:33.837 --> 00:13:37.600]  I think a Don Salazar tweeted, it's how I saw it, it was on a Don's tweet, one of our writers.
[00:13:37.600 --> 00:13:45.286]  Yeah, it was a Don's, where it shows Pelosi's paving this road to globalism, communism, world government, but the cement isn't dry yet.
[00:13:45.286 --> 00:13:54.494]  And here's Ilhan Omar and Khalib and AOC, like little kids, racing across the wet concrete, messing up the road.
[00:13:54.494 --> 00:13:58.917]  That's exactly, that's the perfect allegory, the perfect analogy.
[00:13:58.917 --> 00:14:03.001]  In fact, I even said last week that she's paving the road to the new world order,
[00:14:03.885 --> 00:14:08.531]  And then they're pissed at her, who's actually paving the road for them.
[00:14:08.531 --> 00:14:22.528]  So Trump sees this division, Trump sees this fissure, Trump sees what's happening, and he sees how America-hating all these people are, so he comes out and he attacks Ilhan Omar and says, you ought to go back to the country you came from, in singular.
[00:14:24.389 --> 00:14:42.819]  And CNN, of course, to make a deception, said he called all four women foreigners and said they should all four go back when he said, you Congresswoman need to go back to the hellhole country, the worst in the world you came from, which is true.
[00:14:42.819 --> 00:14:47.742]  Unbelievable, ladies and gentlemen.
[00:14:47.742 --> 00:14:50.764]  So Trump has made the right move and he's way ahead.
[00:14:50.764 --> 00:14:52.665]  Trump's 20 points ahead of everybody.
[00:14:53.626 --> 00:14:59.071]  Just as I told you three years ago on the eve of the election and they've got new polls.
[00:14:59.071 --> 00:15:06.198]  Trump trails Biden, Warren, Sanders in new NBC News Wall Street Journal poll.
[00:15:06.198 --> 00:15:10.742]  So the weak-minded still believe they're the majority and think, oh, he's losing.
[00:15:10.742 --> 00:15:11.923]  We're winning.
[00:15:11.923 --> 00:15:13.505]  Let's stay on the bandwagon.
[00:15:14.349 --> 00:15:21.171]  And you go to a Democrat event, an Antifa event, it looks like people that escaped from a mental institution.
[00:15:21.171 --> 00:15:27.713]  You ever drive down the road and you see somebody at a four-way stop or at a street light and they're talking to themselves and looking crazy?
[00:15:27.713 --> 00:15:29.834]  They got the look.
[00:15:29.834 --> 00:15:31.975]  But all these people have the look!
[00:15:33.035 --> 00:15:35.856]  Of mental patients, but that's who they are!
[00:15:35.856 --> 00:15:39.298]  The truth is, the Democrats engage in election fraud in every area they control.
[00:15:39.298 --> 00:15:40.278]  They're a criminal group.
[00:15:40.278 --> 00:15:44.500]  The truth is, the Democrats have about 30% support in voters.
[00:15:44.500 --> 00:15:45.000]  It's not 50.
[00:15:45.000 --> 00:15:47.581]  It's all rigged for them.
[00:15:47.581 --> 00:15:48.842]  No one likes them.
[00:15:48.842 --> 00:15:50.182]  Everyone hates them.
[00:15:50.182 --> 00:15:52.863]  Maybe 20% of the population nationally likes them.
[00:15:52.863 --> 00:15:56.165]  And they're the biggest losers there are, or they're parasite controllers.
[00:15:59.381 --> 00:16:03.242]  Most of you know that heart disease is the number one silent killer in the U.S.
[00:16:03.242 --> 00:16:08.243]  What if I told you for just $54.95 a month you could fight against heart disease naturally?
[00:16:08.243 --> 00:16:13.044]  At Heart and Body Extract, we've been helping thousands of people get back to a healthier heart.
[00:16:13.044 --> 00:16:14.404]  Don't just take my word for it.
[00:16:14.404 --> 00:16:18.165]  Check out all of the success stories at HBExtract.com.
[00:16:18.165 --> 00:16:19.165]  Or to order, call 866-295-5305.
[00:16:19.165 --> 00:16:19.385]  That's 866-295-5305.
[00:16:25.206 --> 00:16:26.807]  HB extract dot com.
[00:16:26.807 --> 00:16:29.048]  Don't risk it when you can take charge of it.
[00:16:29.048 --> 00:16:31.689]  Hunters, anglers, campers and survivalists.
[00:16:31.689 --> 00:16:32.790]  Get back to nature.
[00:16:32.790 --> 00:16:40.093]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[00:16:40.093 --> 00:16:43.515]  Slingbow products are compact and models start from just $17.98.
[00:16:43.515 --> 00:16:47.076]  They're perfect for your bug out bag or storing in your vehicle.
[00:16:47.076 --> 00:16:50.958]  Give yourself and your loved ones the excitement and tradition of slingbow.
[00:16:51.238 --> 00:16:55.800]  A new frontier in archery and truly modern twist on this primitive survival tool.
[00:16:55.800 --> 00:16:58.981]  Feel the thrill only at slingbow.com.
[00:16:58.981 --> 00:17:01.622]  Attention GCN self-reliance listeners.
[00:17:01.622 --> 00:17:09.985]  If you've ever wanted an emergency solar survival backup system but were waiting for prices too crazy to pass up, this will be the most important message you'll ever hear.
[00:17:10.145 --> 00:17:19.471]  Bill Hyde here, and I want to tell you about a huge sale with historically low prices on our PPX microgrid system that's going to let you produce an endless supply of electricity off the grid.
[00:17:19.471 --> 00:17:24.755]  The clearance price is a result of the historic flooding we're having here right on the east bank of the Mississippi.
[00:17:24.755 --> 00:17:36.943]  Because of the flooding, we've had to move a lot of our inventory to a temporary location, and rather than move it back to the warehouse, we thought we'd offer the system at a price that might seem unbelievable if you didn't know the floodwater's backstory.
[00:17:36.943 --> 00:17:38.204]  So here's what you should do right now.
[00:17:38.204 --> 00:17:40.145]  Check out the PPX microgrid system.
[00:17:40.325 --> 00:17:40.925]  That's right.
[00:18:00.401 --> 00:18:01.742]  Let's talk to Marcus in New York.
[00:18:01.742 --> 00:18:02.502]  Marcus, you're on the air.
[00:18:02.502 --> 00:18:03.082]  Thanks for holding.
[00:18:03.082 --> 00:18:03.603]  Hey, Alex.
[00:18:03.603 --> 00:18:06.444]  Yeah, I just want to say your show is a breath of fresh air.
[00:18:06.444 --> 00:18:12.548]  I talk to a lot of people here out in New York City, and one thing I can tell you is that almost nobody agrees with these wars.
[00:18:12.548 --> 00:18:21.353]  I think that the neocons are trying desperately to get Trump to go to a war because they know that that's the only way that they could defeat him in the eyes of the public approaching 2020.
[00:18:21.353 --> 00:18:22.513]  That's it.
[00:18:22.513 --> 00:18:25.175]  I mean, if Trump buys into this, it'll be the end of his presidency.
[00:18:25.175 --> 00:18:28.016]  It's the only way I think he can be defeated other than assassinating him.
[00:18:28.016 --> 00:18:29.297]  It's a time to be praying, my friend.
[00:18:29.457 --> 00:18:30.218]  I agree entirely.
[00:18:30.218 --> 00:18:35.661]  And the last thing I just want to say, Alex, is I know they're trying to shut you down, but the reinforcements have arrived, man.
[00:18:35.661 --> 00:18:38.442]  I would love to see you on air until you're 80 years old.
[00:18:38.442 --> 00:18:40.524]  I would love to see what you're talking about when you're 80.
[00:18:40.524 --> 00:18:49.749]  But if they do shut you down, know you've gone into this war, you've won a lot of battles, and there are a lot of people like myself and many others who are going to continue.
[00:18:49.749 --> 00:18:51.670]  We're going to keep fighting in the info war.
[00:18:51.670 --> 00:18:58.154]  And even if something does happen to you or your show, know for a fact that you've gotten a lot of people fired up for liberty.
[00:18:58.154 --> 00:18:59.095]  Thank you, sir, for calling.
[00:19:00.336 --> 00:19:04.522]  The globalists are hyper-competitive scientific dictators.
[00:19:04.522 --> 00:19:05.583]  They are technocrats.
[00:19:05.583 --> 00:19:07.886]  They are control freaks in their own words.
[00:19:07.886 --> 00:19:14.755]  And they believe allowing you to live your own life and make your own decisions gets in the way of their great destiny to merge with AI gods.
[00:19:15.316 --> 00:19:17.098]  We're fighting them hard in cyberspace.
[00:19:17.098 --> 00:19:19.560]  We're fighting them hard right here in the third dimension.
[00:19:19.560 --> 00:19:26.065]  But one of the biggest places that we neglect to forget that we've really got a lot of control in our lives is our bodies.
[00:19:26.065 --> 00:19:31.250]  If I wasn't taking the highest quality supplements from 4warslife.com, I couldn't do it.
[00:19:31.250 --> 00:19:40.277]  That's why we decided to take our original Secret 12 that was incredibly high quality medical bottlement and double the strength of it in a new formula, Ultra 12.
[00:19:41.238 --> 00:19:47.223]  Ultra 12 is undoubtedly the strongest, highest quality B12 over-the-counter that you're going to find anywhere.
[00:19:47.223 --> 00:19:48.164]  It is amazing.
[00:19:48.164 --> 00:19:58.173]  Experience pure Methylcobalamin B12 for yourself and fund the Second American Revolution against the tyrants at InfoWarsStore.com, InfoWarsLife.com, or 888-253-3139.
[00:19:58.173 --> 00:19:59.554]  You're listening to the Alex Jones Show.
[00:20:27.068 --> 00:20:34.057]  Welcome back, I'm Alex Jones, your host on this very important Monday, July 15th, 2019 Global Broadcast.
[00:20:34.057 --> 00:20:35.178]  I am your host Alex Jones.
[00:20:36.437 --> 00:20:47.980]  Now, coming up, we have a gentleman from the Three Percenters out in Washington who has actually been around and been confronted by the firebombing terrorist that attacked the ICE facility.
[00:20:47.980 --> 00:20:48.720]  He'll be joining us.
[00:20:48.720 --> 00:20:52.921]  Stuart Rhodes will be in studio, founder of Oath Keepers, breaking all this down.
[00:20:52.921 --> 00:20:55.801]  They actually had the manifesto before Jack Posobiec did.
[00:20:55.801 --> 00:20:57.642]  That's how on the job they are.
[00:20:57.642 --> 00:20:58.902]  We'll be going over the manifesto.
[00:21:00.287 --> 00:21:06.511]  And I'm gonna get back into Ilhan Omar and how smart it is, and how it's the right thing to do, to call the bluff of the left.
[00:21:06.511 --> 00:21:10.273]  Ilhan Omar's talking about how much America sucks, so are her other cohorts.
[00:21:10.273 --> 00:21:18.097]  She came here fraudulently, married her brother, was on welfare the whole time, then engaged in tax fraud, which she admitted to and paid a fine for.
[00:21:18.097 --> 00:21:22.079]  The woman is a slug.
[00:21:22.079 --> 00:21:23.640]  She comes from a failed state.
[00:21:23.640 --> 00:21:26.662]  If you come here from Somalia and you embrace America, great, I embrace you.
[00:21:28.609 --> 00:21:31.750]  But I statistically have seen the numbers on many Somalis.
[00:21:31.750 --> 00:21:33.331]  And they say they want to go back to Somalia.
[00:21:33.331 --> 00:21:35.551]  America sucks.
[00:21:35.551 --> 00:21:42.034]  There's a lot of violence against other fellow Americans because they don't see this as their Islamic wonderland.
[00:21:42.034 --> 00:21:45.775]  They believe they are the superior master group to rule the earth.
[00:21:45.775 --> 00:21:50.856]  Well, go back and rule Somalia where you're constantly killing each other over control.
[00:21:50.856 --> 00:21:53.177]  Two types of civilization.
[00:21:53.177 --> 00:21:55.278]  Those that exist and those don't.
[00:21:55.278 --> 00:21:56.498]  One is based on renaissance.
[00:21:56.498 --> 00:21:58.099]  The other is based on conquest.
[00:22:00.660 --> 00:22:05.504]  Now let's get right into it.
[00:22:05.504 --> 00:22:09.247]  Again, InfoWars is next year's news today.
[00:22:09.247 --> 00:22:15.993]  I was completely banned off of the major platforms a year ago, August 6th.
[00:22:15.993 --> 00:22:23.619]  I was 86th on 86 by all the big tech platforms because I was on air calling for criminal
[00:22:25.447 --> 00:22:37.156]  Investigations of Google and Apple specifically for international spying, espionage, and treason.
[00:22:37.156 --> 00:22:42.160]  In fact, there is the August 7th article in Real Clear Politics.
[00:22:42.160 --> 00:22:49.286]  Alex Jones and Donald Trump, you need to blow the whistle on Chinese Communist infiltration of Silicon Valley Democratic Party.
[00:22:49.286 --> 00:22:50.667]  In fact, let's grab that video.
[00:22:52.563 --> 00:23:03.229]  And I was on air for one month solid saying, I don't care what happens to me, they're on the Chinese payroll, red alert, maximum alert.
[00:23:03.229 --> 00:23:09.852]  That is what we issued was a red alert, pointing out that we exposed treasons, we were under attack.
[00:23:09.852 --> 00:23:18.817]  Peter Thiel spoke to a group of conservatives yesterday, closed door, but the transcript is available.
[00:23:18.817 --> 00:23:21.098]  It's at Fox News, Bloomberg and Axios.
[00:23:22.073 --> 00:23:26.396]  And he said, Peter Thiel says FBI, CIA should probe Google.
