[00:00:12.782 --> 00:00:13.202]  We're good to go.
[00:00:37.990 --> 00:00:41.513]  Of saying flood our borders with billions of people, potentially.
[00:00:41.513 --> 00:00:46.136]  The UN wants 600 million to migrate to the US in the next 20 years.
[00:00:46.136 --> 00:00:49.959]  Let them overrun everything, but then don't send them to Democrat cities.
[00:00:49.959 --> 00:00:50.300]  Here it is.
[00:00:51.724 --> 00:01:06.009]  Since the Democrats' policies are enabling an estimated 100,000 illegal aliens to continue flooding across the border every single month, President Trump has proposed busing them into the heart of sanctuary cities.
[00:01:06.009 --> 00:01:11.610]  Those, of course, are the Democrat-controlled cities who are willfully violating federal immigration laws.
[00:01:11.610 --> 00:01:17.352]  Instead of Democrats being excited about this extracultural diversity, they're quite upset about it.
[00:01:17.352 --> 00:01:19.333]  Here's California Governor Gavin Newsom.
[00:01:19.833 --> 00:01:23.535]  California certainly is always saying, oh, we want more people.
[00:01:23.535 --> 00:01:25.677]  And they want more people in their sanctuary cities.
[00:01:25.677 --> 00:01:27.078]  Well, we'll give them more people.
[00:01:27.078 --> 00:01:27.798]  We can give them a lot.
[00:01:27.798 --> 00:01:30.160]  We can give them an unlimited supply.
[00:01:30.160 --> 00:01:34.642]  Democratic Governor Gavin Newsom fired back at the president's plan today.
[00:01:34.642 --> 00:01:36.303]  It's illegal.
[00:01:36.303 --> 00:01:37.164]  It's immoral.
[00:01:37.164 --> 00:01:39.626]  It's unethical.
[00:01:39.626 --> 00:01:42.207]  It's sophomoric.
[00:01:42.207 --> 00:01:44.088]  It's petulant.
[00:01:44.088 --> 00:01:46.430]  And it's par for the course.
[00:01:46.730 --> 00:01:52.535]  I think it's pure genius and it's also proved once again that you Democrats are the biggest immigrants in the world!
[00:01:52.535 --> 00:02:04.185]  Not realizing the irony of her idiocy, singer Cher tweeted, quote, I understand helping struggling immigrants, but my city, Los Angeles, isn't taking care of its own.
[00:02:04.185 --> 00:02:07.448]  What about the 50,000 plus citizens who live on the streets?
[00:02:07.448 --> 00:02:09.990]  People who live below the poverty line and are hungry?
[00:02:09.990 --> 00:02:14.954]  If my state can't take care of its own, many are veterans, how can it take care of
[00:02:15.935 --> 00:02:17.435]  Well, you're absolutely right, Cher.
[00:02:17.435 --> 00:02:25.060]  It sounds like a great reason why we need to build a wall and stop another million illegal aliens from coming into the USA this year alone.
[00:02:25.060 --> 00:02:32.525]  Mr. Potato Head Cory Booker also inadvertently admitted that the sanctuary cities are making American citizens less safe.
[00:02:32.525 --> 00:02:38.408]  Do you think this is an empty threat by the president, though, to talk about busing people from the border into these sanctuary cities?
[00:02:38.408 --> 00:02:42.551]  He likes to create friction sometimes to jumpstart, he says, a Congress that's not active.
[00:02:42.731 --> 00:02:50.034]  You say friction, I say he's trying to pit Americans against each other and make us less safe, because what you're seeing now... So you take the threat seriously?
[00:02:50.034 --> 00:02:51.115]  I take this.
[00:02:51.115 --> 00:02:54.336]  He's injecting fear into our country.
[00:02:54.336 --> 00:03:00.118]  And so if he was looking to solve a problem, he wouldn't be doing things to divide this country against itself.
[00:03:00.118 --> 00:03:11.183]  Beware of anybody that's trying to tell you to be afraid in the strongest country in the world, as opposed to showing our strength and our courage by pulling people together to find common sense solutions to solve this problem.
[00:03:11.383 --> 00:03:19.030]  I don't think that exactly came out the way that he was thinking, but he inadvertently admitted the truth that illegal aliens make us less safe.
[00:03:19.030 --> 00:03:26.437]  Rumor has it the one and only Stephen Miller, President Trump's advisor on immigration, may be the genius behind this idea.
[00:03:26.437 --> 00:03:32.303]  And so Jerry the Hunt Nadler says he may call Stephen to testify in front of Congress because of it.
[00:03:32.563 --> 00:03:44.828]  We heard several weeks ago from whistleblowers that this, that Steve Miller came up with this, and probably Steve Miller, who seems to be the boss of everybody on immigration, ought to come before Congress and explain some of these policies.
