[00:00:03.445 --> 00:00:06.106]  Waging war on corruption.
[00:00:06.106 --> 00:00:12.929]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:12.929 --> 00:00:15.050]  It's Tuesday, January 15th, 2019.
[00:00:15.050 --> 00:00:18.251]  And I'm your host, Alex Jones.
[00:00:26.528 --> 00:00:37.459]  My problem is there's too much news to cover and I always tend to go down a few rabbit trails and not get to a third of it but today I'm gonna try my dead level best to get to almost all of this news.
[00:00:37.459 --> 00:00:48.810]  There's a new giant caravan forming in Honduras funded and run by the UN and George Soros on its way and Trump has extended the military emergency on the US border now through September.
[00:00:49.727 --> 00:00:57.409]  And of course the enemies inside our government are saying it's terrible, it's treason, it's white supremacy, blah blah blah, they have a border.
[00:00:57.409 --> 00:00:58.830]  They'll be looking at all that.
[00:00:58.830 --> 00:01:05.312]  Trump and lawmakers paralyzed over shutdown as both sides remain dug in.
[00:01:05.312 --> 00:01:11.034]  We're going to be going over all of that.
[00:01:11.034 --> 00:01:15.915]  A really important story that illustrates why we can't take this country back.
[00:01:15.915 --> 00:01:18.556]  The GOP has thrown Representative King
[00:01:20.356 --> 00:01:31.640]  Overboard, Steve King, with a out-of-context quote from the New York Times, who's famous for lying.
[00:01:31.640 --> 00:01:37.741]  The New York Times is a criminal, anti-American, vicious lie factory.
[00:01:37.741 --> 00:01:40.222]  He's put a letter out.
[00:01:40.222 --> 00:01:44.303]  He said that they removed words out of what he said.
[00:01:44.303 --> 00:01:45.364]  It's clear what he was saying.
[00:01:46.371 --> 00:01:48.732]  And none of the media will even pick it up.
[00:01:48.732 --> 00:01:58.917]  Instead, the headlines are, Steve King says he isn't a white supremacist, but he stands by his quote that white supremacists are good.
[00:01:58.917 --> 00:02:05.200]  When he's got a public statement out for the last day, and a statement the day before that saying it's not true.
[00:02:05.200 --> 00:02:07.961]  I have experienced the New York Times.
[00:02:07.961 --> 00:02:12.444]  They are a ship of devils.
[00:02:12.444 --> 00:02:13.164]  But here's the issue.
[00:02:14.554 --> 00:02:22.116]  Linda Bolster at the New York Times gives a history of his white supremacist attitude.
[00:02:22.116 --> 00:02:29.638]  And when you read the quotes, it's, he talks about illegal aliens having double the crime rate.
[00:02:29.638 --> 00:02:31.819]  Okay.
[00:02:31.819 --> 00:02:35.080]  He says we should be proud of the accomplishments of Western civilization.
[00:02:35.080 --> 00:02:36.280]  Absolutely.
[00:02:36.280 --> 00:02:37.680]  Aren't the Chinese proud of themselves?
[00:02:37.680 --> 00:02:39.541]  Aren't the Japanese proud of themselves?
[00:02:43.089 --> 00:02:46.972]  It's just, it's just a Rosetta Stone into everything.
[00:02:46.972 --> 00:03:04.446]  How they lie, how they manipulate, and how the weak-kneed, chicken-neck Republicans, desperate to curry favor with the left and race-based leftist constituents, threw him overboard.
[00:03:04.446 --> 00:03:06.867]  You know, we have Sarah Jong,
[00:03:08.334 --> 00:03:20.326]  Saying she can't wait till whites are bred out, that whites are horrible subhuman creatures that live in holes like goblins, these are quotes, and that she loves being mean to white people.
[00:03:20.326 --> 00:03:23.349]  Now she's on the board of the New York Times and they stand by that.
[00:03:23.349 --> 00:03:29.074]  I mean, the media projects like whites are these evil people.
[00:03:29.074 --> 00:03:32.638]  Everybody wants to get into white nations because the truth is on average we're very, very nice.
[00:03:34.309 --> 00:03:36.530]  Because of Christian society.
[00:03:36.530 --> 00:03:39.511]  That's what helped phase out the barbarism that was everywhere else.
[00:03:39.511 --> 00:03:44.793]  And Christianity comes out of the Middle East and is adopted in Europe.
[00:03:44.793 --> 00:03:47.334]  My God, in China, they just let you starve to death on the side of the street.
[00:03:47.334 --> 00:03:49.454]  But see, we've got a... Oh my gosh!
[00:03:49.454 --> 00:03:51.015]  Oh my gosh, you've got brown skin!
[00:03:51.015 --> 00:03:54.656]  Can I bow down to you when you call me subhuman?
[00:03:54.656 --> 00:03:58.918]  But then the same criminal organization... I mean, it's a criminal organization.
[00:04:00.151 --> 00:04:01.731]  Takes clearly!
[00:04:01.731 --> 00:04:07.553]  We're saying white supremacists, you know, Nazis, all this stuff, you know, they're comparing it to Western civilization.
[00:04:07.553 --> 00:04:09.493]  That's the quote!
[00:04:09.493 --> 00:04:18.916]  And the New York Times removes that out, and just says, it has King up there saying that, and it's out of context when we all know his talking points.
