[00:00:00.345 --> 00:00:01.546]  Sue him!
[00:00:01.546 --> 00:00:03.208]  Impeach him!
[00:00:03.208 --> 00:00:03.769]  Really?
[00:00:03.769 --> 00:00:08.093]  Really?
[00:00:08.093 --> 00:00:12.638]  For what?
[00:00:12.638 --> 00:00:13.899]  I mean, think about that.
[00:00:13.899 --> 00:00:17.323]  You're going to use taxpayer money to sue me for doing my job.
[00:00:19.088 --> 00:00:20.729]  Why you don't do your job?
[00:00:20.729 --> 00:00:26.734]  President Obama's questionable sanity is now not just being noticed by mental health professionals.
[00:00:26.734 --> 00:00:30.257]  Some of his behavior seems irrational to me.
[00:00:30.257 --> 00:00:39.165]  It seems beyond that of just a typical narcissistic, arrogant, sort of, I'm a leader of a big country and I feel tyrannical at the moment, kind of attitude.
[00:00:39.165 --> 00:00:46.011]  Demonstrating behavior that is not only anti-American, but irrational and erratic and perhaps
[00:00:46.691 --> 00:00:49.733]  Uh, not exactly what we might want to deem sane.
[00:00:49.733 --> 00:00:54.336]  Poor political activist and former presidential nominee, Lyndon LaRouche.
[00:00:54.336 --> 00:01:00.841]  If you move this president, Obama, out of office on the basis of his charge that he's insane,
[00:01:01.883 --> 00:01:04.544]  That's under the 25th Amendment Section 4.
[00:01:04.544 --> 00:01:09.385]  He qualifies for expulsion from the presidency on the basis of that.
[00:01:09.385 --> 00:01:11.525]  Or best-selling author and former U.S.
[00:01:11.525 --> 00:01:13.925]  State Department official Steve Pchenik.
[00:01:13.925 --> 00:01:14.626]  Obama.
[00:01:14.626 --> 00:01:30.749]  The minute he talks about his conspiracy theory or silliness or whatever he wants to say, then what happens is it repercusses back to him and it opens up his own narcissistic vulnerability, which is a fancy way of saying, listen, the more you pump yourself up, stupid,
[00:01:31.249 --> 00:01:38.014]  The more you're going to be vulnerable to the American public asking questions of what did you do in Chicago when you were growing up?
[00:01:38.014 --> 00:01:39.094]  While you were married?
[00:01:39.094 --> 00:01:40.495]  Before you were married?
[00:01:40.495 --> 00:01:42.156]  Before you were educated?
[00:01:42.156 --> 00:01:44.678]  What kind of education did you really have?
[00:01:44.678 --> 00:01:51.943]  Let's look at really what you did because the more stupid things you say and you do to the American public, the more vulnerable you become.
[00:01:51.943 --> 00:01:55.065]  And go ask Axelrod, who's not the brightest guy in the world.
[00:01:55.405 --> 00:02:01.470]  And ask your own heads of national intelligence who remain there because they get pensions and they get double pensions.
[00:02:01.470 --> 00:02:07.755]  These are not the same guys from the 90s and 80s who worked for Bush and Reagan who really sacrificed their lives.
[00:02:07.755 --> 00:02:12.839]  These are guys who earned their pensions, remained there, and really have never been in the outside world.
[00:02:12.839 --> 00:02:17.143]  So I want this president to keep on attacking me and you and the American public
[00:02:17.503 --> 00:02:22.745]  To come out with more and more stupidity because underneath it all, he's not just a liar.
[00:02:22.745 --> 00:02:24.206]  He knows he's a sociopath.
[00:02:24.206 --> 00:02:26.907]  He knows it from the day he was born he's a sociopath.
[00:02:26.907 --> 00:02:31.169]  You don't get to be President of the United States unless you want to manipulate that's even lie.
[00:02:31.169 --> 00:02:34.050]  But this is not a man who's basically all that bright.
[00:02:34.050 --> 00:02:36.832]  In the same way Condoleezza was not very bright.
[00:02:36.832 --> 00:02:38.112]  We know Bush Jr.
[00:02:38.112 --> 00:02:39.193]  was stupid.
[00:02:39.193 --> 00:02:42.134]  Clinton was very bright, but he's a bright liar.
[00:02:42.134 --> 00:02:43.895]  This man is not even a bright liar.
[00:02:44.275 --> 00:02:48.620]  But now an entire country has voiced its concern.
[00:02:48.620 --> 00:03:05.758]  John Schindler, a security expert and whistleblower who now writes for the Daily Beast, has claimed that a senior EU official from an undisclosed country also inquired about the impeachment proceedings, saying that the nation believes Obama is not fit for office.
[00:03:06.138 --> 00:03:08.840]  Schindler tweeted out the revelation Monday.
[00:03:08.840 --> 00:03:15.784]  It read, Had a senior EU diplomat, old friend, asked me today, How does your impeachment work?
[00:03:15.784 --> 00:03:20.087]  My government believes Obama is quite mentally unwell.
[00:03:20.087 --> 00:03:28.033]  In fact, the submissive, domesticated Obama supporters at this point have to be suffering varying degrees of psychosis.
[00:03:28.033 --> 00:03:32.976]  You would have to be delusional to ignore Obama's shrouded upbringing by communist Muslims.
[00:03:33.516 --> 00:03:53.161]  His former identity is Barry Sotero, an Indonesian foreign exchange student with confidential college records that rose to prominence traversing Marxist-Socialist circles catapulted into the political landscape due to funds provided by shadowy foreign backers and New World Order strategist George Soros.
[00:03:53.661 --> 00:03:57.962]  President Obama has now shown almost all of the cards in his hand.
[00:03:57.962 --> 00:03:59.342]  After decimating the U.S.
[00:03:59.342 --> 00:04:02.162]  military, aiding and abetting the assault of the U.S.
[00:04:02.162 --> 00:04:22.766]  Constitution, increasing our national debt, creating a mandatory health care tax to destroy the middle class, engaging in divide-and-conquer leadership, and overseeing the policies and trade deals that serve as a Trojan horse for an emerging, corporacratic, global government, you would have to be mentally ill to oppose prosperity.
[00:04:23.166 --> 00:04:32.149]  Humanity has an unlimited potential, massively overshadowing the potential of the New World Order beast's technocratic eugenics plan.
[00:04:32.149 --> 00:04:37.551]  Our sovereign individual national identities have to be maintained and developed.
[00:04:37.551 --> 00:04:45.274]  It is only through this method of human innovation that all of our greatest and sanest achievements have been obtained.
[00:04:45.274 --> 00:04:47.515]  John Bowne for InfoWars.com
[00:04:48.604 --> 00:04:52.885]  John Bowne deserves a Peabody or something for the reporting he does.
[00:04:52.885 --> 00:04:56.306]  He is just absolutely amazing.
[00:04:56.306 --> 00:05:00.627]  I've got some news so devastating that I can hardly even cover it when we come back.
[00:05:00.627 --> 00:05:01.367]  Seriously.
[00:05:01.367 --> 00:05:07.248]  Indiana Sheriff Brad Rogers made his stance on the Second Amendment clear during a recent interview.
[00:05:07.248 --> 00:05:17.471]  If President Obama today said, I'm creating an executive order that all sheriffs and police chiefs around this nation need to start registering firearms, I will disregard it.
