[00:00:16.067 --> 00:00:16.231]  Hmm.
[00:00:36.744 --> 00:00:38.806]  Welcome to the InfoWars Nightly News.
[00:00:38.866 --> 00:00:43.431]  It is Tuesday, January 20th, 2015 and I'm Leanne McAdoo.
[00:00:43.851 --> 00:00:45.493]  Thank you for tuning in to the show tonight.
[00:00:45.533 --> 00:00:48.395]  We've got an extended broadcast for you.
[00:00:48.415 --> 00:01:00.027]  I'm going to be joined live in studio by David Knight and others from the crew to give you our take on this year's State of the Union or State of the Dictatorship.
[00:01:00.447 --> 00:01:02.428]  But first, let's get right into it.
[00:01:02.728 --> 00:01:04.448]  This is some incredible news.
[00:01:04.488 --> 00:01:10.170]  I mean, well, I guess if you want to look at it about how corrupt our government is, it might not be the greatest news.
[00:01:10.530 --> 00:01:21.234]  But when you take it into the fact that the military knows what's going on, they know that there's a coup in the government, they're exposing it, they're exposing that Obama et al.
[00:01:21.294 --> 00:01:22.994]  has switched sides.
[00:01:23.735 --> 00:01:23.915]  Now,
[00:01:24.855 --> 00:01:28.896]  We have generals concluding that Obama backed Al Qaeda.
[00:01:29.356 --> 00:01:32.037]  This is coming from the Citizens Commission on Benghazi.
[00:01:32.417 --> 00:01:41.200]  They've concluded in their interim report that the Obama White House and the State Department under Hillary Clinton changed sides in the war on terror.
[00:01:41.300 --> 00:01:52.883]  In 2011, they implemented a policy of facilitating the delivery of weapons to the Al Qaeda-dominated rebel militias in Libya who are attempting to oust Qadhafi from power.
[00:01:53.223 --> 00:01:56.887]  Now we told you about that, and here it is, right in this report.
[00:01:57.387 --> 00:02:10.660]  Now, several members of the Commission have disclosed their findings that the mission of Ambassador Stevens was the management of a secret gun-running program operated out of the Benghazi compound.
[00:02:10.880 --> 00:02:11.761]  What did we tell you?
[00:02:12.101 --> 00:02:16.406]  Just like, you know, Eric Holder's Justice Department operating fast and furious.
[00:02:16.906 --> 00:02:22.811]  Now, in a paragraph titled, Changing Sides in the War on Terror, the report alleges that the U.S.
[00:02:22.851 --> 00:02:32.080]  was fully aware of and facilitating the delivery of weapons to the Al Qaeda-dominated rebel militias throughout the 2011 rebellion.
[00:02:32.100 --> 00:02:34.822]  Now, Jerome Corsi of WorldNetDaily...
[00:02:35.803 --> 00:02:40.947]  Conducted exclusive interviews with 11 of the 17 members of this commission.
[00:02:41.307 --> 00:02:48.813]  He spoke with Alex Jones today on the Alex Jones Radio Show in depth about this research that he had done.
[00:02:48.853 --> 00:02:55.798]  He talks about Obama changing sides, aligning with Al Qaeda, breaks down the alliances there and calls it a triple cross.
[00:02:56.739 --> 00:02:59.041]  Um, and just really talks about this whole turnaround.
[00:02:59.362 --> 00:03:02.244]  That was in the third hour of the Alex Jones Show today.
[00:03:02.324 --> 00:03:03.846]  I know that's been uploaded to YouTube.
[00:03:03.986 --> 00:03:05.827]  Definitely go check that out.
[00:03:05.928 --> 00:03:07.149]  It is really hard-hitting.
[00:03:07.669 --> 00:03:10.372]  But of course, like I said, this is great news for us.
[00:03:10.512 --> 00:03:11.633]  This is how we win.
[00:03:11.653 --> 00:03:17.878]  We can wake up the military, wake up law enforcement, wake up those people who are working for the state.
[00:03:18.339 --> 00:03:19.340]  That's how we win.
[00:03:19.460 --> 00:03:21.862]  We gotta get in from the inside.
[00:03:22.422 --> 00:03:22.523]  And
[00:03:23.103 --> 00:03:29.513]  Basically, the military turning against the bad elements in the government is exactly what happened in Turkey.
[00:03:29.854 --> 00:03:35.002]  That's how it's come out now that Turkey's Prime Minister was caught arming Al-Qaeda.
[00:03:35.402 --> 00:03:37.926]  This is according to Turkish military officials.
[00:03:38.427 --> 00:03:49.055]  Turkey's Prime Minister, who's a NATO ally, is shipping arms to Al-Qaeda and ISIS via Syria-bound trucks operated by the country's intelligence agency.
[00:03:49.075 --> 00:04:02.164]  Now, after receiving a tip that trucks were carrying weapons and explosives to Al-Qaeda in Syria, the Gendarmerie General Command and Prosecutor Aziz Takay ordered the search of these vehicles.
[00:04:02.665 --> 00:04:03.966]  And here is what happened.
[00:04:04.406 --> 00:04:07.607]  So the trucks were being escorted for an extensive search.
[00:04:07.787 --> 00:04:11.669]  They were being accompanied by MIT, which is Turkey's intelligence agency.
[00:04:12.049 --> 00:04:16.590]  They were accompanying the trucks, and then all of a sudden they blocked the road to stop the trucks.
[00:04:16.950 --> 00:04:23.973]  The MIT personnel seized the keys from the trucks' ignitions, and then they got into a physical altercation with the general command.
[00:04:24.953 --> 00:04:38.517]  And then according to these Turkish military officials, the governor of Adana arrived at the scene declaring the trucks were moving with the prime minister's orders and vowed not to let them be interfered with no matter what.
[00:04:38.757 --> 00:04:48.660]  He provided a letter of guarantee that was sent by the regional director of MIT, co-signed by the governor, and then the trucks were handed back to MIT.
