[00:00:19.608 --> 00:00:21.589]  Welcome to the Info Wars Nightly News.
[00:00:21.649 --> 00:00:25.331]  It is Friday, December 4th, 2015, and I'm Leanne McAdoo.
[00:00:25.491 --> 00:00:26.831]  Here's a look at what's coming up tonight.
[00:00:31.013 --> 00:00:38.377]  Tonight, the landlord to Farouk's residence opened the door and was rushed by a camera-toting group.
[00:00:39.337 --> 00:00:42.479]  Then, Hillary says rape victims should be believed.
[00:00:42.899 --> 00:00:47.101]  But here are her thoughts about those who accused her husband of sexual assault.
[00:00:48.399 --> 00:00:54.501]  Well, I would say that everybody should be believed at first until they are disbelieved based on evidence.
[00:00:57.363 --> 00:01:02.245]  After that, migrants in Macedonia display an open or die sign at the border.
[00:01:03.045 --> 00:01:09.087]  And the administration that gave arms to cartels and Al Qaeda demands more gun control.
[00:01:09.748 --> 00:01:10.428]  That's next.
[00:01:11.308 --> 00:01:14.210]  From my cold dead hand, you sons of bitches!
[00:01:14.611 --> 00:01:15.271]  You got that?
[00:01:15.631 --> 00:01:17.853]  You're not getting our firearms!
[00:01:18.113 --> 00:01:19.214]  Do you understand?
[00:01:19.234 --> 00:01:22.657]  This far and no further with your damn dictatorship!
[00:01:23.157 --> 00:01:23.898]  I'm sick of it!
[00:01:30.233 --> 00:01:31.594]  Clean, pure drinking water.
[00:01:31.875 --> 00:01:33.176]  You can't survive without it.
[00:01:33.356 --> 00:01:34.277]  But where do you get it?
[00:01:34.557 --> 00:01:40.322]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:01:40.543 --> 00:01:46.268]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:01:46.468 --> 00:02:03.329]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:02:03.689 --> 00:02:04.009]  We're good to go.
[00:02:33.247 --> 00:02:36.809]  I think we will eventually get some indication on what that dispute was about.
[00:02:37.389 --> 00:02:38.850]  This was a holiday party.
[00:02:39.611 --> 00:02:41.492]  Maybe it was called a Christmas party.
[00:02:41.552 --> 00:02:43.953]  I mean, there's so many potential triggers here.
[00:02:44.333 --> 00:02:45.294]  It's really unclear.
[00:02:45.634 --> 00:02:46.094]  That's right.
[00:02:46.134 --> 00:02:52.477]  There's all sorts of triggers here in the United States for people who practice an extremist ideology.
[00:02:52.538 --> 00:03:00.382]  That's the issue with inviting a lot of people into your country who do not wish to assimilate to your customs there, as if a Christmas party
[00:03:01.222 --> 00:03:05.765]  Being offended by a Christmas party could be some sort of a justification for this massacre that took place.
[00:03:06.265 --> 00:03:11.388]  Now, he wasn't the only one to allude to these triggers that sort of set this guy off.
[00:03:11.408 --> 00:03:16.011]  There was also a criminologist, Casey Jordan, who was speaking with CNN's Don Lemon.
[00:03:16.411 --> 00:03:22.575]  She also alluded to the fact that he could have been offended by a Christmas party, and she really went on to suggest that his motive
[00:03:23.055 --> 00:03:32.606]  May have also been a personal grudge and that his actions were deliberately planned so it would make it look like it was a terrorist attack but that it wasn't.
[00:03:32.726 --> 00:03:42.798]  Really his motivations were more of a personal grudge and you know of course she doesn't really justify how the guy had six thousand rounds of ammo in his house and of course his
[00:03:43.419 --> 00:03:50.823]  A bomb-making factory sitting there on standby, according to authorities, you know, calling it a grudge is a bit of a stretch.
[00:03:51.443 --> 00:04:02.029]  And also here, that's the issue with, you know, not wanting to offend people, as we have reported yesterday about neighbors who failed to report suspicious activity because they didn't want to appear racist.
[00:04:02.509 --> 00:04:07.931]  Okay, so you see something, say something, as long as you know you might not be called a racist for doing so.
[00:04:08.151 --> 00:04:15.093]  Now we know that there must have been some degree of planning because the San Bernardino killers erased their digital presence a day before the attacks.
[00:04:15.493 --> 00:04:21.776]  According to law enforcement, they deleted email accounts, they disposed of hard drives, and they smashed their cell phones.
[00:04:22.336 --> 00:04:24.417]  In addition to that, the San Bernardino
[00:04:25.757 --> 00:04:29.599]  The wife pledged allegiance to ISIS on Facebook.
[00:04:29.619 --> 00:04:33.522]  They say that they think it actually occurred while the massacre was happening.
[00:04:33.822 --> 00:04:39.366]  The female shooter, Tashmin Malik, posted the pledge of allegiance to the ISIS leader on her Facebook account.
[00:04:39.746 --> 00:04:42.608]  Now, this was actually an account with a different name.
[00:04:43.548 --> 00:04:46.810]  Uh, and they didn't really go into how they knew that she had made this post.
[00:04:47.470 --> 00:04:57.835]  And Facebook actually sent out a message as well saying that she had made another pledge to ISIS on a post that had been deleted beforehand.
[00:04:57.895 --> 00:04:58.516]  So there you go.
[00:04:58.556 --> 00:04:59.756]  Not a personal grudge there.
