[00:00:00.589 --> 00:00:05.754]  You're listening to The Alex Jones Show.
[00:00:18.424 --> 00:00:26.711]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones on the GCN Radio Network.
[00:00:33.345 --> 00:00:36.648]  Welcome to the Alex Jones Show on this Sunday, June 7th, 2015.
[00:00:36.769 --> 00:00:37.790]  I'm David Knight.
[00:00:37.810 --> 00:00:39.652]  I'll be your host here in the studio.
[00:00:39.912 --> 00:00:42.054]  Alex Jones is going to be co-hosting with us today.
[00:00:42.074 --> 00:00:47.800]  He's going to be joining us in the next segment to break down something that we just found out about.
[00:00:47.820 --> 00:00:50.082]  Of course, we see all these international agreements that are being made.
[00:00:50.763 --> 00:00:56.768]  One of these international agreements that is coming not from the trade treaties, but it's actually coming from the State Department.
[00:00:57.369 --> 00:01:04.035]  See, we have all these bureaucracies that are writing rules and regulations that have the effect of law.
[00:01:04.575 --> 00:01:11.622]  They've already bypassed our elected representatives in so many areas, it's hardly even a surprise that we've got now
[00:01:12.242 --> 00:01:17.264]  Sovereignty changing, massive agreements that aren't just about trade, and they certainly aren't about free trade.
[00:01:17.284 --> 00:01:20.186]  They're about a crony capitalism kind of trade.
[00:01:20.226 --> 00:01:23.968]  This is what we saw with the banker bailouts.
[00:01:24.048 --> 00:01:27.149]  This is the kind of quote-unquote free trade that we're getting with these trade agreements.
[00:01:27.189 --> 00:01:33.272]  But we see these regulations coming in from various bureaucracies all of the time, writing their own laws.
[00:01:33.852 --> 00:01:41.758]  Congress creates these organizations like the EPA, like the IRS, like the ATF, all these different organizations that then go off and write their rules.
[00:01:42.219 --> 00:01:50.665]  The FCC coming out and taking over the Internet, for example, just claiming that they have control over it and they're now going to rewrite the rules.
[00:01:50.745 --> 00:01:58.692]  So they're going to exert control, it wasn't even given to them by Congress, they just claim it, name it and claim it, and then they start writing rules for it.
[00:01:58.712 --> 00:01:59.893]  So now we've got the State Department
[00:02:00.293 --> 00:02:05.939]  Who's coming out and saying that they're going to have regulations that are going to govern international arms trade.
[00:02:06.881 --> 00:02:07.842]  That sounds familiar, doesn't it?
[00:02:08.382 --> 00:02:12.046]  Remember the UN Arms Trade Treaty that they tried so many times to get through?
[00:02:12.066 --> 00:02:13.908]  They actually called it a treaty.
[00:02:13.969 --> 00:02:15.310]  Maybe that's why they couldn't get it through.
[00:02:15.330 --> 00:02:19.475]  They made the mistake of not calling it an agreement or a partnership.
[00:02:20.427 --> 00:02:25.452]  Now we're going to talk about why these trade agreements are really treaties.
[00:02:25.612 --> 00:02:31.018]  And of course, I'm very happy to see now Rand Paul and Senator Jeff Sessions.
[00:02:31.038 --> 00:02:32.640]  I always get them confused with Pete Sessions.
[00:02:33.000 --> 00:02:34.982]  Pete Sessions is on the wrong side of this, folks.
[00:02:35.022 --> 00:02:41.269]  He's a congressman, and he is pushing for a fast-tracked agreement for trade treaties that he has not read.
[00:02:41.869 --> 00:02:45.251]  Pete Sessions, Senator Sessions, is a hero on this.
[00:02:45.311 --> 00:02:53.697]  He's gone to actually read this, as has Rand Paul, and they're both speaking out on this, saying that this is not a trade agreement.
[00:02:53.777 --> 00:02:55.738]  This is, in fact, a treaty.
[00:02:56.518 --> 00:03:00.161]  This whole thing is treachery, quite frankly.
[00:03:00.501 --> 00:03:07.065]  It is treachery to even call it something other than a treaty, because they didn't have the votes to pass Fast Track if it was a treaty.
[00:03:07.125 --> 00:03:07.485]  They had 62 votes.
[00:03:08.866 --> 00:03:13.968]  If they came up and honestly said that this was a treaty, they would have needed 67 votes.
[00:03:14.008 --> 00:03:15.068]  That's why they called an agreement.
[00:03:15.088 --> 00:03:16.149]  That's why they called a partnership.
[00:03:16.409 --> 00:03:18.310]  And of course, NAFTA was passed that way.
[00:03:18.330 --> 00:03:21.111]  They called it the North American Free Trade Agreement.
[00:03:21.651 --> 00:03:33.996]  But now if you go back and look at what they're telling people when it comes up to investor state tribunals, the same thing that we now see being applied with these Trans-Pacific, Trans-Atlantic partnerships,
[00:03:34.716 --> 00:03:38.080]  These tribunals, I guess we should call them IS, right?
[00:03:38.260 --> 00:03:38.901]  Investor State.
[00:03:39.242 --> 00:03:42.205]  It's another kind of IS, also created by the same people.
[00:03:42.746 --> 00:03:46.791]  But these tribunals, they say, really are treaty law claims.
[00:03:46.911 --> 00:03:53.839]  So the people who are representing the corporations, the multinational corporations, in these arbitration agreements are quite
[00:03:54.480 --> 00:03:57.301]  Clear about the fact that they are practicing treaty law.
[00:03:57.361 --> 00:04:05.945]  Look, treaty is any kind of an agreement between one or more nations that affects commerce or peace or various other aspects.
