[00:00:10.768 --> 00:00:10.870]  Yeah.
[00:00:11.830 --> 00:00:25.236]  Once dubbed the great humanitarian power by its ex-prime minister, Fredrik Reinfeldt, Sweden is on the edge of a brutal collapse due to a wave of entitled immigrants raping Sweden's women at a rate of 53.2 percent.
[00:00:25.257 --> 00:00:27.938]  And bleeding the economy of the country dry.
[00:00:41.144 --> 00:00:41.484]  Hey!
[00:00:41.944 --> 00:00:42.844]  Welcome to Sweden.
[00:00:43.285 --> 00:00:45.665]  This is the number one rape capital of Europe.
[00:00:46.225 --> 00:00:57.308]  Some say that this is because Sweden is very progressive and aware of destructive patriarchal norms, which is why our definition of rape is broader than in other countries, and more considerate to the victims.
[00:00:57.648 --> 00:01:08.951]  Others say that it's because of our massive levels of immigration, where we import thousands of people from countries in the Middle East and Africa, places that don't really have the best views on women's rights.
[00:01:09.571 --> 00:01:11.513]  But it doesn't matter who is right.
[00:01:11.993 --> 00:01:16.076]  We will never know who is right, because we aren't allowed to talk about it.
[00:01:16.496 --> 00:01:19.819]  Here in Sweden, everything is considered racist.
[00:01:20.380 --> 00:01:30.027]  Danish historian Lars Hedegaard warned the final consequence of the West, and above all, Sweden's immigration policies, that the economy will collapse.
[00:01:30.307 --> 00:01:32.209]  Because who is going to pay for it all?
[00:01:32.429 --> 00:01:38.091]  Increasing taxes on wage earners in Sweden to pay for the influx of illegal immigrants is not enough.
[00:01:38.512 --> 00:01:49.296]  In August, Finance Minister Magdalena Andersson said the government is looking at borrowing large sums of money from the European Investment Bank to pay for illegal immigration.
[00:01:49.736 --> 00:02:08.364]  Why has one government after another chosen to spend Swedish taxpayers' money to support and shelter citizens of other countries while some of them try to kill us, asked Ingrid Karlvist after a Swedish woman and her son were stabbed to death at an IKEA store in Västerås, Sweden.
[00:02:08.604 --> 00:02:16.866]  By Abraham Oukba Gabir, an illegal immigrant, Oukba Gabir said he lost control after learning he was going to be deported to Italy.
[00:02:17.006 --> 00:02:20.926]  He killed an innocent woman and her son to make people understand him.
[00:02:21.106 --> 00:02:28.008]  Prior to the murders, Sweden's third largest city, Malmö, experienced ethnic violence between groups of immigrants.
[00:02:28.328 --> 00:02:34.789]  The gangs described as youths by the Swedish media used guns, bombs and hand grenades to mark their turf.
[00:02:35.149 --> 00:02:48.377]  In August, the Swedish Migration Board, Migrationsverket, recorded almost as many reports of threats and violence in asylum accommodation as throughout the whole of 2014, according to Swedish newspaper Dagens Nyheter.
[00:02:48.657 --> 00:02:59.624]  In Sweden, which does not usually report the nationality of rapists, a just-released study by Swedish police revealed that Muslim men, who constitute only 2% of the population,
[00:02:59.944 --> 00:03:12.895]  are responsible for 77.6 percent of rapes giving once peaceful Sweden the highest rape rate in Europe and the second highest in the world next to South Africa.
[00:03:13.235 --> 00:03:23.264]  Currently illegal immigrants are being housed in former royal mansions and Sweden is building housing for the chaotic violent army taking over and raping their own country.
[00:03:23.504 --> 00:03:27.748]  Ultimately, I want to see every single woman in this country covered from head to toe.
[00:03:28.128 --> 00:03:29.610]  I want to see the hand of the thief cut.
[00:03:29.810 --> 00:03:31.331]  I want to see adults restored to death.
[00:03:31.812 --> 00:03:33.333]  I want to see Sharia law in Europe.
[00:03:33.653 --> 00:03:35.075]  And I want to see it in America as well.
[00:03:35.335 --> 00:03:37.397]  John Bowne for InfoWars.com
[00:03:46.187 --> 00:03:52.289]  General, what do you think about the FBI saying that there was a terror alert on Monday about a potential forfeiture situation?
[00:03:52.309 --> 00:03:55.610]  The police are shoving people, shoving Alex, shoving the crowd.
[00:03:55.630 --> 00:03:57.371]  Here we go, folks, I'm being assaulted!
[00:03:57.411 --> 00:04:03.653]  Whether it's the radio show, the news websites, documentary films, or the nightly news, InfoWars is the tip of the spear.
[00:04:03.773 --> 00:04:09.635]  Is this another false flag stage attack to take our civil liberties and put more homeless security by sticking their hands down on the streets?
[00:04:09.815 --> 00:04:13.577]  It's up to us to set brush fires in the minds of men and women everywhere.
[00:04:13.758 --> 00:04:16.679]  And that's what PrisonPlanet.TV is designed to do.
[00:04:16.840 --> 00:04:24.845]  You watch the Assad regime is going to be blamed or accused of using chemical weapons against the so-called rebels.
[00:04:25.125 --> 00:04:27.166]  What we see now is a war against reality.
[00:04:27.226 --> 00:04:28.267]  It's a war against the truth.
[00:04:28.627 --> 00:04:37.376]  It's more vital than ever that supporters of freedom become members of PrisonPlanet.tv and share their membership with up to 11 friends and family.
[00:04:37.576 --> 00:04:40.018]  Visit InfoWarsNews.com today.
[00:04:40.238 --> 00:04:44.543]  Become a member, share your membership, and help take the info war to the next level.
