[00:00:00.379 --> 00:00:00.544]  Let's go.
[00:00:16.038 --> 00:00:20.222]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:20.883 --> 00:00:21.684]  You want answers?
[00:00:22.465 --> 00:00:23.386]  Well, so does he.
[00:00:24.006 --> 00:00:27.650]  He's Alex Jones on the GCN Radio Network.
[00:00:28.191 --> 00:00:32.255]  And now, live from Austin, Texas, Alex Jones.
[00:00:45.328 --> 00:00:49.612]  Ladies and gentlemen, it is Monday, the 21st day of September 2015.
[00:00:49.752 --> 00:00:52.754]  I am your host, Alex Jones.
[00:00:53.255 --> 00:00:56.137]  We're going to be live here for the next three hours.
[00:00:56.998 --> 00:01:00.260]  Joining us in studio is my friend, Pat Riley.
[00:01:01.962 --> 00:01:05.344]  We also have Jesse Ventura joining us coming up in the second hour.
[00:01:05.384 --> 00:01:06.705]  We'll have open phones for that.
[00:01:07.386 --> 00:01:10.849]  Pat Riley, who is a personal trainer and a good friend of mine,
[00:01:12.247 --> 00:01:19.490]  I'm friends with his wife and he, we go out tubing and outdoor stuff, fishing, things like that.
[00:01:21.050 --> 00:01:25.692]  He just took off three and a half weeks, he does this every three or four years, to go to Europe.
[00:01:25.932 --> 00:01:31.814]  This time he went to Croatia, Turkey, and other areas where Europe basically borders the East.
[00:01:33.414 --> 00:01:40.437]  And he witnessed the so-called refugees face-to-face
[00:01:41.587 --> 00:01:48.849]  And we've seen the stunts where the man throws his wife and kids on a train track, and then it's implied that the police did it.
[00:01:51.069 --> 00:01:52.449]  And the media plays along with this.
[00:01:53.070 --> 00:01:55.850]  He witnessed this for himself.
[00:01:58.191 --> 00:02:04.852]  And then he talked to local Turks, he said, oh, he's done that twice this week at that restaurant.
[00:02:05.692 --> 00:02:07.813]  A guy gets up on a fifth story balcony,
[00:02:08.911 --> 00:02:18.775]  Knocks out the window and then sits there banging his chair, leaning back over while his wife and children stand at the bottom as a crowd gathers and says, he's going to kill himself if I don't get money.
[00:02:19.495 --> 00:02:25.037]  And they start giving her thousands of dollars, the equivalent of that in Turkish in euros and dollars.
[00:02:25.398 --> 00:02:30.300]  And she just sits there with wads of cash flying at her at the luxury hotel.
[00:02:31.680 --> 00:02:36.122]  And here's Pat staying in a really cheap hostel, a really cheap place for his wife.
[00:02:36.162 --> 00:02:38.483]  She can save money and travel more.
[00:02:39.878 --> 00:02:49.549]  Work for his money and then he's watching the giant con game and it's a perfect metaphor for the West and how we're guilted into everything we do.
[00:02:49.949 --> 00:02:51.591]  Truly sickening.
[00:02:51.631 --> 00:02:54.154]  He was in Istanbul when he saw that.
[00:02:55.370 --> 00:03:01.091]  He's going to describe what he witnessed when he joins us in the last 30 minutes of the broadcast today.
[00:03:01.772 --> 00:03:21.857]  There's a lot of huge news obviously, but I remember about a month ago, Joe Biggs covered this from his military sources, and a few fragments of news that he was covering out of Afghanistan, that Hillary was covering up, we wrote articles about it as well at the time, covering up sexual abuse of children when she was the head of the State Department.
[00:03:21.877 --> 00:03:22.457]  Well that's now
[00:03:23.638 --> 00:03:28.385]  In the New York Times yesterday, September 20th, U.S.
[00:03:28.425 --> 00:03:32.631]  soldiers told to ignore sexual abuse of boys by Afghan allies.
[00:03:34.031 --> 00:03:38.435]  And basically it's the exact same people Joe Biggs reported on a month ago.
[00:03:39.176 --> 00:03:47.303]  You can pull up our article headlined Hillary covered up sexual abuse or ordered sexual abuse to be covered up in Afghanistan.
[00:03:48.023 --> 00:03:52.627]  So again, InfoWars.com just on the very tip of the spear of breaking news and information.
[00:03:53.208 --> 00:03:54.149]  This is not a joke.
[00:03:54.209 --> 00:03:57.652]  Saudi Arabia has been chosen to have the UN Human Rights Panel
[00:03:59.206 --> 00:04:07.429]  Probably get a feminist award or something from Gloria Steinem, but because I've got short hair, she'll say I'm the enemy of America and women.
[00:04:08.309 --> 00:04:09.509]  But that's how they operate.
[00:04:10.650 --> 00:04:13.571]  Kerry says we're going to accept 85,000 refugees.
[00:04:14.451 --> 00:04:17.812]  See, first it's 10,000, then it's 15,000, then it's 25,000.
[00:04:18.152 --> 00:04:19.132]  I said that two weeks ago.
[00:04:19.152 --> 00:04:20.633]  I mean, I just know their formula.
[00:04:21.630 --> 00:04:23.031]  We're going to take 10,000 refugees.
