[00:00:19.448 --> 00:00:20.328]  Good evening, everyone.
[00:00:20.368 --> 00:00:22.809]  Welcome to the Infowars Nightly News.
[00:00:22.949 --> 00:00:24.230]  It is Wednesday, April 29, 2015.
[00:00:24.750 --> 00:00:27.391]  I'm Darren McBreen.
[00:00:27.791 --> 00:00:29.132]  And I'm Rob Dew, co-hosting.
[00:00:29.412 --> 00:00:30.892]  And here's a look at what we have coming up.
[00:00:33.093 --> 00:00:38.455]  Tonight, the Baltimore Police Department floats a conspiracy theory that black gangs are coming for them.
[00:00:38.875 --> 00:00:42.797]  But black people in Baltimore are forming lines to protect the police.
[00:00:45.655 --> 00:00:45.915]  No!
[00:00:46.195 --> 00:00:48.437]  Do not give him reason!
[00:00:48.517 --> 00:00:53.119]  And we'll be joining InfoWars reporters live on the ground in Baltimore for updates.
[00:00:53.499 --> 00:00:56.281]  All that and more on tonight's InfoWars Nightly News.
[00:01:02.366 --> 00:01:12.934]  Thousands of police and National Guard troops are on the streets tonight in Baltimore, Maryland, in an effort to rid the city of dangerous and violent protesters.
[00:01:13.274 --> 00:01:25.023]  This in the aftermath of the death of 25-year-old Freddie Gray, who died last week after suffering injuries he received while in police custody.
[00:01:25.304 --> 00:01:26.545]  Here's what we know so far.
[00:01:27.205 --> 00:01:36.534]  On Sunday, April 12th, Freddie Gray became the latest victim in what has become an epidemic of police murders of American citizens.
[00:01:37.175 --> 00:01:42.399]  He was viciously attacked by Baltimore cops and his arrest was captured on video.
[00:01:42.800 --> 00:01:45.903]  The beating was not captured on video, only the arrest.
[00:01:46.303 --> 00:01:50.689]  But the video shows the officers picking up Freddie Gray from the ground.
[00:01:51.069 --> 00:01:53.152]  His leg is clearly broken.
[00:01:53.532 --> 00:02:03.765]  He has little control over his body and he is in obvious pain as the cops drag him across the road and dump his body into the back of a police van.
[00:02:04.326 --> 00:02:08.209]  Medical professionals and an ambulance were not immediately called.
[00:02:08.729 --> 00:02:17.555]  Police records show that the arrest took place at 8.45 a.m., but an ambulance was not called until a half an hour later at 9.24.
[00:02:18.316 --> 00:02:29.404]  Freddie Gray was then hospitalized in critical condition and in a coma with a shattered vertebrae, a broken spine, a broken leg, and a crushed larynx.
[00:02:29.964 --> 00:02:35.127]  He died a week later when doctors attempted emergency spinal surgery.
[00:02:35.567 --> 00:02:37.849]  The Baltimore police are reviewing the case.
[00:02:38.389 --> 00:02:46.354]  Six of the cops involved have been suspended with pay, and no more details have been released to the public.
[00:02:46.814 --> 00:02:54.539]  So nobody knows exactly what happened in the back of that police wagon, and we don't know exactly how Freddie got all those injuries, but we do know this.
[00:02:55.259 --> 00:02:59.701]  That is, the Baltimore Police Department, they will be investigating themselves.
[00:03:00.541 --> 00:03:04.003]  And I tell you who's not very happy about that, and that's Freddie Gray's family.
[00:03:04.583 --> 00:03:09.826]  They want the Department of Justice and the FBI to take over the investigation.
[00:03:09.866 --> 00:03:13.447]  They don't trust Baltimore PD's own internal investigation.
[00:03:13.788 --> 00:03:18.550]  And Rob Dew, we were talking earlier how it looks like the police are buying time right now.
[00:03:18.570 --> 00:03:20.250]  They're trying to get their story straight.
[00:03:20.491 --> 00:03:23.392]  Do you think we'll ever find out what really happened to Freddie Gray?
[00:03:23.792 --> 00:03:25.133]  I don't know if we'll find out what happened to him.
[00:03:25.274 --> 00:03:31.199]  They're going to say he died as a result of his injuries is what is going to come out, and they're going to release that report internally on Friday.
[00:03:31.720 --> 00:03:40.929]  But then, you know, the public is obviously pushing for it to be released on Friday, but we could see a whole new backlash coming from people as soon as that's released.
[00:03:41.289 --> 00:03:43.391]  So that's definitely not a good thing.
[00:03:43.451 --> 00:03:44.712]  It's taken them a long time to do this.
[00:03:45.013 --> 00:03:47.695]  I got an email from a guy who was a former cop, and he said,
[00:03:48.556 --> 00:03:55.239]  They would put people in the back of vans like that and then drive around, sometimes slam on their brakes, make hard turns, and that was to kind of rough them up.
[00:03:56.119 --> 00:04:01.221]  It never resulted in any of these guys dying, but they said they did use that as a tactic for guys that they really didn't like.
[00:04:01.681 --> 00:04:13.626]  So, this guy, you know, Freddie Gray, he had a switchblade on him, and he was, they say he was running from the cops, and they said he looked suspiciously at a cop and then kind of ran off, and that's why they went after him.
[00:04:14.346 --> 00:04:16.469]  So maybe he had history with the cops.
[00:04:16.489 --> 00:04:17.630]  They said he has a criminal record.
[00:04:17.650 --> 00:04:21.295]  So maybe this is one of those guys that they said, you know what, we're going to teach this guy a lesson.
[00:04:22.336 --> 00:04:25.540]  But it's not clear whether they put him in the seat belt.
[00:04:25.580 --> 00:04:26.401]  Nobody knows any of that.
[00:04:26.441 --> 00:04:29.885]  So it is going to be interesting when the report comes out.
[00:04:29.925 --> 00:04:31.327]  I don't know if that will be the truth, though.
[00:04:31.636 --> 00:04:35.617]  Well, like I said, they are investigating themselves and, you know, that's a shame.
[00:04:35.637 --> 00:04:42.040]  You know, I'll tell you what the community would like to see and most of the protesters, they want these cops arrested.
[00:04:42.220 --> 00:04:49.922]  They want them thrown in jail and they want them charged with murder and they'd like to see someone other than the Baltimore Police Department do the investigation.
[00:04:50.243 --> 00:04:53.244]  And you were talking earlier how he does have a police record.
[00:04:54.004 --> 00:04:55.324]  He saw them early in the morning.
[00:04:55.644 --> 00:04:56.805]  They approached him.
[00:04:57.365 --> 00:04:58.065]  And he ran.
[00:04:58.446 --> 00:05:09.511]  We don't know if his leg got broken during the chase or when they tackled him, but it was obvious that his leg was broken once they caught up to him and once somebody started doing the cell phone recording.
[00:05:09.731 --> 00:05:14.854]  But the family, they believe that his injuries were sustained while in the back of the police wagon.
[00:05:15.214 --> 00:05:19.017]  Right, and at that point when you have somebody with a broken leg, that's when you should call an ambulance.
[00:05:19.157 --> 00:05:20.679]  You should put them in handcuffs.
[00:05:21.019 --> 00:05:25.003]  We saw in Round Rock when the cops smashed the lady's face on the ground.
[00:05:26.844 --> 00:05:30.587]  He said she was drunk, she had some complaints, so he pulls up into the shopping center.
[00:05:31.408 --> 00:05:34.150]  He doesn't think she's cooperating, he grabs her and slams her on the ground.
[00:05:34.471 --> 00:05:35.852]  Well, they called an ambulance for this lady.
[00:05:36.132 --> 00:05:39.914]  And she wasn't nearly as bad off as Freddie Gray was with the leg dangling and all that.
[00:05:39.934 --> 00:05:42.074]  I mean, you can obviously see he's got a broken leg.
[00:05:42.394 --> 00:05:46.056]  And at that point, that's when you call an ambulance to take him.
[00:05:46.456 --> 00:05:50.478]  You know, you keep him in custody, but you take him to see how his injuries are.
[00:05:50.518 --> 00:05:51.198]  And they didn't do that.
[00:05:51.258 --> 00:05:53.319]  So we'll see if anything comes out of that.
[00:05:54.522 --> 00:06:00.084]  Frankly, I don't see the police officers investigating themselves thoroughly at all.
[00:06:00.305 --> 00:06:06.547]  And once again, the racial element is a huge factor, drawing more attention from the mainstream media.
[00:06:06.567 --> 00:06:11.750]  There has been massive protest in Baltimore, followed by widespread looting and arson.
[00:06:12.230 --> 00:06:14.831]  And this was all expected by the authorities.
[00:06:15.291 --> 00:06:19.333]  But for some reason, the Baltimore police, they were ordered to stand down.
[00:06:19.353 --> 00:06:23.835]  I mean, they were ordered not to stop the looters when the riots exploded.
[00:06:24.295 --> 00:06:24.955]  Over the weekend.
[00:06:25.796 --> 00:06:37.100]  I worked with the police and instructed them to do everything that they could to make sure that the protesters were able to exercise their right to free speech.
[00:06:38.121 --> 00:06:47.725]  It's a very delicate balancing act because while we tried to make sure that they were protected from the cars and the other things that were going on,
[00:06:49.577 --> 00:06:54.180]  We also gave those who wished to destroy space to do that as well.
[00:06:54.440 --> 00:06:57.762]  That's what we call a stand down, ladies and gentlemen.
[00:06:57.802 --> 00:06:59.083]  You heard her right there.
[00:06:59.123 --> 00:07:05.387]  I mean, this is the true meaning of order out of chaos, because right on cue, in walks, now we have the police state marching in.
[00:07:05.487 --> 00:07:08.949]  And the National Guard, and the buildup happened faster than in Ferguson.
[00:07:08.969 --> 00:07:12.031]  It took them a few days to get the guys in, but this is what happens.
[00:07:12.071 --> 00:07:18.755]  The police pull back, they let the protesters go crazy, and then they show that on the cameras and they go, look, these people are going crazy, we need to send in
[00:07:19.415 --> 00:07:22.076]  People, and there's always the burning cop car.
[00:07:22.196 --> 00:07:23.577]  That's always the image that they show.
[00:07:24.157 --> 00:07:28.780]  You saw it there with the police van in Baltimore, with the police van.
[00:07:28.980 --> 00:07:29.780]  But now here, look at this.
[00:07:29.800 --> 00:07:31.321]  This is Toronto, the G20.
[00:07:31.901 --> 00:07:33.922]  There's a protester there standing in front of that car.
[00:07:33.942 --> 00:07:36.223]  There's a whole story about how this police car caught fire.
[00:07:36.523 --> 00:07:39.225]  The police pull back, and they leave the car sitting there.
[00:07:39.325 --> 00:07:43.487]  They just leave it sitting there in the middle of the road, and so protesters start attacking it.
[00:07:43.527 --> 00:07:47.969]  They slide it on fire, and then the cops move in and start bashing people.
[00:07:48.109 --> 00:07:49.169]  No, they do this all the time.
[00:07:49.189 --> 00:07:52.170]  They did the same thing in Ferguson and they did the same thing the other night.
[00:07:52.510 --> 00:08:00.453]  They put, in Maryland and Baltimore, they put a line of police cars, they abandoned the police cars right there in the middle of the riot zone.
[00:08:00.493 --> 00:08:02.933]  And there's no police around to even watch to see what happens.
[00:08:03.133 --> 00:08:04.894]  But the mainstream media gets called in.
[00:08:05.054 --> 00:08:09.638]  Right, this is a tactic that goes all the way back to the WTO in 1999 in Seattle.
[00:08:09.999 --> 00:08:14.863]  And what happened there was they were protesting, and the first day they shut the city down.
[00:08:15.043 --> 00:08:17.746]  Peaceful protest, shut down this World Trade Organization event.
[00:08:18.326 --> 00:08:24.993]  So the next day, these black box rioters, black box rioters is what they're called, they show up.
[00:08:25.693 --> 00:08:28.035]  They were brought in, they were given a free building to stay in.
[00:08:28.275 --> 00:08:32.618]  They let them go crazy and the cops pull back and just let them loot, break windows, destroy things.
[00:08:32.658 --> 00:08:34.879]  They put it all on cameras, they attack some reporters.
[00:08:35.280 --> 00:08:38.402]  So the next day, then it's like boom, we're locking down the city.
[00:08:38.462 --> 00:08:39.603]  Nobody gets to go anywhere.
[00:08:39.683 --> 00:08:45.446]  If you have a protest sticker on, a sticker or a pin, you weren't allowed into where the WTO was going.
[00:08:45.687 --> 00:08:48.148]  And they use that to really crack down on the protest.
[00:08:48.168 --> 00:08:50.530]  So this is a tactic they use all the time.
[00:08:50.590 --> 00:08:52.051]  This isn't just one time.
[00:08:52.451 --> 00:08:54.873]  No, it's been every big incident they do this.
[00:08:55.653 --> 00:09:02.176]  Meanwhile, police in Baltimore are telling reporters that they were actually ordered to stand down, and it's very puzzling.
[00:09:02.676 --> 00:09:03.076]  Or is it?
[00:09:03.576 --> 00:09:21.784]  Because now come to find out, the mayor of Baltimore, she is one of only three mayors that are part of, just happen to be part of President Barack Obama's task force on 21st century policies, and this is a group that, wait for it, it advocates
[00:09:22.344 --> 00:09:25.145]  The federalization of our nation's police departments.
