[00:00:00.009 --> 00:00:01.601]  Alex Jones Show.
[00:00:16.175 --> 00:00:16.815]  Big Brother.
[00:00:17.495 --> 00:00:18.496]  Mainstream media.
[00:00:19.256 --> 00:00:20.336]  Government cover-ups.
[00:00:21.016 --> 00:00:21.816]  You want answers?
[00:00:22.597 --> 00:00:23.477]  Well, so does he.
[00:00:24.137 --> 00:00:27.758]  He's Alex Jones on the GCN Radio Network.
[00:00:28.338 --> 00:00:32.419]  And now, live from Austin, Texas, Alex Jones.
[00:00:33.039 --> 00:00:35.900]  The story just went live, just like we are on the radio.
[00:00:37.568 --> 00:00:39.949]  It just went live at InfoWars.com.
[00:00:40.950 --> 00:00:42.171]  Climate blockbuster.
[00:00:42.371 --> 00:00:47.674]  New NASA data shows polar ice has not receded since 1979.
[00:00:48.315 --> 00:00:59.922]  In the yearly aggregate, it expands in the winter, the fall and winter, it retracts in the spring and summer.
[00:01:03.328 --> 00:01:10.393]  But overall, the mass has not contracted via satellite readings since 1979.
[00:01:10.633 --> 00:01:17.559]  We're going to be breaking down those findings coming up today.
[00:01:19.740 --> 00:01:21.682]  There is so much off-the-chart news.
[00:01:22.402 --> 00:01:25.044]  Look at this story out of the London Telegraph.
[00:01:26.125 --> 00:01:27.846]  I don't want to just cover this article, though.
[00:01:27.866 --> 00:01:32.590]  I want the crew to just type in, or you the listeners do this as well,
[00:01:34.719 --> 00:01:41.402]  Screen time, lower IQ, or doctors warn of children and screen time.
[00:01:42.323 --> 00:01:45.304]  Or Steve Jobs wouldn't let children play with iPad.
[00:01:49.386 --> 00:01:52.908]  There's the headline, psychology today, too much screen time damages the brain.
[00:01:53.688 --> 00:01:58.551]  This has been known since the monkey studies in the 50s with televisions.
[00:02:02.378 --> 00:02:10.843]  And it screws up your brain big time to where a lot of people now, there's new disorders where they don't know how to walk properly or judge distance.
[00:02:12.183 --> 00:02:22.269]  And you talk to young people that are on iPhones and iPads all the time, and Lord knows they're great babysitters, because they're mind control devices.
[00:02:23.129 --> 00:02:29.913]  It is a fact that the fluctuation rate that has been picked, there's a spectrum.
[00:02:30.851 --> 00:02:36.956]  Globally, puts you into a mesmerized, near-sleep, trance state.
[00:02:37.817 --> 00:02:47.805]  You can look at the studies and just start printing everything, guys, because I didn't see this story this morning, saw it right before I went live on air, and I want a whole stack, because I don't want people saying, oh, that's just one study.
[00:02:50.968 --> 00:02:57.994]  Not only is it ending our families, not only is it ending communication with other fellow humans, not only is it a conduit for brainwashing,
[00:03:02.947 --> 00:03:07.168]  When you add the weaponization of what's actually put into the programming, it is startling.
[00:03:08.948 --> 00:03:12.229]  I don't watch a lot of television.
[00:03:12.309 --> 00:03:13.309]  I do watch movies.
[00:03:13.989 --> 00:03:18.610]  I do monitor on YouTube aggregated clips of propaganda to be able to track it.
[00:03:19.931 --> 00:03:31.473]  But the whole time I'm pulled back, I'm consciously analyzing everything, and second by second, second by second,
[00:03:33.809 --> 00:03:48.595]  I'm able to catch the subliminals because they make me nauseated because my brain, making my conscious brain be accessing my subconscious brain is very hard focus.
[00:03:49.175 --> 00:03:51.075]  And it's basically like motion sickness.
[00:03:51.376 --> 00:03:53.196]  And then I'll say, okay, there's subliminal in that.
[00:03:53.636 --> 00:03:54.777]  Let's slow this video down.
[00:03:54.797 --> 00:03:55.777]  Let's find out what's in there.
[00:03:55.797 --> 00:03:56.718]  And sure enough, you find it.
[00:03:57.058 --> 00:04:02.740]  It could be kill the babies or upside down pentagrams or kill your children, kill your family, eat your children.
[00:04:03.280 --> 00:04:04.321]  And we've done reports on this.
[00:04:04.341 --> 00:04:05.141]  You think I'm joking?
[00:04:05.181 --> 00:04:06.702]  Just look into it.
[00:04:08.363 --> 00:04:10.624]  Death, death, you want to die, it's time to die.
[00:04:10.945 --> 00:04:12.465]  Submit, don't protest.
[00:04:13.146 --> 00:04:14.307]  Ron Paul's a meth head.
[00:04:14.987 --> 00:04:16.148]  Alex Jones is racist.
[00:04:16.268 --> 00:04:20.230]  Alex Jones thinks space aliens are with Elvis.
[00:04:22.872 --> 00:04:24.873]  I mean, the stuff I'm telling you is all real things we found.
[00:04:26.274 --> 00:04:29.616]  So I'll be watching it, but constantly making myself be conscious.
[00:04:30.806 --> 00:04:33.527]  And it'll give you a headache in a matter of minutes.
[00:04:34.707 --> 00:04:44.309]  In fact, I've learned why I pull these videos up that have both subliminal, quasi-subliminal, and then overt propaganda.
[00:04:44.749 --> 00:04:55.391]  A lot of times I study these, I give them to the crew to play, and then I don't play them because I'm willing to get burned to watch it in a conscious state, but then I don't want to relive it.
[00:04:57.076 --> 00:04:59.858]  We're going to play one of these ads I saw yesterday coming up.
[00:05:00.579 --> 00:05:02.961]  It's pretty sick.
[00:05:05.002 --> 00:05:05.523]  We'll be back.
