[00:00:03.237 --> 00:00:05.138]  We're live.
[00:00:05.138 --> 00:00:06.439]  Big Brother.
[00:00:06.439 --> 00:00:08.200]  Mainstream media.
[00:00:08.200 --> 00:00:09.361]  Government cover-ups.
[00:00:09.361 --> 00:00:09.981]  You want answers?
[00:00:09.981 --> 00:00:11.542]  You want answers?
[00:00:11.542 --> 00:00:13.103]  Well, so does he.
[00:00:13.103 --> 00:00:17.285]  He's Alex Jones on the GCN Radio Network.
[00:00:17.285 --> 00:00:21.688]  And now, live from Austin, Texas, Alex Jones.
[00:00:21.688 --> 00:00:24.409]  Yes, it's Tuesday, the 15th of September.
[00:00:24.409 --> 00:00:27.271]  I will be live for the full transmission, but first, a key report from John Bowne.
[00:00:28.720 --> 00:00:38.768]  According to Reuters, Russia has demanded Washington restart military-to-military cooperation to avert unintended incidents near Syria at a time when U.S.
[00:00:38.768 --> 00:00:45.052]  officials say Moscow is building up forces to protect President Bashar al-Assad's government.
[00:00:45.052 --> 00:00:52.738]  Of course, Assad is backed by Russia and openly blamed by the United States for attacks on his own people, attacks that just don't add up.
[00:00:52.958 --> 00:01:00.867]  This is a big issue that we're facing here, and Americans have seen the lies of WMDs in Iraq.
[00:01:00.867 --> 00:01:04.812]  They've seen the lies that brought us to Vietnam and the Gulf of Tonkin.
[00:01:04.812 --> 00:01:08.016]  We've seen so many of these staged events, so many of these false flags.
[00:01:08.016 --> 00:01:11.960]  Now, I want to be clear as well, I believe that there was some type of chemical attack.
[00:01:11.960 --> 00:01:12.781]  The numbers aren't clear.
[00:01:13.442 --> 00:01:16.445]  The media's tried to claim already, Alex Jones says nothing happened.
[00:01:16.445 --> 00:01:24.952]  No, something happened in the middle of a battle zone in the capital city, Damascus, of Syria.
[00:01:24.952 --> 00:01:36.001]  And now Assad's come out and said today, why would I attack a bunch of civilians knowing that the West has said that that's their red line a year ago to the day?
[00:01:36.001 --> 00:01:39.203]  That they would come and bombard us and back up the rebels?
[00:01:39.203 --> 00:01:40.705]  Do I want to get arrested and killed?
[00:01:40.705 --> 00:01:41.926]  Do I want to be thrown out of power?
[00:01:42.625 --> 00:01:48.867]  Do I want to see every church in Syria burn to the ground because the Al-Qaeda groups Obama is supporting have said that?
