[00:00:08.697 --> 00:00:12.100]  This is Rob Dew reporting for InfoWars.com and InfoWars Nightly News.
[00:00:12.501 --> 00:00:18.186]  And this report is an update on two reports that I've filed this month, basically, and the one I actually filed just over the weekend.
[00:00:18.726 --> 00:00:22.269]  The first one is about the little girl who died of the flu after taking the flu shot.
[00:00:22.830 --> 00:00:27.414]  Well, now there's another little girl that died, in addition to the numerous other cases that are out there.
[00:00:27.815 --> 00:00:30.557]  Somebody sent me this this morning and said, you have to look at this one.
[00:00:30.597 --> 00:00:33.119]  Here's the headline from the Daily Mail.
[00:00:33.920 --> 00:00:39.723]  Girl 5 dies from strain of flu she was vaccinated against as deadly epidemic continues to sweep across the U.S.
[00:00:40.383 --> 00:00:41.824]  And this is something we're seeing everywhere.
[00:00:42.224 --> 00:00:47.747]  And the CDC comes out with this song and dance that I'm about to show you, where they say, well, we guessed the wrong strain of flu.
[00:00:48.007 --> 00:00:49.208]  They didn't guess anything wrong.
[00:00:49.528 --> 00:00:52.310]  They're deliberately putting this stuff in there so people get the flu.
[00:00:52.830 --> 00:00:54.471]  But we'll get more into that in a second.
[00:00:54.691 --> 00:01:02.335]  A 5-year-old girl has died in hospital three days after developing a strain of flu that she was vaccinated against as the deadly outbreak of the virus continues to sweep across the country.
[00:01:02.995 --> 00:01:06.456]  And once again, this article is filled with pictures of this beautiful little girl.
[00:01:06.696 --> 00:01:07.717]  She loved Frozen.
[00:01:07.737 --> 00:01:08.837]  She loved playing with her friends.
[00:01:08.857 --> 00:01:09.717]  She liked the color purple.
[00:01:09.757 --> 00:01:19.741]  They always put this stuff in there, and it really just tears at my heart reading these stories of parents who are trying to protect their kids from flu, and they think they're doing the right thing by getting the vaccine.
[00:01:20.201 --> 00:01:20.581]  Here's more.
[00:01:21.101 --> 00:01:28.531]  The youngster is the fourth child in a Nevada-based county and the 56th nationwide to have died in the flu in the past few months as vaccines have proved largely ineffective.
[00:01:28.831 --> 00:01:39.004]  Kara's death also comes after the CDC reported last week that more than three-quarters of people who had the injection, which contains strains of influenza A, this year will get the virus anyway.
[00:01:39.324 --> 00:01:46.431]  So even with all the hype about getting your flu vaccine, how it's everywhere in the media, everywhere in the news, you go to every drugstore, they're trying to get you to do your flu shot.
[00:01:46.511 --> 00:01:51.015]  You have 7-Eleven promoting workers to get their flu-fee shots.
[00:01:52.016 --> 00:02:00.704]  It's the worst performing ever since they've been recording this 10 years, 10 years now, that we're into this flu vaccine hysteria and tracking the results.
[00:02:01.667 --> 00:02:02.747]  So are you going to get the flu shot?
[00:02:02.767 --> 00:02:03.747]  Are you going to give it to your kids?
[00:02:03.767 --> 00:02:05.268]  I'm going to share with you a little story.
[00:02:05.688 --> 00:02:07.148]  This happened just this past weekend.
[00:02:07.828 --> 00:02:09.809]  Playing football out on the street with a bunch of my neighbors.
[00:02:10.629 --> 00:02:16.070]  And earlier, it was a week before that, my kids weren't allowed to play with their kids because they all had the flu.
[00:02:16.430 --> 00:02:17.190]  This one family.
[00:02:17.990 --> 00:02:21.711]  And in talking, they said, oh yeah, well we got all our flu shot injections and we still got it.
[00:02:22.231 --> 00:02:24.932]  And then another neighbor from across the street says,
[00:02:25.919 --> 00:02:30.201]  They all had their flu shots and three out of the four got the flu.
[00:02:30.721 --> 00:02:32.262]  And now let's turn to the measles outbreak.
[00:02:32.302 --> 00:02:33.803]  I just put out a report over the weekend.
[00:02:34.463 --> 00:02:38.705]  Disneyland measles outbreak caused by the vaccine?
[00:02:39.426 --> 00:02:45.709]  And I went through the statistics and the LA Times article saying that five people had gotten it that were vaccinated.
[00:02:45.849 --> 00:02:51.672]  Two out of the five workers that were vaccinated got the disease and that's only the ones that they tested.
[00:02:52.392 --> 00:02:53.392]  Well, now we got one more.
[00:02:54.093 --> 00:02:56.594]  Measles outbreak traced to Disneyland continues to grow.
[00:02:57.474 --> 00:03:00.236]  At least 85 cases are now confirmed in seven states.
[00:03:00.736 --> 00:03:06.218]  Alaska health officials are closely monitoring one-year-old Rivki Webb after she tested positive for measles this week.
[00:03:06.558 --> 00:03:09.900]  Her mother, Emily, said the family had just returned from a visit to Southern California.
[00:03:10.320 --> 00:03:13.101]  Rivki had also just received the measles vaccine.
[00:03:14.322 --> 00:03:20.745]  And then you get to the end of this CBS News article, and you got a quote from the mother, who says, I want people to be aware
[00:03:21.550 --> 00:03:27.512]  And to vaccinate their kids, said Emily Webb, because the whole reason that she got sick in the first place was because people don't vaccinate.
[00:03:28.372 --> 00:03:32.153]  Well, if you vaccinate your kid, then she should be protected from the virus, right?
[00:03:32.293 --> 00:03:35.174]  Isn't that the whole reason they tell you to get these, and that they're safe and effective?
[00:03:35.694 --> 00:03:38.215]  Well, then your daughter gets it after she's been vaccinated.
[00:03:38.535 --> 00:03:44.317]  And I read in the insert, in three different spots, it says you could get measles or a measles-like rash.
[00:03:44.917 --> 00:03:46.918]  In the insert, as one of the side effects.
[00:03:47.631 --> 00:03:50.393]  And people still continue to do it because they don't ask for these inserts.
[00:03:50.854 --> 00:03:51.394]  It's amazing.
[00:03:51.674 --> 00:03:52.355]  Totally amazing.
