[00:00:02.211 --> 00:00:04.845]  You're listening to The Alex Jones Show.
[00:00:16.806 --> 00:00:17.447]  Big Brother.
[00:00:18.127 --> 00:00:19.148]  Mainstream media.
[00:00:19.889 --> 00:00:20.989]  Government cover-ups.
[00:00:21.650 --> 00:00:22.451]  You want answers?
[00:00:23.231 --> 00:00:24.112]  Well, so does he.
[00:00:24.773 --> 00:00:28.395]  He's Alex Jones on the GCN Radio Network.
[00:00:28.976 --> 00:00:33.039]  And now, live from Austin, Texas, Alex Jones.
[00:00:37.765 --> 00:00:40.048]  Welcome to the Alex Jones Show on this Monday, February 16, 2015.
[00:00:40.208 --> 00:00:42.290]  I'm David Knight.
[00:00:42.330 --> 00:00:43.171]  I'll be your host today.
[00:00:43.692 --> 00:00:45.814]  Alex Jones will be joining us in the second hour.
[00:00:46.314 --> 00:00:51.280]  Also talk show host on another talk show host on a GCM program, The Power Hour.
[00:00:51.400 --> 00:00:54.764]  Joyce Riley will also be joining us in the second hour.
[00:00:54.804 --> 00:00:58.588]  Now, of course, Joyce Riley is a registered nurse, a whistleblower,
[00:00:59.228 --> 00:01:17.330]  She's been a talk show host speaking out for individual liberty for quite some time on GCN She's going to be talking about her personal struggle with cancer And that'll be in the second hour and as I said Alex Jones will be joining us at that time as well Today I want to focus on what I believe is
[00:01:18.331 --> 00:01:25.617]  This is an attack on the very foundations of our individual rights, of our legal system, in a way that is unprecedented.
[00:01:25.637 --> 00:01:27.038]  Of course, it's an incremental story.
[00:01:27.078 --> 00:01:28.920]  We've seen this happening for a long time.
[00:01:29.560 --> 00:01:32.322]  But it's really coming to a head in a major way.
[00:01:32.763 --> 00:01:36.886]  And we're seeing a lot of support from the media, from a lot of individuals.
[00:01:37.186 --> 00:01:41.110]  We had the story this last Friday from Kit Daniels about the Canadian mother.
[00:01:41.770 --> 00:01:53.079]  Who wrote this angry, uninformed, strawman attack on people who don't give their informed consent to the pharmaceutical companies and the government.
[00:01:53.419 --> 00:01:56.381]  They're demanding that we do that without thinking.
[00:01:56.421 --> 00:02:03.507]  They're demanding the same kind of blind obedience to the government and to the pharmaceutical companies that they have.
[00:02:04.167 --> 00:02:06.168]  They don't want us to take a look at what's there.
[00:02:06.608 --> 00:02:10.930]  And so we're going to look at that as well as the attitudes that we're seeing surfacing in California.
[00:02:10.970 --> 00:02:20.814]  We've got the LA Times applauding Governor Jerry Brown, saying that he's showing new flexibility because he's considering mandatory vaccinations.
