[00:00:09.130 --> 00:00:14.972]  Rob Dew reporting for InfoWars Nightly News and InfoWars.com with another vaccine report.
[00:00:15.332 --> 00:00:19.473]  This one comes out of Canada, but it also leads back into the United States.
[00:00:19.993 --> 00:00:21.133]  And this is out of the globe.
[00:00:21.733 --> 00:00:25.454]  Canadian study finds flu shot could increase risk of getting sick.
[00:00:25.854 --> 00:00:26.194]  Wow!
[00:00:26.274 --> 00:00:27.835]  Something we've been telling you all along.
[00:00:28.035 --> 00:00:31.436]  Now it's in a study and scientists have said it, so now we can all believe it.
[00:00:32.156 --> 00:00:47.090]  The study states, in particular, vaccine effectiveness against influenza A among those who received the 2014-15 vaccine without prior vaccination was higher at 43% than among those participants who were vaccinated with the same vaccine component in both 2013 and 14 and 2014-15.
[00:00:47.170 --> 00:00:48.391]  And they're saying that was negative 15%.
[00:00:53.576 --> 00:01:00.442]  For those who received this year's flu shot alone, the vaccine appeared to be quite effective, about 43% effective.
[00:01:00.522 --> 00:01:10.872]  But if the patient had a flu shot in both years, both this year and last year, the shot was actually negatively effective, meaning it may have made people more susceptible to the flu.
[00:01:11.578 --> 00:01:16.161]  You're at a 15% increased chance of getting the flu if you got the vaccine in two years.
[00:01:16.462 --> 00:01:18.863]  But they didn't do a study for three or four or five years.
[00:01:18.903 --> 00:01:21.265]  Of course, we'll never see those, what the chances are.
[00:01:21.645 --> 00:01:23.627]  But at least we know they are doing something.
[00:01:24.127 --> 00:01:24.447]  Here we go.
[00:01:24.467 --> 00:01:28.811]  A negative effectiveness suggests the vaccine made people more susceptible to the flu, says Dr. Dickinson.
[00:01:29.471 --> 00:01:32.293]  We need to do further research to understand why this has happened.
[00:01:32.573 --> 00:01:34.674]  Well, the vaccine attacks your immune system.
[00:01:35.095 --> 00:01:37.056]  That's been proven many times over.
[00:01:37.396 --> 00:01:42.639]  So by taking it twice, you're attacking your immune system twice, thereby increasing your chances of getting the flu.
[00:01:42.979 --> 00:01:46.722]  But then again, I'm not a doctor, so you shouldn't trust a thing I say as you do your own research.
[00:01:47.062 --> 00:01:49.243]  Similar results were also found in the United States.
[00:01:49.543 --> 00:01:53.546]  More than three quarters of flu vaccines this year have been ineffective, reports the Daily Mail.
[00:01:54.006 --> 00:01:58.449]  The percentage of effective injections at 23% is one of the worst performances since
[00:01:58.649 --> 00:02:03.854]  The government started tracking how well flu vaccines work in the 2004-2005 season.
[00:02:03.894 --> 00:02:11.200]  So in the last 10 years, this has been the worst they've ever done, or maybe it's the best they've ever done, if that's what they're looking to do is get people sick.
