[00:00:07.836 --> 00:00:12.202]  Jade Helm 15, a military exercise of grand scale.
[00:00:12.823 --> 00:00:19.933]  The military claims the exercise is for overseas training, yet three of these United States have been listed as hostile.
[00:00:20.851 --> 00:00:27.733]  The term mastering the human domain reveals to us that Jade Helm 15 is more than just a military exercise.
[00:00:28.273 --> 00:00:40.877]  It's also an exercise of the new field of geospatial intelligence, using human domain analytics to map the politics and thoughts of any nation, state, city, right down to the individual.
[00:00:41.826 --> 00:00:43.067]  Jade Helm 15.
[00:00:43.507 --> 00:00:47.969]  That's what the United States Army is calling a large-scale military exercise.
[00:00:48.409 --> 00:00:52.650]  Special Operations Command will be training with other armed units beginning in July.
[00:00:53.431 --> 00:01:03.215]  In a recent InfoWars.com report, Master the Human Domain, the domestic plan behind Jade Helm, we break down what the Jade Helm logo refers to.
[00:01:04.460 --> 00:01:09.366]  In brief, a new discipline in intelligence has been at center stage for the past decade.
[00:01:09.907 --> 00:01:11.969]  Activity-Based Intelligence or ABI.
[00:01:15.089 --> 00:01:44.265]  According to TrajectoryMagazine.com, the human domain or human dimension, which is a vital and integral part of ABI, is defined as the presence, activities including transactions both physical and virtual, culture, social structure, organization, networks and relationships, motivations, intent, vulnerabilities, and capabilities of humans, single or groups, across all domains of the operational environment, space, air,
[00:01:44.725 --> 00:01:46.486]  Maritime, Ground and Cyber.
[00:01:47.227 --> 00:01:55.833]  This article goes on to say that the focus on mastering the human domain was born out of a merging of three already existing disciplines of intelligence.
[00:01:56.894 --> 00:02:10.144]  That may be the case for this branding of this idea, but the exercise of mapping the human domain right down to the individual is a long-standing institutionalized strategy that has been going on for well over 100 years.
[00:02:13.140 --> 00:02:28.869]  What reason would the United States government have to invest so much time, resources, and money in order to pinpoint exact pockets of thought in a country founded on free thought, expression, and most of all outspoken words against its own government?
[00:02:30.130 --> 00:02:37.694]  During his famous farewell address, Eisenhower warned the American people of an imminent and internal threat, a scientific elite,
[00:02:38.484 --> 00:02:50.465]  We must also be alert to the equal and opposite danger that public policy could itself become the captive of a scientific technological elite.
[00:02:51.769 --> 00:03:01.271]  The title, Scientific Elite, to most Americans might seem like nothing more than ordinary intangible rhetoric, typically thrown around by politicians during their speeches.
[00:03:01.911 --> 00:03:05.792]  This time, however, Eisenhower was not speaking in abstractions.
[00:03:06.412 --> 00:03:08.633]  There actually is a scientific elite.
