[00:00:00.009 --> 00:00:01.175]  The Alex Jones Show!
[00:00:14.127 --> 00:00:18.309]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:18.969 --> 00:00:19.769]  You want answers?
[00:00:20.549 --> 00:00:21.430]  Well, so does he.
[00:00:22.090 --> 00:00:25.691]  He's Alex Jones on the GCN Radio Network.
[00:00:26.292 --> 00:00:30.333]  And now, live from Austin, Texas, Alex Jones.
[00:00:37.375 --> 00:00:40.738]  Thank you for joining us, ladies and gentlemen, on this live worldwide broadcast.
[00:00:40.798 --> 00:00:45.561]  I'm Alex Jones, on the road with my family, coming to you from the Texas coast.
[00:00:46.162 --> 00:00:52.266]  And David Knight, of course, is in the big official Infowars.com studios in Austin, Texas.
[00:00:52.787 --> 00:00:54.288]  And we'll cut to David Knight.
[00:00:54.668 --> 00:00:59.811]  So he can give you a preview of some of the topics and issues he's going to be raising today.
[00:00:59.831 --> 00:01:09.436]  And believe me, there's a lot of them, a lot of special reports, a lot of different important news developments that we're going to be bringing you live from the InfoWars studio.
[00:01:10.396 --> 00:01:16.081]  I'm going to be here as well, going over just the epic level movement of tyranny.
[00:01:16.101 --> 00:01:23.267]  And I use that word epic a lot because what we're seeing is over-the-top epic, seismic in its ramifications.
[00:01:23.307 --> 00:01:28.172]  Whether we submit to it or don't submit to it, the hammer has fallen.
[00:01:28.452 --> 00:01:33.376]  The globalists are moving at full speed worldwide, not just here in the United States.
[00:01:35.118 --> 00:01:39.682]  52 senators warn of sweeping ammo bans say Second Amendment is quote at risk.
[00:01:39.722 --> 00:01:43.085]  Yes, the Second Amendment is being prepared to be dismantled.
[00:01:43.605 --> 00:01:48.850]  Sensenbrenner, one of the globalist members of Congress, does some good things, some bad things.
[00:01:48.890 --> 00:01:54.455]  Introduces the Real ID Act, but then supports Justin Amash and folks that are Ron Paul-esque.
[00:01:55.215 --> 00:01:59.539]  But he now has come out and wants to quote abolish the ATF.
[00:02:01.508 --> 00:02:09.890]  But the problem with that is they would just put the agency and the very people under the DEA and the FBI.
[00:02:10.330 --> 00:02:17.092]  Now these are more competent groups, the DEA and the FBI, competent at carrying out globalist crime in many cases.
[00:02:18.092 --> 00:02:21.453]  And can you imagine the giant war on drugs apparatus?
[00:02:22.213 --> 00:02:33.445]  And the asset forfeiture seizure apparatus that's federalizing local police everywhere when they switch to the war on guns with all these nickel and dime rules and regulations that aren't even law.
[00:02:33.886 --> 00:02:38.731]  This is the war on the American gun owner promised by the globalists.
[00:02:38.751 --> 00:02:40.613]  This is a full mega...
[00:02:41.534 --> 00:02:41.894]  All right.
[00:02:58.047 --> 00:03:02.168]  At least at a gut level so that their evil doesn't get us too depressed while we fight them.
[00:03:02.548 --> 00:03:03.808]  So we're in the world, but not of it.
[00:03:04.188 --> 00:03:08.369]  I was going to do that today, but the Second Amendment issue is so incredibly central.
[00:03:08.689 --> 00:03:21.012]  It is Second Amendment today when we talk about callers and throughout the compendium of the broadcast interspersed with literally hundreds of different incredibly important news stories that we're going to attempt to cover.
[00:03:22.210 --> 00:03:22.670]  It's on.
[00:03:23.090 --> 00:03:24.531]  We know the enemy's plan.
[00:03:24.911 --> 00:03:26.172]  We know their operations.
[00:03:26.612 --> 00:03:28.333]  We know how they behave.
[00:03:28.933 --> 00:03:44.061]  And now they've just got to sell this to local government and the police and the military and the FBI and the ATF and others so that they believe, most of them actually believe, they're doing a hard job and the world's against them and they get, you know, attacked unfairly and things get spun.
[00:03:44.081 --> 00:03:46.802]  I mean, here's a great example and we'll cover this after the break.
[00:03:48.856 --> 00:03:55.201]  South Carolina National Guard conducts door-to-door wellness checks, gun confiscation exercises.
[00:03:55.241 --> 00:04:04.189]  Now, in this compendium, if the police and military can understand this, and if the public can understand this, it's what I call a Rosetta Stone.
[00:04:04.349 --> 00:04:05.690]  Through this, you can decode everything.
[00:04:05.710 --> 00:04:09.713]  This is just a snapshot example microcosm that hooks into everything.
[00:04:09.733 --> 00:04:11.955]  You understand the micro, you understand the macro.
[00:04:13.220 --> 00:04:17.063]  The National Guard are really hard-working, great people that do a lot of wonderful work.
[00:04:17.503 --> 00:04:20.585]  Some of the most awake people out there.
[00:04:20.705 --> 00:04:21.626]  They're not bad.
[00:04:22.406 --> 00:04:29.451]  But it's true that when you do these wellness checks and you get the National Guard, even regular Army involved in door-to-door behavior,
[00:04:29.871 --> 00:04:30.231]  We're good
[00:04:47.683 --> 00:04:52.307]  Smiling faces knowing that there's a very positive view of the military and of the National Guard.
[00:04:52.627 --> 00:05:00.753]  They use them, open the door, let the nice guy in, to then let the vampire in a week later, or a month later, or a year later.
[00:05:01.094 --> 00:05:07.259]  So this is the nice little kid, the friendly kid selling lollipops, you know, or Girl Scout cookies that you let in.
[00:05:07.819 --> 00:05:08.900]  But now, beyond the bone...
[00:05:26.980 --> 00:05:32.201]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:05:32.501 --> 00:05:38.082]  Sourced from top leading manufacturers to ensure a concentrated level of bioactive ingredients.
[00:05:38.443 --> 00:05:43.344]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:05:43.404 --> 00:05:47.024]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:05:47.345 --> 00:05:53.546]  Wild crafted from the Mediterranean oregano species that experts agree is one of the most powerful and most challenging to acquire.
[00:05:53.946 --> 00:05:58.935]  This winter season, it's more important than ever to secure this true form of oil of oregano.
[00:05:59.115 --> 00:06:02.701]  Now available in our limited first run at Infowarslife.com.
[00:06:02.822 --> 00:06:04.745]  That's Infowarslife.com or call 888-253-3139.
[00:06:08.325 --> 00:06:11.826]  The government's Department of Homeland Security is buying up loads of ammo.
[00:06:11.986 --> 00:06:15.947]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[00:06:16.268 --> 00:06:17.708]  Can you put two and two together?
[00:06:18.048 --> 00:06:25.610]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
