[00:00:12.085 --> 00:00:15.727]  This is the CBS Evening News with Walter Cronkite.
[00:00:16.047 --> 00:00:16.527]  Good evening.
[00:00:16.868 --> 00:00:23.031]  The parents of kidnapped Patricia Hearst today heard directly from their daughter for the first time since her abduction.
[00:00:23.698 --> 00:00:43.736]  As a member of the notorious Symbionese Liberation Army, Sarah Jane Olson, formerly Kathleen Ann Celaya, was partly responsible for the death of Myrna Opsal, the 42-year-old mother of four children, who was in the bank to deposit receipts from her church during a bank robbery near Sacramento, California, on April 21, 1975.
[00:00:43.816 --> 00:00:44.416]  Patty Hearst,
[00:00:47.739 --> 00:00:54.521]  who was acting as the getaway driver gave information that led the police to implicate the SLA in the robbery and murder.
[00:00:54.741 --> 00:00:58.722]  Hearst also stated that Celaya was one of the actual robbers.
[00:00:59.222 --> 00:01:05.864]  And according to Patty Hearst, Celaya also kicked a pregnant teller in the abdomen, leading to a miscarriage.
[00:01:06.304 --> 00:01:13.186]  On August 21st, 1975, the LAPD discovered several bombs attached to the bottom of their cars.
[00:01:13.766 --> 00:01:23.133]  Celaya was accused of planting the bombs in an attempt to avenge the SLA members who had died a year earlier in a standoff with the LAPD.
[00:01:23.353 --> 00:01:28.056]  In February 1976, a grand jury indicted Celaya in the bombing case.
[00:01:28.436 --> 00:01:32.079]  Celaya disappeared and became a fugitive for 23 years.
[00:01:32.759 --> 00:01:37.883]  In 1999, Celaya was profiled on the America's Most Wanted television program.
[00:01:38.323 --> 00:01:42.424]  After a tip came in, she was arrested on June 16th, 1999.
[00:01:43.664 --> 00:01:52.527]  Celaya was then charged with conspiracy to commit murder, possession of explosives, and attempting to ignite explosives with intent to murder.
[00:01:52.967 --> 00:01:57.148]  Shortly after her arrest, Celaya legally changed her name to her alias,
[00:01:57.748 --> 00:01:59.189]  Sarah Jane Olsen.
[00:01:59.549 --> 00:02:06.794]  After serving seven years, about half of her sentence, Olsen was released from prison on March 17, 2009.
[00:02:07.755 --> 00:02:14.900]  This legendary domestic terrorist was allowed to go through the TSA's ultra-secure expedited pre-check system.
[00:02:15.460 --> 00:02:25.287]  A TSA supervisor failed to reject the quintessential example of a domestic terrorist as defined by the highest standards of the Department of Homeland Security.
[00:02:25.747 --> 00:02:40.818]  We talked about this whistleblower who said they saw and knew someone in line that was a domestic terrorist, had a conviction, went to jail.
