[00:00:05.031 --> 00:00:09.876]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:09.876 --> 00:00:11.458]  You want answers?
[00:00:11.458 --> 00:00:13.000]  Well, so does he.
[00:00:13.000 --> 00:00:17.204]  He's Alex Jones on the GCN Radio Network.
[00:00:17.204 --> 00:00:21.249]  And now, live from Austin, Texas, Alex Jones.
[00:00:26.380 --> 00:00:29.681]  Welcome to the Alex Jones Show on this Monday, October 26, 2015.
[00:00:29.681 --> 00:00:31.842]  I'm David Knight, your host.
[00:00:31.842 --> 00:00:34.343]  We have a host of news.
[00:00:34.343 --> 00:00:40.326]  We have the IRS now having their own Stingray cell phones.
[00:00:40.326 --> 00:00:44.067]  This has been something that's been done by a lot of different agencies.
[00:00:44.067 --> 00:00:49.389]  And of course, whenever they do it, they do it secretly because they don't want the citizens to know about it.
[00:00:49.389 --> 00:00:52.631]  I remember we had a story about a year, year and a half ago,
[00:00:53.737 --> 00:00:59.061]  There was a local police department that had used Stingray to illegally search people without a warrant.
[00:00:59.061 --> 00:01:07.567]  And of course, Stingray is an electronic device whereby they can grab your cell phone location and other information without getting a search warrant.
[00:01:07.567 --> 00:01:09.529]  And they're not supposed to do that.
[00:01:09.529 --> 00:01:14.352]  They had a situation where they had apprehended someone who was involved in alleged theft.
[00:01:14.352 --> 00:01:19.316]  And when he came before the judge, the judge said, well, how did you acquire this information?
[00:01:19.316 --> 00:01:20.657]  And they said, well, we can't tell you, Judge.
[00:01:20.657 --> 00:01:23.059]  We have a non-disclosure agreement.
[00:01:24.235 --> 00:01:27.759]  And he said, uh, you don't have a non-disclosure agreement with me.
[00:01:27.759 --> 00:01:30.562]  He said, how did you get this information?
[00:01:30.562 --> 00:01:34.826]  So they huddled together and they said, never mind, we're going to drop the charges.
[00:01:34.826 --> 00:01:40.472]  They've done everything they can to try to hide this illegal snooping using Stingray.
[00:01:40.472 --> 00:01:41.273]  Now we find out...
[00:01:41.773 --> 00:01:51.258]  That the 13th agency, we've had 12 different agencies that have been exposed to me doing this, the 13th agency is now the IRS doing this.
[00:01:51.258 --> 00:01:57.682]  Yes, it is total information awareness, total surveillance by every bureaucracy you can imagine.
[00:01:57.682 --> 00:02:03.445]  All of them arming themselves with weapons, all of them arming themselves with listening devices to spy upon you.
[00:02:04.209 --> 00:02:06.871]  That's the kind of government we're looking at right now.
[00:02:06.871 --> 00:02:17.837]  So we're going to break into what's going on with that and of course just this last week, the end of last week, they passed CISA, the Cyber Security Information Sharing Act.
[00:02:17.837 --> 00:02:20.038]  This is something that is supposed to allow them to
[00:02:21.079 --> 00:02:26.163]  It's also a way of giving legal protection and legal cover to something that's been going on for quite a while.
[00:02:26.163 --> 00:02:30.966]  We see a lot of tech companies, a lot of them who have been collaborators, quizlings for the surveillance state,
[00:02:49.719 --> 00:02:50.059]  Thank you.
[00:03:07.824 --> 00:03:11.987]  But this is how the government has been rolling this out for quite some time.
[00:03:11.987 --> 00:03:22.794]  Saying that the information that the phone company collects, that your internet service provider collects, that anybody that you deal with, anyone that collects any information on you, that's no longer your information.
[00:03:22.794 --> 00:03:24.676]  So turn it over.
[00:03:24.676 --> 00:03:27.798]  Because you don't want us to play rough with you if you're the phone company.
[00:03:27.798 --> 00:03:31.841]  You know, we give you a monopoly, a nice lucrative monopoly.
[00:03:32.401 --> 00:03:36.924]  We're going to look at some minority report pre-crime ways that this information is being used.
[00:03:36.924 --> 00:03:42.188]  If you don't think that it's really going to be used against Americans, understand, of course, it already is.
[00:03:42.188 --> 00:03:55.077]  We just had the IRS given a free rein by the Department of Justice, quote-unquote, this last week, saying that there wasn't any malice with this, there wasn't any political targeting of this.
[00:03:55.077 --> 00:03:55.718]  Of course there was.
[00:03:56.829 --> 00:04:02.893]  If there wasn't any malice or political targeting, it would have been done across the political spectrum.
[00:04:02.893 --> 00:04:03.794]  It wasn't.
[00:04:03.794 --> 00:04:06.555]  It was focused on conservative groups.
[00:04:06.555 --> 00:04:07.976]  And they said, this isn't happening.
[00:04:07.976 --> 00:04:09.177]  Well, it is still going on.
[00:04:09.177 --> 00:04:15.381]  There are still Tea Party organizations that have had their paperwork held up for years.
[00:04:15.381 --> 00:04:17.583]  Many of them have still not gotten that information.
[00:04:18.268 --> 00:04:34.259]  We're also going to cover some information about what's going on with Paul Reino, the person who seems to be the choice for the next Speaker of the House, someone who is going to be able to work with Obama, be acceptable to John Boehner because he's going to give them everything that they want.
[00:04:34.259 --> 00:04:35.580]  We're going to take a look at that.
[00:04:35.580 --> 00:04:42.045]  Also, some news on open borders and what it tells us about the collapsing globalist socialist state.
[00:04:42.045 --> 00:04:42.805]  We'll be right back.
[00:04:42.805 --> 00:04:43.166]  Stay with us.
[00:04:58.959 --> 00:05:00.940]  Hey Daniels, InfoWars.com.
[00:05:00.940 --> 00:05:04.463]  Did you know that half of all Americans make less than $30,000 a year?
[00:05:04.463 --> 00:05:12.188]  New government data also reveals that 40% of Americans are making less than $20,000 annually, which is well below the poverty level for a family of four.
[00:05:12.188 --> 00:05:21.194]  And, according to the Daily Caller, this new data doesn't take into account the 8 million Americans who are unemployed or the tens of millions of Americans who gave up trying to find a job.
[00:05:21.194 --> 00:05:24.456]  In fact, we're now experiencing the lowest participation rate since 1977.
[00:05:25.697 --> 00:05:30.380]  This means that America's middle class is systematically being destroyed, and this is intentional.
[00:05:30.380 --> 00:05:37.785]  Niccolò Machiavelli, a 16th century pioneer on statescraft, once said that it was in the government's best interest to keep its citizens poor.
[00:05:37.785 --> 00:05:38.426]  But why?
[00:05:38.426 --> 00:05:49.973]  Well, if the middle class disappears, we're going to have a huge income gap in America between the ultra-elite, who hold most of the government to power, and the dirt poor, who are too impoverished to stop the expanse of government at the expense of their rights.
[00:05:49.973 --> 00:05:55.437]  Once again, this is Kit Daniels with InfoWars.com and PrisonPlanet.tv, and keep checking back for more reports.
[00:05:58.779 --> 00:06:08.904]  Most of the InfoWars radio listening audience is aware of the high-quality, affordable firearms available that are made right here in America at htfirearms.com.
[00:06:08.904 --> 00:06:15.028]  One of the most exciting things about htfirearms.com is the ability to upgrade your AR-15 platform today.
[00:06:15.028 --> 00:06:20.611]  They call it their low-profile platform, PVX Muzzle Bricks, proven to help control muzzle rise.
[00:06:21.932 --> 00:06:24.734]  6061 billet material with type 3 hard coating.
[00:06:24.734 --> 00:06:28.356]  Bolt carrier group for .308 and .556 ARs.
[00:06:28.356 --> 00:06:29.917]  Custom Kydex holsters.
[00:06:29.917 --> 00:06:34.780]  Ideal for concealed carry with .080 thick Kydex to ensure durability.
[00:06:34.780 --> 00:06:37.282]  Most competitor's material use .060.
[00:06:37.282 --> 00:06:40.684]  Configure yours today at HDfirearms.com.
[00:06:40.684 --> 00:06:42.726]  And my favorite, single stage trigger.
[00:06:42.726 --> 00:06:46.108]  A home run upgrade for your AR-15 and AR-10 platforms.
[00:06:46.348 --> 00:06:50.549]  Find out more at HDFirearms.com today, or call 770-485-7015.
[00:06:50.549 --> 00:06:58.812]  That's HDFirearms.com, or call 770-485-7015.
[00:06:58.812 --> 00:07:02.773]  Secret 12, InfoWars Life's Vitamin B12 formulation.
[00:07:02.773 --> 00:07:09.075]  Most forms of Vitamin B12 are highly processed and synthetic, and cannot be properly absorbed by the body.
[00:07:09.075 --> 00:07:16.057]  That's why for real results, so many are having to turn to painful B12 injections, which are known to have higher absorption rates.
[00:07:16.357 --> 00:07:25.488]  Infowarslife.com is excited to announce that we can bring you our most bioactive, powerful form of B12 that has been developed with our exclusive, perfected process.
[00:07:25.488 --> 00:07:31.655]  Secret 12 is a binary of nutrimedical-grade, bioavailable, coenzyme forms of B12.
[00:07:31.655 --> 00:07:34.338]  Methylcobalamin, the same kind used in B12 injections.
[00:07:35.038 --> 00:07:35.358]  We're good.
[00:08:16.340 --> 00:08:22.867]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[00:08:22.867 --> 00:08:28.493]  It's Alex Jones.
