[00:00:13.487 --> 00:00:15.388]  Joe Biggs here with Infowars.com.
[00:00:15.408 --> 00:00:20.610]  Now today I want to talk about something that I heard earlier in the Alex Jones broadcast on the show today.
[00:00:20.690 --> 00:00:32.354]  He played a clip of Warren Buffett speaking and this is embedded in a Paul Joseph Watson article titled, Warren Buffett Artificial Intelligence Will Decide Whether or Not Humans Live or Die.
[00:00:32.394 --> 00:00:35.055]  So let's take a look at this clip and then we'll analyze it after.
[00:00:35.831 --> 00:00:36.891]  There's some interesting questions.
[00:00:36.971 --> 00:00:52.118]  I mean, let's just say you've got a self-driving car going down the street, and a three-year-old kid runs out in front of the car, and there's another car coming the other direction with four people in it, and the computer's going to make the decision as to whether to hit the kid or hit the other car.
[00:00:52.978 --> 00:00:55.879]  I'm not sure who gets sued under those circumstances.
[00:00:55.959 --> 00:00:56.979]  You're going to kill somebody.
[00:00:58.140 --> 00:01:02.482]  And it will be the computer that makes the decision in a nanosecond.
[00:01:05.134 --> 00:01:11.196]  It'll be interesting to know who programs that computer and what their thoughts are about the values of human lives and things.
[00:01:12.516 --> 00:01:13.977]  So this is the moral question.
[00:01:14.557 --> 00:01:28.981]  Like you said, if there's a three-year-old child who walks out into traffic and then there is a car with four passengers inside that could swerve and possibly hit some, hit a tree, hit a pole and kill four people, where does that moral decision go to?
[00:01:29.002 --> 00:01:33.403]  It goes to the person whoever programs the computer and that's what he brings up
[00:01:34.063 --> 00:01:38.165]  In this report he says, I'm not sure who gets sued over these circumstances.
[00:01:38.205 --> 00:01:42.447]  You're going to kill somebody and it will be the computer that makes the decision in a nanosecond.
[00:01:42.768 --> 00:01:49.191]  And it will be interesting to know who programs that computer and what their thoughts are about the values of human lives and things.
[00:01:49.651 --> 00:01:51.172]  And that was the end of his statement.
[00:01:51.997 --> 00:01:54.538]  Now we already know that the vaccine court exists.
[00:01:54.819 --> 00:02:03.363]  The vaccine court basically lets these big pharmaceutical companies who make these vaccines impervious to being sued.
[00:02:03.963 --> 00:02:14.569]  So what that means is if you get a flu shot or your child gets some kind of vaccine and dies, you cannot go and sue these big pharmaceutical companies because of the vaccine court.
[00:02:14.949 --> 00:02:15.870]  Now it got me thinking.
[00:02:16.610 --> 00:02:23.774]  Who's going to be liable for deaths when these happen, when these driverless cars are implemented on the streets every day?
[00:02:24.134 --> 00:02:24.995]  Who gets sued for that?
[00:02:25.015 --> 00:02:28.977]  Because you, the driver, obviously aren't going to be because they're trying to take that away from you.
[00:02:29.598 --> 00:02:31.679]  Now it's going to go to these huge
[00:02:32.479 --> 00:02:37.100]  Uh, automotive companies that will be owning all these driverless cars.
[00:02:37.180 --> 00:02:39.241]  Whoever owns that will be the powerhouse.
[00:02:39.621 --> 00:02:46.783]  And I have a feeling that the same concept of the vaccine court will be implemented with the automotive industry with driverless cars.
[00:02:47.223 --> 00:02:56.806]  That if you die or your children die driving or riding in a car, I should say, you can't go and sue whatever company is making it.
[00:02:57.586 --> 00:03:05.628]  Because they will be impervious to that due to some new type of vaccine court that will cover these automotive industries that are making these driverless cars.
[00:03:05.648 --> 00:03:07.549]  So that's something that's very scary.
[00:03:07.849 --> 00:03:10.430]  That you're going to be driving around in something like that.
[00:03:10.530 --> 00:03:14.491]  You can't get any kind of compensation for loss of life.
[00:03:15.091 --> 00:03:16.391]  Anything like that whatsoever.
[00:03:16.551 --> 00:03:19.272]  They will not be held liable for that.
[00:03:19.372 --> 00:03:20.893]  And that's something that you have to think about.
[00:03:20.933 --> 00:03:21.233]  That is
[00:03:22.153 --> 00:03:23.174]  I don't think so.
[00:03:42.307 --> 00:03:46.390]  You know, the authorities arrive to essentially take you and detain you and put you in jail and book you.
[00:03:46.670 --> 00:03:56.276]  So this is just another example of our government trying to inject this artificial intelligence into our lives when clearly we don't need that.
[00:03:56.336 --> 00:03:59.918]  People need to be held responsible for the crappy decisions that they make.
[00:04:00.359 --> 00:04:07.864]  There needs to be someone that you can look at and go, hey, you mess up, you need to be held accountable for this and not have some vaccine court that goes, oh,
[00:04:08.524 --> 00:04:09.044]  We're covered.
[00:04:09.644 --> 00:04:10.705]  You guys can't do anything to us.
[00:04:10.745 --> 00:04:11.845]  Sorry.
[00:04:12.045 --> 00:04:17.567]  We said on the labels there that there's a chance that something could happen if you take this.
[00:04:17.607 --> 00:04:27.710]  Meanwhile, the government's shoving it down your throat every day in commercials on TV, getting people like LeBron James or whoever, celebrities, to endorse the fact that you should go and get your vaccines.
[00:04:27.750 --> 00:04:29.971]  I mean, this is just out of control, this world we live in.
[00:04:30.431 --> 00:04:31.652]  And now they're taking the same
[00:04:32.881 --> 00:04:33.702]  We're good to go.
[00:04:41.656 --> 00:04:56.523]  So now we have the IBM Watson program back in the news again today and it kind of meshes well with the fact of what we're talking about with these driverless cars taking the human emotion away and decision-making behind life-changing decisions.
[00:04:56.963 --> 00:04:59.064]  Now we already know that the VA has death panels.
[00:04:59.104 --> 00:04:59.764]  It's been proven.
[00:04:59.784 --> 00:05:01.125]  We've heard Bill Gates talk about it.
[00:05:01.505 --> 00:05:03.886]  This is something that we know it's now in the mainstream.
[00:05:04.326 --> 00:05:07.248]  You know, tons of vets have died and are dying
[00:05:07.848 --> 00:05:21.858]  Waiting seeking medical attention at these poorly ran VA hospitals all across the country and Yay for Austin because they decided to bring in this evil program IBM Watson here to my town to run
