[00:00:00.563 --> 00:00:01.823]  What's his name?
[00:00:01.823 --> 00:00:03.524]  This is an emergency transmission.
[00:00:03.524 --> 00:00:11.047]  This is an emergency transmission.
[00:00:11.047 --> 00:00:17.889]  From FEMA Region 6 in Occupy.
[00:00:24.215 --> 00:00:25.916]  There is a war.
[00:00:25.916 --> 00:00:27.797]  It's happening now.
[00:00:27.797 --> 00:00:30.158]  It will decide the fate of humanity.
[00:00:30.158 --> 00:00:32.739]  The time to choose sides has come.
[00:00:32.739 --> 00:00:34.640]  We are the Resistance.
[00:00:34.640 --> 00:00:36.241]  We are the Infowar.
[00:00:43.564 --> 00:00:50.830]  You may have noticed this is a version of the cyber security bill passed in Congress with the Senate voting 74 to 21 to pass it.
[00:00:50.830 --> 00:00:57.536]  All in the name of a cyber defense to protect the American people and more importantly big business from hackers.
[00:00:57.536 --> 00:00:59.178]  And that's all you need to know America.
[00:00:59.178 --> 00:01:00.379]  Go back to sleep.
[00:01:00.379 --> 00:01:04.903]  What they didn't tell you was the NSA and big business slipped a Trojan horse
[00:01:05.103 --> 00:01:09.688]  Pass the American people once again to allow them to spy on you.
[00:01:09.688 --> 00:01:11.269]  Yes, you.
[00:01:11.269 --> 00:01:22.321]  Wired Magazine reports privacy advocates and civil liberties groups see CISA as a free pass that allows companies to monitor users and share their information with the government without a warrant.
[00:01:22.441 --> 00:01:27.822]  While offering a backdoor that circumvents any laws that might protect users' privacy.
[00:01:27.822 --> 00:01:40.585]  The incentive and the framework it creates is for companies to quickly and massively collect user information and ship it to the government, says Mark Jaycox, legislative analyst for the Electronic Frontier Foundation.
[00:01:40.585 --> 00:01:47.047]  As soon as you do, he continues, you obtain broad immunity, even if you violated privacy law.
[00:01:47.347 --> 00:01:54.752]  Even the Department of Homeland Security agrees that the latest CISA bill could sweep away many important privacy protections.
[00:01:54.752 --> 00:02:16.725]  Breitbart reports Senator Ron Wyden, Democrat of Oregon, a Democrat who recently allied with Senator Rand Paul to water down provisions of the Patriot Act, said the bill virtually guarantees that private information unrelated to cybersecurity will be shared with the government, and said that the bill was a direct pipeline to the NSA.
[00:02:17.325 --> 00:02:25.951]  Even with the Manager's Amendment, the core privacy issues are not being dealt with.
[00:02:25.951 --> 00:02:31.936]  The fact is, it is voluntary for companies.
[00:02:31.936 --> 00:02:37.460]  It will be mandatory for their customers.
[00:02:37.460 --> 00:02:41.703]  And the fact is, the companies can participate
[00:02:42.449 --> 00:02:42.910]  We're good.
[00:02:54.201 --> 00:02:55.681]  They do so!
[00:02:55.681 --> 00:03:03.703]  During the voting process of CISA, the Senate rejected all of the privacy amendments that would have protected average citizens' right to privacy.
[00:03:03.703 --> 00:03:05.724]  But how exactly did they do that?
[00:03:05.724 --> 00:03:15.526]  TechDirt breaks down the geek speak detailing the NSA's unconstitutional desperation to collect data related to innocent law-abiding Americans.
[00:03:15.526 --> 00:03:18.347]  The NSA and FBI, and CIA for that matter,
[00:03:18.607 --> 00:03:25.553]  Frequently make use of backdoor searches of the upstream data, a capability that was approved in 2011.
[00:03:25.553 --> 00:03:32.940]  Basically, the rules changed so that the intelligence community could sniff through data that was deemed collected incidentally.
[00:03:32.940 --> 00:03:40.967]  And that includes basically anything that is picked up in the upstream collection of data under Section 702 of the FISA Amendments Act.
[00:03:41.167 --> 00:03:51.971]  CISA is likely to be the key piece for letting the NSA and FBI warrantlessly spy on Americans after the FISA court limited that ability a few years ago.
[00:03:51.971 --> 00:04:07.658]  Is it any wonder when a $2.8 billion taxpayer-funded JLIN surveillance blimp becomes headline news as the average American citizen shirks when they clearly witness a criminal surveillance state goliath growing far too big to control?
[00:04:08.078 --> 00:04:12.925]  The NSA grows stronger as it collects more of our personal information.
[00:04:12.925 --> 00:04:13.966]  The U.S.
[00:04:13.966 --> 00:04:16.129]  Constitution grows weaker.
[00:04:16.129 --> 00:04:17.871]  John Bowne for Infowars.com
[00:04:25.620 --> 00:04:30.505]  As we plunge into Halloween tomorrow, we've got some big guests today.
[00:04:30.505 --> 00:04:35.551]  Jim Mars, investigative journalist, best-selling author, will be in studio and more.
[00:04:35.551 --> 00:04:43.038]  I'm getting countless emails and seeing comments on InfoWars asking why we're not covering the NSA surveillance plan.
[00:04:43.038 --> 00:04:45.001]  Hey, we've been covering it.
[00:04:45.001 --> 00:04:47.003]  I wrote a book about it, made films about it.
[00:04:49.275 --> 00:05:00.398]  But B, I mean we told you about it 18 years ago, so I'm sorry we're covering up the blimp, okay?
[00:05:00.398 --> 00:05:16.163]  Student accused of promoting gang culture for wearing American flag t-shirt, article up by Mikhail Phelan, a 12 year old student in California was forced to turn his American flag t-shirt inside out last week after administrators claimed it was gang related.
[00:05:16.403 --> 00:05:31.627]  Dustin Cole, an honors student at Yuba Gardens Intermediate School, says he was approached by school staff who argued that the t-shirt, which features items from both the American and California flag, violated the district's dress code.
[00:05:31.627 --> 00:05:38.789]  Cole's mother, Lori Carpenter, says she first became aware of this issue after Cole came home with his shirt on inside out.
[00:05:38.789 --> 00:05:40.250]  I asked him why, she said.
[00:05:40.250 --> 00:05:44.331]  He said he was dress coded at school because the stars were gang related.
[00:05:44.671 --> 00:05:48.735]  Only in America can wearing the American flag be considered a bad thing.
[00:05:48.735 --> 00:05:53.821]  Many other countries across the world take much pride in wearing their country's colors.
[00:05:53.821 --> 00:05:56.263]  But here in America, that's just downright racist.
[00:05:56.263 --> 00:05:58.766]  You can find more reports like this at InfoWars.com.
[00:06:00.282 --> 00:06:04.124]  As any regular listener knows, I don't script what I have to say.
[00:06:04.124 --> 00:06:08.806]  I do my research, and then I tell it like it is, and let the chips fall where they may.
[00:06:08.806 --> 00:06:10.547]  And I'm going to do that right now.
[00:06:10.547 --> 00:06:16.190]  I have never, in my 20 years on air, seen a time where it's more important to be prepared.
[00:06:16.190 --> 00:06:20.932]  Even most mainline analysts are now saying, we've entered this critical juncture.
[00:06:20.932 --> 00:06:22.753]  We've got to get prepared.
[00:06:22.753 --> 00:06:25.514]  Everyone knows I'm obsessed with win-win situations.
[00:06:25.734 --> 00:06:37.238]  And the high-quality storable foods at InfoWarsSelect.com are powered by MyPatriot Supply and are the highest quality, the freshest, and have the best pricing that we could find anywhere.
[00:06:37.238 --> 00:06:44.781]  And finally, until October 31st, 2015, all InfoWars Select storable foods purchases will receive 10% off and free shipping.
[00:06:46.462 --> 00:06:49.565]  Free shipping on storable food is unprecedented.
[00:06:49.565 --> 00:06:57.253]  Secure your InfoWars select storable foods discounted at InfoWarsStore.com or by calling toll-free 888-253-3139.
[00:06:57.253 --> 00:07:01.918]  You can feel it in the air.
[00:07:01.918 --> 00:07:03.440]  Jack Frost is near.
[00:07:03.440 --> 00:07:08.305]  Seasons are changing and it's time to start reinforcing your body's natural defenses.
[00:07:08.305 --> 00:07:09.226]  To help you get started,
[00:07:09.386 --> 00:07:15.733]  We're giving you 15% off the highly rated Ancient Defense Herbal Immunity Formula at InfoWarsLife.com.
[00:07:15.733 --> 00:07:19.857]  That's 15% off the already low $19.95 price.
[00:07:19.857 --> 00:07:26.424]  By using our proprietary processing technique, Ancient Defense combines the power of ancient wisdom and modern science.
[00:07:26.624 --> 00:07:40.628]  With a hand-selected blend of more than 14 different herbs and extracts, with echinacea, elderberry, ginger root, peppermint leaf, and many others, it's easy to see why I take Ancient Defense during the fall and winter season and also give it to my children.
[00:07:40.628 --> 00:07:45.209]  Again, Ancient Defense at InfoWarsLife.com is already very affordable.
[00:07:45.209 --> 00:07:52.771]  But for a limited time, you get an additional 15% off when you visit InfoWarsLife.com and start aiding your body in its natural defense.
[00:07:52.771 --> 00:07:53.931]  Visit InfoWarsLife.com
[00:07:54.711 --> 00:07:57.693]  Or call toll free 888-253-3139.
[00:07:57.693 --> 00:08:04.359]  Ancient Defense.
[00:08:04.359 --> 00:08:23.113]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones on the GCN Radio Network.
[00:08:28.806 --> 00:08:29.406]  Wow!
[00:08:29.406 --> 00:08:34.088]  This Friday is another mega massive information overload of key developments.
[00:08:34.088 --> 00:08:35.349]  Where do you begin?
[00:08:56.072 --> 00:09:03.054]  We have investigative journalist Jim Mars joining us in studio in the third hour today.
[00:09:03.054 --> 00:09:11.117]  We were scheduled to have Leanne McAdoo in studio during the second hour because she was up outside St.
[00:09:11.117 --> 00:09:16.719]  Louis where a huge landfill of radioactive waste is on fire the last three days.
[00:09:16.719 --> 00:09:18.779]  The problem is I barely can make it into work.
[00:09:18.779 --> 00:09:22.440]  We are under one of the worst floods in modern Texas history.
[00:09:22.440 --> 00:09:23.401]  If you go to the radar,
[00:09:24.441 --> 00:09:31.425]  For Texas, much of the state has just incredibly intense rain and tornadoes.
[00:09:31.425 --> 00:09:41.990]  In fact, they have a tornado warning and signs of tornadoes forming directly over our office right now.
[00:09:41.990 --> 00:09:46.232]  There's only a few leaks here in the building and everything, by the grace of God, is still operating and working.
[00:09:47.635 --> 00:09:50.680]  I left about 20 minutes early to go to work.
[00:09:50.680 --> 00:09:52.503]  Normally it takes you about 15 minutes to get here.
[00:09:52.503 --> 00:09:56.268]  It took me a good 40 minutes to get here.
[00:09:56.268 --> 00:10:01.075]  Major highways had, let's not exaggerate, a foot of water on them.
