[00:00:02.359 --> 00:00:03.159]  It's stimulating.
[00:00:04.060 --> 00:00:05.160]  Mind expanding.
[00:00:06.021 --> 00:00:07.822]  Safer to use than alcohol.
[00:00:08.682 --> 00:00:09.782]  It's the in thing.
[00:00:10.763 --> 00:00:13.204]  Such are the myths concerning marijuana.
[00:00:14.366 --> 00:00:19.190]  Myths that lull thousands of young people into experimenting with obnoxious weed.
[00:00:19.590 --> 00:00:24.414]  Marijuana, the burning weed with its roots in hell.
[00:00:25.014 --> 00:00:26.516]  Should marijuana be legalized?
[00:00:26.876 --> 00:00:28.797]  We'll debate the pros and cons right now.
[00:00:29.038 --> 00:00:31.680]  Marijuana leads to doing worse things.
[00:00:31.700 --> 00:00:32.500]  That's just a fact.
[00:00:32.560 --> 00:00:33.701]  I don't care what anybody says.
[00:00:33.741 --> 00:00:40.787]  The drug war is a total failure and the federal drug war ought to be revisited and for the most part gotten rid of.
[00:00:41.027 --> 00:00:49.310]  This has corrupted our government, it has destroyed our due process, and it is withholding from people medicine that is very effective, and we need to stop it.
[00:00:49.671 --> 00:00:51.891]  We need to roll Prohibition back right now.
[00:00:51.911 --> 00:00:58.974]  Marijuana is natural, you know, there's so many different things that you can use it for, including, you know, helping cancer patients.
[00:00:59.334 --> 00:01:03.036]  I'm a Christian minister, and I believe, you know, Jesus would be okay with it.
[00:01:03.416 --> 00:01:20.444]  There have been studies proven that children who have 400 seizures a day, that's intense, that's like a seizure a minute, who can't stop just violently convulsing, have been helped and have stopped having seizures 2-3 days after applying the cannabinoid oil treatment to themselves, like in their food or something like that.
[00:01:20.464 --> 00:01:21.225]  That's incredible!
[00:01:21.485 --> 00:01:23.686]  There's proof of that, it's all over the internet.
[00:01:23.766 --> 00:01:33.929]  The mandatory minimums, locking people up for non-violent crimes for very long periods of time, where there's no discretion for the fact that they were non-violent, that this is their first offense.
[00:01:34.009 --> 00:01:35.349]  No, just lock them up.
