[00:00:04.400 --> 00:00:07.581]  Who is Cy Hirsch and why does what he says matter?
[00:00:07.921 --> 00:00:21.303]  Mr. Hirsch exposed the cover-up of the 1968 My Lai Massacre of between 347 and 504 unarmed Vietnamese citizens and received the 1970 Pulitzer Prize for International Reporting for his work.
[00:00:21.583 --> 00:00:25.664]  He has notably investigated the CIA's secretive project Azorian.
[00:00:25.724 --> 00:00:30.725]  Hirsch recently exposed the mistreatment of detainees at the Iraqi prison Abu Ghraib.
[00:00:30.925 --> 00:00:36.791]  Mr. Hirsch has the journalistic integrity to take the lonely path seldom seen towards the truth.
[00:00:36.951 --> 00:00:48.361]  Now this award-winning journalist and touchstone to a fading era of investigative journalism faces an administration that has set a new record on what can only be declared as a war on transparency.
[00:00:48.522 --> 00:00:51.004]  The Society of Professional Journalists made up of
[00:00:51.684 --> 00:00:58.186]  38 groups wrote a letter to the Obama administration criticizing its overall politically driven suppression of the news.
[00:00:58.446 --> 00:01:15.290]  Hirsch's solution to the lapdog media that whitewashes Obama's dirty laundry is to shut down news networks like NBC and ABC and fire 90% of the mainstream editors, replacing them with real journalists who are outsiders and not afraid to speak truth to power.
[00:01:15.550 --> 00:01:16.991]  The Republic's in trouble.
[00:01:17.271 --> 00:01:18.491]  We lie about everything.
[00:01:18.971 --> 00:01:23.172]  Lying has become the staple, concluded Seymour Hersh.
[00:01:23.372 --> 00:01:26.393]  The way to make government responsible is to hold it accountable.
[00:01:27.234 --> 00:01:37.557]  And the way to make government accountable is to make it transparent so that the American people can know exactly what decisions are being made, how they're being made, and whether their interests are being well served.
[00:01:38.564 --> 00:01:45.172]  The directives I am giving my administration today on how to interpret the Freedom of Information Act will do just that.
[00:01:46.033 --> 00:01:48.996]  For a long time now, there's been too much secrecy in this city.
[00:01:49.797 --> 00:01:57.065]  The old rules said that if there was a defensible argument for not disclosing something to the American people, then it should not be disclosed.
[00:01:57.946 --> 00:01:59.168]  That era is now over.
[00:01:59.795 --> 00:02:10.917]  Recently, Seymour Hersh said that the raid which killed Osama Bin Laden in 2011 is one big lie, and that not one word of the Obama administration's narrative on what happened is true.
[00:02:11.337 --> 00:02:23.380]  Speculation that the Obama administration may have embellished or outright lied about the true account of what happened has persisted, mainly because the White House has refused to publicly release images of Bin Laden's body.
[00:02:23.940 --> 00:02:33.743]  Although the White House said the corpse was immediately buried at sea in line with Islamic tradition, it quickly emerged that this was not standard practice.
[00:02:34.183 --> 00:02:42.165]  Numerous analysts have claimed that Bin Laden had in fact been dead for years and that the raid on his alleged compound in Pakistan was little more than a stunt.
[00:02:42.425 --> 00:02:49.607]  It's on record that Steve Puchinik, who worked as the top deputy to Henry Kissinger,
