[00:00:00.009 --> 00:00:01.373]  The Alex Jones Show.
[00:00:01.554 --> 00:00:03.439]  You have done well, Lord Vader.
[00:00:18.049 --> 00:00:20.872]  This is Jakari Jackson for InfoWars.com.
[00:00:21.293 --> 00:00:26.419]  Last month, the Washington State Senate said open carriers are no longer welcome in their viewing galleries.
[00:00:26.980 --> 00:00:34.809]  Lieutenant Governor Brad Owen announced that the public will no longer be able to openly carry firearms in the State Senate's Chamber's public viewing area.
[00:00:35.390 --> 00:00:39.813]  We're not going to treat them any differently than everyone else, he said to Open Carry Advocates.
[00:00:40.394 --> 00:00:46.358]  Owens said that it didn't make sense to allow people to openly carry firearms while banning backpacks, signs, and umbrellas.
[00:00:46.658 --> 00:00:51.442]  The last I checked, backpacks and umbrellas were not covered under the United States Constitution.
[00:00:51.842 --> 00:00:59.448]  But in response to this, Open Carry Advocates are having a rally tomorrow, the 7th, and we have gun owners prepare for arrest at Washington State Capitol.
[00:01:00.208 --> 00:01:06.070]  The Washington State Patrol is expected to arrest anyone entering the viewing chambers openly carrying a firearm.
[00:01:06.550 --> 00:01:12.553]  Although, individuals with a concealed pistol license will be allowed to conceal carry weapons into the chambers.
[00:01:13.013 --> 00:01:20.996]  And of course, we know in Washington State, Bloomberg and Bill Gates are up there pushing their anti-gun agenda, so we'll just have to wait and see how this turns out.
[00:01:21.636 --> 00:01:27.541]  And last year, you guys may also recall how Arkansas gun reigns, declaring itself to be a Muslim-free zone.
[00:01:27.962 --> 00:01:34.007]  But now, after the massacre that happened in Pakistan, Pakistani teachers are now being able to carry in the classroom.
[00:01:34.687 --> 00:01:44.296]  After 150 children and educators were killed by Taliban terrorists in a brutal massacre in December, the Pakistani government gave permission to teachers to be armed while at work.
[00:01:44.776 --> 00:01:45.877]  I'm very happy to see this.
[00:01:45.957 --> 00:01:53.964]  Whether it's in Pakistan or here in the States, I think it's much better to arm the teachers than to give the kids Campbell's soup cans and tell them to throw them at their attackers.
[00:01:54.404 --> 00:01:55.285]  And we'll end with this.
[00:01:55.845 --> 00:01:57.907]  Murder victim's sister on gun control group.
[00:01:58.348 --> 00:02:00.569]  Don't use her to push your agenda.
[00:02:01.871 --> 00:02:05.974]  Sharing your story so other people would understand why we restricted our gun laws.
[00:02:06.054 --> 00:02:07.916]  I'm pretty averse about the bill.
[00:02:09.011 --> 00:02:10.632]  That's it for now.
[00:02:10.792 --> 00:02:14.013]  You can find more reports at InfoWars.com.
[00:02:43.444 --> 00:02:49.308]  There's just one more thing you've got to worry about as the world moves toward RFID everything.
[00:02:49.788 --> 00:02:51.169]  Digital pickpockets.
[00:02:51.609 --> 00:02:57.613]  Here, hackers show just how easily your credit card information can be stolen from thin air in seconds.
[00:02:58.293 --> 00:03:09.080]  It's a practice known as data skimming that allows criminals to use RFID readers to harvest bank details from cards that use wave and pay radio technology.
[00:03:09.580 --> 00:03:14.442]  RFID cards transmit bank details via their own radio signal.
[00:03:14.742 --> 00:03:24.366]  So criminals standing just six inches away are able to harvest bank details using RFID readers or even apps that are downloaded to their phones.
[00:03:25.006 --> 00:03:36.438]  If a reader or RFID app enabled smartphone is within range, hackers can pick up on that wireless signal as it's transmitted when the card is being used to buy a product.
[00:03:36.959 --> 00:03:40.223]  That information can then be used to replicate the card.
[00:03:40.723 --> 00:03:47.088]  Now the fact that the readers aren't able to get the three-digit security code off the back of your credit card, that can sort of help.
[00:03:47.388 --> 00:03:51.811]  But you'll notice that that security code isn't really necessary for most purchases.
[00:03:52.252 --> 00:03:59.137]  And the danger here is that it's estimated that nearly 70% of cards will soon be vulnerable to digital pickpocketing.
[00:03:59.637 --> 00:04:02.560]  Now there are ways to protect your information right now.
[00:04:02.881 --> 00:04:11.570]  You can wrap the card in tinfoil or you can also pick up a specially lined wallet like those that we sell at the InfoWars store.
[00:04:12.130 --> 00:04:18.257]  Not only are they going to stop RFID identity theft but also cell phone tracking and eavesdropping.
[00:04:18.777 --> 00:04:24.060]  But what's the contingency plan when these RFID chips are going to be embedded under our skin?
[00:04:24.481 --> 00:04:31.345]  Google CEO Eric Schmidt is basically foaming at the mouth just talking about this technology becoming intrinsic.
