[00:00:00.373 --> 00:00:00.919]  Alex Jones Show!
[00:00:16.229 --> 00:00:16.849]  Big Brother.
[00:00:17.530 --> 00:00:18.551]  Mainstream media.
[00:00:19.291 --> 00:00:20.412]  Government cover-ups.
[00:00:21.073 --> 00:00:21.853]  You want answers?
[00:00:22.634 --> 00:00:23.534]  Well, so does he.
[00:00:24.175 --> 00:00:27.818]  He's Alex Jones on the GCN Radio Network.
[00:00:28.378 --> 00:00:32.481]  And now, live from Austin, Texas, Alex Jones.
[00:00:33.562 --> 00:00:34.703]  That's right, my friends.
[00:00:34.803 --> 00:00:37.244]  It is Tuesday, the 8th day of December, 2015.
[00:00:37.645 --> 00:00:39.086]  I am your host, Alex Jones.
[00:00:43.609 --> 00:00:48.132]  And we are going to be live here as we are weekdays 11 a.m.
[00:00:48.152 --> 00:00:48.793]  to 3 p.m.
[00:00:49.193 --> 00:00:50.534]  for four hours today.
[00:00:51.034 --> 00:00:55.397]  And of course the nightly news will be seven o'clock Central Standard Time this evening.
[00:00:57.725 --> 00:01:04.269]  Donald Trump has come out and, quote, demanded total and complete shutdown of Muslims entering America.
[00:01:04.289 --> 00:01:08.632]  We're going to play a clip of the speech that he gave yesterday.
[00:01:08.652 --> 00:01:17.458]  This has Republicans and others lining up, calling him a bigot, a racist, and all the rest of it, despite the fact that being Muslim is not a race.
[00:01:17.478 --> 00:01:23.022]  I'm going to give you my take on this after we play a clip from the speech.
[00:01:24.446 --> 00:01:31.323]  I watched last night, and I watched a president, truly, that didn't know what he was doing.
[00:01:34.142 --> 00:01:36.744]  He didn't know why he was there.
[00:01:37.404 --> 00:01:43.588]  He refuses to use the term radical Islamic terrorism.
[00:01:43.949 --> 00:01:45.810]  He refuses to use the term.
[00:01:46.190 --> 00:01:48.452]  I don't even know if he knows what the hell's going on.
[00:01:48.712 --> 00:01:49.292]  I really don't.
[00:01:49.773 --> 00:02:03.742]  Donald J. Trump is calling for a total and complete shutdown of Muslims entering the United States until our country's representatives can figure out what the hell is going on.
[00:02:05.515 --> 00:02:06.635]  Let's stop right there.
[00:02:07.636 --> 00:02:12.098]  We're going to be covering more of this obviously throughout the day, but here's the final equation.
[00:02:14.059 --> 00:02:16.139]  Is Trump putting this the best way he could?
[00:02:16.800 --> 00:02:24.143]  Probably not, but he knows he's talking to a general American population that has been, let's just say it, dumbed down to a certain extent.
[00:02:25.163 --> 00:02:27.104]  So he's just putting it out there as meat and potatoes.
[00:02:28.304 --> 00:02:29.105]  Here's the issue.
[00:02:30.405 --> 00:02:31.906]  There should be a total ban
[00:02:33.314 --> 00:02:41.016]  on any refugees out of Syria because most of them are invaders who came in the last five years to take the nation over.
[00:02:42.416 --> 00:02:50.678]  And the FBI has admitted that they're not being vetted at all, and that upwards of 80% have fake passports and are military-age men.
[00:02:51.418 --> 00:02:57.199]  There are countless videos on YouTube, millions of views apiece, of at the tunnel between France and England.
[00:02:58.103 --> 00:03:07.469]  The UK, thousands of illegals just running around beating people, throwing rocks, attacking the truck drivers for no reason and the police won't protect them.
[00:03:09.310 --> 00:03:21.377]  And how many Facebook images do we have where it shows Al-Qaeda ISIS fighters in Syria and then it cuts to them in Germany or France or Poland or Hungary or Sweden?
[00:03:22.375 --> 00:03:22.875]  Or Belgium.
[00:03:23.376 --> 00:03:23.976]  Or the Netherlands.
[00:03:24.556 --> 00:03:25.277]  They're proud of it.
[00:03:25.317 --> 00:03:34.202]  And I can tell you, soldiers, when I see them, a good percentage, I'm talking 20-30%, are combat vets of the Saudi-run invasion.
[00:03:36.743 --> 00:03:38.404]  I know soldiers when I'm looking at them.
[00:03:38.444 --> 00:03:39.365]  Plus, it's admitted.
[00:03:41.466 --> 00:03:41.726]  So.
[00:03:44.547 --> 00:03:48.550]  As this unfolds, every time the media finds an image of a woman or a child, they zoom in on it.
[00:03:49.386 --> 00:03:52.867]  Because from the videos I've seen, it looks more like 98% are men.
[00:03:55.347 --> 00:03:56.387]  But the governments are saying 80%.
[00:03:59.488 --> 00:04:07.409]  But you can watch hours of footage of the trucks being attacked, the trucks being robbed, the carjackers, people attacking the mirrors, throwing rocks, cussing.
[00:04:07.429 --> 00:04:09.969]  I mean, I couldn't help myself.
[00:04:10.010 --> 00:04:12.010]  Even if there were 20 people, I'd just get out with a baseball bat.
[00:04:12.030 --> 00:04:14.170]  Of course, in America, you know what would happen.
[00:04:14.210 --> 00:04:15.170]  It'd be, pew!
[00:04:15.550 --> 00:04:16.871]  Oh, you climbed up on the truck and were attacking?
[00:04:17.191 --> 00:04:17.631]  Boom!
[00:04:17.691 --> 00:04:18.511]  Nobody else would do that.
[00:04:20.145 --> 00:04:23.187]  You wanna assault my vehicle with a tire arm?
[00:04:24.447 --> 00:04:26.249]  Right in the center of your chest, see how that feels.
[00:04:27.089 --> 00:04:28.410]  Having your heart blown out your back.
[00:04:29.430 --> 00:04:30.951]  I'm not gonna roll over to this crap.
[00:04:32.012 --> 00:04:36.374]  So, yes, it is an invasion, orchestrated by criminals in our Western governments.
[00:04:36.695 --> 00:04:43.619]  Yes, you must stop all from war-torn areas because it's a military infiltration zone.
