[00:00:00.190 --> 00:00:01.838]  Offend Liberty Worldwide!
[00:00:15.543 --> 00:00:19.728]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:20.388 --> 00:00:21.189]  You want answers?
[00:00:21.970 --> 00:00:22.891]  Well, so does he.
[00:00:23.512 --> 00:00:27.156]  He's Alex Jones on the GCN Radio Network.
[00:00:27.716 --> 00:00:31.781]  And now, live from Austin, Texas, Alex Jones.
[00:00:42.054 --> 00:00:50.797]  Yesterday, I said it had been too long since Ted Nugent had been on the broadcast, and I guess they heard that, as his media people called us and said, hey, he's ready to come on.
[00:00:51.617 --> 00:01:03.541]  And man, the story he's got to tell, it just fits into the massive censorship of libertarian and conservative ideas in this country, and the reign of terror of political correctness.
[00:01:03.581 --> 00:01:05.101]  They have decided to go full board.
[00:01:07.162 --> 00:01:10.983]  I have two articles, one from Washington State and one from Washington, Pennsylvania.
[00:01:12.458 --> 00:01:29.627]  Strangely enough, I noticed that looking at the articles, one out of ABC News, one out of CBS News, the one out of Pittsburgh, they sent a political correct operative in there, a woman, to a barber shop, and said, do my hair, and they said, we don't have the equipment to do your hair.
[00:01:30.247 --> 00:01:31.948]  There's a women's salon down the street.
[00:01:33.249 --> 00:01:38.852]  So, she went to the government, they fined them, and just like the folks that won't bake the cake for the gay people,
[00:01:40.077 --> 00:01:42.138]  They'll end up in jail if they don't submit to it.
[00:01:42.198 --> 00:01:47.741]  So he said, I guess I'll get the equipment and the hair rollers and all the rest.
[00:01:47.761 --> 00:01:51.283]  I mean, barbershops are for men because you want to be in there 10 minutes.
[00:01:54.084 --> 00:01:56.025]  I've gone to barbershops most of my life.
[00:01:59.107 --> 00:01:59.887]  I want to go in.
[00:01:59.907 --> 00:02:01.928]  I want to get my hair cut.
[00:02:01.948 --> 00:02:03.229]  I want to be gone in 15 minutes.
[00:02:05.150 --> 00:02:07.811]  I don't want to get my hair cut over 45 minutes an hour.
[00:02:10.444 --> 00:02:13.427]  And you've got salons that are for women.
[00:02:13.767 --> 00:02:16.769]  I mean, there are salons where there's nothing but women.
[00:02:18.491 --> 00:02:20.452]  It has nothing to do with putting women down.
[00:02:21.714 --> 00:02:25.537]  But that's indicative of the war on just being male.
[00:02:26.398 --> 00:02:33.804]  When they say, we're going to ban the word father or mother, boy or girl, he or she, they mean business.
[00:02:37.819 --> 00:02:41.121]  And this is the takedown of civilization we're witnessing.
[00:02:42.342 --> 00:02:51.507]  And turning people just against themselves, where being married or having children is fundamentally a crime.
[00:02:52.247 --> 00:02:57.710]  Or having a single family dwelling is a crime under World Treaty, Agenda 21.
[00:03:00.192 --> 00:03:03.734]  Where half the roads are turned into robot roads in the next 5 to 10 years.
[00:03:06.769 --> 00:03:07.910]  And then they're going to phase them all out.
[00:03:07.970 --> 00:03:09.591]  That was announced in the LA Times yesterday.
[00:03:09.611 --> 00:03:11.312]  Of course, I told you this 20 years ago.
[00:03:12.252 --> 00:03:12.852]  We're here.
[00:03:14.073 --> 00:03:20.016]  They're making their move to destabilize things and consolidate power.
[00:03:22.258 --> 00:03:30.302]  I have a stack of news here where they are waging war on the family and our very biology.
[00:03:32.063 --> 00:03:35.505]  Hillary Clinton says she's sorry about the private email.
[00:03:38.803 --> 00:03:40.064]  We're going to play that clip.
[00:03:40.144 --> 00:03:47.606]  Trump has come out and said, we have to accept migrants here from Syria because they're quote, in a hell.
[00:03:50.207 --> 00:03:51.408]  But nobody else has to.
[00:03:53.429 --> 00:03:56.950]  Not Saudi Arabia, not any of these countries.
[00:04:01.294 --> 00:04:05.558]  And of course, he's trying to score politically correct points now that he's the frontrunner.
[00:04:06.218 --> 00:04:15.707]  That's what I've been worried about with Trump, is that once he starts getting closer to the election, he'll moderate towards the Democrats.
[00:04:16.588 --> 00:04:25.476]  Well, if the Democrats want to commit national suicide, you can't moderate dragging a double-edged dagger across your arteries.
[00:04:26.684 --> 00:04:31.165]  You can't moderate jumping off a thousand foot cliff without a parachute.
[00:04:32.206 --> 00:04:34.246]  You can't moderate things like this.
[00:04:34.927 --> 00:04:39.688]  This is designed to suicide the West, and I don't even mean racially.
[00:04:40.728 --> 00:04:49.071]  It's designed to suicide us with Balkanization, Tower of Babel, Divide and Conquer, Cloward and Piven bankruptcy.
[00:04:51.550 --> 00:04:53.572]  So that's all coming up today as well.
[00:04:53.672 --> 00:04:55.453]  And then I saw this on local news yesterday.
[00:04:55.493 --> 00:04:56.574]  It's now national news.
[00:04:57.975 --> 00:05:05.020]  Two football players in high school spear the referee and then afterwards said it's okay, he was racist.
[00:05:05.700 --> 00:05:06.281]  With no proof.
[00:05:09.799 --> 00:05:14.801]  Over the Labor Day weekend, we had reports of 8 being killed and 46 being wounded.
[00:05:15.221 --> 00:05:19.223]  July 4th of this year, we had reports of 9 dead and 53 wounded.
[00:05:19.723 --> 00:05:25.605]  And let us not forget, July 4th of last year, we had reports of 14 killed and 82 shot.
[00:05:26.126 --> 00:05:28.006]  And these are not nationwide stats.
[00:05:28.506 --> 00:05:34.489]  All of these numbers come from the city of Chicago, the city with some of the strictest gun laws in the nation.
