[00:00:00.596 --> 00:00:03.207]  You're listening to The Alex Jones Show.
[00:00:15.171 --> 00:00:15.811]  Big Brother.
[00:00:16.472 --> 00:00:17.492]  Mainstream media.
[00:00:18.233 --> 00:00:19.294]  Government cover-ups.
[00:00:20.014 --> 00:00:20.814]  You want answers?
[00:00:21.575 --> 00:00:22.515]  Well, so does he.
[00:00:23.136 --> 00:00:26.778]  He's Alex Jones on the GCN Radio Network.
[00:00:27.318 --> 00:00:31.381]  And now, live from Austin, Texas, Alex Jones.
[00:00:32.893 --> 00:00:33.913]  Strap yourselves in.
[00:00:34.173 --> 00:00:40.235]  The globalists are trying to orchestrate social upheaval worldwide to bring in their planetary government.
[00:00:40.875 --> 00:00:43.636]  William Benny, former top NSA whistleblower, is going to be joining us.
[00:00:44.116 --> 00:00:50.278]  Wayne Madsen, also formerly of the NSA, to break down the real history of McCain and Moore, and a ton of breaking news today.
[00:00:50.338 --> 00:00:55.160]  But first, John Bowne's report on the fact that revolution is imminent in Greece.
[00:00:55.620 --> 00:01:05.045]  With great reluctance, the German Parliament has voted in favor of beginning negotiations on the 86 billion euro Greek bailout deal.
[00:01:05.065 --> 00:01:11.649]  49% of Germans didn't want to enter talks over the burden of relieving Greece of its 320 billion euro debt.
[00:01:11.809 --> 00:01:18.813]  The credit control limits on the restriction to withdraw only 60 euros per day will only be eased gradually.
[00:01:19.073 --> 00:01:31.200]  While the value-added tax will rise from 13% to 23% in the next few days, raising prices on everything in a country struggling with a broken infrastructure.
[00:01:31.380 --> 00:01:35.063]  Basically, the European people paid off.
[00:01:36.021 --> 00:01:46.230]  The debts, the Greek debts held by these big banks, which were charging monster fees, and now they're saying, okay, they're telling Greek people, now you have to bail out our bailout.
[00:01:47.291 --> 00:01:54.637]  And it's coming down to a massive per-family interest charges of $10,000 to $15,000 a year.
[00:01:55.037 --> 00:01:56.919]  And under Greek salaries, it's impossible.
[00:01:57.119 --> 00:01:59.903]  They're basically going to be taking all these assets.
[00:01:59.943 --> 00:02:06.674]  In the case of Greece, by the way, one of the big assets that they were trying to grab is Greece has tremendous offshore gas resources.
[00:02:07.555 --> 00:02:11.781]  And at the moment, obviously, the natural gas market has collapsed.
[00:02:12.322 --> 00:02:16.886]  But believe me, they're going to be going after those resources.
[00:02:17.727 --> 00:02:19.769]  You know, we see in Ireland, Ireland actually has gold.
[00:02:20.670 --> 00:02:22.591]  They're going to be going after those resources.
[00:02:22.671 --> 00:02:23.832]  Spain has resources.
[00:02:23.852 --> 00:02:27.436]  So basically, they're draining these nations.
[00:02:27.876 --> 00:02:36.958]  Economist John Perkins suggested Greece turn to China's banks, rather than kneel to the sovereign, sucking IMF and EU monstrosity.
[00:02:37.138 --> 00:02:45.640]  I recently met with a minister of state of Ecuador, who's very savvy on these things, and he said, of course we'd rather borrow money from China.
[00:02:45.660 --> 00:02:48.381]  And I said, well, don't you think that China's going to turn around and do the same thing?
[00:02:48.681 --> 00:02:51.562]  He said, well, we have no idea ultimately what China will do, of course.
[00:02:51.842 --> 00:02:57.143]  But what we do know is that the World Bank, the IMF, the Europeans, and the US have screwed us over.
[00:02:57.643 --> 00:03:02.445]  And we also know that they've overthrown our governments in coups throughout Latin America.
[00:03:02.465 --> 00:03:05.246]  They've assassinated presidents down here, including in Ecuador.
[00:03:05.426 --> 00:03:06.946]  The Greek people are furious.
[00:03:07.206 --> 00:03:12.268]  Right-wing Golden Dawn party member Ilias Kasidaris tore up the bailout deal.
[00:03:12.908 --> 00:03:21.901]  Reflecting the rising anger amongst the people of Greece who voted by 61% to reject austerity, their wishes were ignored.
[00:03:22.221 --> 00:03:28.470]  The terms imposed by the Euro leaders in the all-night tug-of-war negotiations resulted in Greece surrendering
[00:03:28.490 --> 00:03:28.810]  The Wreckage!
[00:03:58.346 --> 00:04:24.264]  Of the ship of tyranny, the ship of death, the ship of corruption, the ship of fraud, the ship that is willing to overturn our world and everything good in it, because everything good in it is diametrically opposed to the hellish vision
