[00:00:19.457 --> 00:00:21.657]  Welcome to the Info Wars Nightly News.
[00:00:21.757 --> 00:00:23.038]  I'm your host, Jakari Jackson.
[00:00:23.198 --> 00:00:27.379]  It is April 22, 2015, and here's a look at our top stories.
[00:00:30.539 --> 00:00:36.820]  Tonight, third wave feminism continues to sweep the country and has even poisoned the U.S.
[00:00:36.900 --> 00:00:38.281]  military as U.S.
[00:00:38.421 --> 00:00:41.081]  Army cadets are forced to wear high heels.
[00:00:41.341 --> 00:00:44.962]  Hmm, I wonder what ISIS or the Russian military thinks about that.
[00:00:46.254 --> 00:00:46.995]  That can't be good.
[00:00:47.355 --> 00:00:56.283]  Plus, the man who was viciously beaten by cops after a chase on horseback receives a $650,000 settlement.
[00:00:56.584 --> 00:01:01.829]  And the VA is caught sending veterans private medical information to the FBI.
[00:01:02.029 --> 00:01:06.213]  All that plus much more up next on the InfoWars Nightly News.
[00:01:12.017 --> 00:01:15.498]  Over the past year, we've had countless examples of police brutality.
[00:01:15.998 --> 00:01:20.260]  And while these things continue to happen, there's finally actually something being done about this.
[00:01:20.280 --> 00:01:25.722]  We see officers fired, suspended, and sometimes even settlements for those people who are victimized.
[00:01:25.842 --> 00:01:34.645]  As is the case that happened recently, a man stole a horse, which was a capital offense back in the day, so I can't give the guy too much slack on that.
[00:01:35.045 --> 00:01:37.046]  But this is Francis Jared Hussock.
[00:01:37.246 --> 00:01:40.227]  He fled with a horse, a stolen horse, and was then
[00:01:41.207 --> 00:01:44.429]  I guess you'd say attacked by some deputies out in the woods.
[00:01:44.729 --> 00:01:45.950]  Now the man did give up.
[00:01:46.490 --> 00:01:49.432]  He didn't want to further agitate the officers.
[00:01:49.452 --> 00:01:52.714]  The officers tased the man and beat the man pretty much to a bloody pulp.
[00:01:53.114 --> 00:01:56.356]  But the gentleman is receiving a $650,000 settlement.
[00:01:56.777 --> 00:02:00.019]  And while I am glad that he is receiving a settlement, I am also
[00:02:00.899 --> 00:02:03.841]  I wish it wouldn't have happened in the first place, I guess is the best way to say that.
[00:02:04.341 --> 00:02:06.643]  Because this comes out of the pocket of the taxpayer.
[00:02:06.663 --> 00:02:09.404]  So if you live in this man's county, you are footing the bill for this.
[00:02:09.464 --> 00:02:13.627]  It's not coming out of the police department or other areas, it's coming out of the local taxpayer.
[00:02:14.147 --> 00:02:17.149]  And as I was saying earlier, I wish these incidents would not happen.
[00:02:17.249 --> 00:02:21.972]  Once again, this guy was stealing a horse, which was a capital offense years back, but
[00:02:23.223 --> 00:02:26.387]  We need to find some way, a happy medium, to get rid of these things.
[00:02:26.467 --> 00:02:32.235]  Because whether it's Eric Gardner or any number of these guys, there's so many.
[00:02:32.295 --> 00:02:34.418]  Kelly Thomas, another guy as well.
[00:02:35.240 --> 00:02:38.244]  At least when we get these guys on camera now, something is actually happening.
